study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	library_name	library_strategy	fastq_md5	fastq_ftp	submitted_ftp	sra_ftp
PRJNA588313	SAMN13241759	SRX7116081	SRR10417995	408170	human gut metagenome	Res2_Phage_B4	WGS	5efef056b072c78807a4af7a11a735bf;74960a85d213bee753ad9be3abacb350	ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/095/SRR10417995/SRR10417995_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/095/SRR10417995/SRR10417995_2.fastq.gz		
PRJNA588313	SAMN13241759	SRX7116080	SRR10417996	408170	human gut metagenome	Res2_Phage_B3	WGS	6f529fa50d705198034f30ee84f122c2;54271ddb7bbd7558c22580fe9a0a2e39	ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/096/SRR10417996/SRR10417996_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/096/SRR10417996/SRR10417996_2.fastq.gz		
PRJNA588313	SAMN13241759	SRX7116079	SRR10417997	408170	human gut metagenome	Res2_Phage_B2	WGS	021f5e19db0fdf68e3160fa5f7f1c5af;d7ed1789808186b55d8d5d392b6ba56f	ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/097/SRR10417997/SRR10417997_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/097/SRR10417997/SRR10417997_2.fastq.gz		
PRJNA588313	SAMN13241759	SRX7116078	SRR10417998	408170	human gut metagenome	Res2_Phage_B1	WGS	12f68441ff51e69b2b69cd10927a9a7b;ea0defcbb3f485c9da66181e490adef5	ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/098/SRR10417998/SRR10417998_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/098/SRR10417998/SRR10417998_2.fastq.gz		
PRJNA588313	SAMN13241759	SRX7116077	SRR10417999	408170	human gut metagenome	Res2_Phage_J6	WGS	6fa9c6daace02568a290d859871ee8c1;80c15b5dba43de9140cbc82bd66785a9	ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/099/SRR10417999/SRR10417999_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/099/SRR10417999/SRR10417999_2.fastq.gz		
PRJNA588313	SAMN13241759	SRX7116076	SRR10418000	408170	human gut metagenome	Res2_Phage_J5	WGS	370dc379e799ce9c2d918b1c26a0b84a;84eef66531ba974538b2a1759ca3aa92	ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/000/SRR10418000/SRR10418000_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/000/SRR10418000/SRR10418000_2.fastq.gz		
PRJNA588313	SAMN13241759	SRX7116075	SRR10418001	408170	human gut metagenome	Res2_Phage_J4	WGS	1dcd6701ecdbf9fc1ca2a430fcc3db83;143e5770d88c0f6c5ebc1677b0d1e8e5	ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/001/SRR10418001/SRR10418001_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/001/SRR10418001/SRR10418001_2.fastq.gz		
PRJNA588313	SAMN13241759	SRX7116074	SRR10418002	408170	human gut metagenome	Res2_Phage_J2	WGS	1592f8d0c8662f8d0caed123674b1034;cd6b4fbfce3c51924b3c22aeae345a2e	ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/002/SRR10418002/SRR10418002_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/002/SRR10418002/SRR10418002_2.fastq.gz		
PRJNA588313	SAMN13241759	SRX7116073	SRR10418003	408170	human gut metagenome	Res2_Phage_J1	WGS	3d914ba0ba1dc12e66d0282a505d32e6;74958768dab6ea2a7992cd02327afda1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/003/SRR10418003/SRR10418003_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/003/SRR10418003/SRR10418003_2.fastq.gz		
PRJNA588313	SAMN13241759	SRX7116072	SRR10418004	408170	human gut metagenome	Res2_Phage_I6	WGS	b7225e4755259714d40c0340c85fffb4;55fffdde5427fd9e5370dda1c4939831	ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/004/SRR10418004/SRR10418004_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/004/SRR10418004/SRR10418004_2.fastq.gz		
PRJNA588313	SAMN13241759	SRX7116071	SRR10418005	408170	human gut metagenome	Res2_Phage_I5	WGS	95007da7fa946e2cd7d3f4be0b10d4df;10fabe036c99a80e09ebd7302c0e84f1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/005/SRR10418005/SRR10418005_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/005/SRR10418005/SRR10418005_2.fastq.gz		
PRJNA588313	SAMN13241759	SRX7116070	SRR10418006	408170	human gut metagenome	Res2_Phage_I4	WGS	b2f8a777e356ad006f3ba70a65558f56;45adcaa03cb517477e59447980166e95	ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/006/SRR10418006/SRR10418006_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/006/SRR10418006/SRR10418006_2.fastq.gz		
PRJNA588313	SAMN13241759	SRX7116069	SRR10418007	408170	human gut metagenome	Res2_Phage_I3	WGS	c356fcf0f02c74cfe30fff47f2b836a0;2af19d8d0a194e9513b51cfbdb08ea71	ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/007/SRR10418007/SRR10418007_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/007/SRR10418007/SRR10418007_2.fastq.gz		
PRJNA588313	SAMN13241759	SRX7116068	SRR10418008	408170	human gut metagenome	Res2_Phage_A6	WGS	2bd040bbd582ca2d00a864a16f0f42f3;0cd1c6dbcbc85d788197ea76d5f2d293	ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/008/SRR10418008/SRR10418008_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/008/SRR10418008/SRR10418008_2.fastq.gz		
PRJNA588313	SAMN13241759	SRX7116067	SRR10418009	408170	human gut metagenome	Res2_Phage_I2	WGS	14a54280994e01ebff048cc97bf7501d;281497c8e0c515915dacee84c3c0be6c	ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/009/SRR10418009/SRR10418009_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/009/SRR10418009/SRR10418009_2.fastq.gz		
PRJNA588313	SAMN13241759	SRX7116066	SRR10418010	408170	human gut metagenome	Res2_Phage_I1	WGS	eb33a1be9746c6c783e07b2eab2ce9a5;f801cbf3c82541bcefe1bf065c9b97c3	ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/010/SRR10418010/SRR10418010_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/010/SRR10418010/SRR10418010_2.fastq.gz		
PRJNA588313	SAMN13241759	SRX7116065	SRR10418011	408170	human gut metagenome	Res2_Phage_H6	WGS	9064e6415abd06314ffd4063fe443a6f;0ec8eba5d566528c48fb38759d52650c	ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/011/SRR10418011/SRR10418011_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/011/SRR10418011/SRR10418011_2.fastq.gz		
PRJNA588313	SAMN13241759	SRX7116064	SRR10418012	408170	human gut metagenome	Res2_Phage_H5	WGS	f0b306a70f3b5f5ce21a97bd5547e9af;a60a81d08afcf8b2fe1121d8881513fa	ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/012/SRR10418012/SRR10418012_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/012/SRR10418012/SRR10418012_2.fastq.gz		
PRJNA588313	SAMN13241759	SRX7116063	SRR10418013	408170	human gut metagenome	Res2_Phage_H4	WGS	d79f3fa02307f195f766d2b90a863f1c;4ccfdde9a559f4693d9efc2e24b91f3d	ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/013/SRR10418013/SRR10418013_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/013/SRR10418013/SRR10418013_2.fastq.gz		
PRJNA588313	SAMN13241759	SRX7116062	SRR10418014	408170	human gut metagenome	Res2_Phage_H3	WGS	78589af27c0253b2d5aca9f574b056c7;78477a668d11607ea98e7279c92abcc9	ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/014/SRR10418014/SRR10418014_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/014/SRR10418014/SRR10418014_2.fastq.gz		
PRJNA588313	SAMN13241759	SRX7116061	SRR10418015	408170	human gut metagenome	Res2_Phage_H2	WGS	3bb4356d6cbe6219f3c80cf8b720636e;e46268158130441fd88bdb9efb64e4a1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/015/SRR10418015/SRR10418015_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/015/SRR10418015/SRR10418015_2.fastq.gz		
PRJNA588313	SAMN13241759	SRX7116060	SRR10418016	408170	human gut metagenome	Res2_Phage_H1	WGS	3bf54e8c2bb6029bb5a7acc441aa860c;d89a96baf084a3330ffeb0fc9a16a725	ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/016/SRR10418016/SRR10418016_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/016/SRR10418016/SRR10418016_2.fastq.gz		
PRJNA588313	SAMN13241759	SRX7116059	SRR10418017	408170	human gut metagenome	Res2_Phage_G6	WGS	29e1b33d28cae3c6c8c3ea5bc7b87970;771535c23bd7a895669203e733ff28b2	ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/017/SRR10418017/SRR10418017_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/017/SRR10418017/SRR10418017_2.fastq.gz		
PRJNA588313	SAMN13241759	SRX7116058	SRR10418018	408170	human gut metagenome	Res2_Phage_G5	WGS	e64c153451f8b044ca7e22e38c0544af;13a5788b55e264add294f4fd672ab19a	ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/018/SRR10418018/SRR10418018_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/018/SRR10418018/SRR10418018_2.fastq.gz		
PRJNA588313	SAMN13241759	SRX7116057	SRR10418019	408170	human gut metagenome	Res2_Phage_A5	WGS	10508f79b696402b43dee2ae7a6e7c6a;83a4f3723f1e3fcd25b2b9fb2640a7dd	ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/019/SRR10418019/SRR10418019_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/019/SRR10418019/SRR10418019_2.fastq.gz		
PRJNA588313	SAMN13241759	SRX7116056	SRR10418020	408170	human gut metagenome	Res2_Phage_G4	WGS	c9d0f9e8caa3d25e2f4f3f6a476acee1;abfce7247a9f6e2cdf6abda911daf9d4	ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/020/SRR10418020/SRR10418020_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/020/SRR10418020/SRR10418020_2.fastq.gz		
PRJNA588313	SAMN13241759	SRX7116055	SRR10418021	408170	human gut metagenome	Res2_Phage_G3	WGS	10017a1981e6d1ac0b77cb547216efdb;a6f0360e698259711faafd8e12dbfde9	ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/021/SRR10418021/SRR10418021_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/021/SRR10418021/SRR10418021_2.fastq.gz		
PRJNA588313	SAMN13241759	SRX7116054	SRR10418022	408170	human gut metagenome	Res2_Phage_G2	WGS	e5c40e0624f5c0c5fa28e34db848dc0f;f3a77b2ac844dfc15b2e238ebf92e288	ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/022/SRR10418022/SRR10418022_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/022/SRR10418022/SRR10418022_2.fastq.gz		
PRJNA588313	SAMN13241759	SRX7116053	SRR10418023	408170	human gut metagenome	Res2_Phage_G1	WGS	3ed391594d954affc42b34e900a61b54;f7fb117c48e6a10b1b253b6479590d31	ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/023/SRR10418023/SRR10418023_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/023/SRR10418023/SRR10418023_2.fastq.gz		
PRJNA588313	SAMN13241759	SRX7116052	SRR10418024	408170	human gut metagenome	Res2_Phage_F6	WGS	53a8be1194f5732698f94d027327473b;67dac3d11209284d128e3d168ba38aa5	ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/024/SRR10418024/SRR10418024_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/024/SRR10418024/SRR10418024_2.fastq.gz		
PRJNA588313	SAMN13241759	SRX7116051	SRR10418025	408170	human gut metagenome	Res2_Phage_F5	WGS	b05b7e625d5cfdf541efaf5a1119e83d;6f6254e34ca09a9562ed27284a20050c	ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/025/SRR10418025/SRR10418025_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/025/SRR10418025/SRR10418025_2.fastq.gz		
PRJNA588313	SAMN13241759	SRX7116050	SRR10418026	408170	human gut metagenome	Res2_Phage_F4	WGS	b0e8b4d883625c41aabd0479bbff7c0e;c10ec41b9b4ed84510d052f3762d9683	ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/026/SRR10418026/SRR10418026_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/026/SRR10418026/SRR10418026_2.fastq.gz		
PRJNA588313	SAMN13241759	SRX7116049	SRR10418027	408170	human gut metagenome	Res2_Phage_F3	WGS	df2271abbc04a99234fcb9be4fb43845;f24d773b5d0eaa2310be93fe12ee9983	ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/027/SRR10418027/SRR10418027_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/027/SRR10418027/SRR10418027_2.fastq.gz		
PRJNA588313	SAMN13241759	SRX7116048	SRR10418028	408170	human gut metagenome	Res2_Phage_F2	WGS	5c83f6fe86e10360f8bfa9ff557df84d;e1e6b64223e59d58c65176061c60dbaa	ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/028/SRR10418028/SRR10418028_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/028/SRR10418028/SRR10418028_2.fastq.gz		
PRJNA588313	SAMN13241759	SRX7116047	SRR10418029	408170	human gut metagenome	Res2_Phage_F1	WGS	eee8b0dee0f76aad8673aa1e4048f094;2248f308fdb895385b1594be3ccb9727	ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/029/SRR10418029/SRR10418029_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/029/SRR10418029/SRR10418029_2.fastq.gz		
