Sample	Unique Reads	Duplicate Reads
Res2_DNA_A1_1	36252566.0	7750337.0
Res2_DNA_A1_2	36563041.0	7439862.0
Res2_DNA_A2_1	29614481.0	16514009.0
Res2_DNA_A2_2	30389422.0	15739068.0
Res2_DNA_A3_1	36429783.0	13422346.0
Res2_DNA_A3_2	37148758.0	12703371.0
Res2_DNA_A4_1	33351538.0	10924672.0
Res2_DNA_A4_2	33710532.0	10565678.0
Res2_DNA_A5_1	35739605.0	10173893.0
Res2_DNA_A5_2	36204330.0	9709168.0
Res2_DNA_A6_1	36860740.0	9498508.0
Res2_DNA_A6_2	37285322.0	9073926.0
Res2_DNA_B1_1	41455063.0	4853141.0
Res2_DNA_B1_2	41626938.0	4681266.0
Res2_DNA_B2_1	30505633.0	14539135.0
Res2_DNA_B2_2	31003248.0	14041520.0
Res2_DNA_B3_1	35635500.0	11493840.0
Res2_DNA_B3_2	36387379.0	10741961.0
Res2_DNA_B4_1	37895881.0	5074282.0
Res2_DNA_B4_2	38108202.0	4861961.0
Res2_DNA_B5_1	38763041.0	5628358.0
Res2_DNA_B5_2	38968855.0	5422544.0
Res2_DNA_B6_1	39877273.0	5951803.0
Res2_DNA_B6_2	40149487.0	5679589.0
Res2_DNA_C1_1	33206913.0	7304972.0
Res2_DNA_C1_2	33487851.0	7024034.0
Res2_DNA_C2_1	38134364.0	7234408.0
Res2_DNA_C2_2	38596871.0	6771901.0
Res2_DNA_C3_1	23475663.0	5217067.0
Res2_DNA_C3_2	23673583.0	5019147.0
Res2_DNA_C4_1	33897968.0	8305803.0
Res2_DNA_C4_2	34211263.0	7992508.0
Res2_DNA_C5_1	21318790.0	21215951.0
Res2_DNA_C5_2	21751243.0	20783498.0
Res2_DNA_C6_1	33955348.0	9739997.0
Res2_DNA_C6_2	34412545.0	9282800.0
Res2_DNA_D1_1	38272358.0	2911729.0
Res2_DNA_D1_2	38384050.0	2800037.0
Res2_DNA_D2_1	37314641.0	8459532.0
Res2_DNA_D2_2	37722424.0	8051749.0
Res2_DNA_D3_1	39368123.0	7187929.0
Res2_DNA_D3_2	39715628.0	6840424.0
Res2_DNA_D4_1	43596200.0	6219887.0
Res2_DNA_D4_2	43844772.0	5971315.0
Res2_DNA_D5_1	36680439.0	3813860.0
Res2_DNA_D5_2	36936919.0	3557380.0
Res2_DNA_D6_1	37130010.0	5951881.0
Res2_DNA_D6_2	37476626.0	5605265.0
Res2_DNA_E1_1	37029030.0	9517544.0
Res2_DNA_E1_2	37357396.0	9189178.0
Res2_DNA_E2_1	41275370.0	4635804.0
Res2_DNA_E2_2	41376580.0	4534594.0
Res2_DNA_E3_1	37594247.0	6528668.0
Res2_DNA_E3_2	37744008.0	6378907.0
Res2_DNA_E4_1	35030773.0	6647439.0
Res2_DNA_E4_2	35142230.0	6535982.0
Res2_DNA_E5_1	38850357.0	7214099.0
Res2_DNA_E5_2	38977370.0	7087086.0
Res2_DNA_E6_1	34582414.0	8194067.0
Res2_DNA_E6_2	34916784.0	7859697.0
Res2_DNA_F1_1	37398924.0	6085836.0
Res2_DNA_F1_2	37496292.0	5988468.0
Res2_DNA_F2_1	40648473.0	5077661.0
Res2_DNA_F2_2	40841166.0	4884968.0
Res2_DNA_F3_1	33972045.0	20808656.0
Res2_DNA_F3_2	34065197.0	20715504.0
Res2_DNA_F4_1	40994532.0	4618857.0
Res2_DNA_F4_2	40986563.0	4626826.0
Res2_DNA_F5_1	45512824.0	5158596.0
Res2_DNA_F5_2	45705788.0	4965632.0
Res2_DNA_F6_1	43165623.0	5317661.0
Res2_DNA_F6_2	43332150.0	5151134.0
Res2_DNA_G1_1	32270211.0	13020691.0
Res2_DNA_G1_2	32516480.0	12774422.0
Res2_DNA_G2_1	34155288.0	11355217.0
Res2_DNA_G2_2	34801089.0	10709416.0
Res2_DNA_G3_1	33302893.0	11778367.0
Res2_DNA_G3_2	33804956.0	11276304.0
Res2_DNA_G4_1	16099848.0	27031700.0
Res2_DNA_G4_2	16546104.0	26585444.0
Res2_DNA_G5_1	29528459.0	24924204.0
Res2_DNA_G5_2	29562967.0	24889696.0
Res2_DNA_G6_1	23653380.0	20631428.0
Res2_DNA_G6_2	23767734.0	20517074.0
Res2_DNA_H1_1	29145490.0	39347004.0
Res2_DNA_H1_2	29424555.0	39067939.0
Res2_DNA_H2_1	39385406.0	34493755.0
Res2_DNA_H2_2	39709339.0	34169822.0
Res2_DNA_H3_1	33678648.0	13250186.0
Res2_DNA_H3_2	34642178.0	12286656.0
Res2_DNA_H4_1	32322730.0	12271607.0
Res2_DNA_H4_2	32827749.0	11766588.0
Res2_DNA_H5_1	32131815.0	10305482.0
Res2_DNA_H5_2	32340151.0	10097146.0
Res2_DNA_H6_1	37609751.0	8482152.0
Res2_DNA_H6_2	38140265.0	7951638.0
Res2_DNA_I1_1	37296549.0	3563602.0
Res2_DNA_I1_2	37577138.0	3283013.0
Res2_DNA_I2_1	62720508.0	13134863.0
Res2_DNA_I2_2	63420927.0	12434444.0
Res2_DNA_I3_1	35420336.0	9417338.0
Res2_DNA_I3_2	35802019.0	9035655.0
Res2_DNA_I4_1	35332002.0	7601056.0
Res2_DNA_I4_2	35555703.0	7377355.0
Res2_DNA_I5_1	41196075.0	5560164.0
Res2_DNA_I5_2	41554950.0	5201289.0
Res2_DNA_I6_1	37189559.0	4425061.0
Res2_DNA_I6_2	37537309.0	4077311.0
Res2_DNA_J1_1	37997203.0	8477274.0
Res2_DNA_J1_2	38607686.0	7866791.0
Res2_DNA_J2_1	32168738.0	12084676.0
Res2_DNA_J2_2	32652588.0	11600826.0
Res2_DNA_J4_1	35772176.0	5859130.0
Res2_DNA_J4_2	36204001.0	5427305.0
Res2_DNA_J5_1	36503652.0	6661893.0
Res2_DNA_J5_2	36867562.0	6297983.0
Res2_DNA_J6_1	38751054.0	5893163.0
