Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
Res2_DNA_A1_1	Res2_DNA_A1_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	44002903.0	0.0	126.0	44.0	82.386759674008	126.0	pass	fail	pass	pass	pass	pass	pass	pass	pass	pass	pass
Res2_DNA_A1_2	Res2_DNA_A1_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	44002903.0	0.0	126.0	44.0	83.09233619234718	126.0	pass	fail	warn	pass	pass	pass	pass	pass	pass	pass	pass
Res2_DNA_A2_1	Res2_DNA_A2_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	46128490.0	0.0	126.0	43.0	64.19997798352675	126.0	pass	pass	pass	pass	pass	pass	pass	pass	warn	pass	pass
Res2_DNA_A2_2	Res2_DNA_A2_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	46128490.0	0.0	126.0	43.0	65.87993930510898	126.0	pass	fail	warn	pass	pass	pass	pass	pass	warn	pass	pass
Res2_DNA_A3_1	Res2_DNA_A3_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	49852129.0	0.0	126.0	44.0	73.07568071942431	126.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
Res2_DNA_A3_2	Res2_DNA_A3_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	49852129.0	0.0	126.0	45.0	74.51789535875061	126.0	pass	fail	warn	pass	pass	pass	pass	pass	pass	pass	pass
Res2_DNA_A4_1	Res2_DNA_A4_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	44276210.0	0.0	126.0	43.0	75.32609035926066	126.0	pass	fail	pass	pass	pass	pass	pass	pass	pass	pass	pass
Res2_DNA_A4_2	Res2_DNA_A4_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	44276210.0	0.0	126.0	43.0	76.136893917151	126.0	pass	fail	warn	pass	pass	pass	pass	pass	pass	pass	pass
Res2_DNA_A5_1	Res2_DNA_A5_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	45913498.0	0.0	126.0	44.0	77.84117050332392	126.0	pass	fail	pass	pass	pass	pass	pass	pass	pass	pass	pass
Res2_DNA_A5_2	Res2_DNA_A5_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	45913498.0	0.0	126.0	44.0	78.85334638120479	126.0	pass	fail	warn	pass	pass	pass	pass	pass	pass	pass	pass
Res2_DNA_A6_1	Res2_DNA_A6_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	46359248.0	0.0	126.0	44.0	79.51108135465968	126.0	pass	fail	pass	pass	warn	pass	pass	pass	pass	pass	pass
Res2_DNA_A6_2	Res2_DNA_A6_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	46359248.0	0.0	126.0	44.0	80.4269336055164	126.0	pass	fail	warn	pass	pass	pass	pass	pass	pass	pass	pass
Res2_DNA_B1_1	Res2_DNA_B1_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	46308204.0	0.0	126.0	41.0	89.51990942347895	126.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
Res2_DNA_B1_2	Res2_DNA_B1_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	46308204.0	0.0	126.0	41.0	89.89106448518893	126.0	pass	fail	warn	pass	pass	pass	pass	pass	pass	pass	pass
Res2_DNA_B2_1	Res2_DNA_B2_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	45044768.0	0.0	126.0	42.0	67.7229197458418	126.0	pass	pass	pass	pass	pass	pass	pass	pass	warn	pass	pass
Res2_DNA_B2_2	Res2_DNA_B2_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	45044768.0	0.0	126.0	42.0	68.82763368582212	126.0	pass	fail	warn	pass	pass	pass	pass	pass	warn	pass	pass
Res2_DNA_B3_1	Res2_DNA_B3_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	47129340.0	0.0	126.0	42.0	75.6121344145509	126.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
Res2_DNA_B3_2	Res2_DNA_B3_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	47129340.0	0.0	126.0	42.0	77.20748571968275	126.0	pass	fail	warn	pass	pass	pass	pass	pass	pass	pass	pass
Res2_DNA_B4_1	Res2_DNA_B4_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	42970163.0	0.0	126.0	44.0	88.19114944758702	126.0	pass	fail	pass	pass	pass	pass	pass	pass	pass	pass	pass
Res2_DNA_B4_2	Res2_DNA_B4_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	42970163.0	0.0	126.0	44.0	88.68526068082478	126.0	pass	fail	warn	pass	pass	pass	pass	pass	pass	pass	pass
Res2_DNA_B5_1	Res2_DNA_B5_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	44391399.0	0.0	126.0	43.0	87.32106188742513	126.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
Res2_DNA_B5_2	Res2_DNA_B5_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	44391399.0	0.0	126.0	43.0	87.78469485243897	126.0	pass	fail	warn	pass	pass	pass	pass	pass	pass	pass	pass
Res2_DNA_B6_1	Res2_DNA_B6_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	45829076.0	0.0	126.0	42.0	87.01304019190206	126.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
Res2_DNA_B6_2	Res2_DNA_B6_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	45829076.0	0.0	126.0	42.0	87.607017503664	126.0	pass	fail	warn	pass	pass	pass	pass	pass	pass	pass	pass
Res2_DNA_C1_1	Res2_DNA_C1_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	40511885.0	0.0	126.0	40.0	81.96832213568331	126.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
Res2_DNA_C1_2	Res2_DNA_C1_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	40511885.0	0.0	126.0	40.0	82.66179287994284	126.0	pass	fail	fail	pass	pass	pass	pass	pass	pass	pass	pass
Res2_DNA_C2_1	Res2_DNA_C2_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	45368772.0	0.0	126.0	41.0	84.05421036515841	126.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
Res2_DNA_C2_2	Res2_DNA_C2_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	45368772.0	0.0	126.0	42.0	85.07365123833276	126.0	pass	fail	fail	pass	pass	pass	pass	pass	pass	pass	pass
Res2_DNA_C3_1	Res2_DNA_C3_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	28692730.0	0.0	30-126	43.0	81.81745940976435	123.88614453905222	pass	pass		pass	pass	pass	pass	warn	pass	pass	pass
Res2_DNA_C3_2	Res2_DNA_C3_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	28692730.0	0.0	30-126	43.0	82.50725069773014	121.24549033849341	pass	pass		pass	pass	pass	pass	warn	pass	pass	pass
Res2_DNA_C4_1	Res2_DNA_C4_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	42203771.0	0.0	126.0	42.0	80.31976077816483	126.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
Res2_DNA_C4_2	Res2_DNA_C4_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	42203771.0	0.0	126.0	42.0	81.06209793555796	126.0	pass	fail	fail	pass	pass	pass	pass	pass	pass	pass	pass
