Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
Res2_DNA_A1_1	17.613240325991995	44.0	126.0	9.090909090909092	44002903.0
Res2_DNA_A1_2	16.907663807652824	44.0	126.0	9.090909090909092	44002903.0
Res2_DNA_A2_1	35.80002201647325	43.0	126.0	0.0	46128490.0
Res2_DNA_A2_2	34.12006069489102	43.0	126.0	9.090909090909092	46128490.0
Res2_DNA_A3_1	26.924319280575688	44.0	126.0	0.0	49852129.0
Res2_DNA_A3_2	25.482104641249393	45.0	126.0	9.090909090909092	49852129.0
Res2_DNA_A4_1	24.67390964073934	43.0	126.0	9.090909090909092	44276210.0
Res2_DNA_A4_2	23.863106082849	43.0	126.0	9.090909090909092	44276210.0
Res2_DNA_A5_1	22.158829496676077	44.0	126.0	9.090909090909092	45913498.0
Res2_DNA_A5_2	21.146653618795213	44.0	126.0	9.090909090909092	45913498.0
Res2_DNA_A6_1	20.48891864534032	44.0	126.0	9.090909090909092	46359248.0
Res2_DNA_A6_2	19.573066394483604	44.0	126.0	9.090909090909092	46359248.0
Res2_DNA_B1_1	10.48009057652105	41.0	126.0	0.0	46308204.0
Res2_DNA_B1_2	10.108935514811066	41.0	126.0	9.090909090909092	46308204.0
Res2_DNA_B2_1	32.27708025415819	42.0	126.0	0.0	45044768.0
Res2_DNA_B2_2	31.17236631417788	42.0	126.0	9.090909090909092	45044768.0
Res2_DNA_B3_1	24.387865585449106	42.0	126.0	0.0	47129340.0
Res2_DNA_B3_2	22.79251428031725	42.0	126.0	9.090909090909092	47129340.0
Res2_DNA_B4_1	11.808850552412977	44.0	126.0	9.090909090909092	42970163.0
Res2_DNA_B4_2	11.314739319175217	44.0	126.0	9.090909090909092	42970163.0
Res2_DNA_B5_1	12.678938112574869	43.0	126.0	0.0	44391399.0
Res2_DNA_B5_2	12.215305147561025	43.0	126.0	9.090909090909092	44391399.0
Res2_DNA_B6_1	12.986959808097936	42.0	126.0	0.0	45829076.0
Res2_DNA_B6_2	12.392982496336003	42.0	126.0	9.090909090909092	45829076.0
Res2_DNA_C1_1	18.03167786431669	40.0	126.0	0.0	40511885.0
Res2_DNA_C1_2	17.338207120057163	40.0	126.0	18.181818181818183	40511885.0
Res2_DNA_C2_1	15.945789634841589	41.0	126.0	0.0	45368772.0
Res2_DNA_C2_2	14.926348761667242	42.0	126.0	18.181818181818183	45368772.0
Res2_DNA_C3_1	18.182540590235647	43.0	123.88614453905222	0.0	28692730.0
Res2_DNA_C3_2	17.492749302269857	43.0	121.24549033849341	0.0	28692730.0
Res2_DNA_C4_1	19.680239221835166	42.0	126.0	0.0	42203771.0
Res2_DNA_C4_2	18.937902064442042	42.0	126.0	18.181818181818183	42203771.0
Res2_DNA_C5_1	49.87911376808396	38.0	126.0	0.0	42534741.0
Res2_DNA_C5_2	48.86240692123648	38.0	126.0	18.181818181818183	42534741.0
Res2_DNA_C6_1	22.2906973529482	42.0	126.0	0.0	43695345.0
Res2_DNA_C6_2	21.24436847432176	42.0	126.0	18.181818181818183	43695345.0
Res2_DNA_D1_1	7.070036439811005	45.0	126.0	9.090909090909092	41184087.0
Res2_DNA_D1_2	6.798834260624233	45.0	126.0	9.090909090909092	41184087.0
Res2_DNA_D2_1	18.481016176988916	46.0	126.0	9.090909090909092	45774173.0
Res2_DNA_D2_2	17.590157285051575	46.0	126.0	18.181818181818183	45774173.0
Res2_DNA_D3_1	15.439302059130839	47.0	126.0	0.0	46556052.0
Res2_DNA_D3_2	14.692878784796875	47.0	126.0	18.181818181818183	46556052.0
Res2_DNA_D4_1	12.485700773922048	45.0	126.0	0.0	49816087.0
Res2_DNA_D4_2	11.986722249756085	45.0	126.0	18.181818181818183	49816087.0
Res2_DNA_D5_1	9.418265833655695	47.0	126.0	9.090909090909092	40494299.0
Res2_DNA_D5_2	8.784891628080771	47.0	126.0	18.181818181818183	40494299.0
Res2_DNA_D6_1	13.815273547472458	45.0	126.0	0.0	43081891.0
Res2_DNA_D6_2	13.010723598599228	46.0	126.0	9.090909090909092	43081891.0
Res2_DNA_E1_1	20.44735684514579	45.0	126.0	0.0	46546574.0
Res2_DNA_E1_2	19.74190059372397	45.0	126.0	9.090909090909092	46546574.0
Res2_DNA_E2_1	10.09733330884707	47.0	126.0	9.090909090909092	45911174.0
Res2_DNA_E2_2	9.876886628731256	47.0	126.0	18.181818181818183	45911174.0
Res2_DNA_E3_1	14.796548821157884	47.0	126.0	9.090909090909092	44122915.0
Res2_DNA_E3_2	14.457130956841823	47.0	126.0	9.090909090909092	44122915.0
Res2_DNA_E4_1	15.949435910568852	47.0	126.0	9.090909090909092	41678212.0
Res2_DNA_E4_2	15.682012798566333	47.0	126.0	9.090909090909092	41678212.0
Res2_DNA_E5_1	15.660881392071019	45.0	126.0	0.0	46064456.0
Res2_DNA_E5_2	15.385152916085502	45.0	126.0	9.090909090909092	46064456.0
Res2_DNA_E6_1	19.15554292089	48.0	126.0	9.090909090909092	42776481.0
Res2_DNA_E6_2	18.37387509684099	48.0	126.0	9.090909090909092	42776481.0
Res2_DNA_F1_1	13.995332437957032	45.0	126.0	9.090909090909092	43484760.0
Res2_DNA_F1_2	13.771419955527335	45.0	126.0	9.090909090909092	43484760.0
Res2_DNA_F2_1	11.104506079543825	47.0	126.0	9.090909090909092	45726134.0
Res2_DNA_F2_2	10.683099893260959	47.0	126.0	9.090909090909092	45726134.0
Res2_DNA_F3_1	37.98537800109686	38.0	126.0	9.090909090909092	54780701.0
Res2_DNA_F3_2	37.81533324155899	38.0	126.0	18.181818181818183	54780701.0
Res2_DNA_F4_1	10.126100897491582	48.0	126.0	9.090909090909092	45613389.0
Res2_DNA_F4_2	10.143571083573377	48.0	126.0	9.090909090909092	45613389.0
Res2_DNA_F5_1	10.180485858336112	47.0	126.0	0.0	50671420.0
Res2_DNA_F5_2	9.799670756136365	47.0	126.0	18.181818181818183	50671420.0
Res2_DNA_F6_1	10.968031145370645	49.0	126.0	0.0	48483284.0
Res2_DNA_F6_2	10.624556960551814	49.0	126.0	18.181818181818183	48483284.0
Res2_DNA_G1_1	28.749023055726113	45.0	126.0	0.0	45290902.0
Res2_DNA_G1_2	28.205272453001328	45.0	126.0	9.090909090909092	45290902.0
Res2_DNA_G2_1	24.95076103036176	43.0	126.0	0.0	45510505.0
Res2_DNA_G2_2	23.53174673051241	43.0	126.0	9.090909090909092	45510505.0
Res2_DNA_G3_1	26.126969869217803	44.0	126.0	0.0	45081260.0
Res2_DNA_G3_2	25.013285962227073	44.0	126.0	9.090909090909092	45081260.0
Res2_DNA_G4_1	62.67268902998608	45.0	126.0	9.090909090909092	43131548.0
Res2_DNA_G4_2	61.6380490219779	44.0	126.0	18.181818181818183	43131548.0
Res2_DNA_G5_1	45.77224089258354	44.0	126.0	0.0	54452663.0
Res2_DNA_G5_2	45.708869045971134	44.0	126.0	18.181818181818183	54452663.0
Res2_DNA_G6_1	46.58805112703909	44.0	126.0	0.0	44284808.0
Res2_DNA_G6_2	46.32982535891175	44.0	126.0	18.181818181818183	44284808.0
Res2_DNA_H1_1	57.447177673045886	44.0	126.0	9.090909090909092	68492494.0
Res2_DNA_H1_2	57.03973874289159	44.0	126.0	18.181818181818183	68492494.0
Res2_DNA_H2_1	46.68942545479112	46.0	126.0	0.0	73879161.0
Res2_DNA_H2_2	46.25096110741826	46.0	126.0	18.181818181818183	73879161.0
Res2_DNA_H3_1	28.234638951226458	45.0	126.0	0.0	46928834.0
Res2_DNA_H3_2	26.181465886026132	45.0	126.0	9.090909090909092	46928834.0
Res2_DNA_H4_1	27.518309771759135	44.0	126.0	0.0	44594337.0
Res2_DNA_H4_2	26.38583636935536	44.0	126.0	9.090909090909092	44594337.0
Res2_DNA_H5_1	24.28402166567392	45.0	126.0	9.090909090909092	42437297.0
Res2_DNA_H5_2	23.79309438509746	45.0	126.0	9.090909090909092	42437297.0
Res2_DNA_H6_1	18.402694663187418	45.0	126.0	0.0	46091903.0
Res2_DNA_H6_2	17.25170385279283	45.0	126.0	9.090909090909092	46091903.0
Res2_DNA_I1_1	8.721461327728363	46.0	126.0	9.090909090909092	40860151.0
Res2_DNA_I1_2	8.03475692350473	46.0	126.0	9.090909090909092	40860151.0
Res2_DNA_I2_1	17.31566699212847	47.0	126.0	0.0	75855371.0
Res2_DNA_I2_2	16.392305600010033	47.0	126.0	18.181818181818183	75855371.0
Res2_DNA_I3_1	21.00318213419851	44.0	126.0	0.0	44837674.0
Res2_DNA_I3_2	20.1519263443287	44.0	126.0	9.090909090909092	44837674.0
Res2_DNA_I4_1	17.704438113163548	44.0	126.0	0.0	42933058.0
Res2_DNA_I4_2	17.183391264892194	44.0	126.0	9.090909090909092	42933058.0
Res2_DNA_I5_1	11.891813364025623	47.0	126.0	9.090909090909092	46756239.0
