Module	Section	Sample Name	Source
FastQC	all_sections	Res2_DNA_E2_2	/project/6003890/ssutclif/temp_storage/Third_Aim/1_QCReads/6_PreQC_FASTQC/DNA/Res2_DNA_E2_2_fastqc.zip
FastQC	all_sections	Res2_DNA_C6_2	/project/6003890/ssutclif/temp_storage/Third_Aim/1_QCReads/6_PreQC_FASTQC/DNA/Res2_DNA_C6_2_fastqc.zip
FastQC	all_sections	Res2_DNA_C2_1	/project/6003890/ssutclif/temp_storage/Third_Aim/1_QCReads/6_PreQC_FASTQC/DNA/Res2_DNA_C2_1_fastqc.zip
FastQC	all_sections	Res2_DNA_B6_1	/project/6003890/ssutclif/temp_storage/Third_Aim/1_QCReads/6_PreQC_FASTQC/DNA/Res2_DNA_B6_1_fastqc.zip
FastQC	all_sections	Res2_DNA_H4_2	/project/6003890/ssutclif/temp_storage/Third_Aim/1_QCReads/6_PreQC_FASTQC/DNA/Res2_DNA_H4_2_fastqc.zip
FastQC	all_sections	Res2_DNA_D5_2	/project/6003890/ssutclif/temp_storage/Third_Aim/1_QCReads/6_PreQC_FASTQC/DNA/Res2_DNA_D5_2_fastqc.zip
FastQC	all_sections	Res2_DNA_F2_2	/project/6003890/ssutclif/temp_storage/Third_Aim/1_QCReads/6_PreQC_FASTQC/DNA/Res2_DNA_F2_2_fastqc.zip
FastQC	all_sections	Res2_DNA_C5_1	/project/6003890/ssutclif/temp_storage/Third_Aim/1_QCReads/6_PreQC_FASTQC/DNA/Res2_DNA_C5_1_fastqc.zip
FastQC	all_sections	Res2_DNA_B2_2	/project/6003890/ssutclif/temp_storage/Third_Aim/1_QCReads/6_PreQC_FASTQC/DNA/Res2_DNA_B2_2_fastqc.zip
FastQC	all_sections	Res2_DNA_F6_2	/project/6003890/ssutclif/temp_storage/Third_Aim/1_QCReads/6_PreQC_FASTQC/DNA/Res2_DNA_F6_2_fastqc.zip
FastQC	all_sections	Res2_DNA_A2_1	/project/6003890/ssutclif/temp_storage/Third_Aim/1_QCReads/6_PreQC_FASTQC/DNA/Res2_DNA_A2_1_fastqc.zip
FastQC	all_sections	Res2_DNA_F4_1	/project/6003890/ssutclif/temp_storage/Third_Aim/1_QCReads/6_PreQC_FASTQC/DNA/Res2_DNA_F4_1_fastqc.zip
FastQC	all_sections	Res2_DNA_J5_1	/project/6003890/ssutclif/temp_storage/Third_Aim/1_QCReads/6_PreQC_FASTQC/DNA/Res2_DNA_J5_1_fastqc.zip
FastQC	all_sections	Res2_DNA_G5_1	/project/6003890/ssutclif/temp_storage/Third_Aim/1_QCReads/6_PreQC_FASTQC/DNA/Res2_DNA_G5_1_fastqc.zip
FastQC	all_sections	Res2_DNA_E4_1	/project/6003890/ssutclif/temp_storage/Third_Aim/1_QCReads/6_PreQC_FASTQC/DNA/Res2_DNA_E4_1_fastqc.zip
FastQC	all_sections	Res2_DNA_E6_1	/project/6003890/ssutclif/temp_storage/Third_Aim/1_QCReads/6_PreQC_FASTQC/DNA/Res2_DNA_E6_1_fastqc.zip
FastQC	all_sections	Res2_DNA_I1_2	/project/6003890/ssutclif/temp_storage/Third_Aim/1_QCReads/6_PreQC_FASTQC/DNA/Res2_DNA_I1_2_fastqc.zip
FastQC	all_sections	Res2_DNA_H3_1	/project/6003890/ssutclif/temp_storage/Third_Aim/1_QCReads/6_PreQC_FASTQC/DNA/Res2_DNA_H3_1_fastqc.zip
FastQC	all_sections	Res2_DNA_A3_1	/project/6003890/ssutclif/temp_storage/Third_Aim/1_QCReads/6_PreQC_FASTQC/DNA/Res2_DNA_A3_1_fastqc.zip
FastQC	all_sections	Res2_DNA_J5_2	/project/6003890/ssutclif/temp_storage/Third_Aim/1_QCReads/6_PreQC_FASTQC/DNA/Res2_DNA_J5_2_fastqc.zip
FastQC	all_sections	Res2_DNA_E5_1	/project/6003890/ssutclif/temp_storage/Third_Aim/1_QCReads/6_PreQC_FASTQC/DNA/Res2_DNA_E5_1_fastqc.zip
FastQC	all_sections	Res2_DNA_C6_1	/project/6003890/ssutclif/temp_storage/Third_Aim/1_QCReads/6_PreQC_FASTQC/DNA/Res2_DNA_C6_1_fastqc.zip
FastQC	all_sections	Res2_DNA_E5_2	/project/6003890/ssutclif/temp_storage/Third_Aim/1_QCReads/6_PreQC_FASTQC/DNA/Res2_DNA_E5_2_fastqc.zip
FastQC	all_sections	Res2_DNA_A4_1	/project/6003890/ssutclif/temp_storage/Third_Aim/1_QCReads/6_PreQC_FASTQC/DNA/Res2_DNA_A4_1_fastqc.zip
FastQC	all_sections	Res2_DNA_A6_1	/project/6003890/ssutclif/temp_storage/Third_Aim/1_QCReads/6_PreQC_FASTQC/DNA/Res2_DNA_A6_1_fastqc.zip
FastQC	all_sections	Res2_DNA_F1_2	/project/6003890/ssutclif/temp_storage/Third_Aim/1_QCReads/6_PreQC_FASTQC/DNA/Res2_DNA_F1_2_fastqc.zip
FastQC	all_sections	Res2_DNA_F5_1	/project/6003890/ssutclif/temp_storage/Third_Aim/1_QCReads/6_PreQC_FASTQC/DNA/Res2_DNA_F5_1_fastqc.zip
FastQC	all_sections	Res2_DNA_C3_1	/project/6003890/ssutclif/temp_storage/Third_Aim/1_QCReads/6_PreQC_FASTQC/DNA/Res2_DNA_C3_1_fastqc.zip
FastQC	all_sections	Res2_DNA_C5_2	/project/6003890/ssutclif/temp_storage/Third_Aim/1_QCReads/6_PreQC_FASTQC/DNA/Res2_DNA_C5_2_fastqc.zip
FastQC	all_sections	Res2_DNA_C4_2	/project/6003890/ssutclif/temp_storage/Third_Aim/1_QCReads/6_PreQC_FASTQC/DNA/Res2_DNA_C4_2_fastqc.zip
FastQC	all_sections	Res2_DNA_G3_1	/project/6003890/ssutclif/temp_storage/Third_Aim/1_QCReads/6_PreQC_FASTQC/DNA/Res2_DNA_G3_1_fastqc.zip
FastQC	all_sections	Res2_DNA_D4_2	/project/6003890/ssutclif/temp_storage/Third_Aim/1_QCReads/6_PreQC_FASTQC/DNA/Res2_DNA_D4_2_fastqc.zip
FastQC	all_sections	Res2_DNA_H5_1	/project/6003890/ssutclif/temp_storage/Third_Aim/1_QCReads/6_PreQC_FASTQC/DNA/Res2_DNA_H5_1_fastqc.zip
FastQC	all_sections	Res2_DNA_E3_2	/project/6003890/ssutclif/temp_storage/Third_Aim/1_QCReads/6_PreQC_FASTQC/DNA/Res2_DNA_E3_2_fastqc.zip
FastQC	all_sections	Res2_DNA_H6_1	/project/6003890/ssutclif/temp_storage/Third_Aim/1_QCReads/6_PreQC_FASTQC/DNA/Res2_DNA_H6_1_fastqc.zip
FastQC	all_sections	Res2_DNA_H6_2	/project/6003890/ssutclif/temp_storage/Third_Aim/1_QCReads/6_PreQC_FASTQC/DNA/Res2_DNA_H6_2_fastqc.zip
FastQC	all_sections	Res2_DNA_D3_1	/project/6003890/ssutclif/temp_storage/Third_Aim/1_QCReads/6_PreQC_FASTQC/DNA/Res2_DNA_D3_1_fastqc.zip
FastQC	all_sections	Res2_DNA_B3_2	/project/6003890/ssutclif/temp_storage/Third_Aim/1_QCReads/6_PreQC_FASTQC/DNA/Res2_DNA_B3_2_fastqc.zip
FastQC	all_sections	Res2_DNA_A2_2	/project/6003890/ssutclif/temp_storage/Third_Aim/1_QCReads/6_PreQC_FASTQC/DNA/Res2_DNA_A2_2_fastqc.zip
FastQC	all_sections	Res2_DNA_H2_1	/project/6003890/ssutclif/temp_storage/Third_Aim/1_QCReads/6_PreQC_FASTQC/DNA/Res2_DNA_H2_1_fastqc.zip
FastQC	all_sections	Res2_DNA_I1_1	/project/6003890/ssutclif/temp_storage/Third_Aim/1_QCReads/6_PreQC_FASTQC/DNA/Res2_DNA_I1_1_fastqc.zip
FastQC	all_sections	Res2_DNA_I5_2	/project/6003890/ssutclif/temp_storage/Third_Aim/1_QCReads/6_PreQC_FASTQC/DNA/Res2_DNA_I5_2_fastqc.zip
FastQC	all_sections	Res2_DNA_D3_2	/project/6003890/ssutclif/temp_storage/Third_Aim/1_QCReads/6_PreQC_FASTQC/DNA/Res2_DNA_D3_2_fastqc.zip
FastQC	all_sections	Res2_DNA_F5_2	/project/6003890/ssutclif/temp_storage/Third_Aim/1_QCReads/6_PreQC_FASTQC/DNA/Res2_DNA_F5_2_fastqc.zip
FastQC	all_sections	Res2_DNA_H1_1	/project/6003890/ssutclif/temp_storage/Third_Aim/1_QCReads/6_PreQC_FASTQC/DNA/Res2_DNA_H1_1_fastqc.zip
FastQC	all_sections	Res2_DNA_D2_1	/project/6003890/ssutclif/temp_storage/Third_Aim/1_QCReads/6_PreQC_FASTQC/DNA/Res2_DNA_D2_1_fastqc.zip
FastQC	all_sections	Res2_DNA_C3_2	/project/6003890/ssutclif/temp_storage/Third_Aim/1_QCReads/6_PreQC_FASTQC/DNA/Res2_DNA_C3_2_fastqc.zip
FastQC	all_sections	Res2_DNA_G2_2	/project/6003890/ssutclif/temp_storage/Third_Aim/1_QCReads/6_PreQC_FASTQC/DNA/Res2_DNA_G2_2_fastqc.zip
FastQC	all_sections	Res2_DNA_D1_1	/project/6003890/ssutclif/temp_storage/Third_Aim/1_QCReads/6_PreQC_FASTQC/DNA/Res2_DNA_D1_1_fastqc.zip
FastQC	all_sections	Res2_DNA_I5_1	/project/6003890/ssutclif/temp_storage/Third_Aim/1_QCReads/6_PreQC_FASTQC/DNA/Res2_DNA_I5_1_fastqc.zip
FastQC	all_sections	Res2_DNA_A1_1	/project/6003890/ssutclif/temp_storage/Third_Aim/1_QCReads/6_PreQC_FASTQC/DNA/Res2_DNA_A1_1_fastqc.zip
FastQC	all_sections	Res2_DNA_H3_2	/project/6003890/ssutclif/temp_storage/Third_Aim/1_QCReads/6_PreQC_FASTQC/DNA/Res2_DNA_H3_2_fastqc.zip
FastQC	all_sections	Res2_DNA_J2_2	/project/6003890/ssutclif/temp_storage/Third_Aim/1_QCReads/6_PreQC_FASTQC/DNA/Res2_DNA_J2_2_fastqc.zip
FastQC	all_sections	Res2_DNA_J6_2	/project/6003890/ssutclif/temp_storage/Third_Aim/1_QCReads/6_PreQC_FASTQC/DNA/Res2_DNA_J6_2_fastqc.zip
FastQC	all_sections	Res2_DNA_G1_2	/project/6003890/ssutclif/temp_storage/Third_Aim/1_QCReads/6_PreQC_FASTQC/DNA/Res2_DNA_G1_2_fastqc.zip
FastQC	all_sections	Res2_DNA_F4_2	/project/6003890/ssutclif/temp_storage/Third_Aim/1_QCReads/6_PreQC_FASTQC/DNA/Res2_DNA_F4_2_fastqc.zip
FastQC	all_sections	Res2_DNA_C2_2	/project/6003890/ssutclif/temp_storage/Third_Aim/1_QCReads/6_PreQC_FASTQC/DNA/Res2_DNA_C2_2_fastqc.zip
FastQC	all_sections	Res2_DNA_A6_2	/project/6003890/ssutclif/temp_storage/Third_Aim/1_QCReads/6_PreQC_FASTQC/DNA/Res2_DNA_A6_2_fastqc.zip
FastQC	all_sections	Res2_DNA_F1_1	/project/6003890/ssutclif/temp_storage/Third_Aim/1_QCReads/6_PreQC_FASTQC/DNA/Res2_DNA_F1_1_fastqc.zip
FastQC	all_sections	Res2_DNA_G4_1	/project/6003890/ssutclif/temp_storage/Third_Aim/1_QCReads/6_PreQC_FASTQC/DNA/Res2_DNA_G4_1_fastqc.zip
FastQC	all_sections	Res2_DNA_I4_2	/project/6003890/ssutclif/temp_storage/Third_Aim/1_QCReads/6_PreQC_FASTQC/DNA/Res2_DNA_I4_2_fastqc.zip
FastQC	all_sections	Res2_DNA_G5_2	/project/6003890/ssutclif/temp_storage/Third_Aim/1_QCReads/6_PreQC_FASTQC/DNA/Res2_DNA_G5_2_fastqc.zip
FastQC	all_sections	Res2_DNA_D5_1	/project/6003890/ssutclif/temp_storage/Third_Aim/1_QCReads/6_PreQC_FASTQC/DNA/Res2_DNA_D5_1_fastqc.zip
FastQC	all_sections	Res2_DNA_D1_2	/project/6003890/ssutclif/temp_storage/Third_Aim/1_QCReads/6_PreQC_FASTQC/DNA/Res2_DNA_D1_2_fastqc.zip
FastQC	all_sections	Res2_DNA_D2_2	/project/6003890/ssutclif/temp_storage/Third_Aim/1_QCReads/6_PreQC_FASTQC/DNA/Res2_DNA_D2_2_fastqc.zip
FastQC	all_sections	Res2_DNA_I6_2	/project/6003890/ssutclif/temp_storage/Third_Aim/1_QCReads/6_PreQC_FASTQC/DNA/Res2_DNA_I6_2_fastqc.zip
FastQC	all_sections	Res2_DNA_B4_2	/project/6003890/ssutclif/temp_storage/Third_Aim/1_QCReads/6_PreQC_FASTQC/DNA/Res2_DNA_B4_2_fastqc.zip
FastQC	all_sections	Res2_DNA_J2_1	/project/6003890/ssutclif/temp_storage/Third_Aim/1_QCReads/6_PreQC_FASTQC/DNA/Res2_DNA_J2_1_fastqc.zip
FastQC	all_sections	Res2_DNA_C1_1	/project/6003890/ssutclif/temp_storage/Third_Aim/1_QCReads/6_PreQC_FASTQC/DNA/Res2_DNA_C1_1_fastqc.zip
FastQC	all_sections	Res2_DNA_F3_2	/project/6003890/ssutclif/temp_storage/Third_Aim/1_QCReads/6_PreQC_FASTQC/DNA/Res2_DNA_F3_2_fastqc.zip
FastQC	all_sections	Res2_DNA_E4_2	/project/6003890/ssutclif/temp_storage/Third_Aim/1_QCReads/6_PreQC_FASTQC/DNA/Res2_DNA_E4_2_fastqc.zip
FastQC	all_sections	Res2_DNA_G4_2	/project/6003890/ssutclif/temp_storage/Third_Aim/1_QCReads/6_PreQC_FASTQC/DNA/Res2_DNA_G4_2_fastqc.zip
FastQC	all_sections	Res2_DNA_J6_1	/project/6003890/ssutclif/temp_storage/Third_Aim/1_QCReads/6_PreQC_FASTQC/DNA/Res2_DNA_J6_1_fastqc.zip
FastQC	all_sections	Res2_DNA_H5_2	/project/6003890/ssutclif/temp_storage/Third_Aim/1_QCReads/6_PreQC_FASTQC/DNA/Res2_DNA_H5_2_fastqc.zip
FastQC	all_sections	Res2_DNA_E2_1	/project/6003890/ssutclif/temp_storage/Third_Aim/1_QCReads/6_PreQC_FASTQC/DNA/Res2_DNA_E2_1_fastqc.zip
FastQC	all_sections	Res2_DNA_H2_2	/project/6003890/ssutclif/temp_storage/Third_Aim/1_QCReads/6_PreQC_FASTQC/DNA/Res2_DNA_H2_2_fastqc.zip
FastQC	all_sections	Res2_DNA_C1_2	/project/6003890/ssutclif/temp_storage/Third_Aim/1_QCReads/6_PreQC_FASTQC/DNA/Res2_DNA_C1_2_fastqc.zip
FastQC	all_sections	Res2_DNA_G3_2	/project/6003890/ssutclif/temp_storage/Third_Aim/1_QCReads/6_PreQC_FASTQC/DNA/Res2_DNA_G3_2_fastqc.zip
FastQC	all_sections	Res2_DNA_B2_1	/project/6003890/ssutclif/temp_storage/Third_Aim/1_QCReads/6_PreQC_FASTQC/DNA/Res2_DNA_B2_1_fastqc.zip
FastQC	all_sections	Res2_DNA_D6_2	/project/6003890/ssutclif/temp_storage/Third_Aim/1_QCReads/6_PreQC_FASTQC/DNA/Res2_DNA_D6_2_fastqc.zip
FastQC	all_sections	Res2_DNA_J1_1	/project/6003890/ssutclif/temp_storage/Third_Aim/1_QCReads/6_PreQC_FASTQC/DNA/Res2_DNA_J1_1_fastqc.zip
FastQC	all_sections	Res2_DNA_B1_2	/project/6003890/ssutclif/temp_storage/Third_Aim/1_QCReads/6_PreQC_FASTQC/DNA/Res2_DNA_B1_2_fastqc.zip
FastQC	all_sections	Res2_DNA_B4_1	/project/6003890/ssutclif/temp_storage/Third_Aim/1_QCReads/6_PreQC_FASTQC/DNA/Res2_DNA_B4_1_fastqc.zip
FastQC	all_sections	Res2_DNA_B1_1	/project/6003890/ssutclif/temp_storage/Third_Aim/1_QCReads/6_PreQC_FASTQC/DNA/Res2_DNA_B1_1_fastqc.zip
FastQC	all_sections	Res2_DNA_E1_1	/project/6003890/ssutclif/temp_storage/Third_Aim/1_QCReads/6_PreQC_FASTQC/DNA/Res2_DNA_E1_1_fastqc.zip
FastQC	all_sections	Res2_DNA_G6_2	/project/6003890/ssutclif/temp_storage/Third_Aim/1_QCReads/6_PreQC_FASTQC/DNA/Res2_DNA_G6_2_fastqc.zip
FastQC	all_sections	Res2_DNA_F6_1	/project/6003890/ssutclif/temp_storage/Third_Aim/1_QCReads/6_PreQC_FASTQC/DNA/Res2_DNA_F6_1_fastqc.zip
FastQC	all_sections	Res2_DNA_I3_2	/project/6003890/ssutclif/temp_storage/Third_Aim/1_QCReads/6_PreQC_FASTQC/DNA/Res2_DNA_I3_2_fastqc.zip
FastQC	all_sections	Res2_DNA_E1_2	/project/6003890/ssutclif/temp_storage/Third_Aim/1_QCReads/6_PreQC_FASTQC/DNA/Res2_DNA_E1_2_fastqc.zip
FastQC	all_sections	Res2_DNA_B6_2	/project/6003890/ssutclif/temp_storage/Third_Aim/1_QCReads/6_PreQC_FASTQC/DNA/Res2_DNA_B6_2_fastqc.zip
FastQC	all_sections	Res2_DNA_I6_1	/project/6003890/ssutclif/temp_storage/Third_Aim/1_QCReads/6_PreQC_FASTQC/DNA/Res2_DNA_I6_1_fastqc.zip
FastQC	all_sections	Res2_DNA_F2_1	/project/6003890/ssutclif/temp_storage/Third_Aim/1_QCReads/6_PreQC_FASTQC/DNA/Res2_DNA_F2_1_fastqc.zip
FastQC	all_sections	Res2_DNA_I2_2	/project/6003890/ssutclif/temp_storage/Third_Aim/1_QCReads/6_PreQC_FASTQC/DNA/Res2_DNA_I2_2_fastqc.zip
FastQC	all_sections	Res2_DNA_J1_2	/project/6003890/ssutclif/temp_storage/Third_Aim/1_QCReads/6_PreQC_FASTQC/DNA/Res2_DNA_J1_2_fastqc.zip
FastQC	all_sections	Res2_DNA_G2_1	/project/6003890/ssutclif/temp_storage/Third_Aim/1_QCReads/6_PreQC_FASTQC/DNA/Res2_DNA_G2_1_fastqc.zip
FastQC	all_sections	Res2_DNA_H1_2	/project/6003890/ssutclif/temp_storage/Third_Aim/1_QCReads/6_PreQC_FASTQC/DNA/Res2_DNA_H1_2_fastqc.zip
FastQC	all_sections	Res2_DNA_G1_1	/project/6003890/ssutclif/temp_storage/Third_Aim/1_QCReads/6_PreQC_FASTQC/DNA/Res2_DNA_G1_1_fastqc.zip
FastQC	all_sections	Res2_DNA_A1_2	/project/6003890/ssutclif/temp_storage/Third_Aim/1_QCReads/6_PreQC_FASTQC/DNA/Res2_DNA_A1_2_fastqc.zip
FastQC	all_sections	Res2_DNA_I2_1	/project/6003890/ssutclif/temp_storage/Third_Aim/1_QCReads/6_PreQC_FASTQC/DNA/Res2_DNA_I2_1_fastqc.zip
FastQC	all_sections	Res2_DNA_C4_1	/project/6003890/ssutclif/temp_storage/Third_Aim/1_QCReads/6_PreQC_FASTQC/DNA/Res2_DNA_C4_1_fastqc.zip
FastQC	all_sections	Res2_DNA_F3_1	/project/6003890/ssutclif/temp_storage/Third_Aim/1_QCReads/6_PreQC_FASTQC/DNA/Res2_DNA_F3_1_fastqc.zip
FastQC	all_sections	Res2_DNA_J4_2	/project/6003890/ssutclif/temp_storage/Third_Aim/1_QCReads/6_PreQC_FASTQC/DNA/Res2_DNA_J4_2_fastqc.zip
FastQC	all_sections	Res2_DNA_A5_1	/project/6003890/ssutclif/temp_storage/Third_Aim/1_QCReads/6_PreQC_FASTQC/DNA/Res2_DNA_A5_1_fastqc.zip
