Sample	Unique Reads	Duplicate Reads
Res2_Phage_A1_1	883370.0	1901753.0
Res2_Phage_A1_2	1008679.0	1776444.0
Res2_Phage_A2_1	983772.0	2080599.0
Res2_Phage_A2_2	1021144.0	2043227.0
Res2_Phage_A3_1	63025.0	115010.0
Res2_Phage_A3_2	77032.0	101003.0
Res2_Phage_A4_1	337403.0	268597.0
Res2_Phage_A4_2	349406.0	256594.0
Res2_Phage_A5_1	594418.0	405115.0
Res2_Phage_A5_2	614941.0	384592.0
Res2_Phage_A6_1	201527.0	93439.0
Res2_Phage_A6_2	215214.0	79752.0
Res2_Phage_B1_1	1403738.0	1035980.0
Res2_Phage_B1_2	1439775.0	999943.0
Res2_Phage_B2_1	973166.0	4181514.0
Res2_Phage_B2_2	1120275.0	4034405.0
Res2_Phage_B3_1	229104.0	131332.0
Res2_Phage_B3_2	236222.0	124214.0
Res2_Phage_B4_1	801914.0	867525.0
Res2_Phage_B4_2	849933.0	819506.0
Res2_Phage_B5_1	186678.0	216199.0
Res2_Phage_B5_2	200214.0	202663.0
Res2_Phage_B6_1	552683.0	545406.0
Res2_Phage_B6_2	566121.0	531968.0
Res2_Phage_C1_1	1710797.0	1166853.0
Res2_Phage_C1_2	1767235.0	1110415.0
Res2_Phage_C2_1	627670.0	330721.0
Res2_Phage_C2_2	658999.0	299392.0
Res2_Phage_C3_1	557462.0	266837.0
Res2_Phage_C3_2	577635.0	246664.0
Res2_Phage_C4_1	1068227.0	649829.0
Res2_Phage_C4_2	1100945.0	617111.0
Res2_Phage_C5_1	768628.0	317312.0
Res2_Phage_C5_2	786923.0	299017.0
Res2_Phage_C6_1	605612.0	129898.0
Res2_Phage_C6_2	613568.0	121942.0
Res2_Phage_D1_1	1010291.0	285989.0
Res2_Phage_D1_2	1024825.0	271455.0
Res2_Phage_D2_1	1074162.0	583762.0
Res2_Phage_D2_2	1111871.0	546053.0
Res2_Phage_D3_1	712886.0	755150.0
Res2_Phage_D3_2	736639.0	731397.0
Res2_Phage_D4_1	311187.0	255444.0
Res2_Phage_D4_2	323532.0	243099.0
Res2_Phage_D5_1	1080193.0	606416.0
Res2_Phage_D5_2	1101096.0	585513.0
Res2_Phage_D6_1	1097930.0	966760.0
Res2_Phage_D6_2	1130829.0	933861.0
Res2_Phage_E1_1	3359631.0	2470342.0
Res2_Phage_E1_2	3495384.0	2334589.0
Res2_Phage_E2_1	1295065.0	921654.0
Res2_Phage_E2_2	1350181.0	866538.0
Res2_Phage_E3_1	1196115.0	682681.0
Res2_Phage_E3_2	1232790.0	646006.0
Res2_Phage_E4_1	2133573.0	4756144.0
Res2_Phage_E4_2	2325307.0	4564410.0
Res2_Phage_E5_1	530120.0	210234.0
Res2_Phage_E5_2	537758.0	202596.0
Res2_Phage_E6_1	483845.0	447699.0
Res2_Phage_E6_2	524590.0	406954.0
Res2_Phage_F1_1	1874391.0	1174809.0
Res2_Phage_F1_2	1985119.0	1064081.0
Res2_Phage_F2_1	877385.0	621365.0
Res2_Phage_F2_2	910594.0	588156.0
Res2_Phage_F3_1	889832.0	915120.0
Res2_Phage_F3_2	922859.0	882093.0
Res2_Phage_F4_1	673886.0	700341.0
Res2_Phage_F4_2	712990.0	661237.0
Res2_Phage_F5_1	688613.0	311090.0
Res2_Phage_F5_2	698394.0	301309.0
Res2_Phage_F6_1	395460.0	226266.0
Res2_Phage_F6_2	408623.0	213103.0
Res2_Phage_G1_1	1453775.0	970795.0
