Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
Res2_Phage_A1_1	Res2_Phage_A1_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2785123.0	0.0	35-301	43.0	31.717419797188118	221.41358101599104	pass	warn	pass	warn	fail	pass	warn	fail	fail	pass
Res2_Phage_A1_2	Res2_Phage_A1_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2785123.0	0.0	35-301	44.0	36.21664144887442	228.79044264831393	pass	fail	pass	warn	fail	warn	warn	fail	fail	pass
Res2_Phage_A2_1	Res2_Phage_A2_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3064371.0	0.0	35-301	34.0	32.10354100989972	152.24071824201442	pass	warn	pass	warn	fail	pass	warn	fail	warn	pass
Res2_Phage_A2_2	Res2_Phage_A2_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3064371.0	0.0	35-301	34.0	33.323105047706775	155.99720138325287	pass	fail	pass	warn	fail	pass	warn	fail	warn	pass
Res2_Phage_A3_1	Res2_Phage_A3_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	178035.0	0.0	35-301	48.0	35.40034262925829	252.17133147976523	pass	warn	pass	warn	fail	warn	warn	fail	fail	pass
Res2_Phage_A3_2	Res2_Phage_A3_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	178035.0	0.0	35-301	50.0	43.26789676187266	260.0600275226781	pass	fail	pass	fail	fail	warn	warn	fail	fail	pass
Res2_Phage_A4_1	Res2_Phage_A4_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	606000.0	0.0	35-301	29.0	55.67689981662043	186.46579702970297	pass	pass	pass	warn	fail	warn	warn	warn	fail	pass
Res2_Phage_A4_2	Res2_Phage_A4_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	606000.0	0.0	35-301	29.0	57.65764464728822	188.6756501650165	pass	fail	pass	warn	fail	warn	warn	warn	fail	pass
Res2_Phage_A5_1	Res2_Phage_A5_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	999533.0	0.0	35-301	41.0	59.469479033746765	196.25756028065106	pass	warn	pass	warn	fail	pass	warn	warn	fail	pass
Res2_Phage_A5_2	Res2_Phage_A5_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	999533.0	0.0	35-301	42.0	61.522800856314596	202.1761652691807	pass	fail	pass	warn	fail	warn	warn	warn	fail	pass
Res2_Phage_A6_1	Res2_Phage_A6_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	294966.0	0.0	35-301	46.0	68.32193198535305	239.61229768854716	pass	fail	pass	warn	fail	pass	warn	warn	warn	pass
Res2_Phage_A6_2	Res2_Phage_A6_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	294966.0	0.0	35-301	48.0	72.96229290846912	248.16957208627434	pass	fail	pass	warn	fail	warn	warn	pass	warn	pass
