Sample	Unique Reads	Duplicate Reads
Res2_RNA_A1_1	3628457.0	16285494.0
Res2_RNA_A1_2	4055065.0	15858886.0
Res2_RNA_A2_1	2198701.0	17830568.0
Res2_RNA_A2_2	2774180.0	17255089.0
Res2_RNA_A3_1	3262749.0	14951742.0
Res2_RNA_A3_2	4147360.0	14067131.0
Res2_RNA_A4_1	2527506.0	15974017.0
Res2_RNA_A4_2	3413767.0	15087756.0
Res2_RNA_A5_1	3263636.0	15724773.0
Res2_RNA_A5_2	4239007.0	14749402.0
Res2_RNA_A6_1	3136434.0	13723179.0
Res2_RNA_A6_2	3896094.0	12963519.0
Res2_RNA_B1_1	10778529.0	9940065.0
Res2_RNA_B1_2	11945721.0	8772873.0
Res2_RNA_B2_1	3566151.0	12018458.0
Res2_RNA_B2_2	4430319.0	11154290.0
Res2_RNA_B3_1	3965284.0	10410735.0
Res2_RNA_B3_2	4503563.0	9872456.0
Res2_RNA_B4_1	3212056.0	13309778.0
Res2_RNA_B4_2	4978095.0	11543739.0
Res2_RNA_B5_1	3989212.0	10500737.0
Res2_RNA_B5_2	5069924.0	9420025.0
Res2_RNA_B6_1	4314183.0	10916211.0
Res2_RNA_B6_2	5364902.0	9865492.0
Res2_RNA_C1_1	2072610.0	17431828.0
Res2_RNA_C1_2	2402762.0	17101676.0
Res2_RNA_C2_1	3673976.0	11243958.0
Res2_RNA_C2_2	4715604.0	10202330.0
Res2_RNA_C3_1	2767186.0	17590165.0
Res2_RNA_C3_2	4216718.0	16140633.0
Res2_RNA_C4_1	4035178.0	9028955.0
Res2_RNA_C4_2	4621251.0	8442882.0
Res2_RNA_C5_1	2587705.0	18268284.0
Res2_RNA_C5_2	3525528.0	17330461.0
Res2_RNA_C6_1	4167620.0	13010306.0
Res2_RNA_C6_2	5689922.0	11488004.0
Res2_RNA_D1_1	2275298.0	10060458.0
Res2_RNA_D1_2	2574828.0	9760928.0
Res2_RNA_D2_1	3096074.0	6969032.0
Res2_RNA_D2_2	3571910.0	6493196.0
Res2_RNA_D3_1	3030625.0	9813938.0
Res2_RNA_D3_2	3822282.0	9022281.0
Res2_RNA_D4_1	2852050.0	8418365.0
Res2_RNA_D4_2	3217853.0	8052562.0
Res2_RNA_D5_1	3191748.0	11765457.0
Res2_RNA_D5_2	4432194.0	10525011.0
Res2_RNA_D6_1	1982386.0	8376210.0
Res2_RNA_D6_2	2233564.0	8125032.0
Res2_RNA_E1_1	1512964.0	6968041.0
Res2_RNA_E1_2	1826181.0	6654824.0
Res2_RNA_E2_1	2480107.0	15508104.0
Res2_RNA_E2_2	3343250.0	14644961.0
Res2_RNA_E3_1	3016662.0	17427465.0
Res2_RNA_E3_2	3963980.0	16480147.0
Res2_RNA_E4_1	3607846.0	14446209.0
Res2_RNA_E4_2	4462390.0	13591665.0
Res2_RNA_E5_1	2780422.0	16518587.0
Res2_RNA_E5_2	3939807.0	15359202.0
Res2_RNA_E6_1	3000302.0	9945270.0
Res2_RNA_E6_2	3882218.0	9063354.0
Res2_RNA_F1_1	6459970.0	21822657.0
Res2_RNA_F1_2	7288188.0	20994439.0
Res2_RNA_F2_1	3766073.0	6886475.0
Res2_RNA_F2_2	4177880.0	6474668.0
Res2_RNA_F3_1	3560818.0	10566016.0
Res2_RNA_F3_2	4077764.0	10049070.0
Res2_RNA_F4_1	3655652.0	11636630.0
Res2_RNA_F4_2	5191073.0	10101209.0
Res2_RNA_F5_1	3094284.0	7306333.0
Res2_RNA_F5_2	3441195.0	6959422.0
Res2_RNA_F6_1	2457733.0	9929851.0
Res2_RNA_F6_2	2548351.0	9839233.0
Res2_RNA_G1_1	3838577.0	46123109.0
Res2_RNA_G1_2	6864978.0	43096708.0
Res2_RNA_G2_1	3113585.0	11779782.0
Res2_RNA_G2_2	4073235.0	10820132.0
Res2_RNA_G3_1	3353384.0	9651178.0
Res2_RNA_G3_2	4304559.0	8700003.0
Res2_RNA_G4_1	2097349.0	17916957.0
Res2_RNA_G4_2	3016707.0	16997599.0
Res2_RNA_G5_1	1163110.0	11782146.0
Res2_RNA_G5_2	1459766.0	11485490.0
Res2_RNA_G6_1	3649527.0	11177937.0
Res2_RNA_G6_2	4882298.0	9945166.0
Res2_RNA_H1_1	4219716.0	13889077.0
Res2_RNA_H1_2	5343764.0	12765029.0
Res2_RNA_H2_1	2524585.0	14345661.0
Res2_RNA_H2_2	3505364.0	13364882.0
Res2_RNA_H3_1	2923299.0	16601270.0
Res2_RNA_H3_2	3881860.0	15642709.0
Res2_RNA_H4_1	4111397.0	10771399.0
Res2_RNA_H4_2	4789446.0	10093350.0
Res2_RNA_H5_1	2706236.0	15907857.0
Res2_RNA_H5_2	3499210.0	15114883.0
Res2_RNA_H6_1	2546835.0	14624586.0
Res2_RNA_H6_2	2900667.0	14270754.0
Res2_RNA_I1_1	4217778.0	9560999.0
Res2_RNA_I1_2	5228554.0	8550223.0
Res2_RNA_I2_1	3510438.0	19851529.0
Res2_RNA_I2_2	3586099.0	19775868.0
Res2_RNA_I3_1	3568829.0	10070093.0
Res2_RNA_I3_2	4650922.0	8988000.0
Res2_RNA_I4_1	6420705.0	15265579.0
Res2_RNA_I4_2	7285084.0	14401200.0
Res2_RNA_I5_1	3711173.0	10029211.0
Res2_RNA_I5_2	4492368.0	9248016.0
Res2_RNA_I6_1	2494510.0	17729895.0
