Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
Res2_RNA_A1_1	Res2_RNA_A1_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	19913951.0	0.0	126.0	53.0	18.220675258784063	126.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	warn	fail
Res2_RNA_A1_2	Res2_RNA_A1_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	19913951.0	0.0	126.0	53.0	20.362933070560906	126.0	pass	pass	warn	pass	fail	pass	pass	pass	fail	warn	fail
Res2_RNA_A2_1	Res2_RNA_A2_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	20029269.0	0.0	126.0	50.0	10.97743635060376	126.0	pass	pass	warn	pass	fail	warn	pass	pass	fail	fail	fail
Res2_RNA_A2_2	Res2_RNA_A2_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	20029269.0	0.0	126.0	50.0	13.850626185738593	126.0	pass	pass	warn	pass	fail	warn	pass	pass	fail	warn	fail
Res2_RNA_A3_1	Res2_RNA_A3_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	18214491.0	0.0	35-126	50.0	17.912924405992527	112.12578896659808	pass	pass		pass	fail	warn	pass	warn	fail	fail	fail
Res2_RNA_A3_2	Res2_RNA_A3_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	18214491.0	0.0	35-126	50.0	22.76956089820006	112.06056079195406	pass	fail		pass	fail	warn	pass	warn	fail	warn	fail
Res2_RNA_A4_1	Res2_RNA_A4_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	18501523.0	0.0	35-126	52.0	13.661068137700747	104.75140451950901	pass	pass		pass	fail	pass	pass	warn	fail	warn	fail
Res2_RNA_A4_2	Res2_RNA_A4_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	18501523.0	0.0	35-126	52.0	18.451273552055753	104.673804853795	pass	fail		pass	fail	warn	pass	warn	fail	warn	fail
Res2_RNA_A5_1	Res2_RNA_A5_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	18988409.0	0.0	35-126	52.0	17.18751626719891	109.24729733807608	pass	pass		pass	fail	warn	pass	warn	fail	warn	fail
Res2_RNA_A5_2	Res2_RNA_A5_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	18988409.0	0.0	35-126	52.0	22.32418020333022	109.17968798755072	pass	fail		pass	fail	warn	pass	warn	fail	fail	fail
Res2_RNA_A6_1	Res2_RNA_A6_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	16859613.0	0.0	35-126	51.0	18.6032359281756	109.91993552876926	pass	pass		pass	fail	warn	pass	warn	fail	warn	fail
Res2_RNA_A6_2	Res2_RNA_A6_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	16859613.0	0.0	35-126	51.0	23.10903546378921	109.85499548536494	pass	fail		pass	fail	warn	pass	warn	fail	warn	fail
Res2_RNA_B1_1	Res2_RNA_B1_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	20718594.0	0.0	126.0	48.0	52.02345432146102	126.0	pass	pass	pass	pass	fail	warn	pass	pass	warn	warn	fail
Res2_RNA_B1_2	Res2_RNA_B1_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	20718594.0	0.0	126.0	48.0	57.657005166030665	126.0	pass	pass	warn	pass	fail	fail	pass	pass	warn	pass	fail
Res2_RNA_B2_1	Res2_RNA_B2_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	15584609.0	0.0	35-126	50.0	22.882512744641904	117.32693954657445	pass	pass		pass	fail	warn	pass	warn	fail	warn	fail
Res2_RNA_B2_2	Res2_RNA_B2_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	15584609.0	0.0	35-126	50.0	28.427522617002687	117.28693879968371	pass	fail		pass	fail	warn	pass	warn	fail	fail	fail
Res2_RNA_B3_1	Res2_RNA_B3_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	14376019.0	0.0	126.0	49.0	27.582625366419016	126.0	pass	pass	pass	pass	fail	warn	pass	pass	fail	warn	fail
Res2_RNA_B3_2	Res2_RNA_B3_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	14376019.0	0.0	126.0	49.0	31.326910708146972	126.0	pass	fail	pass	pass	fail	warn	pass	pass	fail	warn	fail
Res2_RNA_B4_1	Res2_RNA_B4_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	16521834.0	0.0	35-126	50.0	19.441275967090625	109.28506520523085	pass	pass		pass	fail	warn	pass	warn	fail	warn	fail
Res2_RNA_B4_2	Res2_RNA_B4_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	16521834.0	0.0	35-126	50.0	30.13039889291215	109.22443513232248	pass	fail		pass	fail	warn	pass	warn	fail	warn	fail
Res2_RNA_B5_1	Res2_RNA_B5_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	14489949.0	0.0	35-126	49.0	27.530885030607333	116.53482203422524	pass	pass		pass	fail	warn	pass	warn	fail	warn	fail
Res2_RNA_B5_2	Res2_RNA_B5_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	14489949.0	0.0	35-126	49.0	34.98924261505001	116.49420436193391	pass	fail		pass	fail	warn	pass	warn	fail	warn	fail
Res2_RNA_B6_1	Res2_RNA_B6_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	15230394.0	0.0	35-126	52.0	28.326141005552184	122.0839139158186	pass	pass		pass	fail	warn	pass	warn	fail	warn	fail
Res2_RNA_B6_2	Res2_RNA_B6_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	15230394.0	0.0	35-126	51.0	35.22497095290567	122.06932374828911	pass	fail		pass	fail	warn	pass	warn	fail	warn	fail
Res2_RNA_C1_1	Res2_RNA_C1_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	19504438.0	0.0	35-126	51.0	10.626347228742754	124.24147355591583	pass	pass		pass	fail	warn	pass	warn	fail	warn	fail
Res2_RNA_C1_2	Res2_RNA_C1_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	19504438.0	0.0	35-126	51.0	12.319050399337785	124.23660584324449	pass	pass		pass	fail	warn	pass	warn	fail	warn	fail
Res2_RNA_C2_1	Res2_RNA_C2_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	14917934.0	0.0	35-126	51.0	24.627910983321204	122.3354007331042	pass	pass		pass	fail	warn	pass	warn	fail	warn	fail
Res2_RNA_C2_2	Res2_RNA_C2_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	14917934.0	0.0	35-126	50.0	31.610299748322422	122.32186011816381	pass	fail		pass	fail	warn	pass	warn	fail	warn	fail
Res2_RNA_C3_1	Res2_RNA_C3_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	20357351.0	0.0	35-126	51.0	13.593052647172588	104.83783513876634	pass	pass		pass	fail	warn	pass	warn	fail	fail	fail
Res2_RNA_C3_2	Res2_RNA_C3_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	20357351.0	0.0	35-126	51.0	20.71348631910914	104.77672944775576	pass	fail		pass	fail	fail	pass	warn	fail	warn	fail
