Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
Res2_RNA_A1_1	81.77932474121593	53.0	126.0	27.27272727272727	19913951.0
Res2_RNA_A1_2	79.6370669294391	53.0	126.0	27.27272727272727	19913951.0
Res2_RNA_A2_1	89.02256364939623	50.0	126.0	36.36363636363637	20029269.0
Res2_RNA_A2_2	86.14937381426141	50.0	126.0	27.27272727272727	20029269.0
Res2_RNA_A3_1	82.08707559400747	50.0	112.12578896659808	40.0	18214491.0
Res2_RNA_A3_2	77.23043910179994	50.0	112.06056079195406	40.0	18214491.0
Res2_RNA_A4_1	86.33893186229925	52.0	104.75140451950901	30.0	18501523.0
Res2_RNA_A4_2	81.54872644794425	52.0	104.673804853795	40.0	18501523.0
Res2_RNA_A5_1	82.8124837328011	52.0	109.24729733807608	30.0	18988409.0
Res2_RNA_A5_2	77.67581979666978	52.0	109.17968798755072	50.0	18988409.0
Res2_RNA_A6_1	81.3967640718244	51.0	109.91993552876926	30.0	16859613.0
Res2_RNA_A6_2	76.89096453621079	51.0	109.85499548536494	40.0	16859613.0
Res2_RNA_B1_1	47.97654567853898	48.0	126.0	18.181818181818183	20718594.0
Res2_RNA_B1_2	42.342994833969335	48.0	126.0	27.27272727272727	20718594.0
Res2_RNA_B2_1	77.1174872553581	50.0	117.32693954657445	30.0	15584609.0
Res2_RNA_B2_2	71.5724773829973	50.0	117.28693879968371	50.0	15584609.0
Res2_RNA_B3_1	72.41737463358098	49.0	126.0	27.27272727272727	14376019.0
Res2_RNA_B3_2	68.67308929185303	49.0	126.0	36.36363636363637	14376019.0
Res2_RNA_B4_1	80.55872403290937	50.0	109.28506520523085	30.0	16521834.0
Res2_RNA_B4_2	69.86960110708785	50.0	109.22443513232248	40.0	16521834.0
Res2_RNA_B5_1	72.46911496939266	49.0	116.53482203422524	30.0	14489949.0
Res2_RNA_B5_2	65.01075738494998	49.0	116.49420436193391	40.0	14489949.0
Res2_RNA_B6_1	71.67385899444781	52.0	122.0839139158186	30.0	15230394.0
Res2_RNA_B6_2	64.77502904709434	51.0	122.06932374828911	40.0	15230394.0
Res2_RNA_C1_1	89.37365277125724	51.0	124.24147355591583	30.0	19504438.0
Res2_RNA_C1_2	87.68094960066222	51.0	124.23660584324449	30.0	19504438.0
Res2_RNA_C2_1	75.3720890166788	51.0	122.3354007331042	30.0	14917934.0
Res2_RNA_C2_2	68.38970025167758	50.0	122.32186011816381	40.0	14917934.0
Res2_RNA_C3_1	86.40694735282742	51.0	104.83783513876634	40.0	20357351.0
Res2_RNA_C3_2	79.28651368089086	51.0	104.77672944775576	50.0	20357351.0
Res2_RNA_C4_1	69.11254802446948	50.0	126.0	27.27272727272727	13064133.0
Res2_RNA_C4_2	64.62642618987982	50.0	126.0	36.36363636363637	13064133.0
Res2_RNA_C5_1	87.59251036250465	51.0	108.36658573228054	50.0	20855989.0
Res2_RNA_C5_2	83.09585223592978	51.0	108.31931547336355	50.0	20855989.0
Res2_RNA_C6_1	75.73851714478046	51.0	122.77305397636478	40.0	17177926.0
Res2_RNA_C6_2	66.87655153821885	51.0	122.76358275149165	50.0	17177926.0
Res2_RNA_D1_1	81.5552633731567	51.0	126.0	27.27272727272727	12335756.0
Res2_RNA_D1_2	79.12712193487096	51.0	126.0	36.36363636363637	12335756.0
Res2_RNA_D2_1	69.2395293672407	51.0	126.0	27.27272727272727	10065106.0
Res2_RNA_D2_2	64.51195108678587	52.0	126.0	36.36363636363637	10065106.0
Res2_RNA_D3_1	76.40538899459642	50.0	112.98785236990935	30.0	12844563.0
Res2_RNA_D3_2	70.2420282539672	50.0	112.92800370086549	40.0	12844563.0
Res2_RNA_D4_1	74.69437145787349	50.0	126.0	27.27272727272727	11270415.0
Res2_RNA_D4_2	71.44868025336521	50.0	126.0	36.36363636363637	11270415.0
Res2_RNA_D5_1	78.66080510655982	51.0	123.29682383841099	30.0	14957205.0
Res2_RNA_D5_2	70.36749895364954	51.0	123.28412922066656	40.0	14957205.0
Res2_RNA_D6_1	80.86241148355877	49.0	126.0	27.27272727272727	10358596.0
Res2_RNA_D6_2	78.43758437997606	49.0	126.0	36.36363636363637	10358596.0
Res2_RNA_E1_1	82.16056855886866	53.0	74.71622856017653	20.0	8481005.0
Res2_RNA_E1_2	78.46740211478648	53.0	74.56598292301443	20.0	8481005.0
Res2_RNA_E2_1	86.21259840045992	52.0	104.70303611626525	30.0	17988211.0
Res2_RNA_E2_2	81.41421898496498	52.0	104.62132993659014	40.0	17988211.0
Res2_RNA_E3_1	85.24436054506454	52.0	102.99041206308296	30.0	20444127.0
Res2_RNA_E3_2	80.61066902053365	52.0	102.89645050629943	40.0	20444127.0
Res2_RNA_E4_1	80.01642614900872	51.0	103.71485707781437	30.0	18054055.0
Res2_RNA_E4_2	75.28317270601822	51.0	103.62163181623187	40.0	18054055.0
Res2_RNA_E5_1	85.5929293043749	51.0	105.0306729221174	30.0	19299009.0
Res2_RNA_E5_2	79.58544682160982	51.0	104.9472630434029	40.0	19299009.0
Res2_RNA_E6_1	76.82372682208515	50.0	122.68313026261026	30.0	12945572.0
Res2_RNA_E6_2	70.01123571635875	50.0	122.66757637283234	40.0	12945572.0
Res2_RNA_F1_1	77.15923025502835	52.0	126.0	27.27272727272727	28282627.0
Res2_RNA_F1_2	74.23086709645428	52.0	126.0	27.27272727272727	28282627.0
Res2_RNA_F2_1	64.64627077013162	52.0	126.0	27.27272727272727	10652548.0
Res2_RNA_F2_2	60.78047126514285	52.0	126.0	27.27272727272727	10652548.0
Res2_RNA_F3_1	74.79394435444944	47.0	126.0	27.27272727272727	14126834.0
Res2_RNA_F3_2	71.134628126602	47.0	126.0	36.36363636363637	14126834.0
Res2_RNA_F4_1	76.09479681230836	51.0	123.22354400736266	30.0	15292282.0
Res2_RNA_F4_2	66.05430055319965	51.0	123.21362462450013	40.0	15292282.0
Res2_RNA_F5_1	70.24903478980582	51.0	126.0	27.27272727272727	10400617.0
Res2_RNA_F5_2	66.91354959309857	51.0	126.0	27.27272727272727	10400617.0
Res2_RNA_F6_1	80.15970756688927	51.0	126.0	27.27272727272727	12387584.0
Res2_RNA_F6_2	79.42818567008389	51.0	126.0	36.36363636363637	12387584.0
Res2_RNA_G1_1	92.31695866329085	52.0	94.62495897356226	50.0	49961686.0
Res2_RNA_G1_2	86.25951549705758	52.0	94.50776637121494	30.0	49961686.0
Res2_RNA_G2_1	79.09415004919612	49.0	114.64413560748217	40.0	14893367.0
Res2_RNA_G2_2	72.65067797898948	49.0	114.58639366101701	50.0	14893367.0
Res2_RNA_G3_1	74.21378884771909	49.0	123.01789495101796	30.0	13004562.0
Res2_RNA_G3_2	66.89962619493939	49.0	123.00572214581314	50.0	13004562.0
Res2_RNA_G4_1	89.52075314761818	52.0	104.18887120043033	50.0	20014306.0
Res2_RNA_G4_2	84.92725102812173	52.0	104.11633478572777	50.0	20014306.0
Res2_RNA_G5_1	91.01516924364063	50.0	126.0	36.36363636363637	12945256.0
Res2_RNA_G5_2	88.72354966556225	50.0	126.0	45.45454545454545	12945256.0
Res2_RNA_G6_1	75.3867115037836	50.0	111.72094971871117	30.0	14827464.0
Res2_RNA_G6_2	67.07260683697604	50.0	111.66178356595572	40.0	14827464.0
Res2_RNA_H1_1	76.6979749948979	51.0	107.9783849757408	30.0	18108793.0
Res2_RNA_H1_2	70.49077776438077	51.0	107.91527927896685	40.0	18108793.0
Res2_RNA_H2_1	85.0352823448228	51.0	107.93865056858093	30.0	16870246.0
Res2_RNA_H2_2	79.22162101366165	51.0	107.84775811804997	50.0	16870246.0
Res2_RNA_H3_1	85.02758942427673	52.0	101.34833890571413	30.0	19524569.0
Res2_RNA_H3_2	80.11808025824011	52.0	101.24792122171813	40.0	19524569.0
Res2_RNA_H4_1	72.3748403999486	49.0	126.0	27.27272727272727	14882796.0
Res2_RNA_H4_2	67.81891559902095	49.0	126.0	27.27272727272727	14882796.0
Res2_RNA_H5_1	85.46136481354493	51.0	105.5579567588923	40.0	18614093.0
Res2_RNA_H5_2	81.20128699475339	51.0	105.48786395340348	50.0	18614093.0
Res2_RNA_H6_1	85.16817815849237	50.0	126.0	27.27272727272727	17171421.0
Res2_RNA_H6_2	83.10759030064209	50.0	126.0	36.36363636363637	17171421.0
Res2_RNA_I1_1	69.38932006339743	50.0	123.63225763796018	30.0	13778777.0
Res2_RNA_I1_2	62.053572368491714	50.0	123.62233977659992	40.0	13778777.0
Res2_RNA_I2_1	84.97370699346548	52.0	126.0	27.27272727272727	23361967.0
Res2_RNA_I2_2	84.6498417640002	52.0	126.0	45.45454545454545	23361967.0
Res2_RNA_I3_1	73.83349716962964	50.0	123.51390102531563	30.0	13638922.0
Res2_RNA_I3_2	65.899638464719	50.0	123.50304298242925	40.0	13638922.0
Res2_RNA_I4_1	70.3927877730698	50.0	126.0	27.27272727272727	21686284.0
Res2_RNA_I4_2	66.40695544057418	50.0	126.0	45.45454545454545	21686284.0
Res2_RNA_I5_1	72.99076301647094	51.0	113.99036344253552	30.0	13740384.0
Res2_RNA_I5_2	67.30537044531944	51.0	113.95163948838693	40.0	13740384.0
Res2_RNA_I6_1	87.66584490716448	44.0	126.0	27.27272727272727	20224405.0
Res2_RNA_I6_2	84.87619345467384	44.0	126.0	27.27272727272727	20224405.0
Res2_RNA_J1_1	87.94532306739444	50.0	126.0	27.27272727272727	34882629.0
Res2_RNA_J1_2	84.75478297138936	50.0	126.0	36.36363636363637	34882629.0
Res2_RNA_J2_1	69.76742702664168	49.0	126.0	27.27272727272727	12519676.0
Res2_RNA_J2_2	65.93667647891621	49.0	126.0	27.27272727272727	12519676.0
Res2_RNA_J4_1	77.77978401319176	50.0	126.0	27.27272727272727	11113188.0
Res2_RNA_J4_2	75.35197354399064	50.0	126.0	36.36363636363637	11113188.0
Res2_RNA_J5_1	84.3051576158178	50.0	113.01879816407397	30.0	23668056.0
Res2_RNA_J5_2	75.05314435368545	51.0	112.96628147237779	40.0	23668056.0
Res2_RNA_J6_1	78.20897125978189	49.0	126.0	36.36363636363637	11273103.0
Res2_RNA_J6_2	74.9925534342119	49.0	126.0	36.36363636363637	11273103.0
