Sample	Unique Reads	Duplicate Reads
trimmed_Res2_DNA_A1_1_paired	29080057.0	5444975.0
trimmed_Res2_DNA_A1_2_paired	29149515.0	5375517.0
trimmed_Res2_DNA_A2_1_paired	24626310.0	12072846.0
trimmed_Res2_DNA_A2_2_paired	24795203.0	11903953.0
trimmed_Res2_DNA_A3_1_paired	30429574.0	10035537.0
trimmed_Res2_DNA_A3_2_paired	30714292.0	9750819.0
trimmed_Res2_DNA_A4_1_paired	27422501.0	7880876.0
trimmed_Res2_DNA_A4_2_paired	27448358.0	7855019.0
trimmed_Res2_DNA_A5_1_paired	29096922.0	7213823.0
trimmed_Res2_DNA_A5_2_paired	29254103.0	7056642.0
trimmed_Res2_DNA_A6_1_paired	29971392.0	6740063.0
trimmed_Res2_DNA_A6_2_paired	30075035.0	6636420.0
trimmed_Res2_DNA_B1_1_paired	33646382.0	3462745.0
trimmed_Res2_DNA_B1_2_paired	33673884.0	3435243.0
trimmed_Res2_DNA_B2_1_paired	25257638.0	10892871.0
trimmed_Res2_DNA_B2_2_paired	25334988.0	10815521.0
trimmed_Res2_DNA_B3_1_paired	30163527.0	8710016.0
trimmed_Res2_DNA_B3_2_paired	30573314.0	8300229.0
trimmed_Res2_DNA_B4_1_paired	29686368.0	3480717.0
trimmed_Res2_DNA_B4_2_paired	29719635.0	3447450.0
trimmed_Res2_DNA_B5_1_paired	30593900.0	3887838.0
trimmed_Res2_DNA_B5_2_paired	30591904.0	3889834.0
trimmed_Res2_DNA_B6_1_paired	31832735.0	4312493.0
trimmed_Res2_DNA_B6_2_paired	31914014.0	4231214.0
trimmed_Res2_DNA_C1_1_paired	26319641.0	5260102.0
trimmed_Res2_DNA_C1_2_paired	26358295.0	5221448.0
trimmed_Res2_DNA_C2_1_paired	30095283.0	4913024.0
trimmed_Res2_DNA_C2_2_paired	30159686.0	4848621.0
trimmed_Res2_DNA_C3_1_paired	19645146.0	4059622.0
trimmed_Res2_DNA_C3_2_paired	19680004.0	4024764.0
trimmed_Res2_DNA_C4_1_paired	27751795.0	6217158.0
trimmed_Res2_DNA_C4_2_paired	27839583.0	6129370.0
trimmed_Res2_DNA_C5_1_paired	17813247.0	16988123.0
trimmed_Res2_DNA_C5_2_paired	17925776.0	16875594.0
trimmed_Res2_DNA_C6_1_paired	27422572.0	6743362.0
trimmed_Res2_DNA_C6_2_paired	27402462.0	6763472.0
trimmed_Res2_DNA_D1_1_paired	29993868.0	2000816.0
trimmed_Res2_DNA_D1_2_paired	29988594.0	2006090.0
