Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
trimmed_Res2_DNA_A1_1_paired	trimmed_Res2_DNA_A1_1_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	34525032.0	0.0	75-126	44.0	84.22890652122621	121.34507333693419	pass	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass
trimmed_Res2_DNA_A1_2_paired	trimmed_Res2_DNA_A1_2_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	34525032.0	0.0	75-126	44.0	84.43008563851002	117.39505463745841	pass	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass
trimmed_Res2_DNA_A2_1_paired	trimmed_Res2_DNA_A2_1_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	36699156.0	0.0	75-126	43.0	67.10320440911805	121.74068155681836	pass	pass	pass	pass	pass	pass	pass	warn	warn	pass	pass
trimmed_Res2_DNA_A2_2_paired	trimmed_Res2_DNA_A2_2_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	36699156.0	0.0	75-126	43.0	67.563412633904	117.78490551662823	pass	pass	pass	pass	pass	pass	pass	warn	warn	pass	pass
trimmed_Res2_DNA_A3_1_paired	trimmed_Res2_DNA_A3_1_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	40465111.0	0.0	75-126	44.0	75.19953014487645	121.70116543112906	pass	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass
trimmed_Res2_DNA_A3_2_paired	trimmed_Res2_DNA_A3_2_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	40465111.0	0.0	75-126	44.0	75.90314413829256	118.48164953754853	pass	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass
trimmed_Res2_DNA_A4_1_paired	trimmed_Res2_DNA_A4_1_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	35303377.0	0.0	75-126	43.0	77.67670639574321	121.33334694865027	pass	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass
trimmed_Res2_DNA_A4_2_paired	trimmed_Res2_DNA_A4_2_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	35303377.0	0.0	75-126	43.0	77.74994810742088	117.88771737049404	pass	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass
trimmed_Res2_DNA_A5_1_paired	trimmed_Res2_DNA_A5_1_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	36310745.0	0.0	75-126	44.0	80.13308877741844	121.22794594272301	pass	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass
trimmed_Res2_DNA_A5_2_paired	trimmed_Res2_DNA_A5_2_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	36310745.0	0.0	75-126	44.0	80.5659655184934	117.62031437250874	pass	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass
trimmed_Res2_DNA_A6_1_paired	trimmed_Res2_DNA_A6_1_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	36711455.0	0.0	75-126	44.0	81.64043451687425	121.35710774743197	pass	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass
trimmed_Res2_DNA_A6_2_paired	trimmed_Res2_DNA_A6_2_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	36711455.0	0.0	75-126	44.0	81.92275275191012	117.7292741461759	pass	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass
trimmed_Res2_DNA_B1_1_paired	trimmed_Res2_DNA_B1_1_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	37109127.0	0.0	75-126	40.0	90.66874948788751	121.62402963562037	pass	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass
trimmed_Res2_DNA_B1_2_paired	trimmed_Res2_DNA_B1_2_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	37109127.0	0.0	75-126	40.0	90.74286203046344	118.23366332492813	pass	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass
trimmed_Res2_DNA_B2_1_paired	trimmed_Res2_DNA_B2_1_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	36150509.0	0.0	75-126	41.0	69.86800042930327	121.70711211839368	pass	pass	pass	pass	pass	pass	pass	warn	warn	pass	pass
trimmed_Res2_DNA_B2_2_paired	trimmed_Res2_DNA_B2_2_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	36150509.0	0.0	75-126	41.0	70.08196668018584	118.36212917499999	pass	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass
trimmed_Res2_DNA_B3_1_paired	trimmed_Res2_DNA_B3_1_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	38873543.0	0.0	75-126	42.0	77.59397240028736	122.18980888878588	pass	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass
trimmed_Res2_DNA_B3_2_paired	trimmed_Res2_DNA_B3_2_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	38873543.0	0.0	75-126	42.0	78.64812744625802	119.25009474953184	pass	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass
trimmed_Res2_DNA_B4_1_paired	trimmed_Res2_DNA_B4_1_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	33167085.0	0.0	75-126	43.0	89.50550704374756	121.3161440024048	pass	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass
trimmed_Res2_DNA_B4_2_paired	trimmed_Res2_DNA_B4_2_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	33167085.0	0.0	75-126	43.0	89.60580835996547	117.66699286355735	pass	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass
trimmed_Res2_DNA_B5_1_paired	trimmed_Res2_DNA_B5_1_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	34481738.0	0.0	75-126	42.0	88.72493437411698	121.26906938391562	pass	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass
trimmed_Res2_DNA_B5_2_paired	trimmed_Res2_DNA_B5_2_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	34481738.0	0.0	75-126	42.0	88.7191450329116	117.20345934998984	pass	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass
trimmed_Res2_DNA_B6_1_paired	trimmed_Res2_DNA_B6_1_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	36145228.0	0.0	75-126	42.0	88.06898187215344	121.84728861026966	pass	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass
trimmed_Res2_DNA_B6_2_paired	trimmed_Res2_DNA_B6_2_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	36145228.0	0.0	75-126	41.0	88.293850346924	117.73179424957563	pass	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass
trimmed_Res2_DNA_C1_1_paired	trimmed_Res2_DNA_C1_1_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	31579743.0	0.0	75-126	38.0	83.34342693388706	122.00265929966561	pass	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass
trimmed_Res2_DNA_C1_2_paired	trimmed_Res2_DNA_C1_2_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	31579743.0	0.0	75-126	38.0	83.46583090383524	117.57285117868122	pass	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass
trimmed_Res2_DNA_C2_1_paired	trimmed_Res2_DNA_C2_1_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	35008307.0	0.0	75-126	41.0	85.966117986098	122.89088346945769	pass	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass
trimmed_Res2_DNA_C2_2_paired	trimmed_Res2_DNA_C2_2_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	35008307.0	0.0	75-126	41.0	86.15008384034631	118.12878880432578	pass	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass
trimmed_Res2_DNA_C3_1_paired	trimmed_Res2_DNA_C3_1_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	23704768.0	0.0	75-126	43.0	82.87423599524058	121.73320970700915	pass	pass		pass	pass	pass	pass	warn	pass	pass	pass
trimmed_Res2_DNA_C3_2_paired	trimmed_Res2_DNA_C3_2_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	23704768.0	0.0	75-126	43.0	83.02128663141886	118.42657544676244	pass	pass		pass	pass	pass	pass	warn	pass	pass	pass
trimmed_Res2_DNA_C4_1_paired	trimmed_Res2_DNA_C4_1_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	33968953.0	0.0	75-126	41.0	81.69752547017907	122.43092885435709	pass	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass
trimmed_Res2_DNA_C4_2_paired	trimmed_Res2_DNA_C4_2_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	33968953.0	0.0	75-126	41.0	81.9559621870208	118.77241238492103	pass	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass
trimmed_Res2_DNA_C5_1_paired	trimmed_Res2_DNA_C5_1_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	34801370.0	0.0	75-126	38.0	51.18547598733919	122.60839989919937	pass	pass	pass	pass	pass	warn	pass	warn	warn	pass	pass
trimmed_Res2_DNA_C5_2_paired	trimmed_Res2_DNA_C5_2_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	34801370.0	0.0	75-126	37.0	51.50882270941476	119.29397176030714	pass	pass	pass	pass	pass	warn	pass	warn	warn	pass	pass
trimmed_Res2_DNA_C6_1_paired	trimmed_Res2_DNA_C6_1_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	34165934.0	0.0	75-126	42.0	80.26290545593238	122.57963847849147	pass	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass
trimmed_Res2_DNA_C6_2_paired	trimmed_Res2_DNA_C6_2_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	34165934.0	0.0	75-126	41.0	80.20404558269611	118.320486833464	pass	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass
trimmed_Res2_DNA_D1_1_paired	trimmed_Res2_DNA_D1_1_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	31994684.0	0.0	75-126	44.0	93.74641032935695	121.90911708957651	pass	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass
trimmed_Res2_DNA_D1_2_paired	trimmed_Res2_DNA_D1_2_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	31994684.0	0.0	75-126	44.0	93.72992615103308	116.83311033795489	pass	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass
trimmed_Res2_DNA_D2_1_paired	trimmed_Res2_DNA_D2_1_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	36592485.0	0.0	75-126	45.0	82.5311999319303	122.0444595659464	pass	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass
trimmed_Res2_DNA_D2_2_paired	trimmed_Res2_DNA_D2_2_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	36592485.0	0.0	75-126	45.0	82.98395039584553	117.67930857934354	pass	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass
trimmed_Res2_DNA_D3_1_paired	trimmed_Res2_DNA_D3_1_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	35564949.0	0.0	75-126	46.0	86.2490693085132	122.70762086570123	pass	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass
