Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
trimmed_Res2_DNA_A1_1_paired	15.771093478773793	44.0	121.34507333693419	0.0	34525032.0
trimmed_Res2_DNA_A1_2_paired	15.569914361489978	44.0	117.39505463745841	0.0	34525032.0
trimmed_Res2_DNA_A2_1_paired	32.89679559088195	43.0	121.74068155681836	0.0	36699156.0
trimmed_Res2_DNA_A2_2_paired	32.436587366096006	43.0	117.78490551662823	0.0	36699156.0
trimmed_Res2_DNA_A3_1_paired	24.800469855123552	44.0	121.70116543112906	0.0	40465111.0
trimmed_Res2_DNA_A3_2_paired	24.09685586170744	44.0	118.48164953754853	0.0	40465111.0
trimmed_Res2_DNA_A4_1_paired	22.32329360425679	43.0	121.33334694865027	0.0	35303377.0
trimmed_Res2_DNA_A4_2_paired	22.250051892579123	43.0	117.88771737049404	0.0	35303377.0
trimmed_Res2_DNA_A5_1_paired	19.866911222581564	44.0	121.22794594272301	0.0	36310745.0
trimmed_Res2_DNA_A5_2_paired	19.4340344815066	44.0	117.62031437250874	0.0	36310745.0
trimmed_Res2_DNA_A6_1_paired	18.35956548312575	44.0	121.35710774743197	0.0	36711455.0
trimmed_Res2_DNA_A6_2_paired	18.077247248089876	44.0	117.7292741461759	0.0	36711455.0
trimmed_Res2_DNA_B1_1_paired	9.33125051211249	40.0	121.62402963562037	0.0	37109127.0
trimmed_Res2_DNA_B1_2_paired	9.257137969536558	40.0	118.23366332492813	0.0	37109127.0
trimmed_Res2_DNA_B2_1_paired	30.131999570696735	41.0	121.70711211839368	0.0	36150509.0
trimmed_Res2_DNA_B2_2_paired	29.918033319814157	41.0	118.36212917499999	0.0	36150509.0
trimmed_Res2_DNA_B3_1_paired	22.406027599712644	42.0	122.18980888878588	0.0	38873543.0
trimmed_Res2_DNA_B3_2_paired	21.351872553741984	42.0	119.25009474953184	0.0	38873543.0
trimmed_Res2_DNA_B4_1_paired	10.494492956252444	43.0	121.3161440024048	0.0	33167085.0
trimmed_Res2_DNA_B4_2_paired	10.394191640034535	43.0	117.66699286355735	0.0	33167085.0
trimmed_Res2_DNA_B5_1_paired	11.275065625883016	42.0	121.26906938391562	0.0	34481738.0
trimmed_Res2_DNA_B5_2_paired	11.280854967088402	42.0	117.20345934998984	0.0	34481738.0
trimmed_Res2_DNA_B6_1_paired	11.931018127846556	42.0	121.84728861026966	0.0	36145228.0
trimmed_Res2_DNA_B6_2_paired	11.706149653075997	41.0	117.73179424957563	0.0	36145228.0
trimmed_Res2_DNA_C1_1_paired	16.65657306611294	38.0	122.00265929966561	0.0	31579743.0
trimmed_Res2_DNA_C1_2_paired	16.53416909616476	38.0	117.57285117868122	0.0	31579743.0
trimmed_Res2_DNA_C2_1_paired	14.033882013902002	41.0	122.89088346945769	0.0	35008307.0
trimmed_Res2_DNA_C2_2_paired	13.849916159653688	41.0	118.12878880432578	0.0	35008307.0
trimmed_Res2_DNA_C3_1_paired	17.125764004759418	43.0	121.73320970700915	0.0	23704768.0
trimmed_Res2_DNA_C3_2_paired	16.97871336858114	43.0	118.42657544676244	0.0	23704768.0
trimmed_Res2_DNA_C4_1_paired	18.302474529820927	41.0	122.43092885435709	0.0	33968953.0
trimmed_Res2_DNA_C4_2_paired	18.044037812979198	41.0	118.77241238492103	0.0	33968953.0
trimmed_Res2_DNA_C5_1_paired	48.81452401266081	38.0	122.60839989919937	0.0	34801370.0
trimmed_Res2_DNA_C5_2_paired	48.49117729058524	37.0	119.29397176030714	0.0	34801370.0
trimmed_Res2_DNA_C6_1_paired	19.737094544067617	42.0	122.57963847849147	0.0	34165934.0
trimmed_Res2_DNA_C6_2_paired	19.79595441730389	41.0	118.320486833464	0.0	34165934.0
trimmed_Res2_DNA_D1_1_paired	6.253589670643052	44.0	121.90911708957651	0.0	31994684.0
trimmed_Res2_DNA_D1_2_paired	6.270073848966916	44.0	116.83311033795489	0.0	31994684.0
trimmed_Res2_DNA_D2_1_paired	17.468800068069697	45.0	122.0444595659464	0.0	36592485.0
