Sample	Unique Reads	Duplicate Reads
trimmed_Res2_Phage_A1_1_paired	692297.0	1252619.0
trimmed_Res2_Phage_A1_2_paired	712532.0	1232384.0
trimmed_Res2_Phage_A2_1_paired	550204.0	1853454.0
trimmed_Res2_Phage_A2_2_paired	554989.0	1848669.0
trimmed_Res2_Phage_A3_1_paired	45641.0	61695.0
trimmed_Res2_Phage_A3_2_paired	46747.0	60589.0
trimmed_Res2_Phage_A4_1_paired	262750.0	197965.0
trimmed_Res2_Phage_A4_2_paired	265596.0	195119.0
trimmed_Res2_Phage_A5_1_paired	460891.0	293085.0
trimmed_Res2_Phage_A5_2_paired	466420.0	287556.0
trimmed_Res2_Phage_A6_1_paired	153480.0	48709.0
trimmed_Res2_Phage_A6_2_paired	155521.0	46668.0
trimmed_Res2_Phage_B1_1_paired	1000154.0	773173.0
trimmed_Res2_Phage_B1_2_paired	1039641.0	733686.0
trimmed_Res2_Phage_B2_1_paired	454036.0	3652068.0
trimmed_Res2_Phage_B2_2_paired	502955.0	3603149.0
trimmed_Res2_Phage_B3_1_paired	187459.0	72908.0
trimmed_Res2_Phage_B3_2_paired	188029.0	72338.0
trimmed_Res2_Phage_B4_1_paired	622595.0	652429.0
trimmed_Res2_Phage_B4_2_paired	643209.0	631815.0
trimmed_Res2_Phage_B5_1_paired	118107.0	176891.0
trimmed_Res2_Phage_B5_2_paired	123230.0	171768.0
trimmed_Res2_Phage_B6_1_paired	379066.0	394908.0
trimmed_Res2_Phage_B6_2_paired	382008.0	391966.0
trimmed_Res2_Phage_C1_1_paired	1281692.0	734604.0
trimmed_Res2_Phage_C1_2_paired	1293036.0	723260.0
trimmed_Res2_Phage_C2_1_paired	436482.0	209144.0
trimmed_Res2_Phage_C2_2_paired	444852.0	200774.0
trimmed_Res2_Phage_C3_1_paired	416592.0	164320.0
trimmed_Res2_Phage_C3_2_paired	420391.0	160521.0
trimmed_Res2_Phage_C4_1_paired	839990.0	498969.0
trimmed_Res2_Phage_C4_2_paired	852224.0	486735.0
trimmed_Res2_Phage_C5_1_paired	575909.0	238877.0
trimmed_Res2_Phage_C5_2_paired	581225.0	233561.0
trimmed_Res2_Phage_C6_1_paired	476739.0	69537.0
trimmed_Res2_Phage_C6_2_paired	477911.0	68365.0
trimmed_Res2_Phage_D1_1_paired	765247.0	185176.0
trimmed_Res2_Phage_D1_2_paired	768592.0	181831.0
trimmed_Res2_Phage_D2_1_paired	836264.0	429637.0
trimmed_Res2_Phage_D2_2_paired	851060.0	414841.0
trimmed_Res2_Phage_D3_1_paired	517912.0	623032.0
trimmed_Res2_Phage_D3_2_paired	536797.0	604147.0
trimmed_Res2_Phage_D4_1_paired	238482.0	209864.0
trimmed_Res2_Phage_D4_2_paired	244116.0	204230.0
trimmed_Res2_Phage_D5_1_paired	855114.0	461283.0
trimmed_Res2_Phage_D5_2_paired	860152.0	456245.0
