Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
trimmed_Res2_Phage_A1_1_paired	trimmed_Res2_Phage_A1_1_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1944916.0	0.0	75-301	41.0	35.59517945948745	217.0162721680525	pass	pass	pass	warn	fail	pass	warn	fail	pass	pass
trimmed_Res2_Phage_A1_2_paired	trimmed_Res2_Phage_A1_2_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1944916.0	0.0	75-301	40.0	36.63560849759005	189.50853610130207	pass	pass	pass	warn	fail	pass	warn	fail	pass	pass
trimmed_Res2_Phage_A2_1_paired	trimmed_Res2_Phage_A2_1_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2403658.0	0.0	75-301	33.0	22.890264893059413	157.45165784816308	pass	pass	pass	warn	fail	pass	warn	fail	pass	pass
trimmed_Res2_Phage_A2_2_paired	trimmed_Res2_Phage_A2_2_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2403658.0	0.0	75-301	33.0	23.089322309481126	149.46033004695343	pass	pass	pass	fail	fail	pass	warn	fail	pass	pass
trimmed_Res2_Phage_A3_1_paired	trimmed_Res2_Phage_A3_1_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	107336.0	0.0	75-301	45.0	42.52161436982932	239.19824662741297	pass	pass	pass	warn	fail	pass	warn	fail	warn	pass
trimmed_Res2_Phage_A3_2_paired	trimmed_Res2_Phage_A3_2_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	107336.0	0.0	75-301	45.0	43.55109189833793	179.81353879406723	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
trimmed_Res2_Phage_A4_1_paired	trimmed_Res2_Phage_A4_1_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	460715.0	0.0	75-301	28.0	57.030871695777876	201.16509121691286	pass	pass	pass	warn	fail	pass	warn	warn	pass	pass
trimmed_Res2_Phage_A4_2_paired	trimmed_Res2_Phage_A4_2_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	460715.0	0.0	75-301	28.0	57.648646634882105	188.14500070542528	pass	pass	pass	warn	fail	pass	warn	warn	pass	pass
trimmed_Res2_Phage_A5_1_paired	trimmed_Res2_Phage_A5_1_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	753976.0	0.0	75-301	39.0	61.12803462280062	193.03525841671353	pass	pass	pass	warn	fail	pass	warn	warn	pass	pass
trimmed_Res2_Phage_A5_2_paired	trimmed_Res2_Phage_A5_2_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	753976.0	0.0	75-301	39.0	61.861345714021795	175.21043375385955	pass	pass	pass	warn	fail	pass	warn	warn	pass	pass
trimmed_Res2_Phage_A6_1_paired	trimmed_Res2_Phage_A6_1_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	202189.0	0.0	75-301	43.0	75.9087460840265	220.0341116480125	pass	pass	pass	warn	fail	pass	warn	pass	pass	pass
trimmed_Res2_Phage_A6_2_paired	trimmed_Res2_Phage_A6_2_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	202189.0	0.0	75-301	42.0	76.91848574833917	185.8211524860403	pass	pass	pass	warn	fail	pass	warn	pass	pass	pass
trimmed_Res2_Phage_B1_1_paired	trimmed_Res2_Phage_B1_1_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1773327.0	0.0	75-301	35.0	56.39982000931789	167.363702802698	pass	pass	pass	warn	pass	pass	warn	warn	pass	pass
trimmed_Res2_Phage_B1_2_paired	trimmed_Res2_Phage_B1_2_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1773327.0	0.0	75-301	35.0	58.62655561492136	155.3401109891182	pass	pass	pass	warn	pass	pass	warn	warn	pass	pass
trimmed_Res2_Phage_B2_1_paired	trimmed_Res2_Phage_B2_1_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4106104.0	0.0	75-301	38.0	11.057567038303604	191.45821367408132	pass	pass	pass	warn	warn	pass	warn	fail	pass	pass
trimmed_Res2_Phage_B2_2_paired	trimmed_Res2_Phage_B2_2_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4106104.0	0.0	75-301	38.0	12.248953338969136	178.3965639935082	pass	pass	pass	warn	warn	pass	warn	fail	pass	pass
trimmed_Res2_Phage_B3_1_paired	trimmed_Res2_Phage_B3_1_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	260367.0	0.0	75-301	35.0	71.99790965351252	229.47298620792958	pass	pass	pass	warn	fail	pass	warn	pass	pass	pass
trimmed_Res2_Phage_B3_2_paired	trimmed_Res2_Phage_B3_2_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	260367.0	0.0	75-301	35.0	72.2166324988793	198.4709621418997	pass	pass	pass	warn	fail	pass	warn	pass	pass	pass
trimmed_Res2_Phage_B4_1_paired	trimmed_Res2_Phage_B4_1_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1275024.0	0.0	75-301	35.0	48.83002486531885	193.90377436032577	pass	pass	pass	warn	fail	pass	warn	fail	pass	pass
trimmed_Res2_Phage_B4_2_paired	trimmed_Res2_Phage_B4_2_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1275024.0	0.0	75-301	34.0	50.446782131644255	178.4379109726562	pass	pass	pass	warn	fail	pass	warn	warn	pass	pass
trimmed_Res2_Phage_B5_1_paired	trimmed_Res2_Phage_B5_1_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	294998.0	0.0	75-301	38.0	40.03647748850652	164.19193011478043	pass	pass	pass	warn	warn	pass	warn	fail	pass	pass
trimmed_Res2_Phage_B5_2_paired	trimmed_Res2_Phage_B5_2_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	294998.0	0.0	75-301	38.0	41.77285624121638	150.89206706486146	pass	pass	pass	fail	warn	pass	warn	fail	pass	pass
trimmed_Res2_Phage_B6_1_paired	trimmed_Res2_Phage_B6_1_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	773974.0	0.0	75-301	37.0	48.97648987539092	154.5225627734265	pass	pass	pass	warn	fail	pass	warn	fail	pass	pass
trimmed_Res2_Phage_B6_2_paired	trimmed_Res2_Phage_B6_2_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	773974.0	0.0	75-301	37.0	49.35661817913559	147.67129386775267	pass	pass	pass	warn	fail	pass	warn	fail	pass	pass
