Sample	Snippy_mqc-generalstats-snippy-VariantTotal	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
multiqc	0					
multiqc_general_stats	0					
trimmed_Res2_Phage_A1_1_paired		64.40482054051256	41.0	217.0162721680525	20.0	1944916.0
trimmed_Res2_Phage_A1_2_paired		63.36439150240995	40.0	189.50853610130207	20.0	1944916.0
trimmed_Res2_Phage_A2_1_paired		77.10973510694059	33.0	157.45165784816308	20.0	2403658.0
trimmed_Res2_Phage_A2_2_paired		76.91067769051887	33.0	149.46033004695343	30.0	2403658.0
trimmed_Res2_Phage_A3_1_paired		57.47838563017068	45.0	239.19824662741297	20.0	107336.0
trimmed_Res2_Phage_A3_2_paired		56.44890810166207	45.0	179.81353879406723	30.0	107336.0
trimmed_Res2_Phage_A4_1_paired		42.969128304222124	28.0	201.16509121691286	10.0	460715.0
trimmed_Res2_Phage_A4_2_paired		42.351353365117895	28.0	188.14500070542528	10.0	460715.0
trimmed_Res2_Phage_A5_1_paired		38.87196537719938	39.0	193.03525841671353	10.0	753976.0
trimmed_Res2_Phage_A5_2_paired		38.138654285978205	39.0	175.21043375385955	10.0	753976.0
trimmed_Res2_Phage_A6_1_paired		24.091253915973496	43.0	220.0341116480125	10.0	202189.0
trimmed_Res2_Phage_A6_2_paired		23.081514251660835	42.0	185.8211524860403	10.0	202189.0
trimmed_Res2_Phage_B1_1_paired		43.60017999068211	35.0	167.363702802698	0.0	1773327.0
trimmed_Res2_Phage_B1_2_paired		41.37344438507864	35.0	155.3401109891182	0.0	1773327.0
trimmed_Res2_Phage_B2_1_paired		88.9424329616964	38.0	191.45821367408132	10.0	4106104.0
trimmed_Res2_Phage_B2_2_paired		87.75104666103087	38.0	178.3965639935082	10.0	4106104.0
trimmed_Res2_Phage_B3_1_paired		28.002090346487478	35.0	229.47298620792958	10.0	260367.0
trimmed_Res2_Phage_B3_2_paired		27.783367501120694	35.0	198.4709621418997	10.0	260367.0
trimmed_Res2_Phage_B4_1_paired		51.16997513468115	35.0	193.90377436032577	20.0	1275024.0
trimmed_Res2_Phage_B4_2_paired		49.553217868355745	34.0	178.4379109726562	10.0	1275024.0
trimmed_Res2_Phage_B5_1_paired		59.96352251149348	38.0	164.19193011478043	10.0	294998.0
trimmed_Res2_Phage_B5_2_paired		58.22714375878362	38.0	150.89206706486146	20.0	294998.0
trimmed_Res2_Phage_B6_1_paired		51.02351012460908	37.0	154.5225627734265	20.0	773974.0
trimmed_Res2_Phage_B6_2_paired		50.64338182086441	37.0	147.67129386775267	20.0	773974.0
trimmed_Res2_Phage_C1_1_paired		36.43336210256366	37.0	184.2266061133881	0.0	2016296.0
trimmed_Res2_Phage_C1_2_paired		35.8707673754534	37.0	167.57070092883188	0.0	2016296.0
trimmed_Res2_Phage_C2_1_paired		32.3941298760694	40.0	170.23081629302413	0.0	645626.0
trimmed_Res2_Phage_C2_2_paired		31.09763167287035	40.0	153.32722659868097	0.0	645626.0
trimmed_Res2_Phage_C3_1_paired		28.286617344416072	38.0	212.2171499297656	10.0	580912.0
trimmed_Res2_Phage_C3_2_paired		27.632684046958445	38.0	182.13768178312722	10.0	580912.0
trimmed_Res2_Phage_C4_1_paired		37.26550350497053	36.0	184.38092577890734	10.0	1338959.0
trimmed_Res2_Phage_C4_2_paired		36.35176735419689	36.0	171.9448265406185	10.0	1338959.0
trimmed_Res2_Phage_C5_1_paired		29.317807180385998	39.0	172.4486650482458	10.0	814786.0
trimmed_Res2_Phage_C5_2_paired		28.665323250847536	39.0	157.5357750378627	10.0	814786.0
trimmed_Res2_Phage_C6_1_paired		12.72939994963815	38.0	213.45540532624534	10.0	546276.0
trimmed_Res2_Phage_C6_2_paired		12.514806038190315	38.0	189.6107590302338	10.0	546276.0
trimmed_Res2_Phage_D1_1_paired		19.48355762849998	37.0	200.01745433349151	0.0	950423.0
trimmed_Res2_Phage_D1_2_paired		19.131596143423167	37.0	178.49614013970623	0.0	950423.0
trimmed_Res2_Phage_D2_1_paired		33.9392856603408	35.0	193.6660299660084	0.0	1265901.0
trimmed_Res2_Phage_D2_2_paired		32.770437691246514	35.0	173.60307875576368	10.0	1265901.0
