Sample	# contigs (>= 0 bp)	# contigs (>= 1000 bp)	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 0 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	GC (%)	N50	N75	L50	L75	# N's per 100 kbp
IndA	33586.0	33586.0	10201.0	5497.0	2271.0	980.0	287026378.0	287026378.0	227262715.0	194704158.0	144690064.0	99336791.0	33586.0	734517.0	287026378.0	47.83	25601.0	6437.0	2225.0	8085.0	0.0
IndB	74922.0	74922.0	22892.0	11620.0	4132.0	1642.0	574488758.0	574488758.0	441193074.0	362767109.0	247787203.0	161498934.0	74922.0	616964.0	574488758.0	44.81	18405.0	5493.0	5977.0	20923.0	0.0
IndC	80691.0	80691.0	19969.0	9440.0	3457.0	1448.0	530396230.0	530396230.0	377042971.0	304683944.0	213740935.0	144287020.0	80691.0	607534.0	530396230.0	44.44	14794.0	4165.0	6171.0	24525.0	0.0
IndD	109892.0	109892.0	30978.0	15179.0	5398.0	1981.0	767679649.0	767679649.0	566160748.0	456394377.0	306663068.0	189199425.0	109892.0	759862.0	767679649.0	46.93	15677.0	4714.0	9338.0	32957.0	0.0
IndE	110706.0	110706.0	31463.0	15121.0	4958.0	1772.0	747991539.0	747991539.0	544785687.0	431651965.0	276337717.0	166979950.0	110706.0	572306.0	747991539.0	46.96	14081.0	4522.0	10232.0	34874.0	0.0
IndF	90742.0	90742.0	25574.0	12691.0	4529.0	1772.0	647144113.0	647144113.0	480979261.0	391978358.0	266580715.0	170845654.0	90742.0	890825.0	647144113.0	47.5	16575.0	4830.0	7346.0	26465.0	0.0
IndG	41229.0	41229.0	11367.0	5475.0	1883.0	719.0	282670384.0	282670384.0	206664168.0	165836387.0	110637544.0	70294888.0	41229.0	538557.0	282670384.0	46.28	15137.0	4569.0	3481.0	12485.0	0.0
IndH	43670.0	43670.0	12855.0	7076.0	2940.0	1306.0	376692949.0	376692949.0	299005203.0	259052084.0	194774198.0	137808002.0	43670.0	848344.0	376692949.0	45.27	27150.0	6634.0	2694.0	9980.0	0.0
IndI	69173.0	69173.0	21651.0	11352.0	4594.0	2046.0	597744525.0	597744525.0	475488116.0	403702940.0	299202985.0	210862754.0	69173.0	594094.0	597744525.0	47.78	25054.0	6554.0	4581.0	16886.0	0.0
IndJ	50160.0	50160.0	13344.0	7136.0	3168.0	1459.0	410890728.0	410890728.0	318621270.0	275817391.0	214000695.0	154112421.0	50160.0	953508.0	410890728.0	47.31	27860.0	5891.0	2844.0	11413.0	0.0
