prophage	host	active	MW_pvalue	CohenD	prophage-host_ratio	mean_difference	prophage_len	prophage_mean_cov	prophage_median_cov	prophage_sd_cov	host_len	host_mean_cov	host_median_cov	host_sd_cov
IndH_bin_070_k141_165181_fragment_1	IndH_bin_070_k141_165181	no	nan	0	0	0	4719	0	0	0.0	212398	0	0.0	0.0
IndH_bin_042_k141_229351_fragment_1	IndH_bin_042_k141_229351	no	nan	0	0	0	46507	0	0	0.0	47977	0	0	0.0
IndH_bin_038_k141_104681_fragment_1	IndH_bin_038_k141_104681	no	nan	0	0	0	13183	0	0	0.0	10233	0	0	0.0
IndH_bin_056_k141_88360_fragment_2	IndH_bin_056_k141_88360	no	0.13422157773985685	0.07920590768961214	1.0180829784417733	0.6541614983506818	76853	36.829700857481164	36	8.374909740603664	55019	36.17553935913048	36	8.141437830004545
IndH_bin_012_k141_138555_fragment_2	IndH_bin_012_k141_138555	no	4.698416966974819e-14	0.3893533495266768	1.1837849321810006	1.6680048181669545	8261	10.743856675947223	11	4.204747701780699	249895	9.075851857780268	9	4.361888577973647
IndH_bin_012_k141_138555_fragment_3	IndH_bin_012_k141_138555	no	0.005662702189478269	0.10766952487757436	1.047051749486253	0.42703470798662124	6409	9.50288656576689	9	3.526301138427097	249895	9.075851857780268	9	4.361888577973647
IndH_bin_071_k141_167065_fragment_1	IndH_bin_071_k141_167065	no	1.9805205032409908e-157	0	0.1030040070118957	-9.680862313144496	8677	1.111674541892359	1	1.1590239375814675	19536	10.792536855036856	10.0	4.07990419216232
IndH_bin_044_k141_124386_fragment_1	IndH_bin_044_k141_124386	no	3.6899782253832534e-29	0.6224950484649575	1.113498253434216	176.52376554117927	45670	1731.8231661922487	1690.0	305.05667359844324	65738	1555.2994006510694	1516.0	260.32575576204067
IndH_bin_020_k141_195579_fragment_1	IndH_bin_020_k141_195579	no	0.0002013155999756503	0.2733133638900106	4.710699489405433	0.08445721589731509	15753	0.10721767282422395	0	0.4107733226646958	128073	0.02276045692690887	0	0.1491395058279056
IndH_bin_056_k141_216161_fragment_3	IndH_bin_056_k141_216161	no	0.253602619043849	0.11284353122399339	1.0254235138910048	1.01068428999195	40370	40.764602427545206	40.0	9.052011596359222	52576	39.753918137553256	39.0	8.859980381507476
