bin	uniqueBacSCGs	redundantBacSCGs	uniqueArcSCGs	redundantArcSCGs	bacRatio	arcRatio	size	contigs	N50	binScore	SCG_completeness	SCG_redundancy
IndD_metabat_bins.250	51	0	14	0	1	0.368421052631579	3631867	38	137561	1	100	0
IndD_metabat_bins.253	51	0	11	0	1	0.289473684210526	2268871	32	136825	1	100	0
IndD_metabat_bins.128	51	0	9	0	1	0.236842105263158	1791823	24	124071	1	100	0
concoct.228	51	0	12	0	1	0.315789473684211	2514237	60	85552	1	100	0
concoct.4	23	1	38	0	0.450980392156863	1	2188643	44	83757	1	100	1.96
concoct.47	51	0	14	0	1	0.368421052631579	2285855	51	58788	1	100	0
IndD_metabat_bins.316	51	0	13	0	1	0.342105263157895	3530790	108	53649	1	100	0
concoct.108	51	0	14	0	1	0.368421052631579	5035972	302	32473	1	100	0
concoct.240	51	0	15	0	1	0.394736842105263	2182381	108	30604	1	100	0
IndD_metabat_bins.164	51	0	14	0	1	0.368421052631579	2918578	154	26815	1	100	0
concoct.113	51	0	13	0	1	0.342105263157895	1809452	128	20958	1	100	0
concoct.125	50	0	11	1	0.980392156862745	0.289473684210526	1810359	27	146931	0.9804	98.04	2.63
IndD_metabat_bins.248	50	0	13	1	0.980392156862745	0.342105263157895	1367484	32	100365	0.9804	98.04	2.63
concoct.96	50	0	10	0	0.980392156862745	0.263157894736842	3403874	71	91009	0.9804	98.04	0
concoct.146	50	0	13	0	0.980392156862745	0.342105263157895	1660641	30	78651	0.9804	98.04	0
IndD_metabat_bins.327	50	0	13	0	0.980392156862745	0.342105263157895	1574171	37	75514	0.9804	98.04	0
IndD_metabat_bins.107	50	0	14	1	0.980392156862745	0.368421052631579	1830544	41	58486	0.9804	98.04	2.63
IndD_metabat_bins.236	50	0	11	1	0.980392156862745	0.289473684210526	2532340	61	58152	0.9804	98.04	2.63
IndD_metabat_bins.173	50	0	13	0	0.980392156862745	0.342105263157895	2650922	74	54251	0.9804	98.04	0
IndD_metabat_bins.303	50	0	13	1	0.980392156862745	0.342105263157895	1784615	55	44207	0.9804	98.04	2.63
IndD_metabat_bins.243	50	0	10	0	0.980392156862745	0.263157894736842	2008542	84	32768	0.9804	98.04	0
concoct.220	50	0	11	0	0.980392156862745	0.289473684210526	2246253	245	12316	0.9804	98.04	0
concoct.183_sub	51	1	13	1	1	0.342105263157895	2174217	43	137643	0.9784	100	2.63
IndD_metabat_bins.91	51	1	14	0	1	0.368421052631579	1356079	20	112022	0.9784	100	1.96
concoct.188	51	1	13	0	1	0.342105263157895	2352309	62	60378	0.9784	100	1.96
concoct.162	49	0	12	0	0.96078431372549	0.315789473684211	3208761	62	94015	0.9608	96.08	0
IndD_metabat_bins.136	49	0	15	1	0.96078431372549	0.394736842105263	1679932	91	27865	0.9608	96.08	2.63
concoct.243	49	0	9	0	0.96078431372549	0.236842105263158	1821943	168	15571	0.9608	96.08	0
concoct.121	49	0	11	0	0.96078431372549	0.289473684210526	2379719	426	8309	0.9608	96.08	0
IndD_metabat_bins.96	50	1	14	0	0.980392156862745	0.368421052631579	2498826	18	181295	0.9586	98.04	1.96
IndD_metabat_bins.158	50	1	15	1	0.980392156862745	0.394736842105263	1620490	20	125817	0.9586	98.04	2.63
concoct.85	50	1	12	0	0.980392156862745	0.315789473684211	2525186	55	90214	0.9586	98.04	1.96
concoct.32	50	1	14	0	0.980392156862745	0.368421052631579	2202990	44	82874	0.9586	98.04	1.96
concoct.201	50	1	13	0	0.980392156862745	0.342105263157895	2582474	67	80423	0.9586	98.04	1.96
concoct.205	50	1	14	0	0.980392156862745	0.368421052631579	2360167	72	45964	0.9586	98.04	1.96
IndD_metabat_bins.61	50	1	11	0	0.980392156862745	0.289473684210526	1210116	68	43287	0.9586	98.04	1.96
IndD_metabat_bins.305	50	1	12	1	0.980392156862745	0.315789473684211	1650056	105	24483	0.9586	98.04	2.63
IndD_metabat_bins.299	50	1	13	0	0.980392156862745	0.342105263157895	2303431	53	70678	0.9488	98.04	1.96
concoct.37	48	0	12	0	0.941176470588235	0.315789473684211	1954563	30	151364	0.9412	94.12	0
IndD_metabat_bins.33	49	1	14	1	0.96078431372549	0.368421052631579	2305319	59	54801	0.9387	96.08	2.63
concoct.120	49	1	12	0	0.96078431372549	0.315789473684211	2565628	150	48950	0.9387	96.08	1.96
IndD_metabat_bins.150	49	1	11	0	0.96078431372549	0.289473684210526	1731751	109	20698	0.9387	96.08	1.96
concoct.259_sub	49	1	14	0	0.96078431372549	0.368421052631579	2365506	89	52192	0.9387	96.08	1.96
concoct.210_sub	49	1	10	0	0.96078431372549	0.263157894736842	1727854	189	13767	0.9387	96.08	1.96
IndD_metabat_bins.153	49	1	13	1	0.96078431372549	0.342105263157895	1526898	195	9633	0.9387	96.08	2.63
concoct.196	50	2	15	0	0.980392156862745	0.394736842105263	2572320	31	187684	0.9368	98.04	3.92
IndD_metabat_bins.191	50	2	14	2	0.980392156862745	0.368421052631579	2087577	38	96284	0.9368	98.04	5.26
concoct.158_sub	50	2	14	0	0.980392156862745	0.368421052631579	1844607	246	10695	0.9368	98.04	3.92
concoct.114	51	3	12	0	1	0.315789473684211	3549362	166	40353	0.9353	100	5.88
IndD_metabat_bins.130_sub	51	3	15	1	1	0.394736842105263	2839623	201	19897	0.9353	100	5.88
concoct.236	47	0	14	0	0.92156862745098	0.368421052631579	2599815	19	211135	0.9216	92.16	0
concoct.234_sub	47	0	14	0	0.92156862745098	0.368421052631579	2916357	48	151687	0.9216	92.16	0
