bin	uniqueBacSCGs	redundantBacSCGs	uniqueArcSCGs	redundantArcSCGs	bacRatio	arcRatio	size	contigs	N50	binScore	SCG_completeness	SCG_redundancy
concoct.222	51	0	14	0	1	0.368421052631579	3291151	21	261917	1	100	0
IndI_metabat_bins.256	22	0	38	0	0.431372549019608	1	1654107	24	96624	1	100	0
concoct.86	51	0	9	0	1	0.236842105263158	2196220	47	93413	1	100	0
IndI_metabat_bins.43	51	0	13	0	1	0.342105263157895	2642703	37	89687	1	100	0
concoct.34	51	0	13	0	1	0.342105263157895	4399173	139	61631	1	100	0
concoct.20	51	0	15	0	1	0.394736842105263	3403573	102	58502	1	100	0
concoct.227	51	0	14	1	1	0.368421052631579	1873727	49	51794	1	100	2.63
concoct.107	51	0	12	0	1	0.315789473684211	2217190	108	35622	1	100	0
concoct.104	51	0	14	1	1	0.368421052631579	4997589	375	21361	1	100	2.63
concoct.52	51	0	10	0	1	0.263157894736842	1926603	134	20101	1	100	0
concoct.151	50	0	13	0	0.980392156862745	0.342105263157895	3055531	18	253875	0.9804	98.04	0
concoct.103	50	0	14	0	0.980392156862745	0.368421052631579	2004413	28	201868	0.9804	98.04	0
IndI_metabat_bins.211	50	0	13	1	0.980392156862745	0.342105263157895	1621096	33	99260	0.9804	98.04	2.63
IndI_metabat_bins.213_sub	50	0	15	1	0.980392156862745	0.394736842105263	3008563	168	32286	0.9804	98.04	2.63
concoct.117_sub	51	0	13	0	1	0.342105263157895	1886065	35	188572	1	100	0
IndI_metabat_bins.102	50	0	12	0	0.980392156862745	0.315789473684211	3539359	268	18932	0.9804	98.04	0
concoct.27	51	1	14	1	1	0.368421052631579	5155004	55	143354	0.9784	100	2.63
concoct.9	51	1	13	1	1	0.342105263157895	2427161	35	129036	0.9784	100	2.63
IndI_metabat_bins.40	51	1	14	1	1	0.368421052631579	1853467	27	97453	0.9784	100	2.63
IndI_metabat_bins.68	51	1	11	0	1	0.289473684210526	2117952	37	88542	0.9784	100	1.96
concoct.204	51	1	14	0	1	0.368421052631579	2156048	62	55835	0.9784	100	1.96
IndI_metabat_bins.136	49	0	12	0	0.96078431372549	0.315789473684211	2541730	30	109522	0.9608	96.08	0
concoct.75	49	0	12	1	0.96078431372549	0.315789473684211	1993113	111	26639	0.9608	96.08	2.63
concoct.177	50	1	14	0	0.980392156862745	0.368421052631579	2421929	68	54551	0.9586	98.04	1.96
IndI_metabat_bins.202	50	1	12	1	0.980392156862745	0.315789473684211	2145694	98	33899	0.9586	98.04	2.63
concoct.163	50	1	14	0	0.980392156862745	0.368421052631579	1828728	110	25212	0.9586	98.04	1.96
IndI_metabat_bins.45	50	1	13	1	0.980392156862745	0.342105263157895	2388696	174	18406	0.9586	98.04	2.63
IndI_metabat_bins.159	51	2	15	1	1	0.394736842105263	3082232	43	134390	0.9569	100	3.92
concoct.132	51	2	12	1	1	0.315789473684211	3087213	85	66342	0.9569	100	3.92
IndI_metabat_bins.214	51	2	15	0	1	0.394736842105263	2433886	77	45689	0.9569	100	3.92
concoct.161	51	2	13	1	1	0.342105263157895	2709385	178	31132	0.9569	100	3.92
concoct.122	51	2	11	0	1	0.289473684210526	1912768	297	8555	0.9569	100	3.92
IndI_metabat_bins.206	48	0	13	0	0.941176470588235	0.342105263157895	2751167	33	102962	0.9412	94.12	0
concoct.184	49	1	13	0	0.96078431372549	0.342105263157895	1625134	9	511067	0.9387	96.08	1.96
concoct.35	49	1	14	0	0.96078431372549	0.368421052631579	1640940	16	174798	0.9387	96.08	1.96
concoct.33	49	1	14	0	0.96078431372549	0.368421052631579	2079630	28	127392	0.9387	96.08	1.96
concoct.190	49	1	13	1	0.96078431372549	0.342105263157895	2472571	40	96037	0.9387	96.08	2.63
concoct.87	49	1	13	0	0.96078431372549	0.342105263157895	2272636	57	65246	0.9387	96.08	1.96
concoct.159	49	1	13	0	0.96078431372549	0.342105263157895	3240890	143	54470	0.9387	96.08	1.96
IndI_metabat_bins.163	49	1	13	0	0.96078431372549	0.342105263157895	3001797	121	36367	0.9387	96.08	1.96
IndI_metabat_bins.180	50	2	13	1	0.980392156862745	0.342105263157895	2423854	116	34496	0.9368	98.04	3.92
concoct.7	50	2	12	0	0.980392156862745	0.315789473684211	2629304	141	31139	0.9368	98.04	3.92
IndI_metabat_bins.165_sub	51	3	14	0	1	0.368421052631579	2353572	55	78695	0.9353	100	5.88
concoct.62_sub	51	2	13	0	1	0.342105263157895	2571621	48	111002	0.9569	100	3.92
IndI_metabat_bins.156_sub	48	0	10	0	0.941176470588235	0.263157894736842	1317380	30	117779	0.9412	94.12	0
IndI_metabat_bins.200	47	0	10	0	0.92156862745098	0.263157894736842	1517054	12	229823	0.9216	92.16	0
