user_genome	classification	fastani_reference	fastani_reference_radius	fastani_taxonomy	fastani_ani	fastani_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
IndG_bin_001	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-81;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-81;s__	ANI	N/A	GCF_003435375.1, s__CAG-81 sp900066535, 95.0, 91.64, 0.03; GCF_003480435.1, s__CAG-81 sp900066055, 95.0, 90.0, 0.03; GCF_003478035.1, s__CAG-81 sp900066785, 95.0, 86.2, 0.03; GCA_014385265.1, s__CAG-81 sp000435795, 95.0, 85.86, 0.02; GCA_900541255.1, s__CAG-81 sp900541255, 95.0, 83.07, 0.01; GCF_009917545.1, s__CAG-81 sp009917545, 95.0, 80.73, 0.01; GCA_900556965.1, s__CAG-81 sp900556965, 95.0, 77.9, 0.02	21.64	11	0.9601959958643013	N/A
IndG_bin_002	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-882;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__;s__	taxonomic novelty determined using RED	N/A	N/A	39.71	11	0.9287794271168597	N/A
IndG_bin_003	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__	ANI	N/A	GCF_002549755.1, s__Faecalibacterium prausnitzii_D, 95.0, 89.66, 0.54; GCF_002550015.1, s__Faecalibacterium prausnitzii_A, 95.0612, 89.1, 0.52; GCA_900539885.1, s__Faecalibacterium sp900539885, 95.0, 89.05, 0.51; GCF_003287405.1, s__Faecalibacterium prausnitzii_J, 95.0, 87.89, 0.52; GCF_003324185.1, s__Faecalibacterium prausnitzii, 95.0612, 87.8, 0.54; GCF_002549975.1, s__Faecalibacterium prausnitzii_H, 95.0, 87.04, 0.51; GCA_900765705.1, s__Faecalibacterium sp900765705, 95.0, 87.04, 0.4; GCA_900772565.1, s__Faecalibacterium sp900772565, 95.0, 87.0, 0.49; GCA_003449675.1, s__Faecalibacterium sp003449675, 95.0, 86.86, 0.38; GCA_900539945.1, s__Faecalibacterium sp900539945, 95.0, 86.76, 0.48; GCF_002549775.1, s__Faecalibacterium prausnitzii_F, 95.0, 86.46, 0.52; GCF_010509575.1, s__Faecalibacterium prausnitzii_C, 95.0, 85.52, 0.5; GCA_900765105.1, s__Faecalibacterium sp900765105, 95.0, 85.51, 0.41; GCF_002550035.1, s__Faecalibacterium prausnitzii_E, 95.0, 85.05, 0.49; GCF_003293635.1, s__Faecalibacterium prausnitzii_G, 95.0, 84.09, 0.47; GCF_003287495.1, s__Faecalibacterium prausnitzii_I, 95.0, 83.95, 0.51; GCA_004558805.1, s__Faecalibacterium prausnitzii_M, 95.0, 83.87, 0.47; GCA_900758465.1, s__Faecalibacterium sp900758465, 95.0, 83.76, 0.43; GCA_900551435.1, s__Faecalibacterium sp900551435, 95.0, 83.62, 0.41; GCA_002313795.1, s__Faecalibacterium prausnitzii_L, 95.0, 82.7, 0.33; GCA_900540455.1, s__Faecalibacterium sp900540455, 95.0, 81.75, 0.36; GCF_002160895.1, s__Faecalibacterium sp002160895, 95.0, 80.15, 0.35; GCF_002160915.1, s__Faecalibacterium sp002160915, 95.0, 79.64, 0.34	31.15	11	0.9824013021674849	N/A
IndG_bin_004	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__;s__	N/A	N/A	N/A	N/A	N/A	GCA_902797185.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__RUG14243;s__RUG14243 sp902797185	76.2	0.01	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__;s__	taxonomic classification defined by topology and ANI	N/A	N/A	40.68	11	0.8361657960153194	Genome has more than 12.5% of markers with multiple hits
IndG_bin_005	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospira;s__Lachnospira eligens_A	GCF_009680455.1	95.6336	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospira;s__Lachnospira eligens_A	98.3	0.86	GCF_003464165.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospira;s__Lachnospira sp003451515	95.68	0.83	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospira;s__	ANI	topological placement and ANI have incongruent species assignments	GCF_000146185.1, s__Lachnospira eligens, 95.6336, 96.1, 0.84; GCF_003458705.1, s__Lachnospira sp003537285, 95.4867, 94.78, 0.83; GCA_900547255.1, s__Lachnospira sp900547255, 95.0, 79.94, 0.37; GCA_900112995.1, s__Lachnospira rogosae_A, 95.0, 79.39, 0.41; GCA_000437735.1, s__Lachnospira sp000437735, 95.0, 78.98, 0.16; GCA_000436475.1, s__Lachnospira sp000436475, 95.0, 78.82, 0.36; GCA_000436535.1, s__Lachnospira sp000436535, 95.0, 78.78, 0.36; GCF_900103815.1, s__Lachnospira pectinoschiza_B, 95.5522, 78.69, 0.22; GCF_000424105.1, s__Lachnospira multipara, 95.5522, 78.57, 0.22; GCA_900545725.1, s__Lachnospira sp900545725, 95.0, 78.36, 0.28; GCF_000702205.1, s__Lachnospira multipara_A, 95.0, 78.33, 0.23; GCF_014287955.1, s__Lachnospira sp900316325, 95.0, 78.31, 0.31; GCA_002435585.1, s__Lachnospira sp002435585, 95.0, 78.27, 0.28; GCA_900772425.1, s__Lachnospira sp900772425, 95.0, 78.26, 0.2; GCA_002394205.1, s__Lachnospira sp002394205, 95.0, 77.51, 0.17; GCA_900551945.1, s__Lachnospira sp900551945, 95.0, 77.38, 0.22; GCA_900552795.1, s__Lachnospira sp900552795, 95.0, 77.01, 0.18	50.82	11	N/A	N/A
IndG_bin_006	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Bariatricus;s__Bariatricus comes	GCF_000155875.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Bariatricus;s__Bariatricus comes	98.1	0.86	GCF_000155875.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Bariatricus;s__Bariatricus comes	98.1	0.86	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Bariatricus;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_013300725.1, s__Bariatricus comes_A, 95.0, 95.67, 0.84; GCA_004560705.1, s__Bariatricus sp004560705, 95.0, 79.53, 0.21; GCF_900086725.1, s__Bariatricus massiliensis, 95.0, 78.9, 0.15; GCA_900554415.1, s__Bariatricus sp900554415, 95.0, 78.89, 0.14	42.74	11	N/A	N/A
IndG_bin_007	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA9502;s__UBA9502 sp003478505	GCF_003478505.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA9502;s__UBA9502 sp003478505	98.78	0.91	GCF_003478505.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA9502;s__UBA9502 sp003478505	98.78	0.91	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA9502;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_003480315.1, s__UBA9502 sp003480315, 95.0, 90.9, 0.79; GCF_900770535.1, s__UBA9502 sp900770535, 95.0, 89.18, 0.73; GCF_003481985.1, s__UBA9502 sp003506385, 95.0, 85.18, 0.73; GCF_003481825.1, s__UBA9502 sp003481825, 95.0, 84.32, 0.72; GCA_900555625.1, s__UBA9502 sp900555625, 95.0, 78.71, 0.22; GCA_900538475.1, s__UBA9502 sp900538475, 95.0, 78.65, 0.23; GCA_900540335.1, s__UBA9502 sp900540335, 95.0, 78.32, 0.25; GCA_004554205.1, s__UBA9502 sp004554205, 95.0, 77.74, 0.25; GCF_003669055.1, s__UBA9502 sp003669055, 95.0, 77.21, 0.15; GCF_009911065.1, s__UBA9502 sp009911065, 95.0, 77.2, 0.12; GCF_003611875.1, s__UBA9502 sp003611875, 95.0, 77.05, 0.15	86.2	11	N/A	N/A
IndG_bin_008	d__Bacteria;p__Cyanobacteria;c__Vampirovibrionia;o__Gastranaerophilales;f__Gastranaerophilaceae;g__CAG-196;s__CAG-196 sp002102975	GCF_900552525.1	95.0	d__Bacteria;p__Cyanobacteria;c__Vampirovibrionia;o__Gastranaerophilales;f__Gastranaerophilaceae;g__CAG-196;s__CAG-196 sp002102975	98.85	0.88	GCF_900552525.1	95.0	d__Bacteria;p__Cyanobacteria;c__Vampirovibrionia;o__Gastranaerophilales;f__Gastranaerophilaceae;g__CAG-196;s__CAG-196 sp002102975	98.85	0.88	d__Bacteria;p__Cyanobacteria;c__Vampirovibrionia;o__Gastranaerophilales;f__Gastranaerophilaceae;g__CAG-196;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_900549855.1, s__CAG-196 sp900549855, 95.0, 79.0, 0.44; GCA_900553895.1, s__CAG-196 sp900553895, 95.0, 78.23, 0.38; GCA_900321205.1, s__CAG-196 sp900321205, 95.0, 77.92, 0.27; GCA_902763805.1, s__CAG-196 sp902763805, 95.0, 77.89, 0.26; GCA_902797965.1, s__CAG-196 sp902797965, 95.0, 77.84, 0.26; GCA_902777605.1, s__CAG-196 sp902777605, 95.0, 77.82, 0.28; GCA_902780525.1, s__CAG-196 sp902780525, 95.0, 77.61, 0.25; GCA_902760905.1, s__CAG-196 sp902760905, 95.0, 77.58, 0.22; GCA_902779645.1, s__CAG-196 sp902779645, 95.0, 77.56, 0.27; GCA_902788575.1, s__CAG-196 sp902788575, 95.0, 77.53, 0.31; GCA_902775025.1, s__CAG-196 sp902775025, 95.0, 77.42, 0.24; GCA_902798645.1, s__CAG-196 sp902798645, 95.0, 77.28, 0.25; GCA_902802935.1, s__CAG-196 sp902802935, 95.0, 77.06, 0.26; GCA_002309875.1, s__CAG-196 sp002309875, 95.0, 77.0, 0.25; GCA_902782905.1, s__CAG-196 sp902782905, 95.0, 76.96, 0.23; GCA_902803165.1, s__CAG-196 sp902803165, 95.0, 76.72, 0.24; GCA_902797575.1, s__CAG-196 sp902797575, 95.0, 76.64, 0.21; GCA_902796585.1, s__CAG-196 sp902796585, 95.0, 76.47, 0.26	95.29	11	N/A	N/A
IndG_bin_009	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes putredinis	GCF_000154465.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes putredinis	99.22	0.93	GCF_000154465.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes putredinis	99.22	0.93	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_000210575.1, s__Alistipes shahii, 95.0, 79.77, 0.41; GCF_006542665.1, s__Alistipes communis, 95.0, 79.76, 0.38; GCF_000265365.1, s__Alistipes finegoldii, 95.0, 79.54, 0.43; GCA_900549305.1, s__Alistipes sp900549305, 95.0, 79.44, 0.28; GCF_006542685.1, s__Alistipes dispar, 95.0, 79.38, 0.41; GCF_000312145.1, s__Alistipes senegalensis, 95.0, 79.37, 0.42; GCF_900107675.1, s__Alistipes timonensis, 95.0, 79.36, 0.39; GCA_900541585.1, s__Alistipes sp900541585, 95.0, 79.34, 0.39; GCF_900083545.1, s__Alistipes provencensis, 95.0, 79.23, 0.42; GCA_001941065.1, s__Alistipes sp001941065, 95.0, 79.12, 0.37; GCF_000374505.1, s__Alistipes onderdonkii, 95.0, 79.1, 0.43; GCA_000434235.1, s__Alistipes sp000434235, 95.0, 79.07, 0.37; GCA_009774895.1, s__Alistipes sp009774895, 95.0, 79.06, 0.42; GCA_902388705.1, s__Alistipes sp902388705, 95.0, 78.99, 0.38; GCF_902363575.1, s__Alistipes sp902363575, 95.0, 78.91, 0.41; GCA_900544265.1, s__Alistipes sp900544265, 95.0, 78.82, 0.37; GCF_900290115.1, s__Alistipes sp900290115, 95.0, 78.79, 0.37; GCF_002161445.1, s__Alistipes sp002161445, 95.0, 78.77, 0.35; GCF_902362705.1, s__Alistipes sp002358415, 95.0, 78.77, 0.33; GCA_900542505.1, s__Alistipes sp900542505, 95.0, 78.68, 0.35; GCA_900550375.1, s__Alistipes sp900550375, 95.0, 78.68, 0.27; GCF_900604385.1, s__Alistipes megaguti, 95.0, 78.67, 0.35; GCF_900021155.1, s__Alistipes sp900021155, 95.0, 78.65, 0.43; GCA_900552955.1, s__Alistipes sp900552955, 95.0, 78.64, 0.33; GCA_900553175.1, s__Alistipes sp900553175, 95.0, 78.37, 0.36; GCA_900760675.1, s__Alistipes sp900760675, 95.0, 78.16, 0.32; GCA_002428825.1, s__Alistipes sp002428825, 95.0, 78.07, 0.32; GCA_900548155.1, s__Alistipes sp900548155, 95.0, 77.81, 0.18; GCA_003979135.1, s__Alistipes sp003979135, 95.0, 77.67, 0.25; GCA_900546065.1, s__Alistipes sp900546065, 95.0, 77.66, 0.19; GCA_002362235.1, s__Alistipes sp002362235, 95.0, 77.42, 0.17; GCA_900761235.1, s__Alistipes sp900761235, 95.0, 77.34, 0.16; GCA_900550925.1, s__Alistipes sp900550925, 95.0, 77.28, 0.16; GCA_900769405.1, s__Alistipes sp900769405, 95.0, 76.97, 0.15; GCA_900770585.1, s__Alistipes sp900770585, 95.0, 76.73, 0.12; GCA_002293345.1, s__Alistipes sp002293345, 95.0, 76.5, 0.19; GCA_900769445.1, s__Alistipes sp900769445, 95.0, 76.46, 0.05; GCA_900768045.1, s__Alistipes sp900768045, 95.0, 76.42, 0.05; GCA_900768015.1, s__Alistipes sp900768015, 95.0, 76.33, 0.08; GCA_900770635.1, s__Alistipes sp900770635, 95.0, 76.3, 0.07; GCA_900769745.1, s__Alistipes sp900769745, 95.0, 76.2, 0.05; GCA_900766655.1, s__Alistipes sp900766655, 95.0, 75.99, 0.03; GCA_900769525.1, s__Alistipes sp900769525, 95.0, 75.82, 0.05	92.36	11	N/A	N/A
IndG_bin_010	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Lawsonibacter;s__Lawsonibacter sp014287875	GCF_014287875.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Lawsonibacter;s__Lawsonibacter sp014287875	97.76	0.9	GCF_014287875.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Lawsonibacter;s__Lawsonibacter sp014287875	97.76	0.9	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Lawsonibacter;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_900549405.1, s__Lawsonibacter sp900549405, 95.0, 93.27, 0.75; GCA_900550705.1, s__Lawsonibacter sp900550705, 95.0, 84.18, 0.6; GCF_003478995.1, s__Lawsonibacter sp003478995, 95.0, 82.05, 0.58; GCF_002160305.1, s__Lawsonibacter sp002160305, 95.0, 81.77, 0.58; GCF_002161175.1, s__Lawsonibacter sp002161175, 95.0, 81.5, 0.5; GCF_003573975.1, s__Lawsonibacter sp900066825, 95.0, 81.46, 0.52; GCA_900553135.1, s__Lawsonibacter sp900553135, 95.0, 81.41, 0.45; GCF_902363045.1, s__Lawsonibacter sp902363045, 95.0, 81.37, 0.53; GCF_003112755.1, s__Lawsonibacter asaccharolyticus, 95.0, 81.3, 0.56; GCF_000492175.1, s__Lawsonibacter sp000492175, 95.0, 81.23, 0.56; GCA_900766145.1, s__Lawsonibacter sp900766145, 95.0, 81.2, 0.47; GCA_900545895.1, s__Lawsonibacter sp900545895, 95.0, 81.03, 0.48; GCF_008727735.1, s__Lawsonibacter sp000177015, 95.0, 81.0, 0.52; GCF_003612335.1, s__Lawsonibacter sp003612335, 95.0, 80.89, 0.54; GCA_900764755.1, s__Lawsonibacter sp900764755, 95.0, 80.88, 0.48; GCF_009911595.1, s__Lawsonibacter sp009911595, 95.0, 80.77, 0.55; GCF_009911645.1, s__Lawsonibacter sp009911645, 95.0, 80.38, 0.51; GCF_902362775.1, s__Lawsonibacter sp900066645, 95.0, 80.14, 0.5; GCF_009917615.1, s__Lawsonibacter sp009917615, 95.0, 79.85, 0.45; GCA_900763995.1, s__Lawsonibacter sp900763995, 95.0, 79.64, 0.34; GCA_900754605.1, s__Lawsonibacter sp900754605, 95.0, 79.36, 0.32	78.08	11	N/A	N/A
