scaffold	fragment	protein start	protein stop	protein length	nucleotide start	nucleotide stop	nucleotide length
IndE_bin_062_k141_30039	IndE_bin_062_k141_30039_fragment_1	9	102	94	7844	69817	61974
IndE_bin_055_k141_6368	IndE_bin_055_k141_6368_fragment_2	26	43	18	25187	39839	14653
IndE_bin_150_k141_626754	IndE_bin_150_k141_626754_fragment_1	14	31	18	14438	25748	11311
IndE_bin_072_k141_600286	IndE_bin_072_k141_600286_fragment_1	2	60	59	592	51246	50655
IndE_bin_039_k141_495138	IndE_bin_039_k141_495138_fragment_3	58	126	69	59093	116473	57381
IndE_bin_117_k141_195370	IndE_bin_117_k141_195370_fragment_2	21	48	28	21555	39510	17956
IndE_bin_040_k141_28483	IndE_bin_040_k141_28483_fragment_1	82	150	69	73817	122447	48631
IndE_bin_153_k141_62242	IndE_bin_153_k141_62242_fragment_2	61	99	39	59241	87556	28316
IndE_bin_077_k141_315766	IndE_bin_077_k141_315766_fragment_1	1	75	75	1	48600	48600
IndE_bin_066_k141_511065	IndE_bin_066_k141_511065_fragment_1	9	18	10	9023	16519	7497
IndE_bin_091_k141_22629	IndE_bin_091_k141_22629_fragment_2	23	36	14	27508	33922	6415
IndE_bin_035_k141_546179	IndE_bin_035_k141_546179_fragment_2	27	37	11	21563	32469	10907
IndE_bin_023_k141_532735	IndE_bin_023_k141_532735_fragment_1	19	40	22	14561	43540	28980
IndE_bin_120_k141_577058	IndE_bin_120_k141_577058_fragment_2	70	77	8	84043	91051	7009
IndE_bin_140_k141_18386	IndE_bin_140_k141_18386_fragment_1	24	64	41	30345	57598	27254
IndE_bin_032_k141_507097	IndE_bin_032_k141_507097_fragment_1	47	62	16	50262	58173	7912
IndE_bin_040_k141_308971	IndE_bin_040_k141_308971_fragment_1	19	70	52	16086	51435	35350
IndE_bin_111_k141_84145	IndE_bin_111_k141_84145_fragment_1	8	53	46	2531	32382	29852
IndE_bin_005_k141_208069	IndE_bin_005_k141_208069_fragment_1	12	19	8	10447	15878	5432
IndE_bin_117_k141_432670	IndE_bin_117_k141_432670_fragment_3	103	110	8	111303	115659	4357
IndE_bin_129_k141_508479	IndE_bin_129_k141_508479_fragment_2	23	61	39	21294	53293	32000
IndE_bin_053_k141_582007	IndE_bin_053_k141_582007_fragment_2	108	115	8	118036	128951	10916
IndE_bin_086_k141_521931	IndE_bin_086_k141_521931_fragment_2	26	43	18	39606	61890	22285
IndE_bin_021_k141_449318	IndE_bin_021_k141_449318_fragment_1	26	87	62	29125	71980	42856
IndE_bin_040_k141_309848	IndE_bin_040_k141_309848_fragment_3	99	120	22	101560	119564	18005
IndE_bin_080_k141_381299	IndE_bin_080_k141_381299_fragment_1	2	12	11	708	9371	8664
