scaffold	fragment	protein start	protein stop	protein length	nucleotide start	nucleotide stop	nucleotide length
IndA_bin_041_k141_21397	IndA_bin_041_k141_21397_fragment_4	81	91	11	73974	85542	11569
IndA_bin_048_k141_39343	IndA_bin_048_k141_39343_fragment_2	19	27	9	16434	23836	7403
IndA_bin_040_k141_127077	IndA_bin_040_k141_127077_fragment_1	1	48	48	390	32024	31635
IndA_bin_010_k141_148180	IndA_bin_010_k141_148180_fragment_2	84	95	12	127060	133462	6403
IndA_bin_037_k141_29170	IndA_bin_037_k141_29170_fragment_1	2	55	54	271	33888	33618
IndA_bin_011_k141_111653	IndA_bin_011_k141_111653_fragment_1	58	75	18	71430	84775	13346
IndA_bin_039_k141_153027	IndA_bin_039_k141_153027_fragment_1	19	27	9	14517	20964	6448
IndA_bin_030_k141_79008	IndA_bin_030_k141_79008_fragment_1	6	14	9	5355	12545	7191
IndA_bin_013_k141_39017	IndA_bin_013_k141_39017_fragment_1	71	82	12	66208	72909	6702
IndA_bin_035_k141_33927	IndA_bin_035_k141_33927_fragment_3	79	125	47	85250	110660	25411
IndA_bin_045_k141_657	IndA_bin_045_k141_657_fragment_1	4	12	9	2945	14811	11867
IndA_bin_008_k141_75317	IndA_bin_008_k141_75317_fragment_1	6	34	29	2489	23873	21385
IndA_bin_004_k141_133984	IndA_bin_004_k141_133984_fragment_1	19	33	15	22393	31181	8789
IndA_bin_013_k141_113174	IndA_bin_013_k141_113174_fragment_2	83	92	10	85778	96093	10316
IndA_bin_039_k141_437	IndA_bin_039_k141_437_fragment_1	8	61	54	5131	49778	44648
IndA_bin_029_k141_6011	IndA_bin_029_k141_6011_fragment_1	1	9	9	369	6409	6041
IndA_bin_056_k141_134775	IndA_bin_056_k141_134775_fragment_1	76	328	253	84067	251047	166981
IndA_bin_008_k141_157524	IndA_bin_008_k141_157524_fragment_1	3	19	17	1519	12520	11002
IndA_bin_031_k141_152	IndA_bin_031_k141_152_fragment_1	12	27	16	17241	33731	16491
IndA_bin_028_k141_89979	IndA_bin_028_k141_89979_fragment_3	107	154	48	125398	160847	35450
IndA_bin_049_k141_6823	IndA_bin_049_k141_6823_fragment_2	88	99	12	101130	109819	8690
IndA_bin_014_k141_42878	IndA_bin_014_k141_42878_fragment_1	1	61	61	2	46341	46340
IndA_bin_030_k141_44994	IndA_bin_030_k141_44994_fragment_1	11	28	18	8763	20855	12093
IndA_bin_010_k141_142468	IndA_bin_010_k141_142468_fragment_1	2	11	10	71	12103	12033
IndA_bin_005_k141_89580	IndA_bin_005_k141_89580_fragment_2	111	201	91	133495	216494	83000
IndA_bin_013_k141_144158	IndA_bin_013_k141_144158_fragment_1	14	36	23	16223	34305	18083
IndA_bin_011_k141_85427	IndA_bin_011_k141_85427_fragment_1	22	32	11	22590	32471	9882
IndA_bin_057_k141_124401	IndA_bin_057_k141_124401_fragment_2	70	137	68	84042	139390	55349
IndA_bin_015_k141_58277	IndA_bin_015_k141_58277_fragment_1	23	31	9	30361	37506	7146
IndA_bin_039_k141_38552	IndA_bin_039_k141_38552_fragment_1	4	15	12	1563	9931	8369
IndA_bin_039_k141_125817	IndA_bin_039_k141_125817_fragment_1	5	16	12	1390	7679	6290
IndA_bin_059_k141_42815	IndA_bin_059_k141_42815_fragment_1	3	20	18	2424	25460	23037
IndA_bin_054_k141_142796	IndA_bin_054_k141_142796_fragment_1	7	67	61	4079	65761	61683
IndA_bin_054_k141_142796	IndA_bin_054_k141_142796_fragment_2	85	94	10	87772	93613	5842
IndA_bin_054_k141_110016	IndA_bin_054_k141_110016_fragment_1	2	36	35	404	32692	32289
IndA_bin_011_k141_50892	IndA_bin_011_k141_50892_fragment_1	1	15	15	2	13173	13172
IndA_bin_011_k141_88809	IndA_bin_011_k141_88809_fragment_1	1	32	32	3	28173	28171
IndA_bin_011_k141_116266	IndA_bin_011_k141_116266_fragment_1	6	14	9	6015	12900	6886
