bin	uniqueBacSCGs	redundantBacSCGs	uniqueArcSCGs	redundantArcSCGs	bacRatio	arcRatio	size	contigs	N50	binScore	SCG_completeness	SCG_redundancy
IndB_metabat_bins.26	51	0	11	0	1	0.289473684210526	1969190	16	284755	1	100	0
concoct.207	51	0	14	0	1	0.368421052631579	2955803	28	233012	1	100	0
concoct.56	51	0	14	0	1	0.368421052631579	4725124	37	175364	1	100	0
IndB_metabat_bins.261	51	0	14	0	1	0.368421052631579	3308892	30	162675	1	100	0
IndB_metabat_bins.213	51	0	11	0	1	0.289473684210526	2233769	36	122675	1	100	0
concoct.96	51	0	14	0	1	0.368421052631579	3759786	53	108120	1	100	0
concoct.108	51	0	14	0	1	0.368421052631579	3205834	55	107809	1	100	0
concoct.16	51	0	14	0	1	0.368421052631579	4026918	65	99389	1	100	0
concoct.149	51	0	12	0	1	0.315789473684211	2790680	63	78222	1	100	0
IndB_metabat_bins.90	51	0	13	0	1	0.342105263157895	3602460	109	47747	1	100	0
IndB_metabat_bins.260	50	0	16	1	0.980392156862745	0.421052631578947	1661125	27	94623	0.9804	98.04	2.63
concoct.213	50	0	11	0	0.980392156862745	0.289473684210526	2512671	80	50749	0.9804	98.04	0
concoct.144	50	0	14	0	0.980392156862745	0.368421052631579	1834919	66	38131	0.9804	98.04	0
IndB_metabat_bins.247	50	0	12	0	0.980392156862745	0.315789473684211	1630917	92	28376	0.9804	98.04	0
IndB_metabat_bins.167	50	0	10	0	0.980392156862745	0.263157894736842	1122468	88	21085	0.9804	98.04	0
concoct.203	51	1	14	0	1	0.368421052631579	3991511	113	90585	0.9784	100	1.96
IndB_metabat_bins.189	49	0	13	0	0.96078431372549	0.342105263157895	2232401	49	71480	0.9608	96.08	0
IndB_metabat_bins.77	49	0	14	0	0.96078431372549	0.368421052631579	1464028	57	43802	0.9608	96.08	0
concoct.86	49	0	12	1	0.96078431372549	0.315789473684211	2021896	99	31790	0.9608	96.08	2.63
IndB_metabat_bins.125	49	0	13	0	0.96078431372549	0.342105263157895	2085094	147	19772	0.9608	96.08	0
IndB_metabat_bins.93	50	1	11	0	0.980392156862745	0.289473684210526	2484936	19	233045	0.9586	98.04	1.96
IndB_metabat_bins.248	50	1	12	1	0.980392156862745	0.315789473684211	2387496	22	162614	0.9586	98.04	2.63
IndB_metabat_bins.104	50	1	14	0	0.980392156862745	0.368421052631579	2436069	36	112742	0.9586	98.04	1.96
IndB_metabat_bins.25	51	2	15	0	1	0.394736842105263	3035465	53	108659	0.9569	100	3.92
IndB_metabat_bins.100	51	2	15	0	1	0.394736842105263	2777996	76	64908	0.9569	100	3.92
