prophage	host	active	MW_pvalue	CohenD	prophage-host_ratio	mean_difference	prophage_len	prophage_mean_cov	prophage_median_cov	prophage_sd_cov	host_len	host_mean_cov	host_median_cov	host_sd_cov
IndE_bin_014_k141_475862_fragment_2	IndE_bin_014_k141_475862	no	0.4640654225194347	0	0.7202301462293157	-0.2323537072982853	5990	0.5981636060100167	0.0	0.9871253196385872	19176	0.830517313308302	0.0	1.2343873748965049
IndE_bin_023_k141_532735_fragment_1	IndE_bin_023_k141_532735	no	nan	0	0	0	28980	0	0.0	0.0	33224	0	0.0	0.0
IndE_bin_001_k141_529696_fragment_2	IndE_bin_001_k141_529696	no	0.34477628227708795	0.14038519843031091	1.0491732759558077	1.0955411139101265	50163	23.37473835296932	23	8.001815994944817	34481	22.279197239059194	22	7.600672305445573
IndE_bin_032_k141_507097_fragment_1	IndE_bin_032_k141_507097	no	nan	0	0.0	-0.07973460989334005	7786	0	0.0	0.0	59535	0.07973460989334005	0	1.9038715932239247
IndE_bin_129_k141_684178_fragment_1	IndE_bin_129_k141_684178	no	nan	0	0	0	12249	0	0	0.0	43401	0	0	0.0
IndE_bin_040_k141_654277_fragment_1	IndE_bin_040_k141_654277	no	nan	0	0	0	12341	0	0	0.0	80610	0	0.0	0.0
IndE_bin_010_k141_494314_fragment_1	IndE_bin_010_k141_494314	no	nan	0	0	0	10878	0	0.0	0.0	4859	0	0	0.0
IndE_bin_040_k141_309848_fragment_3	IndE_bin_040_k141_309848	no	nan	0	0	0	18005	0	0	0.0	102016	0	0.0	0.0
IndE_bin_153_k141_214035_fragment_2	IndE_bin_153_k141_214035	no	5.156890666218818e-09	0.43219896755540327	1.1416302534939893	4.048149898812866	53351	32.630672339787445	32	9.361446359087898	26514	28.58252244097458	28.0	9.371357909622024
IndE_bin_153_k141_508873_fragment_2	IndE_bin_153_k141_508873	no	2.2325650747662383e-24	0.5975784040673434	1.2291485447697603	5.109796191829357	26638	27.408852015917113	27.0	8.284696131265784	39929	22.299055824087755	21	8.808942888609325
IndE_bin_121_k141_28984_fragment_1	IndE_bin_121_k141_28984	no	3.9455573267042065e-09	0.6894516049016574	18.724422308569164	4.38991653163201	6879	4.637592673353685	0	8.98371372649792	14846	0.24767614172167587	0.0	0.6138787135093753
IndE_bin_117_k141_432670_fragment_3	IndE_bin_117_k141_432670	no	nan	0.7101515513866878	12.849667202203351	12.849667202203351	4357	12.849667202203351	0	25.589148673762047	111118	0	0.0	0.0
IndE_bin_110_k141_676114_fragment_1	IndE_bin_110_k141_676114	no	0.2693847603830521	0	0.9232428408240402	-0.13911464570214105	15714	1.6732849688176148	2.0	1.6214028037834076	9339	1.8123996145197558	2	1.9235585631869134
IndE_bin_065_k141_14553_fragment_1	IndE_bin_065_k141_14553	no	7.653187457541016e-137	0	0.03690883361619141	-22.29527026499485	9473	0.8544283753826665	0	4.033645667920013	21403	23.14969864037752	23	7.17590522579286
IndE_bin_005_k141_208069_fragment_1	IndE_bin_005_k141_208069	no	5.694152272148581e-06	0.5758803517693505	4.329240665400336	10.421451637268586	5432	13.551730486008836	3.0	25.139007622440133	11153	3.1302788487402493	2	4.795940947564237
IndE_bin_128_k141_153435_fragment_1	IndE_bin_128_k141_153435	no	nan	0	0	0	19817	0	0	0.0	354781	0	0	0.0
IndE_bin_097_k141_229421_fragment_2	IndE_bin_097_k141_229421	no	0.002614911822285023	0	0.8965148447666907	-0.6312101682778373	12103	5.468313641245972	5	3.317516576514752	81900	6.099523809523809	6.0	3.4049762034663877
IndE_bin_086_k141_521931_fragment_2	IndE_bin_086_k141_521931	no	1.865493955652324e-53	1.2180108365893607	1.3368149566001593	44.94991812421611	22285	178.4057437738389	172	44.800847365260275	65615	133.4558256496228	132	26.772160649262812
IndE_bin_014_k141_254900_fragment_1	IndE_bin_014_k141_254900	no	1.340840645678531e-22	0.6542886080062252	1.9424093341999917	1.7909627351886075	31708	3.691371262772802	3.0	3.1398263409720055	29129	1.9004085275841944	1	2.2642336044502773
IndE_bin_102_k141_524814_fragment_1	IndE_bin_102_k141_524814	no	0.035343729116571895	0.2527280890458442	1.1196747257679347	1.1611333507721504	34502	10.863544142368559	10.0	5.000894287788975	21943	9.702410791596408	9	4.148257074312769
IndE_bin_050_k141_18785_fragment_2	IndE_bin_050_k141_18785	no	6.891541335121339e-18	0.52902965988953	1.1305558531035538	7.053159674376886	36847	61.07723830976742	61	13.368168323576795	43441	54.02407863539053	53	13.296249777413026
IndE_bin_021_k141_449318_fragment_1	IndE_bin_021_k141_449318	no	0.0025066780078588933	0	0.45836291288586045	-0.18336038435442992	42605	0.15516958103508977	0	0.482516939044197	65876	0.3385299653895197	0.0	5.398662345028237
IndE_bin_062_k141_708864_fragment_1	IndE_bin_062_k141_708864	no	nan	0	0.0	-0.05849388201744205	14434	0	0.0	0.0	30157	0.05849388201744205	0	0.49546346254315776
IndE_bin_077_k141_315766_fragment_1	IndE_bin_077_k141_315766	no	0.8475600397563756	0	0.9959051707481982	-0.03065760244756177	48467	7.456248581509068	7	3.8215571967700432	10883	7.48690618395663	7	3.7287027304085885
IndE_bin_136_k141_368941_fragment_1	IndE_bin_136_k141_368941	no	6.21382665403371e-05	0	0.8837741890778359	-0.8062297125383173	6405	6.130523028883685	6	3.369381244845835	14135	6.936752741422002	7	3.5046256698957867
IndE_bin_153_k141_432941_fragment_1	IndE_bin_153_k141_432941	no	6.881296964907948e-11	0.3719190842570928	1.1217457901416539	3.1207084859235756	63491	28.75369737443102	28	8.519145717012833	87387	25.632988888507445	25	8.260514085856158
IndE_bin_013_k141_625452_fragment_1	IndE_bin_013_k141_625452	no	0.43321652188990895	0	0.8090855952050825	-0.1638559171388141	14176	0.6944130925507901	0.0	1.0450250840235604	18267	0.8582690096896042	0	1.2801078646282182
IndE_bin_068_k141_553634_fragment_1	IndE_bin_068_k141_553634	no	nan	0	0	0	32115	0	0	0.0	166192	0	0.0	0.0
IndE_bin_025_k141_700462_fragment_1	IndE_bin_025_k141_700462	no	nan	0	0	0	29069	0	0	0.0	17992	0	0.0	0.0
IndE_bin_145_k141_676205_fragment_1	IndE_bin_145_k141_676205	no	nan	0	0	0	23464	0	0.0	0.0	29770	0	0.0	0.0
IndE_bin_039_k141_325719_fragment_3	IndE_bin_039_k141_325719	yes	2.011292337431543e-51	1.3112960888639646	2.1887818080702255	7.977195623804689	45466	14.687590727136762	14.0	5.353782155165409	145405	6.710395103332073	6	6.734507067583016
IndE_bin_053_k141_475599_fragment_1	IndE_bin_053_k141_475599	no	0.08791489048938071	0	0.9949393609147712	-0.15864077110414243	73765	31.189330983528773	31	8.746367240717465	85961	31.347971754632916	31	8.251397972898857
IndE_bin_107_k141_501734_fragment_1	IndE_bin_107_k141_501734	no	1.2450077308569595e-22	0.6698893524049105	1.279338960956318	4.5924914512366435	77434	21.03306041273859	21.0	7.09193559931997	111642	16.440568961501945	16.0	6.610814668837179
IndE_bin_055_k141_6368_fragment_2	IndE_bin_055_k141_6368	no	0.1251965683719483	0	0.30447965829306317	-0.11465743083357866	14185	0.05019386676066267	0	0.21835247569602634	42232	0.16485129759424133	0.0	0.4883697517983382
IndE_bin_068_k141_98435_fragment_1	IndE_bin_068_k141_98435	no	nan	0	0	0	18815	0	0	0.0	158206	0	0.0	0.0
IndE_bin_014_k141_138610_fragment_2	IndE_bin_014_k141_138610	no	4.12750487469115e-07	0.10796586262008405	1.1765721499839434	0.11569254891771397	18774	0.7709065729199958	0.0	1.0946684926649586	91158	0.6552140240022818	0.0	1.0479543551134773
IndE_bin_061_k141_12737_fragment_1	IndE_bin_061_k141_12737	no	0.4116820288514123	0	0.9812872534368124	-0.04279634227535789	44890	2.2442192024949876	2.0	2.079849277059085	28434	2.2870155447703455	2.0	1.9916000768769668
IndE_bin_129_k141_508479_fragment_2	IndE_bin_129_k141_508479	no	nan	0	0	0	32000	0	0.0	0.0	21870	0	0.0	0.0
IndE_bin_080_k141_381299_fragment_1	IndE_bin_080_k141_381299	no	nan	0	0	0	8664	0	0.0	0.0	13472	0	0.0	0.0
IndE_bin_130_k141_43994_fragment_1	IndE_bin_130_k141_43994	no	2.2512626162291216e-36	0	0.8244861266143313	-12.623751195594188	27945	59.30076936840222	60	12.486206293524221	51206	71.92452056399641	71.0	15.084202211951897
IndE_bin_153_k141_62242_fragment_2	IndE_bin_153_k141_62242	no	2.2529139937701852e-05	0.497569277048082	1.1927456518370179	4.08280125754246	27632	25.26512738853503	25.0	9.266844377542176	59240	21.18232613099257	21.0	6.984685283962123
IndE_bin_086_k141_5730_fragment_1	IndE_bin_086_k141_5730	no	5.069301421233574e-19	0.5749794016791149	1.1268739424675762	13.112837597534593	38334	116.46611363280638	114.0	26.149497000901906	8959	103.35327603527179	102	18.878783023936595
IndE_bin_014_k141_581522_fragment_3	IndE_bin_014_k141_581522	no	0.666677535796254	0	0.8266211398994867	-0.14304373991301256	8896	0.6819919064748201	0.0	0.9538746818946765	33664	0.8250356463878327	0.0	1.1468201712908244
IndE_bin_053_k141_309270_fragment_1	IndE_bin_053_k141_309270	no	0.002871299561290416	0.42185391615257894	1.1936521676659342	5.73076915532209	40389	35.32387531258511	32	17.305147180025802	338592	29.59310615726302	29.0	8.343940970378474
IndE_bin_140_k141_18386_fragment_1	IndE_bin_140_k141_18386	no	nan	0.21560983993625668	25.580672021466	0.024517805852613143	26298	0.02551524830785611	0.0	0.1576869237670589	39100	0.0009974424552429667	0.0	0.03156696135258614
IndE_bin_130_k141_575721_fragment_1	IndE_bin_130_k141_575721	yes	3.795471830516667e-147	3.194503944446196	1.8713622559475347	60.088727594986665	31625	129.04825296442687	129	21.315628234214323	27474	68.9595253694402	67.0	15.914733617690258
IndE_bin_066_k141_511065_fragment_1	IndE_bin_066_k141_511065	no	nan	0.5567895119614107	2.5272555119707834	2.5272555119707834	7393	2.5272555119707834	0	6.419084669933491	8996	0	0.0	0.0
IndE_bin_120_k141_577058_fragment_2	IndE_bin_120_k141_577058	no	nan	0	0	0	7009	0	0	0.0	83832	0	0.0	0.0
IndE_bin_072_k141_290903_fragment_1	IndE_bin_072_k141_290903	no	1.8095402744387447e-25	0.7429472816960797	1.1042808891309877	39.38954743839594	29840	417.11501340482573	417.0	49.103124505003215	19422	377.7254659664298	380.0	56.66295798951707
IndE_bin_010_k141_570223_fragment_1	IndE_bin_010_k141_570223	no	0.4227545480990891	0	0.9927046732133576	-0.13753137717243646	6885	18.714451706608568	19	5.727450695245825	8749	18.851983083781004	19	6.207980082137569
IndE_bin_071_k141_316718_fragment_2	IndE_bin_071_k141_316718	no	4.0835033182556286e-19	0.60882854393219	1.1795434358542385	6.170911358354871	31590	40.540930674264004	40.0	9.845314391879489	117002	34.37001931590913	33.0	10.41801989922578
IndE_bin_089_k141_547858_fragment_1	IndE_bin_089_k141_547858	no	0.4536320575455429	0.12203347621379071	1.116988198040741	0.2479454160022021	15884	2.3673507932510702	2.0	2.075292271112267	24957	2.119405377248868	2	1.9873192722151714
