scaffold	fragment	protein start	protein stop	protein length	nucleotide start	nucleotide stop	nucleotide length
IndF_bin_137_k141_271065	IndF_bin_137_k141_271065_fragment_1	41	72	32	51540	74958	23419
IndF_bin_137_k141_157846	IndF_bin_137_k141_157846_fragment_1	1	9	9	2	12336	12335
IndF_bin_137_k141_157846	IndF_bin_137_k141_157846_fragment_2	71	116	46	66180	106760	40581
IndF_bin_144_k141_10841	IndF_bin_144_k141_10841_fragment_1	2	54	53	2511	40878	38368
IndF_bin_030_k141_113638	IndF_bin_030_k141_113638_fragment_1	2	10	9	713	7956	7244
IndF_bin_140_k141_115423	IndF_bin_140_k141_115423_fragment_1	3	21	19	1948	20538	18591
IndF_bin_044_k141_287373	IndF_bin_044_k141_287373_fragment_1	22	86	65	24149	72817	48669
IndF_bin_143_k141_497184	IndF_bin_143_k141_497184_fragment_1	9	26	18	10020	21994	11975
IndF_bin_097_k141_265489	IndF_bin_097_k141_265489_fragment_1	11	65	55	9230	56587	47358
IndF_bin_143_k141_235677	IndF_bin_143_k141_235677_fragment_1	13	73	61	11698	51594	39897
IndF_bin_019_k141_155288	IndF_bin_019_k141_155288_fragment_1	10	18	9	6365	11852	5488
IndF_bin_099_k141_312424	IndF_bin_099_k141_312424_fragment_2	83	92	10	85737	95804	10068
IndF_bin_036_k141_156691	IndF_bin_036_k141_156691_fragment_1	1	53	53	471	46547	46077
IndF_bin_033_k141_47991	IndF_bin_033_k141_47991_fragment_2	47	109	63	49985	87092	37108
IndF_bin_117_k141_398536	IndF_bin_117_k141_398536_fragment_1	12	21	10	11252	21052	9801
IndF_bin_096_k141_369708	IndF_bin_096_k141_369708_fragment_1	65	131	67	66211	118712	52502
IndF_bin_125_k141_45892	IndF_bin_125_k141_45892_fragment_1	1	35	35	206	40206	40001
IndF_bin_107_k141_458282	IndF_bin_107_k141_458282_fragment_1	33	49	17	39591	50180	10590
IndF_bin_143_k141_525029	IndF_bin_143_k141_525029_fragment_1	19	62	44	18523	52949	34427
IndF_bin_143_k141_525029	IndF_bin_143_k141_525029_fragment_2	68	75	8	58288	64883	6596
IndF_bin_135_k141_313822	IndF_bin_135_k141_313822_fragment_1	1	11	11	2	10126	10125
IndF_bin_030_k141_177468	IndF_bin_030_k141_177468_fragment_2	89	96	8	89667	97711	8045
IndF_bin_125_k141_25669	IndF_bin_125_k141_25669_fragment_1	9	20	12	5473	15188	9716
IndF_bin_137_k141_313734	IndF_bin_137_k141_313734_fragment_2	102	118	17	113574	125471	11898
IndF_bin_106_k141_424770	IndF_bin_106_k141_424770_fragment_1	5	19	15	2784	15614	12831
IndF_bin_036_k141_338440	IndF_bin_036_k141_338440_fragment_1	2	11	10	169	6353	6185
IndF_bin_138_k141_92360	IndF_bin_138_k141_92360_fragment_1	6	14	9	4410	10858	6449
IndF_bin_040_k141_272122	IndF_bin_040_k141_272122_fragment_1	12	27	16	20457	33582	13126
