scaffold	fragment	protein start	protein stop	protein length	nucleotide start	nucleotide stop	nucleotide length
IndI_bin_092_k141_130665	IndI_bin_092_k141_130665_fragment_1	2	53	52	841	34043	33203
IndI_bin_037_k141_178742	IndI_bin_037_k141_178742_fragment_4	254	268	15	340438	354955	14518
IndI_bin_028_k141_48899	IndI_bin_028_k141_48899_fragment_1	2	35	34	1583	23277	21695
IndI_bin_042_k141_250274	IndI_bin_042_k141_250274_fragment_1	8	18	11	8194	18189	9996
IndI_bin_057_k141_70221	IndI_bin_057_k141_70221_fragment_1	3	42	40	295	37211	36917
IndI_bin_002_k141_34030	IndI_bin_002_k141_34030_fragment_2	69	83	15	45850	59008	13159
IndI_bin_073_k141_95737	IndI_bin_073_k141_95737_fragment_1	5	16	12	4148	12010	7863
IndI_bin_130_k141_49920	IndI_bin_130_k141_49920_fragment_1	12	20	9	10847	18050	7204
IndI_bin_020_k141_66254	IndI_bin_020_k141_66254_fragment_1	19	44	26	11949	30883	18935
IndI_bin_107_k141_10447	IndI_bin_107_k141_10447_fragment_1	1	20	20	3	17579	17577
IndI_bin_115_k141_251055	IndI_bin_115_k141_251055_fragment_3	97	104	8	116345	125759	9415
IndI_bin_130_k141_119921	IndI_bin_130_k141_119921_fragment_1	1	8	8	2	8135	8134
IndI_bin_089_k141_344018	IndI_bin_089_k141_344018_fragment_1	14	21	8	12672	17849	5178
IndI_bin_103_k141_249051	IndI_bin_103_k141_249051_fragment_2	15	27	13	9157	17109	7953
IndI_bin_116_k141_363371	IndI_bin_116_k141_363371_fragment_1	37	81	45	53022	90436	37415
IndI_bin_046_k141_7625	IndI_bin_046_k141_7625_fragment_2	50	75	26	55805	76344	20540
IndI_bin_018_k141_11784	IndI_bin_018_k141_11784_fragment_1	18	29	12	13648	22150	8503
IndI_bin_068_k141_321970	IndI_bin_068_k141_321970_fragment_1	33	79	47	32956	65033	32078
IndI_bin_112_k141_110732	IndI_bin_112_k141_110732_fragment_2	155	166	12	181591	190280	8690
IndI_bin_108_k141_184376	IndI_bin_108_k141_184376_fragment_2	55	69	15	60365	71342	10978
IndI_bin_011_k141_3839	IndI_bin_011_k141_3839_fragment_1	3	21	19	2092	19485	17394
IndI_bin_001_k141_33045	IndI_bin_001_k141_33045_fragment_1	8	46	39	1745	45237	43493
IndI_bin_036_k141_338335	IndI_bin_036_k141_338335_fragment_3	164	183	20	192642	211634	18993
IndI_bin_061_k141_1658	IndI_bin_061_k141_1658_fragment_1	10	66	57	10816	49422	38607
IndI_bin_108_k141_177149	IndI_bin_108_k141_177149_fragment_1	2	17	16	601	9840	9240
IndI_bin_065_k141_57343	IndI_bin_065_k141_57343_fragment_1	1	9	9	3	5356	5354
IndI_bin_115_k141_356700	IndI_bin_115_k141_356700_fragment_1	20	49	30	19863	43677	23815
