scaffold	fragment	protein start	protein stop	protein length	nucleotide start	nucleotide stop	nucleotide length
IndC_bin_082_k141_326617	IndC_bin_082_k141_326617_fragment_1	9	52	44	17327	54701	37375
IndC_bin_044_k141_409928	IndC_bin_044_k141_409928_fragment_1	2	63	62	687	43696	43010
IndC_bin_129_k141_59354	IndC_bin_129_k141_59354_fragment_2	89	99	11	90278	99943	9666
IndC_bin_008_k141_237965	IndC_bin_008_k141_237965_fragment_1	11	26	16	11425	20664	9240
IndC_bin_068_k141_212207	IndC_bin_068_k141_212207_fragment_2	70	81	12	80229	88918	8690
IndC_bin_107_k141_12983	IndC_bin_107_k141_12983_fragment_1	3	63	61	2543	55435	52893
IndC_bin_074_k141_407510	IndC_bin_074_k141_407510_fragment_1	31	70	40	33178	65087	31910
IndC_bin_025_k141_384701	IndC_bin_025_k141_384701_fragment_1	34	81	48	43826	85990	42165
IndC_bin_085_k141_323452	IndC_bin_085_k141_323452_fragment_2	20	28	9	15931	21086	5156
IndC_bin_060_k141_279783	IndC_bin_060_k141_279783_fragment_1	12	125	114	9330	83853	74524
IndC_bin_107_k141_149775	IndC_bin_107_k141_149775_fragment_1	13	34	22	14466	27290	12825
IndC_bin_017_k141_161157	IndC_bin_017_k141_161157_fragment_2	65	74	10	59545	68675	9131
IndC_bin_046_k141_45893	IndC_bin_046_k141_45893_fragment_2	60	68	9	72387	78343	5957
IndC_bin_016_k141_329450	IndC_bin_016_k141_329450_fragment_1	1	8	8	233	8515	8283
IndC_bin_041_k141_204301	IndC_bin_041_k141_204301_fragment_1	3	28	26	1502	14906	13405
IndC_bin_117_k141_396127	IndC_bin_117_k141_396127_fragment_1	25	78	54	27079	73101	46023
IndC_bin_098_k141_113660	IndC_bin_098_k141_113660_fragment_1	5	32	28	2392	29862	27471
IndC_bin_027_k141_10802	IndC_bin_027_k141_10802_fragment_1	1	9	9	2	8764	8763
IndC_bin_027_k141_22553	IndC_bin_027_k141_22553_fragment_1	2	47	46	725	24025	23301
IndC_bin_104_k141_99197	IndC_bin_104_k141_99197_fragment_2	20	30	11	21074	31852	10779
IndC_bin_128_k141_376972	IndC_bin_128_k141_376972_fragment_1	35	42	8	46436	56558	10123
IndC_bin_068_k141_76716	IndC_bin_068_k141_76716_fragment_2	72	80	9	66846	74473	7628
IndC_bin_107_k141_345062	IndC_bin_107_k141_345062_fragment_1	2	33	32	681	24645	23965
IndC_bin_098_k141_6433	IndC_bin_098_k141_6433_fragment_2	24	54	31	24001	47529	23529
IndC_bin_116_k141_350518	IndC_bin_116_k141_350518_fragment_1	27	38	12	31485	42642	11158
IndC_bin_093_k141_379360	IndC_bin_093_k141_379360_fragment_2	44	58	15	42303	54595	12293
IndC_bin_106_k141_39922	IndC_bin_106_k141_39922_fragment_2	57	66	10	94974	99881	4908
