scaffold	fragment	protein start	protein stop	protein length	nucleotide start	nucleotide stop	nucleotide length
IndJ_bin_098_k141_221485	IndJ_bin_098_k141_221485_fragment_1	44	105	62	51546	97170	45625
IndJ_bin_093_k141_193483	IndJ_bin_093_k141_193483_fragment_4	146	195	50	141678	173922	32245
IndJ_bin_001_k141_190635	IndJ_bin_001_k141_190635_fragment_1	86	165	80	110383	163868	53486
IndJ_bin_035_k141_175426	IndJ_bin_035_k141_175426_fragment_1	1	10	10	3	7528	7526
IndJ_bin_058_k141_227861	IndJ_bin_058_k141_227861_fragment_3	67	82	16	59732	73907	14176
IndJ_bin_021_k141_72072	IndJ_bin_021_k141_72072_fragment_4	57	67	11	47739	56139	8401
IndJ_bin_013_k141_50903	IndJ_bin_013_k141_50903_fragment_1	10	51	42	9848	39582	29735
IndJ_bin_025_k141_94677	IndJ_bin_025_k141_94677_fragment_2	55	68	14	60344	71270	10927
IndJ_bin_101_k141_152001	IndJ_bin_101_k141_152001_fragment_1	1	39	39	2	26177	26176
IndJ_bin_094_k141_10951	IndJ_bin_094_k141_10951_fragment_1	7	24	18	5665	16048	10384
IndJ_bin_070_k141_193228	IndJ_bin_070_k141_193228_fragment_1	2	67	66	859	48519	47661
IndJ_bin_077_k141_192853	IndJ_bin_077_k141_192853_fragment_4	182	259	78	195501	251656	56156
IndJ_bin_041_k141_11261	IndJ_bin_041_k141_11261_fragment_1	3	27	25	1037	19888	18852
IndJ_bin_074_k141_37862	IndJ_bin_074_k141_37862_fragment_2	174	250	77	203609	258810	55202
IndJ_bin_050_k141_174907	IndJ_bin_050_k141_174907_fragment_1	162	215	54	186310	223316	37007
IndJ_bin_070_k141_4139	IndJ_bin_070_k141_4139_fragment_3	86	148	63	102599	143643	41045
IndJ_bin_014_k141_26401	IndJ_bin_014_k141_26401_fragment_2	74	81	8	65057	72918	7862
IndJ_bin_063_k141_9186	IndJ_bin_063_k141_9186_fragment_1	3	12	10	1541	6507	4967
IndJ_bin_084_k141_5904	IndJ_bin_084_k141_5904_fragment_1	1	9	9	355	7026	6672
IndJ_bin_053_k141_234230	IndJ_bin_053_k141_234230_fragment_1	2	44	43	328	32954	32627
IndJ_bin_051_k141_159469	IndJ_bin_051_k141_159469_fragment_2	13	42	30	21927	43905	21979
IndJ_bin_021_k141_120005	IndJ_bin_021_k141_120005_fragment_2	79	169	91	55192	110320	55129
IndJ_bin_012_k141_233265	IndJ_bin_012_k141_233265_fragment_2	36	51	16	46396	59414	13019
IndJ_bin_060_k141_178303	IndJ_bin_060_k141_178303_fragment_2	55	70	16	53670	65500	11831
IndJ_bin_019_k141_131030	IndJ_bin_019_k141_131030_fragment_2	30	49	20	34740	54150	19411
IndJ_bin_095_k141_190425	IndJ_bin_095_k141_190425_fragment_2	44	101	58	59782	99553	39772
IndJ_bin_057_k141_84514	IndJ_bin_057_k141_84514_fragment_1	1	23	23	2	18011	18010
IndJ_bin_010_k141_98138	IndJ_bin_010_k141_98138_fragment_2	24	37	14	17259	29208	11950
IndJ_bin_036_k141_122092	IndJ_bin_036_k141_122092_fragment_1	3	24	22	5883	23222	17340
IndJ_bin_024_k141_183213	IndJ_bin_024_k141_183213_fragment_1	3	16	14	921	12398	11478
IndJ_bin_080_k141_241681	IndJ_bin_080_k141_241681_fragment_19	645	672	28	616747	647135	30389
IndJ_bin_080_k141_241681	IndJ_bin_080_k141_241681_fragment_25	874	904	31	850974	876720	25747
IndJ_bin_063_k141_95352	IndJ_bin_063_k141_95352_fragment_1	2	13	12	263	6484	6222
IndJ_bin_055_k141_19598	IndJ_bin_055_k141_19598_fragment_1	1	113	113	259	72437	72179
IndJ_bin_073_k141_234818	IndJ_bin_073_k141_234818_fragment_1	10	211	202	3634	163692	160059
IndJ_bin_101_k141_59356	IndJ_bin_101_k141_59356_fragment_1	4	12	9	1276	6738	5463
IndJ_bin_036_k141_191978	IndJ_bin_036_k141_191978_fragment_2	21	35	15	18764	29348	10585
IndJ_bin_098_k141_178146	IndJ_bin_098_k141_178146_fragment_1	22	29	8	24090	33479	9390
IndJ_bin_053_k141_217686	IndJ_bin_053_k141_217686_fragment_5	172	255	84	174689	244417	69729
IndJ_bin_047_k141_31370	IndJ_bin_047_k141_31370_fragment_1	3	15	13	3509	15677	12169
IndJ_bin_011_k141_191414	IndJ_bin_011_k141_191414_fragment_1	1	65	65	399	51126	50728
IndJ_bin_082_k141_226115	IndJ_bin_082_k141_226115_fragment_2	40	80	41	56145	84233	28089
IndJ_bin_101_k141_235282	IndJ_bin_101_k141_235282_fragment_1	2	24	23	126	31471	31346
IndJ_bin_013_k141_30296	IndJ_bin_013_k141_30296_fragment_1	22	29	8	22643	31128	8486
IndJ_bin_009_k141_29002	IndJ_bin_009_k141_29002_fragment_1	2	39	38	869	40664	39796
IndJ_bin_086_k141_177211	IndJ_bin_086_k141_177211_fragment_1	9	31	23	11306	27436	16131
IndJ_bin_011_k141_48121	IndJ_bin_011_k141_48121_fragment_1	42	94	53	42131	104839	62709
IndJ_bin_054_k141_146207	IndJ_bin_054_k141_146207_fragment_2	52	104	53	48120	86245	38126
IndJ_bin_020_k141_27940	IndJ_bin_020_k141_27940_fragment_2	82	99	18	92148	116741	24594
IndJ_bin_008_k141_238129	IndJ_bin_008_k141_238129_fragment_1	3	18	16	1942	11238	9297
IndJ_bin_018_k141_31593	IndJ_bin_018_k141_31593_fragment_1	47	60	14	51565	61719	10155
IndJ_bin_036_k141_236478	IndJ_bin_036_k141_236478_fragment_1	10	26	17	8886	26740	17855
IndJ_bin_036_k141_4399	IndJ_bin_036_k141_4399_fragment_1	2	9	8	313	8102	7790
IndJ_bin_053_k141_233231	IndJ_bin_053_k141_233231_fragment_3	156	170	15	174675	188453	13779
IndJ_bin_039_k141_160948	IndJ_bin_039_k141_160948_fragment_1	7	19	13	3483	10784	7302
IndJ_bin_064_k141_153306	IndJ_bin_064_k141_153306_fragment_1	30	62	33	34192	69866	35675
IndJ_bin_060_k141_238582	IndJ_bin_060_k141_238582_fragment_1	3	66	64	2555	48186	45632
IndJ_bin_009_k141_167490	IndJ_bin_009_k141_167490_fragment_1	1	113	113	2	78240	78239
IndJ_bin_085_k141_22359	IndJ_bin_085_k141_22359_fragment_1	2	10	9	275	8651	8377
IndJ_bin_058_k141_247346	IndJ_bin_058_k141_247346_fragment_1	7	18	12	6249	17193	10945
IndJ_bin_073_k141_92187	IndJ_bin_073_k141_92187_fragment_1	2	47	46	711	24314	23604
IndJ_bin_087_k141_185130	IndJ_bin_087_k141_185130_fragment_1	22	30	9	17547	23345	5799
IndJ_bin_009_k141_103675	IndJ_bin_009_k141_103675_fragment_1	1	11	11	3	7059	7057
IndJ_bin_086_k141_137228	IndJ_bin_086_k141_137228_fragment_1	10	59	50	8539	44654	36116
IndJ_bin_035_k141_127975	IndJ_bin_035_k141_127975_fragment_1	2	33	32	376	18831	18456
IndJ_bin_073_k141_25729	IndJ_bin_073_k141_25729_fragment_1	2	14	13	463	13482	13020
IndJ_bin_068_k141_57439	IndJ_bin_068_k141_57439_fragment_2	33	93	61	35853	88852	53000
IndJ_bin_024_k141_98342	IndJ_bin_024_k141_98342_fragment_1	34	41	8	33048	42351	9304
IndJ_bin_041_k141_164442	IndJ_bin_041_k141_164442_fragment_1	25	81	57	20934	64287	43354
IndJ_bin_010_k141_79484	IndJ_bin_010_k141_79484_fragment_1	3	38	36	1346	24115	22770
IndJ_bin_030_k141_221007	IndJ_bin_030_k141_221007_fragment_2	77	87	11	81272	89708	8437
IndJ_bin_069_k141_226141	IndJ_bin_069_k141_226141_fragment_1	5	89	85	12180	84279	72100
IndJ_bin_086_k141_40315	IndJ_bin_086_k141_40315_fragment_1	1	81	81	1	60159	60159
IndJ_bin_036_k141_91703	IndJ_bin_036_k141_91703_fragment_1	2	50	49	451	32404	31954
IndJ_bin_035_k141_192731	IndJ_bin_035_k141_192731_fragment_1	3	34	32	645	21149	20505
IndJ_bin_005_k141_245494	IndJ_bin_005_k141_245494_fragment_4	238	276	39	236759	266555	29797
IndJ_bin_076_k141_170778	IndJ_bin_076_k141_170778_fragment_1	31	88	58	42544	96954	54411
IndJ_bin_030_k141_150156	IndJ_bin_030_k141_150156_fragment_2	73	83	11	71874	79994	8121
IndJ_bin_045_k141_57941	IndJ_bin_045_k141_57941_fragment_1	13	58	46	22415	65479	43065
IndJ_bin_075_k141_40908	IndJ_bin_075_k141_40908_fragment_1	4	61	58	2348	41186	38839
IndJ_bin_095_k141_163403	IndJ_bin_095_k141_163403_fragment_2	33	47	15	31216	40471	9256
IndJ_bin_063_k141_151073	IndJ_bin_063_k141_151073_fragment_1	1	32	32	2	25867	25866
