user_genome	classification	fastani_reference	fastani_reference_radius	fastani_taxonomy	fastani_ani	fastani_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
IndH_bin_001	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Flavonifractor;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Flavonifractor;s__	ANI	N/A	GCF_000239295.1, s__Flavonifractor plautii, 95.0, 98.41, 0.44; GCF_000508885.1, s__Flavonifractor sp000508885, 95.0, 96.39, 0.29; GCF_002161215.1, s__Flavonifractor sp002161215, 95.0, 89.62, 0.44; GCF_900626285.1, s__Flavonifractor massiliensis_A, 95.0, 87.48, 0.39; GCF_002159265.1, s__Flavonifractor sp002159265, 95.0, 86.65, 0.41; GCF_002161085.1, s__Flavonifractor sp002161085, 95.0, 86.44, 0.39; GCF_002159455.1, s__Flavonifractor sp002159455, 95.0, 86.2, 0.41; GCF_014281125.1, s__Flavonifractor gabonensis, 95.0, 84.12, 0.39; GCF_014287895.1, s__Flavonifractor sp900549795, 95.0, 83.53, 0.39	11.63	11	0.9934833487435661	Genome domain questionable ( 11.7% Bacterial, 3.3% Archaeal)
IndH_bin_002	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eisenbergiella;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eisenbergiella;s__	ANI	N/A	GCF_003481005.1, s__Eisenbergiella sp900066775, 95.0, 93.88, 0.26; GCF_003478085.1, s__Eisenbergiella sp003478085, 95.0, 81.7, 0.07; GCF_900243045.1, s__Eisenbergiella massiliensis, 95.0, 80.62, 0.08; GCA_900550285.1, s__Eisenbergiella sp900550285, 95.0, 79.32, 0.08; GCF_001881565.1, s__Eisenbergiella tayi, 95.0, 78.93, 0.08; GCA_900539715.1, s__Eisenbergiella sp900539715, 95.0, 78.49, 0.09; GCA_003343625.1, s__Eisenbergiella sp003343625, 95.0, 77.51, 0.05; GCA_900544445.1, s__Eisenbergiella sp900544445, 95.0, 77.2, 0.05; GCA_900555195.1, s__Eisenbergiella sp900555195, 95.0, 76.67, 0.03; GCA_900548905.1, s__Eisenbergiella sp900548905, 95.0, 76.61, 0.05; GCA_002361095.1, s__Eisenbergiella sp002361095, 95.0, 76.38, 0.02	47.17	11	0.9305708750636976	N/A
IndH_bin_003	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-81;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-81;s__	ANI	N/A	GCF_003435375.1, s__CAG-81 sp900066535, 95.0, 90.34, 0.17; GCF_003480435.1, s__CAG-81 sp900066055, 95.0, 89.64, 0.18; GCF_003478035.1, s__CAG-81 sp900066785, 95.0, 88.38, 0.18; GCA_014385265.1, s__CAG-81 sp000435795, 95.0, 86.46, 0.13; GCA_900541255.1, s__CAG-81 sp900541255, 95.0, 85.98, 0.08; GCF_009917545.1, s__CAG-81 sp009917545, 95.0, 81.42, 0.12; GCA_900556965.1, s__CAG-81 sp900556965, 95.0, 79.81, 0.03	16.4	11	0.9677308951029766	N/A
IndH_bin_004	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Roseburia;s__Roseburia inulinivorans	GCF_000174195.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Roseburia;s__Roseburia inulinivorans	97.8	0.76	GCF_000174195.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Roseburia;s__Roseburia inulinivorans	97.8	0.76	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Roseburia;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_900552665.1, s__Roseburia sp900552665, 95.0, 97.37, 0.73; GCA_004562005.1, s__Roseburia sp004562005, 95.0, 95.88, 0.73; GCA_900542495.1, s__Roseburia sp900542495, 95.0, 89.9, 0.69; GCA_900756925.1, s__Roseburia sp900756925, 95.0, 80.04, 0.38; GCF_900537995.1, s__Roseburia intestinalis, 95.0, 79.46, 0.32; GCF_003470905.1, s__Roseburia sp003470905, 95.0, 79.2, 0.32; GCF_001940165.1, s__Roseburia sp001940165, 95.0, 78.92, 0.26; GCA_003483745.1, s__Roseburia sp003483745, 95.0, 78.9, 0.29; GCF_000225345.1, s__Roseburia hominis, 95.0, 78.75, 0.23; GCA_900550935.1, s__Roseburia sp900550935, 95.0, 78.5, 0.25; GCA_900753715.1, s__Roseburia sp900753715, 95.0, 78.42, 0.2; GCA_900548205.1, s__Roseburia sp900548205, 95.0, 76.61, 0.13	81.28	11	N/A	N/A
IndH_bin_005	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruminococcus_D;s__Ruminococcus_D bicirculans	GCF_000723465.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruminococcus_D;s__Ruminococcus_D bicirculans	98.04	0.92	GCF_000723465.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruminococcus_D;s__Ruminococcus_D bicirculans	98.04	0.92	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruminococcus_D;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_900539095.1, s__Ruminococcus_D sp900539095, 95.0, 89.78, 0.81; GCF_000178155.2, s__Ruminococcus_D albus_C, 95.0, 78.88, 0.19; GCF_900112155.1, s__Ruminococcus_D albus_D, 95.0, 78.62, 0.2; GCA_902780505.1, s__Ruminococcus_D sp902780505, 95.0, 78.52, 0.14; GCA_000434695.1, s__Ruminococcus_D sp000434695, 95.0, 78.14, 0.17; GCA_902800795.1, s__Ruminococcus_D sp902800795, 95.0, 78.13, 0.21; GCF_000686125.1, s__Ruminococcus_D sp000686125, 95.0, 78.08, 0.18; GCF_000621805.1, s__Ruminococcus_D sp000621805, 95.0, 77.99, 0.17; GCA_900318545.1, s__Ruminococcus_D sp900318545, 95.0, 77.96, 0.2; GCA_900319075.1, s__Ruminococcus_D sp900319075, 95.0, 77.91, 0.15; GCA_902787825.1, s__Ruminococcus_D sp902787825, 95.0, 77.83, 0.17; GCA_900314975.1, s__Ruminococcus_D sp900314975, 95.0, 77.78, 0.17; GCA_002391065.1, s__Ruminococcus_D sp002391065, 95.0, 77.77, 0.2; GCA_900539835.1, s__Ruminococcus_D sp900539835, 95.0, 77.73, 0.18; GCF_000179635.2, s__Ruminococcus_D albus, 95.0, 77.65, 0.18; GCA_902786965.1, s__Ruminococcus_D sp902786965, 95.0, 77.64, 0.17; GCF_900770285.1, s__Ruminococcus_D sp900770285, 95.0, 77.61, 0.15; GCA_902786975.1, s__Ruminococcus_D sp902786975, 95.0, 77.6, 0.16; GCF_000526775.1, s__Ruminococcus_D albus_A, 95.0, 77.57, 0.17; GCA_902788785.1, s__Ruminococcus_D sp902788785, 95.0, 77.55, 0.16; GCF_900752625.1, s__Ruminococcus_D sp900752625, 95.0, 77.52, 0.17; GCF_900604945.1, s__Ruminococcus_D sp900604945, 95.0, 77.52, 0.16; GCA_902762735.1, s__Ruminococcus_D sp902762735, 95.0, 77.48, 0.17; GCA_902767035.1, s__Ruminococcus_D sp902767035, 95.0, 77.47, 0.18; GCF_900109655.1, s__Ruminococcus_D albus_B, 95.0, 77.38, 0.19; GCA_900543145.1, s__Ruminococcus_D sp900543145, 95.0, 77.35, 0.16; GCA_002371625.1, s__Ruminococcus_D sp002371625, 95.0, 77.32, 0.14; GCA_902787365.1, s__Ruminococcus_D sp902787365, 95.0, 77.24, 0.15; GCA_002368715.1, s__Ruminococcus_D sp002368715, 95.0, 77.17, 0.18; GCF_900119155.1, s__Ruminococcus_D sp900119155, 95.0, 77.1, 0.1; GCA_902776945.1, s__Ruminococcus_D sp902776945, 95.0, 77.07, 0.08; GCA_002358895.1, s__Ruminococcus_D sp002358895, 95.0, 76.93, 0.24; GCF_900104495.1, s__Ruminococcus_D sp900104495, 95.0, 76.79, 0.08; GCA_902797535.1, s__Ruminococcus_D sp902797535, 95.0, 76.69, 0.09; GCA_902766335.1, s__Ruminococcus_D sp902766335, 95.0, 76.53, 0.09; GCA_902781565.1, s__Ruminococcus_D sp902781565, 95.0, 76.33, 0.09; GCA_902797485.1, s__Ruminococcus_D sp902797485, 95.0, 76.24, 0.08	96.23	11	N/A	N/A
IndH_bin_006	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A sp900066205	GCF_013304735.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A sp900066205	98.95	0.89	GCF_013304735.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A sp900066205	98.95	0.89	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_003461955.1, s__Blautia_A sp900066335, 95.0, 94.11, 0.79; GCF_001487165.1, s__Blautia_A massiliensis, 95.0, 90.26, 0.73; GCF_900751995.1, s__Blautia_A sp900751995, 95.0, 89.27, 0.48; GCF_013304825.1, s__Blautia_A schinkii, 95.0, 87.7, 0.73; GCF_003474435.1, s__Blautia_A sp003474435, 95.0, 87.6, 0.73; GCF_900756405.1, s__Blautia_A sp900756405, 95.0, 86.82, 0.44; GCF_900764225.1, s__Blautia_A sp900764225, 95.0, 85.78, 0.56; GCF_003461245.1, s__Blautia_A sp000436615, 95.0, 81.12, 0.34; GCF_009883055.1, s__Blautia_A sp900548245, 95.0, 79.52, 0.33; GCA_008661915.1, s__Blautia_A wexlerae_A, 95.0, 79.29, 0.25; GCF_003460605.1, s__Blautia_A sp900066145, 95.0, 79.23, 0.29; GCF_013302415.1, s__Blautia_A faecis, 95.0, 79.21, 0.27; GCF_009707925.1, s__Blautia_A luti, 95.0, 79.2, 0.35; GCF_013300825.1, s__Blautia_A wexlerae_B, 95.0, 79.13, 0.31; GCF_000153905.1, s__Blautia_A obeum, 95.0, 79.07, 0.28; GCA_000210015.1, s__Blautia_A obeum_B, 95.0, 79.07, 0.27; GCF_900120195.1, s__Blautia_A sp900120195, 95.0, 79.03, 0.28; GCF_000484655.1, s__Blautia_A wexlerae, 95.0, 79.02, 0.31; GCA_900066355.1, s__Blautia_A sp900066355, 95.0, 78.97, 0.28; GCF_003477525.1, s__Blautia_A sp003477525, 95.0, 78.96, 0.34; GCF_003480185.1, s__Blautia_A sp003480185, 95.0, 78.91, 0.33; GCA_000285855.2, s__Blautia_A sp000285855, 95.0, 78.67, 0.32; GCF_003471165.1, s__Blautia_A sp003471165, 95.0, 78.66, 0.33; GCF_900763175.1, s__Blautia_A sp900763175, 95.0, 78.58, 0.23; GCA_900316115.1, s__Blautia_A sp900316115, 95.0, 78.44, 0.21; GCA_900551715.1, s__Blautia_A sp900551715, 95.0, 78.35, 0.23; GCA_900541985.1, s__Blautia_A sp900541985, 95.0, 78.29, 0.2; GCF_013302405.1, s__Blautia_A caecimuris, 95.0, 78.15, 0.25; GCF_013304385.1, s__Blautia_A sp900066505, 95.0, 78.09, 0.21; GCA_900541345.1, s__Blautia_A sp900541345, 95.0, 77.97, 0.17; GCA_900551465.1, s__Blautia_A sp900551465, 95.0, 77.96, 0.2; GCA_900549015.1, s__Blautia_A sp900549015, 95.0, 77.85, 0.18; GCA_900553515.1, s__Blautia_A sp900553515, 95.0, 77.83, 0.19; GCA_900547615.1, s__Blautia_A sp900547615, 95.0, 77.79, 0.18; GCA_900540785.1, s__Blautia_A sp900540785, 95.0, 77.74, 0.19; GCA_000702025.1, s__Blautia_A schinkii_A, 95.0, 77.58, 0.18; GCA_900551075.1, s__Blautia_A sp900551075, 95.0, 77.5, 0.18; GCF_000157975.1, s__Blautia_A hydrogenotrophica, 95.0, 77.21, 0.07; GCF_002159835.1, s__Blautia_A sp002159835, 95.0, 77.14, 0.1; GCA_902803215.1, s__Blautia_A sp902803215, 95.0, 77.01, 0.06; GCA_900542045.1, s__Blautia_A sp900542045, 95.0, 76.59, 0.11; GCA_902782975.1, s__Blautia_A sp902782975, 95.0, 76.48, 0.06; GCA_902783305.1, s__Blautia_A sp902783305, 95.0, 76.27, 0.04	54.68	11	N/A	N/A
IndH_bin_007	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae;g__Odoribacter;s__Odoribacter splanchnicus	GCF_000190535.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae;g__Odoribacter;s__Odoribacter splanchnicus	98.53	0.8	GCF_000190535.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae;g__Odoribacter;s__Odoribacter splanchnicus	98.53	0.8	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae;g__Odoribacter;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_900548135.1, s__Odoribacter sp900548135, 95.0, 80.89, 0.35; GCA_900762515.1, s__Odoribacter sp900762515, 95.0, 78.99, 0.24; GCF_009935865.1, s__Odoribacter sp009935865, 95.0, 78.31, 0.26; GCA_900541415.1, s__Odoribacter sp900541415, 95.0, 77.7, 0.19; GCF_900091655.1, s__Odoribacter massiliensis, 95.0, 77.62, 0.14; GCA_900544025.1, s__Odoribacter sp900544025, 95.0, 77.43, 0.19; GCA_002293375.1, s__Odoribacter sp002293375, 95.0, 76.96, 0.05; GCF_000243215.1, s__Odoribacter laneus, 95.0, 76.92, 0.12	94.2	11	N/A	N/A
IndH_bin_008	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__TF01-11;s__TF01-11 sp003529475	GCF_003478335.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__TF01-11;s__TF01-11 sp003529475	98.73	0.93	GCF_003478335.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__TF01-11;s__TF01-11 sp003529475	98.73	0.93	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__TF01-11;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_900759665.1, s__TF01-11 sp900759665, 95.0, 79.18, 0.19; GCF_003481585.1, s__TF01-11 sp001916135, 95.0, 78.91, 0.2; GCA_902788645.1, s__TF01-11 sp902788645, 95.0, 78.66, 0.15; GCF_001414325.1, s__TF01-11 sp001414325, 95.0, 78.63, 0.12; GCF_003478445.1, s__TF01-11 sp003524945, 95.0, 78.1, 0.18; GCA_014384965.1, s__TF01-11 sp003149875, 95.0, 77.81, 0.16; GCA_000436755.1, s__TF01-11 sp000436755, 95.0, 77.73, 0.11; GCF_003611745.1, s__TF01-11 sp003611745, 95.0, 77.22, 0.1; GCA_009774235.1, s__TF01-11 sp009774235, 95.0, 77.2, 0.06; GCF_003612285.1, s__TF01-11 sp003612285, 95.0, 77.13, 0.09; GCA_902795705.1, s__TF01-11 sp902795705, 95.0, 77.03, 0.1; GCA_002499945.1, s__TF01-11 sp002499945, 95.0, 76.75, 0.06; GCA_902795775.1, s__TF01-11 sp902795775, 95.0, 76.63, 0.05; GCA_002361175.1, s__TF01-11 sp002361175, 95.0, 76.32, 0.06; GCA_002493085.1, s__TF01-11 sp002493085, 95.0, 75.88, 0.06	83.36	11	N/A	N/A
IndH_bin_009	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A sp000436615	GCF_003461245.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A sp000436615	95.51	0.83	GCF_003461245.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A sp000436615	95.51	0.83	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_009883055.1, s__Blautia_A sp900548245, 95.0, 85.15, 0.71; GCF_000153905.1, s__Blautia_A obeum, 95.0, 82.23, 0.54; GCF_900751995.1, s__Blautia_A sp900751995, 95.0, 82.19, 0.29; GCF_900120195.1, s__Blautia_A sp900120195, 95.0, 81.86, 0.53; GCA_900066355.1, s__Blautia_A sp900066355, 95.0, 81.73, 0.55; GCA_000210015.1, s__Blautia_A obeum_B, 95.0, 81.59, 0.56; GCF_013304735.1, s__Blautia_A sp900066205, 95.0, 81.35, 0.36; GCF_003461955.1, s__Blautia_A sp900066335, 95.0, 80.25, 0.36; GCF_001487165.1, s__Blautia_A massiliensis, 95.0, 80.24, 0.34; GCA_900551715.1, s__Blautia_A sp900551715, 95.0, 79.9, 0.42; GCF_013304825.1, s__Blautia_A schinkii, 95.0, 79.84, 0.37; GCF_009707925.1, s__Blautia_A luti, 95.0, 79.84, 0.31; GCF_003474435.1, s__Blautia_A sp003474435, 95.0, 79.59, 0.35; GCF_003477525.1, s__Blautia_A sp003477525, 95.0, 79.35, 0.36; GCF_003480185.1, s__Blautia_A sp003480185, 95.0, 79.33, 0.35; GCF_900756405.1, s__Blautia_A sp900756405, 95.0, 79.29, 0.21; GCF_900764225.1, s__Blautia_A sp900764225, 95.0, 79.26, 0.28; GCF_013300825.1, s__Blautia_A wexlerae_B, 95.0, 79.24, 0.33; GCF_000484655.1, s__Blautia_A wexlerae, 95.0, 79.22, 0.34; GCA_008661915.1, s__Blautia_A wexlerae_A, 95.0, 79.17, 0.26; GCF_003471165.1, s__Blautia_A sp003471165, 95.0, 79.09, 0.33; GCA_900541985.1, s__Blautia_A sp900541985, 95.0, 78.85, 0.27; GCF_900763175.1, s__Blautia_A sp900763175, 95.0, 78.74, 0.2; GCF_003460605.1, s__Blautia_A sp900066145, 95.0, 78.73, 0.28; GCA_000285855.2, s__Blautia_A sp000285855, 95.0, 78.73, 0.3; GCF_013302415.1, s__Blautia_A faecis, 95.0, 78.6, 0.24; GCA_900553515.1, s__Blautia_A sp900553515, 95.0, 78.6, 0.25; GCF_013302405.1, s__Blautia_A caecimuris, 95.0, 78.52, 0.27; GCA_900551465.1, s__Blautia_A sp900551465, 95.0, 78.51, 0.19; GCA_900549015.1, s__Blautia_A sp900549015, 95.0, 78.24, 0.16; GCA_900316115.1, s__Blautia_A sp900316115, 95.0, 78.17, 0.2; GCA_900541345.1, s__Blautia_A sp900541345, 95.0, 77.97, 0.14; GCA_900540785.1, s__Blautia_A sp900540785, 95.0, 77.9, 0.16; GCF_013304385.1, s__Blautia_A sp900066505, 95.0, 77.83, 0.22; GCA_900547615.1, s__Blautia_A sp900547615, 95.0, 77.68, 0.14; GCA_000702025.1, s__Blautia_A schinkii_A, 95.0, 77.62, 0.19; GCA_900551075.1, s__Blautia_A sp900551075, 95.0, 77.58, 0.21; GCF_002159835.1, s__Blautia_A sp002159835, 95.0, 76.95, 0.08; GCA_900542045.1, s__Blautia_A sp900542045, 95.0, 76.69, 0.09; GCA_902803215.1, s__Blautia_A sp902803215, 95.0, 76.64, 0.08; GCF_000157975.1, s__Blautia_A hydrogenotrophica, 95.0, 76.36, 0.07; GCA_902782975.1, s__Blautia_A sp902782975, 95.0, 76.14, 0.05; GCA_902783305.1, s__Blautia_A sp902783305, 95.0, 76.07, 0.04	55.61	11	N/A	N/A
IndH_bin_010	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Ruminococcus_E;s__Ruminococcus_E sp003526955	GCF_014288065.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Ruminococcus_E;s__Ruminococcus_E sp003526955	98.04	0.89	GCF_014288065.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Ruminococcus_E;s__Ruminococcus_E sp003526955	98.04	0.89	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Ruminococcus_E;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_003438075.1, s__Ruminococcus_E sp003438075, 95.0, 90.81, 0.84; GCF_900755995.1, s__Ruminococcus_E sp900755995, 95.0, 82.16, 0.56; GCF_002834235.1, s__Ruminococcus_E bromii_B, 95.0, 80.28, 0.39; GCF_002834225.1, s__Ruminococcus_E bromii, 95.0, 80.15, 0.38; GCA_902771755.1, s__Ruminococcus_E sp902771755, 95.0, 79.88, 0.37; GCA_902766775.1, s__Ruminococcus_E sp902766775, 95.0, 79.54, 0.35; GCA_002491825.1, s__Ruminococcus_E sp002491825, 95.0, 78.97, 0.34; GCF_900101355.1, s__Ruminococcus_E bromii_A, 95.0, 78.84, 0.29; GCA_003521625.1, s__Ruminococcus_E sp003521625, 95.0, 78.71, 0.32; GCA_900543095.1, s__Ruminococcus_E sp900543095, 95.0, 78.47, 0.25; GCA_002493635.1, s__Ruminococcus_E sp002493635, 95.0, 78.39, 0.26; GCA_902766885.1, s__Ruminococcus_E sp902766885, 95.0, 78.39, 0.32; GCA_002493005.1, s__Ruminococcus_E sp002493005, 95.0, 78.33, 0.29; GCA_900315085.1, s__Ruminococcus_E sp900315085, 95.0, 77.73, 0.15; GCA_902776375.1, s__Ruminococcus_E sp902776375, 95.0, 77.55, 0.08; GCA_900318495.1, s__Ruminococcus_E sp900318495, 95.0, 77.53, 0.17; GCA_900316435.1, s__Ruminococcus_E sp900316435, 95.0, 77.43, 0.11; GCA_003520555.1, s__Ruminococcus_E sp003520555, 95.0, 77.43, 0.14; GCA_004560275.1, s__Ruminococcus_E sp004560275, 95.0, 77.41, 0.17; GCA_900315195.1, s__Ruminococcus_E sp900315195, 95.0, 77.36, 0.12; GCA_900315605.1, s__Ruminococcus_E sp900315605, 95.0, 77.3, 0.13; GCF_900100595.1, s__Ruminococcus_E sp900100595, 95.0, 77.28, 0.08; GCA_900316385.1, s__Ruminococcus_E sp900316385, 95.0, 77.23, 0.08; GCA_902794395.1, s__Ruminococcus_E sp902794395, 95.0, 77.17, 0.07; GCA_900319615.1, s__Ruminococcus_E sp900319615, 95.0, 77.16, 0.03; GCA_900319655.1, s__Ruminococcus_E sp900319655, 95.0, 77.15, 0.18; GCA_902787145.1, s__Ruminococcus_E sp902787145, 95.0, 77.12, 0.08; GCA_900316555.1, s__Ruminococcus_E sp900316555, 95.0, 77.12, 0.1; GCA_900315785.1, s__Ruminococcus_E sp900315785, 95.0, 77.11, 0.12; GCA_900317315.1, s__Ruminococcus_E sp900317315, 95.0, 77.03, 0.06; GCA_902792105.1, s__Ruminococcus_E sp902792105, 95.0, 76.99, 0.13; GCA_902785365.1, s__Ruminococcus_E sp902785365, 95.0, 76.97, 0.1; GCA_002350765.1, s__Ruminococcus_E sp002350765, 95.0, 76.96, 0.08; GCA_902773635.1, s__Ruminococcus_E sp902773635, 95.0, 76.96, 0.02; GCA_902793125.1, s__Ruminococcus_E sp902793125, 95.0, 76.92, 0.11; GCA_902774325.1, s__Ruminococcus_E sp902774325, 95.0, 76.89, 0.07; GCA_902790475.1, s__Ruminococcus_E sp902790475, 95.0, 76.87, 0.08; GCA_900315815.1, s__Ruminococcus_E sp900315815, 95.0, 76.83, 0.02; GCF_005601135.1, s__Ruminococcus_E sp900314705, 95.0, 76.82, 0.12; GCA_902767845.1, s__Ruminococcus_E sp902767845, 95.0, 76.82, 0.08; GCA_902777275.1, s__Ruminococcus_E sp902777275, 95.0, 76.8, 0.1; GCA_902799325.1, s__Ruminococcus_E sp902799325, 95.0, 76.77, 0.06; GCA_902798365.1, s__Ruminococcus_E sp902798365, 95.0, 76.73, 0.09; GCA_902798605.1, s__Ruminococcus_E sp902798605, 95.0, 76.66, 0.1; GCA_900318905.1, s__Ruminococcus_E sp900318905, 95.0, 76.64, 0.11; GCA_902761375.1, s__Ruminococcus_E sp902761375, 95.0, 76.61, 0.06; GCA_902784855.1, s__Ruminococcus_E sp902784855, 95.0, 76.53, 0.04; GCA_902765625.1, s__Ruminococcus_E sp902765625, 95.0, 76.52, 0.07; GCA_902797225.1, s__Ruminococcus_E sp902797225, 95.0, 76.48, 0.07; GCA_900314795.1, s__Ruminococcus_E sp900314795, 95.0, 76.44, 0.04; GCA_900316815.1, s__Ruminococcus_E sp900316815, 95.0, 76.32, 0.05; GCA_902767325.1, s__Ruminococcus_E sp902767325, 95.0, 76.3, 0.07; GCA_902764715.1, s__Ruminococcus_E sp902764715, 95.0, 76.3, 0.04; GCA_902797655.1, s__Ruminococcus_E sp902797655, 95.0, 76.22, 0.1; GCA_902773035.1, s__Ruminococcus_E sp902773035, 95.0, 76.19, 0.06; GCA_900317595.1, s__Ruminococcus_E sp900317595, 95.0, 76.19, 0.05; GCA_900313895.1, s__Ruminococcus_E sp900313895, 95.0, 76.01, 0.02; GCA_902798755.1, s__Ruminococcus_E sp902798755, 95.0, 76.01, 0.01; GCA_900320415.1, s__Ruminococcus_E sp900320415, 95.0, 75.97, 0.04; GCA_902776185.1, s__Ruminococcus_E sp902776185, 95.0, 75.96, 0.02; GCA_902779225.1, s__Ruminococcus_E sp902779225, 95.0, 75.93, 0.03; GCA_902772755.1, s__Ruminococcus_E sp902772755, 95.0, 75.91, 0.06; GCA_900317875.1, s__Ruminococcus_E sp900317875, 95.0, 75.9, 0.08; GCA_902790985.1, s__Ruminococcus_E sp902790985, 95.0, 75.89, 0.02; GCA_902776975.1, s__Ruminococcus_E sp902776975, 95.0, 75.88, 0.03; GCA_002353935.1, s__Ruminococcus_E sp002353935, 95.0, 75.83, 0.07; GCA_902797825.1, s__Ruminococcus_E sp900313865, 95.0, 75.74, 0.01; GCA_902785355.1, s__Ruminococcus_E sp902785355, 95.0, 75.73, 0.03; GCA_900320995.1, s__Ruminococcus_E sp900320995, 95.0, 75.62, 0.03; GCA_902797525.1, s__Ruminococcus_E sp902797525, 95.0, 75.62, 0.08; GCA_902763855.1, s__Ruminococcus_E sp902763855, 95.0, 75.61, 0.02; GCA_902773155.1, s__Ruminococcus_E sp902773155, 95.0, 75.51, 0.06; GCA_003499325.1, s__Ruminococcus_E sp003499325, 95.0, 75.49, 0.03; GCA_002394725.1, s__Ruminococcus_E sp002394725, 95.0, 75.41, 0.02; GCA_902796225.1, s__Ruminococcus_E sp902796225, 95.0, 75.18, 0.01	92.44	11	N/A	N/A
