prophage	host	active	MW_pvalue	CohenD	prophage-host_ratio	mean_difference	prophage_len	prophage_mean_cov	prophage_median_cov	prophage_sd_cov	host_len	host_mean_cov	host_median_cov	host_sd_cov
IndJ_bin_074_k141_37862_fragment_2	IndJ_bin_074_k141_37862	no	0.27864620544948765	0	0.9524512842284988	-1.0829149412642245	54927	21.69193657035702	21	7.432834451120938	209444	22.774851511621243	22.0	7.40399736934178
IndJ_bin_008_k141_238129_fragment_1	IndJ_bin_008_k141_238129	no	4.558344286225683e-15	0.5660292807302677	1.152532296734482	4.886357938239364	9297	36.92126492416909	36	9.207497400628633	154439	32.03490698592972	32	8.01678396469259
IndJ_bin_060_k141_178303_fragment_2	IndJ_bin_060_k141_178303	no	0.3000728144491576	0	0.9857058932667192	-0.7625591661479092	11831	52.585242160426	52	9.204917018571305	89554	53.34780132657391	53.0	12.382226447973174
IndJ_bin_075_k141_40908_fragment_1	IndJ_bin_075_k141_40908	no	0.02156134236643366	0	0.9983738058697621	-0.02077272772683081	38839	12.753057493756275	13	4.894937629720328	13229	12.773830221483106	13	4.752884153133586
IndJ_bin_051_k141_159469_fragment_2	IndJ_bin_051_k141_159469	no	4.5955387004023813e-97	0	0.4785508116874242	-11.622569847331727	21979	10.666408844806407	10	6.300076878899905	40830	22.288978692138134	21.0	7.836516491876984
IndJ_bin_068_k141_57439_fragment_2	IndJ_bin_068_k141_57439	no	0.46810216824005757	0	0.9734899073541797	-0.5474611440098585	53000	20.103584905660377	20.0	6.870945842396457	102194	20.651046049670235	20.0	6.979958724514652
IndJ_bin_064_k141_153306_fragment_1	IndJ_bin_064_k141_153306	no	1.167146706767196e-45	0.9596040607835367	1.562565393936292	4.356887342116103	35603	12.1015644749038	12	4.733077302695709	34333	7.744677132787697	7	4.338959681948892
IndJ_bin_013_k141_30296_fragment_1	IndJ_bin_013_k141_30296	no	1.0820603264636622e-14	0.412210062433745	1.234180196373937	1.795581098770005	8374	9.463100071650347	9.0	4.288587867560061	36763	7.667518972880342	7	4.422356307258466
IndJ_bin_047_k141_31370_fragment_1	IndJ_bin_047_k141_31370	no	5.057232962809955e-11	0.4930205037576228	1.2161532029545898	3.1170184080596126	12169	17.53743117758238	17	6.291876148259783	58483	14.420412769522768	14	6.352557464652137
IndJ_bin_053_k141_233231_fragment_3	IndJ_bin_053_k141_233231	no	0.3785144818063444	0	0.9510717668420082	-0.1747738537193153	13779	3.397271209812033	3	2.807246204475033	174953	3.5720450635313483	3	2.571006964133015
IndJ_bin_087_k141_185130_fragment_1	IndJ_bin_087_k141_185130	no	0.012235393771786927	0.21535303048657517	1.2422519247166557	0.36569058962192935	5795	1.875237273511648	1	1.8714649819298608	24773	1.5095466838897187	1	1.504889927824489
IndJ_bin_093_k141_193483_fragment_4	IndJ_bin_093_k141_193483	no	0.7794328260949565	0	0.9901364234278549	-0.022201335217230334	32173	2.22863892083424	2	1.9507339139429207	215113	2.2508402560514704	2	1.9437206816917763
IndJ_bin_011_k141_191414_fragment_1	IndJ_bin_011_k141_191414	no	0.0003830504901245501	0.2548012551639255	1.1996713629859939	0.6399328305257024	50723	3.844863277014372	3	2.6482621918647444	35656	3.2049304464886696	3.0	2.366844162489536
IndJ_bin_011_k141_48121_fragment_1	IndJ_bin_011_k141_48121	no	0.11382474293225053	0.17290532590359906	1.1260240616391561	0.46283765684755407	62709	4.135451051683171	4	2.813201295744574	44226	3.672613394835617	3.0	2.5331215506045823
IndJ_bin_020_k141_27940_fragment_2	IndJ_bin_020_k141_27940	no	0.10727695341469443	0	0.8947200316664541	-0.361757975208306	24424	3.0743940386505075	3.0	2.3952640120146826	92360	3.4361520138588135	3.0	2.5807448806326208
IndJ_bin_018_k141_31593_fragment_1	IndJ_bin_018_k141_31593	no	4.173990437957356e-06	0.3648160132901153	1.2367103946210782	1.2989222349521201	10155	6.7863121614968	6	3.879618228641155	68477	5.4873899265446795	5	3.209778912134199
IndJ_bin_098_k141_178146_fragment_1	IndJ_bin_098_k141_178146	no	4.0060336140453825e-156	0	0.24452770507353358	-15.98120046891721	9362	5.1727195043794065	5.0	2.7866046221335354	23967	21.153919973296617	21	5.828157518678304
IndJ_bin_030_k141_150156_fragment_2	IndJ_bin_030_k141_150156	no	1.352660536493561e-08	0.3602523365169991	1.3757360689013678	0.7153624842164874	8121	2.619258711981283	2	2.183253208763727	104845	1.9038962277647957	2	1.7662451952874458
IndJ_bin_014_k141_26401_fragment_2	IndJ_bin_014_k141_26401	no	0.9039890382035756	0.09900942998270756	1.0293574144133604	0.6344116188943403	7862	22.244339862630373	22.0	6.867062538700925	68008	21.609928243736032	21.0	5.912513489276371
IndJ_bin_025_k141_94677_fragment_2	IndJ_bin_025_k141_94677	no	1.0205089548625066e-05	0.3525216844117843	1.0669956099116136	5.309898636565222	10927	84.56731033220463	85	14.685713018871716	61322	79.2574116956394	79.0	15.430314736890766
IndJ_bin_084_k141_5904_fragment_1	IndJ_bin_084_k141_5904	no	0.0006051365926428775	0	0.8768329166228904	-0.8869366812211714	6672	6.314148681055156	6.0	3.232311952506032	20454	7.201085362276327	7.0	3.8057123809983264
IndJ_bin_077_k141_192853_fragment_4	IndJ_bin_077_k141_192853	no	0.009847405018921276	0.3068731497719851	1.0977152394925846	2.0070591695865545	56138	22.546937903024688	22.0	6.552949012170485	222650	20.539878733438133	20.0	6.5277355807753255
IndJ_bin_050_k141_174907_fragment_1	IndJ_bin_050_k141_174907	no	8.997134768896491e-10	0.44804765112460954	1.1806362368084422	2.7587594261859874	36998	18.03121790367047	17.0	6.59145492112078	214763	15.272458477484482	15	5.690093852434085
IndJ_bin_039_k141_160948_fragment_1	IndJ_bin_039_k141_160948	no	6.302957188350568e-06	0	0.7696375012526041	-1.167066365261629	7298	3.899150452178679	4.0	2.698188519583909	13486	5.066216817440308	4.0	3.4239647952262726
IndJ_bin_036_k141_236478_fragment_1	IndJ_bin_036_k141_236478	no	9.780956691537091e-09	0.5035177487419122	1.4217062325766336	1.27954360153971	17855	4.313749649957995	4	2.7875000479568484	51716	3.0342060484182847	3.0	2.268330914523071
IndJ_bin_010_k141_98138_fragment_2	IndJ_bin_010_k141_98138	no	0.0005022997157009463	0.30685647764428803	1.1878003259161034	0.9408455360222359	11898	5.950663977139015	6.0	3.0873098104273753	18231	5.009818441116779	5	3.044695778011083
IndJ_bin_070_k141_4139_fragment_3	IndJ_bin_070_k141_4139	no	nan	0	0	0	41045	0	0	0.0	103349	0	0	0.0
IndJ_bin_063_k141_95352_fragment_1	IndJ_bin_063_k141_95352	no	5.818940622995982e-26	0.6764759914750585	1.1637280795082166	8.558852914953498	6222	60.833654773384765	60.0	15.048572873255894	7318	52.27480185843127	51.0	9.679491100537325
IndJ_bin_055_k141_19598_fragment_1	IndJ_bin_055_k141_19598	no	4.116379335853775e-12	0.2770111587325043	1.1305750093375033	1.1268343499107374	72167	9.756620061801101	9	4.250112320866482	89459	8.629785711890364	8	3.8769872197638438
IndJ_bin_073_k141_92187_fragment_1	IndJ_bin_073_k141_92187	no	1.1718169097165298e-13	0.5481602490909934	1.178638052134519	3.8617579978907344	23604	25.479537366548044	25.0	7.253313926597035	103367	21.61777936865731	21	6.830219296875158
IndJ_bin_101_k141_152001_fragment_1	IndJ_bin_101_k141_152001	yes	4.283704888300631e-159	4.988034170086883	3.985676775119593	91.57914293336154	26162	122.25196850393701	123.0	23.506377618746264	254699	30.672825570575462	29	11.027795209629888
IndJ_bin_098_k141_221485_fragment_1	IndJ_bin_098_k141_221485	no	0.08776130267226248	0.07687082781679398	1.024411006394224	0.4359021718843543	45625	18.292690410958905	18	5.579101000139177	124480	17.85678823907455	18.0	5.760606310280408
IndJ_bin_036_k141_4399_fragment_1	IndJ_bin_036_k141_4399	no	6.246480160239822e-08	0.2905473683281522	1.2410955116954983	0.9740910665063565	7729	5.014361495665675	4	3.2725449499635166	23814	4.040270429159318	3.0	3.430800709776339
IndJ_bin_005_k141_245494_fragment_4	IndJ_bin_005_k141_245494	no	1.047988978617917e-16	0.552978348708601	1.4289837779877272	1.4984811629845276	29797	4.991576333187905	5	2.8430724583587366	627749	3.4930951702033775	3	2.569702630526046
IndJ_bin_035_k141_127975_fragment_1	IndJ_bin_035_k141_127975	no	0.5257320416147946	0	0.5773126024964912	-0.06422847324596238	17954	0.08772418402584382	0.0	0.2829012358377534	130284	0.1519526572718062	0.0	0.4712987992283618
IndJ_bin_057_k141_84514_fragment_1	IndJ_bin_057_k141_84514	no	nan	0	0	0	18010	0	0.0	0.0	4025	0	0	0.0
IndJ_bin_009_k141_167490_fragment_1	IndJ_bin_009_k141_167490	no	3.204482796069687e-07	0	0.7750997933842734	-0.6541405982257094	77967	2.254440981440866	2	2.1501030979558196	21954	2.9085815796665755	3.0	2.0920763071028445
IndJ_bin_058_k141_247346_fragment_1	IndJ_bin_058_k141_247346	no	0.4127352351958605	0.12149699150310768	1.0546352104061434	0.4326473448627901	10945	8.351484696208315	8	3.5792106839920237	27833	7.918837351345525	8	3.5426387571868583
IndJ_bin_036_k141_191978_fragment_2	IndJ_bin_036_k141_191978	no	0.08869036905111236	0.012715037884157936	1.008372996993041	0.02899083544851644	10537	3.4914112176141217	4	2.251496438067282	18840	3.462420382165605	3.0	2.308236907566914
IndJ_bin_045_k141_57941_fragment_1	IndJ_bin_045_k141_57941	yes	5.869939378632808e-147	4.021778559496745	4.99897770665993	64.40233608600536	43064	80.50703603938324	80.0	21.910772917904428	315301	16.10469995337788	16	5.725014149572934
IndJ_bin_041_k141_164442_fragment_1	IndJ_bin_041_k141_164442	no	0.38980003568376215	0	0.9971420366374285	-0.011161406182639944	43293	3.8942092255098975	4	2.59083113052389	48188	3.9053706316925374	4.0	2.621693106338215
IndJ_bin_095_k141_163403_fragment_2	IndJ_bin_095_k141_163403	yes	3.805984725747505e-61	1.404712284450046	4.087738589830083	8.93577693481882	9256	11.829732065687121	11.0	8.707266771092007	77024	2.8939551308683007	2.0	2.2617318114718588
IndJ_bin_073_k141_234818_fragment_1	IndJ_bin_073_k141_234818	yes	3.9167066900544335e-142	3.433736925139352	30.137681139852656	655.0933565436612	159429	677.576043254364	724	269.6513655939432	197565	22.482686710702808	22	9.125503680658674
IndJ_bin_073_k141_25729_fragment_1	IndJ_bin_073_k141_25729	no	1.4735360192247596e-46	0.7090547748999122	2.4166743638860617	31.217838605843376	13020	53.25384024577573	28.0	61.81521518094084	39026	22.03600163993235	22.0	7.463455991787089
IndJ_bin_063_k141_9186_fragment_1	IndJ_bin_063_k141_9186	no	0.5164517855142877	0	0.975853038652675	-1.318002693631101	4967	53.26454600362392	53	8.281451436063925	40146	54.58254869725502	54.0	12.338157848165373
IndJ_bin_086_k141_177211_fragment_1	IndJ_bin_086_k141_177211	no	0.19598097805563866	0	0.9530698477579681	-0.05956720582042552	16113	1.2097064482095203	1	1.2537035975442061	12556	1.2692736540299459	1.0	1.51342290419941
IndJ_bin_060_k141_238582_fragment_1	IndJ_bin_060_k141_238582	no	1.1618245935366561e-07	0.3119845520058741	1.0769401313909324	4.473718719572759	45632	62.61917075736326	62.0	14.481399829238013	72505	58.1454520377905	57	14.196286996132939
IndJ_bin_036_k141_91703_fragment_1	IndJ_bin_036_k141_91703	no	0.01422342783055691	0.21578356873896914	1.163590786549326	0.5017888531219326	31954	3.5691306252738313	3.0	2.376863189847486	7900	3.0673417721518987	3.0	2.2728262647923096
IndJ_bin_101_k141_235282_fragment_1	IndJ_bin_101_k141_235282	no	2.6602412103921377e-18	0.5373262170157403	1.1541541400878823	5.298027096980903	31346	39.66640081669112	39.0	9.484624246206362	20015	34.36837371971022	33	10.221566060996295
IndJ_bin_086_k141_40315_fragment_1	IndJ_bin_086_k141_40315	no	1.8999063654441604e-05	0	0.6148656264672546	-0.4088974848690463	59750	0.6528033472803347	0.0	0.9847657598244954	4927	1.061700832149381	0	1.5585242238082262
