user_genome	classification	fastani_reference	fastani_reference_radius	fastani_taxonomy	fastani_ani	fastani_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
IndJ_bin_001	d__Bacteria;p__Cyanobacteria;c__Vampirovibrionia;o__Gastranaerophilales;f__Gastranaerophilaceae;g__CAG-484;s__CAG-484 sp000431315	GCA_000431315.1	95.0	d__Bacteria;p__Cyanobacteria;c__Vampirovibrionia;o__Gastranaerophilales;f__Gastranaerophilaceae;g__CAG-484;s__CAG-484 sp000431315	99.19	0.82	GCA_000431315.1	95.0	d__Bacteria;p__Cyanobacteria;c__Vampirovibrionia;o__Gastranaerophilales;f__Gastranaerophilaceae;g__CAG-484;s__CAG-484 sp000431315	99.19	0.82	d__Bacteria;p__Cyanobacteria;c__Vampirovibrionia;o__Gastranaerophilales;f__Gastranaerophilaceae;g__CAG-484;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_900554385.1, s__CAG-484 sp900554385, 95.0, 78.8, 0.34; GCA_900321895.1, s__CAG-484 sp900321895, 95.0, 77.6, 0.21	69.21	11	N/A	N/A
IndJ_bin_002	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__	N/A	N/A	N/A	N/A	N/A	GCF_000157915.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__Phocaeicola coprophilus	94.42	0.15	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__	taxonomic classification defined by topology and ANI	N/A	GCA_900552645.1, s__Phocaeicola sp900552645, 95.0, 95.74, 0.04; GCF_013009555.1, s__Phocaeicola dorei, 95.359, 94.17, 0.16; GCF_900760795.1, s__Phocaeicola sp900760795, 95.0, 93.23, 0.09; GCF_000012825.1, s__Phocaeicola vulgatus, 95.359, 92.05, 0.12; GCF_900751965.1, s__Phocaeicola sp900751965, 95.0, 91.02, 0.12; GCF_000187895.1, s__Phocaeicola plebeius, 95.0, 90.63, 0.09; GCF_902362595.1, s__Phocaeicola sp900066455, 95.0, 90.39, 0.09; GCF_000374585.1, s__Phocaeicola barnesiae, 95.0, 89.39, 0.1; GCF_000190575.1, s__Phocaeicola salanitronis, 95.0, 88.7, 0.07; GCF_003437535.1, s__Phocaeicola plebeius_A, 95.0, 88.54, 0.09; GCF_013618865.1, s__Phocaeicola sp900541515, 95.0, 88.25, 0.09; GCF_000154845.1, s__Phocaeicola coprocola, 95.0, 87.95, 0.1; GCF_000614185.1, s__Phocaeicola sartorii, 95.0, 87.9, 0.11; GCF_011959205.1, s__Phocaeicola sp011959205, 95.0, 87.19, 0.1; GCF_900128455.1, s__Phocaeicola mediterraneensis, 95.0, 85.16, 0.1; GCF_900128495.1, s__Phocaeicola ilei, 95.0, 85.0, 0.05; GCA_900553185.1, s__Phocaeicola sp900553185, 95.0, 84.72, 0.06; GCA_002493165.1, s__Phocaeicola sp002493165, 95.0, 84.42, 0.04; GCF_000382445.1, s__Phocaeicola massiliensis, 95.0, 84.36, 0.09; GCA_900540105.1, s__Phocaeicola sp900540105, 95.0, 83.86, 0.04; GCA_900553715.1, s__Phocaeicola sp900553715, 95.0, 83.72, 0.04; GCA_900544075.1, s__Phocaeicola sp900544075, 95.0, 83.43, 0.04; GCA_900551065.1, s__Phocaeicola sp900551065, 95.0, 83.23, 0.04; GCF_002161565.1, s__Phocaeicola sp002161565, 95.0, 82.61, 0.06; GCF_002161765.1, s__Phocaeicola sp002161765, 95.0, 82.6, 0.06; GCF_902362605.1, s__Phocaeicola sp900066445, 95.0, 82.36, 0.06; GCA_902388365.1, s__Phocaeicola sp902388365, 95.0, 82.03, 0.1; GCA_900546355.1, s__Phocaeicola sp900546355, 95.0, 81.99, 0.04; GCF_000613805.1, s__Phocaeicola paurosaccharolyticus, 95.0, 81.66, 0.03; GCA_000434735.1, s__Phocaeicola sp000434735, 95.0, 81.46, 0.03; GCA_902779535.1, s__Phocaeicola sp902779535, 95.0, 81.46, 0.03; GCA_900551445.1, s__Phocaeicola sp900551445, 95.0, 81.24, 0.03; GCA_000436795.1, s__Phocaeicola sp000436795, 95.0, 81.17, 0.01; GCA_900557085.1, s__Phocaeicola sp900557085, 95.0, 81.08, 0.02; GCA_900544675.1, s__Phocaeicola sp900544675, 95.0, 80.99, 0.09; GCA_900546645.1, s__Phocaeicola sp900546645, 95.0, 80.0, 0.03; GCA_004558305.1, s__Phocaeicola plebeius_B, 95.0, 79.44, 0.02; GCA_900551645.1, s__Phocaeicola sp900551645, 95.0, 78.72, 0.01; GCA_000432735.1, s__Phocaeicola sp000432735, 95.0, 78.62, 0.07; GCA_900554435.1, s__Phocaeicola sp900554435, 95.0, 78.29, 0.01; GCF_000312445.1, s__Phocaeicola abscessus, 95.0, 77.81, 0.02; GCA_900556845.1, s__Phocaeicola sp900556845, 95.0, 77.56, 0.01; GCA_900552075.1, s__Phocaeicola sp900552075, 95.0, 77.35, 0.01; GCA_900542985.1, s__Phocaeicola sp900542985, 95.0, 76.88, 0.01; GCA_900546095.1, s__Phocaeicola sp900546095, 95.0, 75.24, 0.01	18.98	11	0.9999944079488047	N/A
IndJ_bin_003	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__;s__	taxonomic novelty determined using RED	N/A	N/A	24.26	11	0.9036424226811914	N/A
IndJ_bin_004	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__	ANI	N/A	GCF_003461955.1, s__Blautia_A sp900066335, 95.0, 90.13, 0.13; GCF_003460605.1, s__Blautia_A sp900066145, 95.0, 89.61, 0.12; GCF_013304735.1, s__Blautia_A sp900066205, 95.0, 86.56, 0.13; GCF_013302415.1, s__Blautia_A faecis, 95.0, 85.36, 0.11; GCF_900751995.1, s__Blautia_A sp900751995, 95.0, 84.23, 0.11; GCF_001487165.1, s__Blautia_A massiliensis, 95.0, 84.23, 0.1; GCF_900756405.1, s__Blautia_A sp900756405, 95.0, 84.07, 0.11; GCF_013304825.1, s__Blautia_A schinkii, 95.0, 82.43, 0.11; GCF_900764225.1, s__Blautia_A sp900764225, 95.0, 81.82, 0.1; GCF_003474435.1, s__Blautia_A sp003474435, 95.0, 81.77, 0.11; GCF_900763175.1, s__Blautia_A sp900763175, 95.0, 81.71, 0.08; GCF_002159835.1, s__Blautia_A sp002159835, 95.0, 81.48, 0.04; GCA_008661915.1, s__Blautia_A wexlerae_A, 95.0, 80.98, 0.07; GCF_013304385.1, s__Blautia_A sp900066505, 95.0, 80.61, 0.08; GCF_003471165.1, s__Blautia_A sp003471165, 95.0, 80.12, 0.09; GCF_003477525.1, s__Blautia_A sp003477525, 95.0, 80.03, 0.09; GCF_013300825.1, s__Blautia_A wexlerae_B, 95.0, 79.76, 0.08; GCF_003480185.1, s__Blautia_A sp003480185, 95.0, 79.69, 0.09; GCF_009707925.1, s__Blautia_A luti, 95.0, 79.64, 0.09; GCF_013302405.1, s__Blautia_A caecimuris, 95.0, 79.5, 0.06; GCF_000484655.1, s__Blautia_A wexlerae, 95.0, 79.49, 0.09; GCF_000153905.1, s__Blautia_A obeum, 95.0, 79.43, 0.07; GCA_000210015.1, s__Blautia_A obeum_B, 95.0, 79.34, 0.06; GCF_009883055.1, s__Blautia_A sp900548245, 95.0, 79.27, 0.07; GCA_000285855.2, s__Blautia_A sp000285855, 95.0, 78.94, 0.09; GCF_003461245.1, s__Blautia_A sp000436615, 95.0, 78.92, 0.08; GCA_900066355.1, s__Blautia_A sp900066355, 95.0, 78.82, 0.07; GCA_900541985.1, s__Blautia_A sp900541985, 95.0, 78.7, 0.06; GCA_900316115.1, s__Blautia_A sp900316115, 95.0, 78.67, 0.06; GCA_900542045.1, s__Blautia_A sp900542045, 95.0, 78.55, 0.03; GCA_000702025.1, s__Blautia_A schinkii_A, 95.0, 78.45, 0.05; GCF_900120195.1, s__Blautia_A sp900120195, 95.0, 78.42, 0.05; GCA_900553515.1, s__Blautia_A sp900553515, 95.0, 78.18, 0.04; GCA_900551465.1, s__Blautia_A sp900551465, 95.0, 77.96, 0.06; GCF_000157975.1, s__Blautia_A hydrogenotrophica, 95.0, 77.88, 0.03; GCA_900547615.1, s__Blautia_A sp900547615, 95.0, 77.61, 0.05; GCA_900549015.1, s__Blautia_A sp900549015, 95.0, 77.56, 0.05; GCA_900540785.1, s__Blautia_A sp900540785, 95.0, 77.56, 0.05; GCA_900541345.1, s__Blautia_A sp900541345, 95.0, 77.42, 0.05; GCA_900551075.1, s__Blautia_A sp900551075, 95.0, 77.16, 0.05; GCA_902803215.1, s__Blautia_A sp902803215, 95.0, 77.01, 0.02; GCA_902782975.1, s__Blautia_A sp902782975, 95.0, 76.94, 0.01; GCA_900551715.1, s__Blautia_A sp900551715, 95.0, 76.65, 0.06; GCA_902783305.1, s__Blautia_A sp902783305, 95.0, 76.06, 0.01	38.32	11	0.9739941249485519	N/A
IndJ_bin_005	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__CAG-217;s__CAG-217 sp000436335	GCA_000436335.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__CAG-217;s__CAG-217 sp000436335	97.93	0.91	GCA_000436335.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__CAG-217;s__CAG-217 sp000436335	97.93	0.91	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__CAG-217;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_900547275.1, s__CAG-217 sp900547275, 95.0, 77.54, 0.13	94.52	11	N/A	N/A
IndJ_bin_006	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anaerostipes;s__Anaerostipes hadrus	GCF_000332875.2	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anaerostipes;s__Anaerostipes hadrus	98.46	0.86	GCF_000332875.2	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anaerostipes;s__Anaerostipes hadrus	98.46	0.86	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anaerostipes;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_008672325.1, s__Anaerostipes hadrus_B, 95.0, 98.36, 0.65; GCF_001404655.1, s__Anaerostipes hadrus_A, 95.0, 88.82, 0.73; GCF_902362875.1, s__Anaerostipes sp900066705, 95.0, 88.53, 0.73; GCF_001940315.1, s__Anaerostipes sp001940315, 95.0, 79.41, 0.35; GCA_900756035.1, s__Anaerostipes sp900756035, 95.0, 79.28, 0.29; GCF_005280655.1, s__Anaerostipes rhamnosivorans, 95.0, 77.49, 0.12; GCF_000508985.1, s__Anaerostipes sp000508985, 95.0, 77.48, 0.11; GCF_014467075.1, s__Anaerostipes caccae, 95.0, 77.31, 0.13	87.35	11	N/A	Genome has more than 10.0% of markers with multiple hits
IndJ_bin_007	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-83;s__CAG-83 sp900545585	GCA_900545585.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-83;s__CAG-83 sp900545585	98.86	0.95	GCA_900545585.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-83;s__CAG-83 sp900545585	98.86	0.95	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-83;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_900551355.1, s__CAG-83 sp900551355, 95.0, 88.75, 0.74; GCA_900550585.1, s__CAG-83 sp900550585, 95.0, 88.36, 0.67; GCA_900547745.1, s__CAG-83 sp900547745, 95.0, 88.05, 0.66; GCA_900545495.1, s__CAG-83 sp900545495, 95.0, 87.89, 0.71; GCA_003487665.1, s__CAG-83 sp003487665, 95.0, 84.11, 0.58; GCA_900554275.1, s__CAG-83 sp900554275, 95.0, 84.01, 0.61; GCA_900551995.1, s__CAG-83 sp900551995, 95.0, 83.26, 0.58; GCA_000435555.1, s__CAG-83 sp000435555, 95.0, 82.98, 0.63; GCA_002438575.1, s__CAG-83 sp002438575, 95.0, 82.92, 0.62; GCA_900556015.1, s__CAG-83 sp900556015, 95.0, 82.74, 0.61; GCA_900555735.1, s__CAG-83 sp900555735, 95.0, 82.15, 0.46; GCA_900552725.1, s__CAG-83 sp900552725, 95.0, 82.13, 0.51; GCA_900548615.1, s__CAG-83 sp900548615, 95.0, 82.06, 0.53; GCA_900757415.1, s__CAG-83 sp900757415, 95.0, 81.7, 0.38; GCA_900317425.1, s__CAG-83 sp900317425, 95.0, 81.57, 0.46; GCA_001916855.1, s__CAG-83 sp001916855, 95.0, 81.33, 0.46; GCA_000435975.1, s__CAG-83 sp000435975, 95.0, 81.25, 0.47; GCA_000431575.1, s__CAG-83 sp000431575, 95.0, 81.23, 0.51; GCA_902388735.1, s__CAG-83 sp902388735, 95.0, 80.81, 0.43; GCA_002392625.1, s__CAG-83 sp002392625, 95.0, 80.69, 0.39; GCA_004557655.1, s__CAG-83 sp004557655, 95.0, 80.44, 0.37; GCA_004555205.1, s__CAG-83 sp004555205, 95.0, 80.3, 0.34; GCA_003539495.1, s__CAG-83 sp003539495, 95.0, 80.1, 0.43; GCA_900313295.1, s__CAG-83 sp900313295, 95.0, 80.06, 0.52; GCA_900549395.1, s__CAG-83 sp900549395, 95.0, 79.89, 0.39; GCA_900552475.1, s__CAG-83 sp900552475, 95.0, 79.82, 0.41; GCA_900550615.1, s__CAG-83 sp900550615, 95.0, 79.76, 0.39; GCA_900756715.1, s__CAG-83 sp900756715, 95.0, 79.14, 0.32; GCA_012719745.1, s__CAG-83 sp012719745, 95.0, 78.65, 0.28; GCA_002309395.1, s__CAG-83 sp002309395, 95.0, 78.17, 0.3	85.07	11	N/A	N/A
IndJ_bin_008	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__TANB77;f__CAG-508;g__CAG-273;s__CAG-273 sp000437855	GCA_000437855.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__TANB77;f__CAG-508;g__CAG-273;s__CAG-273 sp000437855	98.64	0.85	GCA_000437855.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__TANB77;f__CAG-508;g__CAG-273;s__CAG-273 sp000437855	98.64	0.85	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__TANB77;f__CAG-508;g__CAG-273;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_000435755.1, s__CAG-273 sp000435755, 95.0, 87.11, 0.77; GCA_003534295.1, s__CAG-273 sp003534295, 95.0, 79.36, 0.37; GCA_003507395.1, s__CAG-273 sp003507395, 95.0, 79.21, 0.38; GCF_900752095.1, s__CAG-273 sp900752095, 95.0, 79.18, 0.38; GCF_900752335.1, s__CAG-273 sp900752335, 95.0, 78.98, 0.3; GCA_902406115.1, s__CAG-273 sp902406115, 95.0, 78.93, 0.38; GCA_000438355.1, s__CAG-273 sp000438355, 95.0, 78.4, 0.36	85.39	11	N/A	N/A
IndJ_bin_009	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Dysosmobacter;s__Dysosmobacter welbionis	GCF_005121165.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Dysosmobacter;s__Dysosmobacter welbionis	99.23	0.91	GCF_005121165.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Dysosmobacter;s__Dysosmobacter welbionis	99.23	0.91	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Dysosmobacter;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_900556925.1, s__Dysosmobacter sp900556925, 95.0, 87.53, 0.7; GCA_900544955.1, s__Dysosmobacter sp900544955, 95.0, 82.78, 0.52; GCA_900770295.1, s__Dysosmobacter sp900770295, 95.0, 82.6, 0.55; GCA_900551885.1, s__Dysosmobacter sp900551885, 95.0, 82.56, 0.6; GCA_004558115.1, s__Dysosmobacter sp004558115, 95.0, 82.22, 0.59; GCA_900752075.1, s__Dysosmobacter sp900752075, 95.0, 81.79, 0.43; GCA_900548505.1, s__Dysosmobacter sp900548505, 95.0, 81.74, 0.52; GCA_000436875.1, s__Dysosmobacter sp000436875, 95.0, 81.5, 0.56; GCA_900554425.1, s__Dysosmobacter sp900554425, 95.0, 81.43, 0.61; GCA_900546705.1, s__Dysosmobacter sp900546705, 95.0, 81.33, 0.58; GCF_000403435.2, s__Dysosmobacter sp000403435, 95.0, 81.26, 0.56; GCA_900550685.1, s__Dysosmobacter sp900550685, 95.0, 80.86, 0.45; GCA_009774015.1, s__Dysosmobacter sp009774015, 95.0, 80.37, 0.41; GCA_009773995.1, s__Dysosmobacter sp009773995, 95.0, 80.28, 0.42; GCA_900763685.1, s__Dysosmobacter sp900763685, 95.0, 80.08, 0.47; GCA_004553545.1, s__Dysosmobacter sp004553545, 95.0, 80.07, 0.41; GCF_014297285.1, s__Dysosmobacter sp001916835, 95.0, 80.05, 0.41; GCF_014297375.1, s__Dysosmobacter sp014297375, 95.0, 79.6, 0.39; GCA_900544105.1, s__Dysosmobacter sp900544105, 95.0, 79.59, 0.4; GCA_900544615.1, s__Dysosmobacter sp900544615, 95.0, 79.5, 0.42; GCF_900115635.1, s__Dysosmobacter sp900115635, 95.0, 79.4, 0.4; GCA_900542115.1, s__Dysosmobacter sp900542115, 95.0, 78.9, 0.42	90.81	11	N/A	N/A
IndJ_bin_010	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__;s__	taxonomic novelty determined using RED	N/A	N/A	88.03	11	0.8942685730420127	N/A
