user_genome	classification	fastani_reference	fastani_reference_radius	fastani_taxonomy	fastani_ani	fastani_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
IndB_bin_001	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__CAG-312;g__CAG-312;s__CAG-312 sp900545705	GCA_900545705.1	95.0	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__CAG-312;g__CAG-312;s__CAG-312 sp900545705	98.49	0.88	GCA_900545705.1	95.0	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__CAG-312;g__CAG-312;s__CAG-312 sp900545705	98.49	0.88	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__CAG-312;g__CAG-312;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_900545715.1, s__CAG-312 sp900545715, 95.0, 92.94, 0.83; GCA_000438015.1, s__CAG-312 sp000438015, 95.0, 89.99, 0.17; GCA_001917305.1, s__CAG-312 sp001917305, 95.0, 78.65, 0.38; GCF_900760665.1, s__CAG-312 sp900760665, 95.0, 78.42, 0.38; GCA_002437405.1, s__CAG-312 sp002437405, 95.0, 77.84, 0.3; GCA_002405555.1, s__CAG-312 sp002405555, 95.0, 76.73, 0.11; GCA_900548275.1, s__CAG-312 sp900548275, 95.0, 76.72, 0.11; GCA_900546565.1, s__CAG-312 sp900546565, 95.0, 76.71, 0.1; GCF_900760055.1, s__CAG-312 sp900760055, 95.0, 76.6, 0.12	78.1	11	N/A	N/A
IndB_bin_002	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__TANB77;f__CAG-508;g__CAG-269;s__CAG-269 sp900554365	GCA_900554365.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__TANB77;f__CAG-508;g__CAG-269;s__CAG-269 sp900554365	97.76	0.67	GCA_900554365.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__TANB77;f__CAG-508;g__CAG-269;s__CAG-269 sp900554365	97.76	0.67	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__TANB77;f__CAG-508;g__CAG-269;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_900760175.1, s__CAG-269 sp900760175, 95.0, 86.75, 0.37; GCA_900557115.1, s__CAG-269 sp900557115, 95.0, 84.52, 0.56; GCF_900762425.1, s__CAG-269 sp900762425, 95.0, 83.74, 0.74; GCA_000431335.1, s__CAG-269 sp000431335, 95.0, 83.17, 0.7; GCF_900753165.1, s__CAG-269 sp900753165, 95.0, 82.12, 0.52; GCA_900556945.1, s__CAG-269 sp900556945, 95.0, 82.09, 0.37; GCA_900556695.1, s__CAG-269 sp900556695, 95.0, 82.03, 0.48; GCA_900553985.1, s__CAG-269 sp900553985, 95.0, 81.77, 0.52; GCA_001916065.1, s__CAG-269 sp001916065, 95.0, 81.53, 0.7; GCA_000437215.1, s__CAG-269 sp000437215, 95.0, 81.47, 0.67; GCA_902760765.1, s__CAG-269 sp902760765, 95.0, 81.3, 0.48; GCA_900554565.1, s__CAG-269 sp900554565, 95.0, 81.3, 0.7; GCA_001916055.1, s__CAG-269 sp001916055, 95.0, 81.19, 0.37; GCA_900556865.1, s__CAG-269 sp900556865, 95.0, 81.08, 0.33; GCA_001916005.1, s__CAG-269 sp001916005, 95.0, 80.86, 0.63; GCA_000435535.1, s__CAG-269 sp000435535, 95.0, 80.76, 0.52; GCA_900552555.1, s__CAG-269 sp900552555, 95.0, 80.73, 0.7; GCA_002372935.1, s__CAG-269 sp002372935, 95.0, 80.24, 0.48; GCA_003518755.1, s__CAG-269 sp003518755, 95.0, 80.16, 0.3; GCA_900551615.1, s__CAG-269 sp900551615, 95.0, 80.12, 0.52; GCA_000438255.1, s__CAG-269 sp000438255, 95.0, 80.06, 0.63; GCA_001916035.1, s__CAG-269 sp001916035, 95.0, 80.01, 0.59; GCA_001915995.1, s__CAG-269 sp001915995, 95.0, 79.8, 0.59; GCA_902787685.1, s__CAG-269 sp902787685, 95.0, 79.69, 0.33; GCF_900754285.1, s__CAG-269 sp900754285, 95.0, 79.64, 0.7; GCA_003525075.1, s__CAG-269 sp003525075, 95.0, 79.04, 0.59; GCA_900555615.1, s__CAG-269 sp900555615, 95.0, 78.57, 0.33; GCA_900553125.1, s__CAG-269 sp900553125, 95.0, 78.31, 0.52; GCA_900556345.1, s__CAG-269 sp900556345, 95.0, 77.93, 0.41; GCA_900554175.1, s__CAG-269 sp900554175, 95.0, 77.65, 0.59	16.3	11	N/A	N/A
IndB_bin_003	d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__UBA660;g__CAG-460;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__UBA660;g__CAG-460;s__	ANI	N/A	GCA_000437355.1, s__CAG-460 sp000437355, 95.0, 94.94, 0.25; GCA_900544625.1, s__CAG-460 sp900544625, 95.0, 89.11, 0.19; GCA_900551525.1, s__CAG-460 sp900551525, 95.0, 82.88, 0.16; GCA_902797105.1, s__CAG-460 sp902797105, 95.0, 82.11, 0.15; GCA_000438075.1, s__CAG-460 sp000438075, 95.0, 81.61, 0.19; GCF_900751815.1, s__CAG-460 sp900751815, 95.0, 81.24, 0.08; GCA_900546715.1, s__CAG-460 sp900546715, 95.0, 79.17, 0.14; GCA_000437315.1, s__CAG-460 sp000437315, 95.0, 76.25, 0.1; GCA_002439555.1, s__CAG-460 sp002439555, 95.0, 76.24, 0.09; GCA_012799635.1, s__CAG-460 sp012799635, 95.0, 75.03, 0.08	29.28	11	0.9820533721686794	N/A
IndB_bin_004	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__KLE1615;s__	N/A	N/A	N/A	N/A	N/A	GCF_003478935.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__KLE1615;s__KLE1615 sp900066985	97.26	0.15	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__;s__	taxonomic classification defined by topology and ANI	N/A	N/A	22.97	11	0.9785969188573532	N/A
IndB_bin_005	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Roseburia;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Roseburia;s__	ANI	N/A	GCF_900537995.1, s__Roseburia intestinalis, 95.0, 93.65, 0.14; GCF_003470905.1, s__Roseburia sp003470905, 95.0, 86.76, 0.16; GCA_003483745.1, s__Roseburia sp003483745, 95.0, 85.91, 0.15; GCF_001940165.1, s__Roseburia sp001940165, 95.0, 80.85, 0.07; GCA_004562005.1, s__Roseburia sp004562005, 95.0, 80.72, 0.1; GCF_000225345.1, s__Roseburia hominis, 95.0, 80.51, 0.1; GCF_000174195.1, s__Roseburia inulinivorans, 95.0, 79.73, 0.1; GCA_900550935.1, s__Roseburia sp900550935, 95.0, 79.39, 0.07; GCA_900542495.1, s__Roseburia sp900542495, 95.0, 79.36, 0.06; GCA_900756925.1, s__Roseburia sp900756925, 95.0, 78.32, 0.04; GCA_900753715.1, s__Roseburia sp900753715, 95.0, 77.73, 0.06; GCA_900548205.1, s__Roseburia sp900548205, 95.0, 77.41, 0.03; GCA_900552665.1, s__Roseburia sp900552665, 95.0, 77.14, 0.07	34.29	11	0.9792552544658909	N/A
IndB_bin_006	d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__UBA660;g__CAG-611;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__UBA660;g__;s__	taxonomic novelty determined using RED	N/A	N/A	41.95	11	0.9555709610463463	N/A
IndB_bin_007	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__F23-B02;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__;s__	taxonomic novelty determined using RED	N/A	N/A	37.48	11	0.933890318571923	Genome has more than 12.5% of markers with multiple hits
IndB_bin_008	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__;s__	taxonomic novelty determined using RED	N/A	N/A	40.7	11	0.8726822045979571	Genome has more than 13.3% of markers with multiple hits
IndB_bin_009	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__;s__	taxonomic classification fully defined by topology	N/A	N/A	32.16	11	0.8339562758254114	N/A
IndB_bin_010	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__;s__	taxonomic novelty determined using RED	N/A	N/A	40.98	11	0.9131203025572026	Genome has more than 13.3% of markers with multiple hits
