prophage	host	active	MW_pvalue	CohenD	prophage-host_ratio	mean_difference	prophage_len	prophage_mean_cov	prophage_median_cov	prophage_sd_cov	host_len	host_mean_cov	host_median_cov	host_sd_cov
IndD_bin_092_k141_207212_fragment_1	IndD_bin_092_k141_207212	no	1.332152465789001e-58	0	0.0007869235708742327	-18.464926430223212	4126	0.014541929229277752	0.0	0.11972441511591055	5041	18.47946835945249	21	11.080532451098273
IndD_bin_132_k141_32103_fragment_1	IndD_bin_132_k141_32103	no	nan	0	0.0	-1.579169701383831	36662	0	0.0	0.0	6865	1.579169701383831	0	2.68768725339133
IndD_bin_104_k141_497474_fragment_1	IndD_bin_104_k141_497474	no	3.528330617794851e-55	0	0.00042045320663058205	-15.777019221390416	32699	0.006636288571515949	0	0.20938585091689685	20227	15.783655509961932	17	9.251566359295309
IndD_bin_176_k141_166265_fragment_4	IndD_bin_176_k141_166265	no	9.942221787065602e-06	0.4303991569969835	24.20388207064891	0.14728652341246284	11241	0.15363401832577173	0	0.4773960033153195	172509	0.006347494913308871	0	0.0794181388817536
IndD_bin_025_k141_61581_fragment_1	IndD_bin_025_k141_61581	no	nan	0	0	0	12328	0	0.0	0.0	44259	0	0	0.0
IndD_bin_054_k141_23882_fragment_2	IndD_bin_054_k141_23882	no	0.02936853537267828	0.1637314360761225	1.0921447379919216	0.6582160800449008	47048	7.801500595136882	7.0	4.074416739579274	44792	7.143284515091981	7.0	3.9650309999790694
IndD_bin_067_k141_601273_fragment_1	IndD_bin_067_k141_601273	no	nan	0	0.0	-2.9062617880045267	11670	0	0.0	0.0	37114	2.9062617880045267	2.0	2.803351482014534
IndD_bin_165_k141_199413_fragment_2	IndD_bin_165_k141_199413	no	1.936597378052757e-18	0.5010024416296903	1.2059603847645792	2.8175714174879083	9706	16.497733360807747	16.0	5.817758261874166	32604	13.680161943319838	13.0	5.42304925305717
IndD_bin_124_k141_150343_fragment_1	IndD_bin_124_k141_150343	no	nan	0	0	0	7812	0	0.0	0.0	51201	0	0	0.0
IndD_bin_157_k141_427041_fragment_1	IndD_bin_157_k141_427041	no	nan	0	0	0	27259	0	0	0.0	14743	0	0	0.0
IndD_bin_077_k141_347127_fragment_2	IndD_bin_077_k141_347127	no	8.645168539208505e-05	0	0.15455888392890743	-0.4391055501696012	30707	0.08027485589604975	0	0.691273086256786	55262	0.519380406065651	0.0	2.0704933602933813
IndD_bin_080_k141_630345_fragment_1	IndD_bin_080_k141_630345	no	nan	0	0	0	35821	0	0	0.0	57293	0	0	0.0
IndD_bin_132_k141_234144_fragment_1	IndD_bin_132_k141_234144	no	nan	0	0	0	33334	0	0.0	0.0	11842	0	0.0	0.0
IndD_bin_060_k141_368963_fragment_2	IndD_bin_060_k141_368963	no	5.143176272937901e-12	0.36631999880513233	1.0959514002144757	4.419988798875892	46001	50.48485902480381	50	12.120869268861988	118976	46.06487022592792	45.0	12.01072481854928
IndD_bin_020_k141_340126_fragment_2	IndD_bin_020_k141_340126	no	0.03923633889993376	0.09500982990266242	1.0329390976849944	0.9505825500752998	9217	29.809373982857764	29	10.689743866176881	31889	28.858791432782464	28	9.2700216889893
IndD_bin_037_k141_518779_fragment_1	IndD_bin_037_k141_518779	no	1.0	0.1306237550312682	33.704241228090474	0.03653943156496919	61742	0.03765670046321791	0.0	0.3941854022485258	112775	0.0011172688982487254	0	0.03340704273859725
IndD_bin_139_k141_636862_fragment_1	IndD_bin_139_k141_636862	no	nan	0	0	0	17679	0	0	0.0	57640	0	0.0	0.0
IndD_bin_062_k141_520448_fragment_1	IndD_bin_062_k141_520448	no	0.10826175977105823	0.04362080667623472	1.0302355651878052	0.12916651235986176	18765	4.4011723954169994	4	2.849956843193131	58473	4.272005883057138	4	3.0682614159380233
IndD_bin_148_k141_512776_fragment_2	IndD_bin_148_k141_512776	no	nan	0	0.3134294237882838	-0.0064099535604863304	18112	0.0029262367491166077	0.0	0.05401698794963746	91472	0.009336190309602938	0.0	0.09617238155729951
IndD_bin_167_k141_403434_fragment_1	IndD_bin_167_k141_403434	no	1.615649732572975e-19	0	0.7317013058120319	-5.002923555811803	7869	13.64391917651544	13	7.923023967308988	20144	18.646842732327244	19.0	9.889805506241622
IndD_bin_167_k141_403434_fragment_2	IndD_bin_167_k141_403434	no	9.11993188481687e-114	0	0.024491238610242213	-18.190158457642156	49220	0.4566842746850874	0.0	2.826036423012138	20144	18.646842732327244	19.0	9.889805506241622
IndD_bin_131_k141_277951_fragment_3	IndD_bin_131_k141_277951	no	2.4272268257101113e-64	0	0.28460172869447037	-3.623620898690447	52369	1.441558937539384	0	2.674984370549279	115772	5.065179836229831	5.0	3.5833675077062273
