scaffold	fragment	protein start	protein stop	protein length	nucleotide start	nucleotide stop	nucleotide length
IndD_bin_104_k141_64242	IndD_bin_104_k141_64242_fragment_1	13	34	22	15698	32419	16722
IndD_bin_071_k141_345758	IndD_bin_071_k141_345758_fragment_1	4	64	61	1667	38516	36850
IndD_bin_060_k141_368963	IndD_bin_060_k141_368963_fragment_2	110	179	70	104246	150246	46001
IndD_bin_116_k141_568890	IndD_bin_116_k141_568890_fragment_1	2	24	23	1106	17730	16625
IndD_bin_149_k141_537074	IndD_bin_149_k141_537074_fragment_1	11	23	13	11726	16974	5249
IndD_bin_080_k141_625464	IndD_bin_080_k141_625464_fragment_1	5	17	13	4639	13783	9145
IndD_bin_089_k141_301486	IndD_bin_089_k141_301486_fragment_4	72	79	8	77319	80540	3222
IndD_bin_176_k141_166265	IndD_bin_176_k141_166265_fragment_4	150	159	10	174489	185940	11452
IndD_bin_157_k141_427041	IndD_bin_157_k141_427041_fragment_1	2	38	37	363	27621	27259
IndD_bin_011_k141_405401	IndD_bin_011_k141_405401_fragment_1	11	23	13	13660	20568	6909
IndD_bin_159_k141_213592	IndD_bin_159_k141_213592_fragment_1	36	57	22	40551	57455	16905
IndD_bin_113_k141_536554	IndD_bin_113_k141_536554_fragment_1	6	52	47	3951	34503	30553
IndD_bin_176_k141_282024	IndD_bin_176_k141_282024_fragment_1	37	47	11	34741	44533	9793
IndD_bin_066_k141_413749	IndD_bin_066_k141_413749_fragment_1	1	16	16	347	16214	15868
IndD_bin_037_k141_349536	IndD_bin_037_k141_349536_fragment_2	25	92	68	22736	68300	45565
IndD_bin_062_k141_227151	IndD_bin_062_k141_227151_fragment_1	2	69	68	483	56763	56281
IndD_bin_143_k141_187841	IndD_bin_143_k141_187841_fragment_1	69	85	17	76788	88958	12171
IndD_bin_077_k141_347127	IndD_bin_077_k141_347127_fragment_2	19	68	50	18379	49955	31577
IndD_bin_089_k141_186931	IndD_bin_089_k141_186931_fragment_1	6	14	9	5256	14738	9483
IndD_bin_067_k141_601273	IndD_bin_067_k141_601273_fragment_1	1	18	18	3	11672	11670
