user_genome	classification	fastani_reference	fastani_reference_radius	fastani_taxonomy	fastani_ani	fastani_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
IndC_bin_001	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__UBA1242;g__UBA4626;s__	N/A	N/A	N/A	N/A	N/A	GCA_002406115.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__UBA1242;g__UBA4626;s__UBA4626 sp002406115	80.78	0.57	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__UBA1242;g__;s__	taxonomic classification defined by topology and ANI	N/A	N/A	84.32	11	0.9800033077710781	N/A
IndC_bin_002	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__UBA1242;g__;s__	N/A	N/A	N/A	N/A	N/A	GCA_002424095.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__UBA1242;g__UBA5489;s__UBA5489 sp002424095	76.01	0.04	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__UBA1242;g__;s__	taxonomic classification defined by topology and ANI	N/A	N/A	84.28	11	0.8347181952889977	N/A
IndC_bin_003	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__TANB77;f__CAG-508;g__CAG-269;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__TANB77;f__CAG-508;g__CAG-269;s__	ANI	N/A	GCA_001916065.1, s__CAG-269 sp001916065, 95.0, 86.72, 0.23; GCA_001916035.1, s__CAG-269 sp001916035, 95.0, 86.58, 0.26; GCA_900552555.1, s__CAG-269 sp900552555, 95.0, 83.63, 0.21; GCF_900753165.1, s__CAG-269 sp900753165, 95.0, 82.95, 0.21; GCA_900551615.1, s__CAG-269 sp900551615, 95.0, 81.64, 0.23; GCF_900754285.1, s__CAG-269 sp900754285, 95.0, 81.64, 0.24; GCA_000438255.1, s__CAG-269 sp000438255, 95.0, 81.53, 0.22; GCA_001916005.1, s__CAG-269 sp001916005, 95.0, 80.01, 0.26; GCA_900556695.1, s__CAG-269 sp900556695, 95.0, 79.88, 0.17; GCA_000435535.1, s__CAG-269 sp000435535, 95.0, 79.86, 0.21; GCA_902760765.1, s__CAG-269 sp902760765, 95.0, 79.39, 0.13; GCF_900760175.1, s__CAG-269 sp900760175, 95.0, 79.2, 0.13; GCF_900762425.1, s__CAG-269 sp900762425, 95.0, 79.06, 0.22; GCA_000431335.1, s__CAG-269 sp000431335, 95.0, 78.93, 0.21; GCA_900554565.1, s__CAG-269 sp900554565, 95.0, 78.87, 0.2; GCA_900557115.1, s__CAG-269 sp900557115, 95.0, 78.74, 0.18; GCA_900554365.1, s__CAG-269 sp900554365, 95.0, 78.73, 0.21; GCA_900553985.1, s__CAG-269 sp900553985, 95.0, 78.57, 0.22; GCA_000437215.1, s__CAG-269 sp000437215, 95.0, 78.53, 0.23; GCA_001916055.1, s__CAG-269 sp001916055, 95.0, 78.52, 0.18; GCA_001915995.1, s__CAG-269 sp001915995, 95.0, 78.49, 0.22; GCA_003525075.1, s__CAG-269 sp003525075, 95.0, 78.48, 0.21; GCA_900556945.1, s__CAG-269 sp900556945, 95.0, 78.45, 0.14; GCA_900556345.1, s__CAG-269 sp900556345, 95.0, 78.44, 0.11; GCA_900556865.1, s__CAG-269 sp900556865, 95.0, 78.07, 0.12; GCA_900553125.1, s__CAG-269 sp900553125, 95.0, 77.88, 0.18; GCA_900555615.1, s__CAG-269 sp900555615, 95.0, 77.71, 0.16; GCA_002372935.1, s__CAG-269 sp002372935, 95.0, 77.69, 0.15; GCA_900554175.1, s__CAG-269 sp900554175, 95.0, 77.3, 0.16; GCA_902787685.1, s__CAG-269 sp902787685, 95.0, 77.0, 0.19; GCA_003518755.1, s__CAG-269 sp003518755, 95.0, 76.99, 0.14	45.11	11	0.9760222093859336	Genome has more than 10.0% of markers with multiple hits
IndC_bin_004	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__TANB77;f__CAG-508;g__CAG-269;s__	N/A	N/A	N/A	N/A	N/A	GCA_000431335.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__TANB77;f__CAG-508;g__CAG-269;s__CAG-269 sp000431335	92.15	0.22	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__TANB77;f__CAG-508;g__CAG-269;s__	taxonomic classification defined by topology and ANI	N/A	GCA_900555615.1, s__CAG-269 sp900555615, 95.0, 91.97, 0.22; GCA_900556945.1, s__CAG-269 sp900556945, 95.0, 83.12, 0.15; GCA_900556695.1, s__CAG-269 sp900556695, 95.0, 82.99, 0.16; GCF_900760175.1, s__CAG-269 sp900760175, 95.0, 82.32, 0.1; GCA_001916055.1, s__CAG-269 sp001916055, 95.0, 80.85, 0.22; GCA_900554565.1, s__CAG-269 sp900554565, 95.0, 80.57, 0.2; GCA_000437215.1, s__CAG-269 sp000437215, 95.0, 80.03, 0.22; GCA_001915995.1, s__CAG-269 sp001915995, 95.0, 80.0, 0.25; GCF_900762425.1, s__CAG-269 sp900762425, 95.0, 79.84, 0.25; GCA_001916005.1, s__CAG-269 sp001916005, 95.0, 79.8, 0.28; GCA_003525075.1, s__CAG-269 sp003525075, 95.0, 79.74, 0.27; GCA_001916065.1, s__CAG-269 sp001916065, 95.0, 79.36, 0.2; GCF_900754285.1, s__CAG-269 sp900754285, 95.0, 79.36, 0.16; GCA_902760765.1, s__CAG-269 sp902760765, 95.0, 79.27, 0.16; GCA_900552555.1, s__CAG-269 sp900552555, 95.0, 79.27, 0.23; GCA_900556345.1, s__CAG-269 sp900556345, 95.0, 79.22, 0.07; GCA_900556865.1, s__CAG-269 sp900556865, 95.0, 79.11, 0.08; GCA_001916035.1, s__CAG-269 sp001916035, 95.0, 78.93, 0.18; GCF_900753165.1, s__CAG-269 sp900753165, 95.0, 78.9, 0.22; GCA_900553125.1, s__CAG-269 sp900553125, 95.0, 78.86, 0.13; GCA_000438255.1, s__CAG-269 sp000438255, 95.0, 78.85, 0.22; GCA_900554365.1, s__CAG-269 sp900554365, 95.0, 78.82, 0.23; GCA_900557115.1, s__CAG-269 sp900557115, 95.0, 78.73, 0.18; GCA_900553985.1, s__CAG-269 sp900553985, 95.0, 78.21, 0.25; GCA_900551615.1, s__CAG-269 sp900551615, 95.0, 78.12, 0.24; GCA_900554175.1, s__CAG-269 sp900554175, 95.0, 77.87, 0.19; GCA_002372935.1, s__CAG-269 sp002372935, 95.0, 77.86, 0.16; GCA_000435535.1, s__CAG-269 sp000435535, 95.0, 77.84, 0.23; GCA_003518755.1, s__CAG-269 sp003518755, 95.0, 77.58, 0.13; GCA_902787685.1, s__CAG-269 sp902787685, 95.0, 77.41, 0.17	35.89	11	0.977885209285188	N/A
IndC_bin_005	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Peptostreptococcaceae;g__Romboutsia;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Peptostreptococcaceae;g__Romboutsia;s__	ANI	N/A	GCF_900106845.1, s__Romboutsia timonensis, 95.0, 92.46, 0.15; GCF_900015215.1, s__Romboutsia ilealis, 95.0, 90.7, 0.13; GCF_000686145.1, s__Romboutsia sp000686145, 95.0, 80.9, 0.13; GCF_900103615.1, s__Romboutsia lituseburensis, 95.0, 80.58, 0.14; GCF_000499525.1, s__Romboutsia dakarensis, 95.0, 80.55, 0.15; GCF_900002575.1, s__Romboutsia hominis, 95.0, 80.13, 0.14	39.75	11	0.982649967073527	Genome has more than 10.0% of markers with multiple hits
IndC_bin_006	d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__UBA660;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__UBA660;g__;s__	taxonomic classification fully defined by topology	N/A	N/A	35.78	11	0.8836399254641657	N/A
IndC_bin_007	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__	ANI	N/A	GCF_900760795.1, s__Phocaeicola sp900760795, 95.0, 94.95, 0.15; GCF_000187895.1, s__Phocaeicola plebeius, 95.0, 92.41, 0.07; GCA_900554435.1, s__Phocaeicola sp900554435, 95.0, 92.27, 0.11; GCF_900751965.1, s__Phocaeicola sp900751965, 95.0, 91.93, 0.09; GCF_003437535.1, s__Phocaeicola plebeius_A, 95.0, 91.79, 0.07; GCF_013009555.1, s__Phocaeicola dorei, 95.359, 90.17, 0.17; GCF_000382445.1, s__Phocaeicola massiliensis, 95.0, 89.94, 0.13; GCF_000012825.1, s__Phocaeicola vulgatus, 95.359, 87.94, 0.16; GCA_900557085.1, s__Phocaeicola sp900557085, 95.0, 87.47, 0.05; GCF_900128495.1, s__Phocaeicola ilei, 95.0, 87.24, 0.04; GCA_002493165.1, s__Phocaeicola sp002493165, 95.0, 86.62, 0.1; GCF_011959205.1, s__Phocaeicola sp011959205, 95.0, 86.12, 0.12; GCA_900540105.1, s__Phocaeicola sp900540105, 95.0, 86.04, 0.03; GCF_000614185.1, s__Phocaeicola sartorii, 95.0, 85.06, 0.14; GCA_900553715.1, s__Phocaeicola sp900553715, 95.0, 84.58, 0.03; GCF_013618865.1, s__Phocaeicola sp900541515, 95.0, 84.48, 0.05; GCF_000374585.1, s__Phocaeicola barnesiae, 95.0, 84.24, 0.05; GCF_000157915.1, s__Phocaeicola coprophilus, 95.0, 84.16, 0.05; GCF_900128455.1, s__Phocaeicola mediterraneensis, 95.0, 84.14, 0.08; GCF_902362595.1, s__Phocaeicola sp900066455, 95.0, 83.99, 0.06; GCF_000154845.1, s__Phocaeicola coprocola, 95.0, 83.93, 0.05; GCA_900544075.1, s__Phocaeicola sp900544075, 95.0, 83.5, 0.05; GCF_000190575.1, s__Phocaeicola salanitronis, 95.0, 82.98, 0.05; GCF_002161765.1, s__Phocaeicola sp002161765, 95.0, 82.83, 0.05; GCF_902362605.1, s__Phocaeicola sp900066445, 95.0, 82.8, 0.05; GCA_900546355.1, s__Phocaeicola sp900546355, 95.0, 82.73, 0.05; GCF_000613805.1, s__Phocaeicola paurosaccharolyticus, 95.0, 82.6, 0.04; GCA_900553185.1, s__Phocaeicola sp900553185, 95.0, 82.6, 0.06; GCA_900544675.1, s__Phocaeicola sp900544675, 95.0, 82.55, 0.05; GCA_902779535.1, s__Phocaeicola sp902779535, 95.0, 82.16, 0.03; GCA_900542985.1, s__Phocaeicola sp900542985, 95.0, 81.24, 0.03; GCF_002161565.1, s__Phocaeicola sp002161565, 95.0, 81.22, 0.06; GCA_900552075.1, s__Phocaeicola sp900552075, 95.0, 81.22, 0.03; GCA_902388365.1, s__Phocaeicola sp902388365, 95.0, 80.36, 0.13; GCA_900551065.1, s__Phocaeicola sp900551065, 95.0, 79.53, 0.04; GCA_900546645.1, s__Phocaeicola sp900546645, 95.0, 79.49, 0.04; GCA_000434735.1, s__Phocaeicola sp000434735, 95.0, 78.86, 0.04; GCA_900552645.1, s__Phocaeicola sp900552645, 95.0, 78.22, 0.03; GCA_000432735.1, s__Phocaeicola sp000432735, 95.0, 78.17, 0.03; GCA_900551445.1, s__Phocaeicola sp900551445, 95.0, 78.0, 0.04; GCF_000312445.1, s__Phocaeicola abscessus, 95.0, 77.75, 0.03; GCA_900551645.1, s__Phocaeicola sp900551645, 95.0, 77.05, 0.03; GCA_900556845.1, s__Phocaeicola sp900556845, 95.0, 76.89, 0.01; GCA_000436795.1, s__Phocaeicola sp000436795, 95.0, 76.23, 0.02; GCA_900546095.1, s__Phocaeicola sp900546095, 95.0, 75.53, 0.02; GCA_004558305.1, s__Phocaeicola plebeius_B, 95.0, 74.56, 0.01	22.04	11	0.9834423071827226	N/A
IndC_bin_008	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Mediterraneibacter;s__	N/A	N/A	N/A	N/A	N/A	GCF_000155205.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Mediterraneibacter;s__Mediterraneibacter lactaris	90.07	0.13	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Mediterraneibacter;s__	taxonomic classification defined by topology and ANI	N/A	GCF_001312505.1, s__Mediterraneibacter faecis, 95.0, 90.78, 0.16; GCF_900752395.1, s__Mediterraneibacter sp900752395, 95.0, 82.1, 0.06; GCA_900555215.1, s__Mediterraneibacter sp900555215, 95.0, 82.08, 0.05; GCF_000153925.1, s__Mediterraneibacter torques, 95.0, 81.24, 0.07; GCF_014287475.1, s__Mediterraneibacter sp014287475, 95.0, 80.5, 0.04; GCF_002161355.1, s__Mediterraneibacter sp002161355, 95.0, 80.43, 0.07; GCF_001487105.1, s__Mediterraneibacter massiliensis, 95.0, 80.25, 0.07; GCF_002159505.1, s__Mediterraneibacter sp002159505, 95.0, 80.08, 0.08; GCF_002160525.1, s__Mediterraneibacter sp002160525, 95.0, 79.99, 0.1; GCF_900120155.1, s__Mediterraneibacter sp900120155, 95.0, 79.14, 0.07; GCF_900751785.1, s__Mediterraneibacter sp900751785, 95.0, 78.82, 0.1; GCA_900553885.1, s__Mediterraneibacter sp900553885, 95.0, 78.72, 0.05; GCF_900761655.1, s__Mediterraneibacter sp900761655, 95.0, 78.65, 0.04; GCA_900541505.1, s__Mediterraneibacter sp900541505, 95.0, 78.56, 0.06; GCA_002314255.1, s__Mediterraneibacter sp002314255, 95.0, 77.97, 0.05	23.88	11	0.9934095350039075	N/A
IndC_bin_009	d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__UBA660;g__CAG-628;s__	N/A	N/A	N/A	N/A	N/A	GCA_900553835.1	95.0	d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__UBA660;g__CAG-628;s__CAG-628 sp900553835	76.26	0.06	d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__UBA660;g__CAG-628;s__	taxonomic classification defined by topology and ANI	N/A	GCA_000438415.1, s__CAG-628 sp000438415, 95.0, 93.38, 0.08; GCA_003524085.1, s__CAG-628 sp003524085, 95.0, 88.0, 0.08	41.08	11	0.9776036311193281	N/A
IndC_bin_010	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;s__	N/A	N/A	N/A	N/A	N/A	GCF_014287815.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;s__Clostridium sp001916075	95.48	0.11	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;s__	taxonomic classification defined by topology and ANI	N/A	GCA_000435835.1, s__Clostridium sp000435835, 95.0, 92.0, 0.04; GCF_000320405.1, s__Clostridium celatum, 95.0, 91.09, 0.07; GCF_001405015.1, s__Clostridium disporicum_A, 95.0, 88.82, 0.08; GCF_000577815.1, s__Clostridium saudiense, 95.0, 88.47, 0.1; GCA_900547475.1, s__Clostridium sp900547475, 95.0, 88.41, 0.11; GCA_900540255.1, s__Clostridium sp900540255, 95.0, 88.26, 0.1; GCF_004353185.1, s__Clostridium cuniculi, 95.0, 88.07, 0.1; GCF_900217175.1, s__Clostridium tertium, 95.0, 88.03, 0.08; GCA_900766315.1, s__Clostridium sp900766315, 95.0, 87.74, 0.08; GCF_003606265.1, s__Clostridium septicum, 95.0, 87.56, 0.07; GCF_900086595.1, s__Clostridium nigeriense, 95.0, 87.55, 0.08; GCF_000401215.1, s__Clostridium sartagoforme_A, 95.0, 86.85, 0.06; GCA_900543325.1, s__Clostridium sp900543325, 95.0, 86.47, 0.04; GCF_000498355.1, s__Clostridium sp000498355, 95.0, 86.37, 0.08; GCF_001735765.2, s__Clostridium taeniosporum, 95.0, 86.33, 0.06; GCA_900759995.1, s__Clostridium sp900759995, 95.0, 86.0, 0.07; GCF_900116755.1, s__Clostridium sp900116755, 95.0, 85.93, 0.06; GCF_002050515.1, s__Clostridium thermobutyricum, 95.0, 85.88, 0.08; GCF_000753455.2, s__Clostridium sp000753455, 95.0, 85.39, 0.11; GCF_009928485.1, s__Clostridium sp009928485, 95.0, 85.26, 0.06; GCF_900447045.1, s__Clostridium paraputrificum, 95.0, 85.21, 0.08; GCF_002327185.1, s__Clostridium chauvoei, 95.0, 85.21, 0.1; GCF_002285495.1, s__Clostridium isatidis, 95.0, 85.18, 0.08; GCF_007115085.1, s__Clostridium sp007115085, 95.0, 84.84, 0.06; GCA_012519155.1, s__Clostridium sp012519155, 95.0, 84.63, 0.01; GCF_012843905.1, s__Clostridium sp012843905, 95.0, 84.4, 0.07; GCF_002995745.1, s__Clostridium vincentii, 95.0, 84.26, 0.06; GCF_900104115.1, s__Clostridium gasigenes, 95.0, 84.09, 0.1; GCA_012520205.1, s__Clostridium sp012520205, 95.0, 84.05, 0.1; GCA_900539375.1, s__Clostridium sp900539375, 95.0, 83.61, 0.08; GCF_004794105.1, s__Clostridium sartagoforme_B, 95.0, 83.61, 0.11; GCA_900317445.1, s__Clostridium sp900317445, 95.0, 83.46, 0.06; GCF_000789395.1, s__Clostridium baratii, 95.0, 83.39, 0.11; GCF_002006445.1, s__Clostridium beijerinckii, 95.0, 83.31, 0.08; GCA_900769625.1, s__Clostridium sp900769625, 95.0, 83.18, 0.07; GCF_000473995.1, s__Clostridium saccharobutylicum, 95.0, 83.08, 0.07; GCF_900112485.1, s__Clostridium uliginosum, 95.0, 83.02, 0.08; GCF_000621745.1, s__Clostridium beijerinckii_A, 95.0, 82.78, 0.08; GCF_000020165.1, s__Clostridium botulinum_B, 95.0, 82.75, 0.1; GCA_003129525.1, s__Clostridium beijerinckii_D, 95.0, 82.35, 0.08; GCF_001458595.1, s__Clostridium neonatale, 95.0, 82.07, 0.1; GCF_000827935.1, s__Clostridium botulinum_A, 95.0, 81.59, 0.1; GCF_002029255.1, s__Clostridium chromiireducens, 95.0, 81.48, 0.1; GCF_002006345.1, s__Clostridium puniceum, 95.0, 81.38, 0.08; GCF_006742065.1, s__Clostridium butyricum, 95.0, 81.29, 0.11; GCF_000340885.1, s__Clostridium saccharoperbutylacetonicum, 95.0, 80.66, 0.1; GCA_012519845.1, s__Clostridium sp012519845, 95.0, 80.51, 0.07; GCF_000230835.1, s__Clostridium sp000230835, 95.0, 80.42, 0.08; GCF_002760435.1, s__Clostridium sp002760435, 95.0, 79.55, 0.08; GCA_003539755.1, s__Clostridium sp003539755, 95.0, 74.6, 0.01; GCA_902785295.1, s__Clostridium sp902785295, 95.0, 74.48, 0.04	15.76	11	0.9987811954510499	N/A
