scaffold	fragment	protein start	protein stop	protein length	nucleotide start	nucleotide stop	nucleotide length
bin_082_k141_319385	bin_082_k141_319385_fragment_1	1	14	14	665	16379	15715
bin_082_k141_350543	bin_082_k141_350543_fragment_2	27	42	16	25928	40626	14699
bin_108_k141_225122	bin_108_k141_225122_fragment_1	8	17	10	11526	16983	5458
bin_041_k141_4364	bin_041_k141_4364_fragment_1	40	83	44	39330	63662	24333
bin_029_k141_134421	bin_029_k141_134421_fragment_1	6	85	80	5818	56825	51008
bin_118_k141_166481	bin_118_k141_166481_fragment_1	1	17	17	1	11287	11287
bin_095_k141_312069	bin_095_k141_312069_fragment_1	25	66	42	20819	48867	28049
bin_094_k141_132941	bin_094_k141_132941_fragment_2	56	96	41	67710	107841	40132
bin_105_k141_249501	bin_105_k141_249501_fragment_1	17	27	11	23667	29270	5604
bin_037_k141_201405	bin_037_k141_201405_fragment_1	6	27	22	2396	21935	19540
bin_095_k141_313270	bin_095_k141_313270_fragment_1	2	44	43	1001	33683	32683
bin_102_k141_148019	bin_102_k141_148019_fragment_2	62	77	16	63729	75830	12102
bin_102_k141_302079	bin_102_k141_302079_fragment_1	50	57	8	47398	56247	8850
bin_022_k141_332495	bin_022_k141_332495_fragment_2	24	67	44	26339	57385	31047
bin_059_k141_290892	bin_059_k141_290892_fragment_1	3	44	42	726	29341	28616
bin_024_k141_89360	bin_024_k141_89360_fragment_1	9	18	10	7985	18769	10785
bin_097_k141_292978	bin_097_k141_292978_fragment_1	17	72	56	15489	58842	43354
bin_119_k141_213941	bin_119_k141_213941_fragment_4	68	80	13	70700	77999	7300
bin_074_k141_381151	bin_074_k141_381151_fragment_1	6	19	14	1892	13684	11793
bin_076_k141_40963	bin_076_k141_40963_fragment_1	20	72	53	20915	66240	45326
bin_058_k141_357559	bin_058_k141_357559_fragment_1	18	56	39	16990	57745	40756
bin_119_k141_145519	bin_119_k141_145519_fragment_1	2	11	10	853	9487	8635
bin_035_k141_9419	bin_035_k141_9419_fragment_2	81	112	32	93648	123714	30067
bin_085_k141_186533	bin_085_k141_186533_fragment_1	64	101	38	78158	106049	27892
bin_041_k141_228526	bin_041_k141_228526_fragment_1	11	19	9	9793	16374	6582
bin_111_k141_358102	bin_111_k141_358102_fragment_1	2	60	59	1143	41732	40590
bin_015_k141_181965	bin_015_k141_181965_fragment_1	1	27	27	1	22842	22842
bin_120_k141_132697	bin_120_k141_132697_fragment_1	1	13	13	1	7622	7622
bin_104_k141_393446	bin_104_k141_393446_fragment_2	62	113	52	61614	96568	34955
bin_029_k141_187032	bin_029_k141_187032_fragment_2	86	156	71	96900	143705	46806
bin_092_k141_1276	bin_092_k141_1276_fragment_1	85	162	78	80092	127804	47713
bin_037_k141_109837	bin_037_k141_109837_fragment_7	250	288	39	244307	282015	37709
bin_095_k141_58106	bin_095_k141_58106_fragment_1	1	8	8	2	6458	6457
bin_120_k141_206305	bin_120_k141_206305_fragment_3	175	321	147	186652	304716	118065
bin_118_k141_370745	bin_118_k141_370745_fragment_1	22	112	91	24293	90680	66388
bin_034_k141_381637	bin_034_k141_381637_fragment_1	6	16	11	4624	10853	6230
bin_021_k141_229744	bin_021_k141_229744_fragment_2	59	75	17	60841	68793	7953
bin_058_k141_68478	bin_058_k141_68478_fragment_1	2	47	46	1399	39928	38530
bin_050_k141_223444	bin_050_k141_223444_fragment_1	2	11	10	227	7070	6844
bin_035_k141_119304	bin_035_k141_119304_fragment_1	3	12	10	1032	7143	6112
bin_065_k141_300712	bin_065_k141_300712_fragment_1	23	30	8	22240	28169	5930
bin_091_k141_236636	bin_091_k141_236636_fragment_1	2	62	61	246	57498	57253
bin_106_k141_94838	bin_106_k141_94838_fragment_1	6	86	81	6558	77047	70490
