bin	uniqueBacSCGs	redundantBacSCGs	uniqueArcSCGs	redundantArcSCGs	bacRatio	arcRatio	size	contigs	N50	binScore	SCG_completeness	SCG_redundancy
concoct.90	51	0	14	0	1	0.368421052631579	4101822	41	403192	1	100	0
concoct.117	51	0	14	0	1	0.368421052631579	3178865	27	303633	1	100	0
concoct.171	51	0	14	0	1	0.368421052631579	1964955	17	246937	1	100	0
concoct.129	51	0	13	1	1	0.342105263157895	2002842	78	76790	1	100	2.63
concoct.168	51	0	12	0	1	0.315789473684211	2521381	110	41819	1	100	0
IndH_metabat_bins.114	51	0	13	0	1	0.342105263157895	3960723	185	34936	1	100	0
IndH_metabat_bins.192	50	0	13	0	0.980392156862745	0.342105263157895	2638094	20	222047	0.9804	98.04	0
concoct.120	50	0	12	0	0.980392156862745	0.315789473684211	1994445	76	36551	0.9804	98.04	0
concoct.24	51	1	12	0	1	0.315789473684211	2193296	298	10541	0.9784	100	1.96
IndH_metabat_bins.22	49	0	11	0	0.96078431372549	0.289473684210526	1897497	21	131961	0.9608	96.08	0
IndH_metabat_bins.30	49	0	12	0	0.96078431372549	0.315789473684211	3334211	41	117694	0.9608	96.08	0
concoct.3	49	0	12	1	0.96078431372549	0.315789473684211	2012847	102	30192	0.9608	96.08	2.63
concoct.77	50	1	14	0	0.980392156862745	0.368421052631579	2067556	40	66286	0.9586	98.04	1.96
IndH_metabat_bins.89	50	1	13	0	0.980392156862745	0.342105263157895	1973713	104	37495	0.9586	98.04	1.96
concoct.115	51	2	12	1	1	0.315789473684211	2967272	92	57099	0.9569	100	3.92
concoct.125	48	0	13	0	0.941176470588235	0.342105263157895	2808936	29	380919	0.9412	94.12	0
concoct.11	49	1	13	1	0.96078431372549	0.342105263157895	2631350	81	86461	0.9387	96.08	2.63
concoct.47	50	2	16	1	0.980392156862745	0.421052631578947	2154915	34	152191	0.9368	98.04	3.92
concoct.57	51	3	14	0	1	0.368421052631579	3532402	46	135061	0.9353	100	5.88
concoct.136	51	3	14	2	1	0.368421052631579	3208322	59	107411	0.9353	100	5.88
concoct.166	51	3	12	0	1	0.315789473684211	3263026	116	56747	0.9353	100	5.88
IndH_metabat_bins.181	47	0	13	0	0.92156862745098	0.342105263157895	3121192	26	196698	0.9216	92.16	0
IndH_metabat_bins.103	48	1	14	1	0.941176470588235	0.368421052631579	2312359	43	81180	0.9189	94.12	2.63
IndH_metabat_bins.14	49	2	13	1	0.96078431372549	0.342105263157895	1998280	34	79270	0.9167	96.08	3.92
concoct.160_sub	49	2	12	0	0.96078431372549	0.315789473684211	2045469	33	155581	0.9167	96.08	3.92
concoct.29	50	3	14	2	0.980392156862745	0.368421052631579	2775225	28	153995	0.915	98.04	5.88
concoct.76	51	4	14	2	1	0.368421052631579	2615926	47	77981	0.9137	100	7.84
concoct.32	51	4	13	1	1	0.342105263157895	3334686	450	12953	0.9137	100	7.84
concoct.146	48	1	10	1	0.941176470588235	0.263157894736842	3404441	310	17048	0.9091	94.12	2.63
IndH_metabat_bins.100	47	1	14	1	0.92156862745098	0.368421052631579	2937861	236	16879	0.899	92.16	2.63
concoct.141_sub	48	2	13	0	0.941176470588235	0.342105263157895	2742307	59	81389	0.8966	94.12	3.92
concoct.9	48	2	16	0	0.941176470588235	0.421052631578947	3259219	80	64647	0.8966	94.12	3.92
concoct.88	48	2	13	0	0.941176470588235	0.342105263157895	2799281	263	17974	0.8966	94.12	3.92
concoct.132	49	3	12	0	0.96078431372549	0.315789473684211	4566431	76	131539	0.8946	96.08	5.88
IndH_metabat_bins.38	45	0	10	0	0.882352941176471	0.263157894736842	2408949	17	378466	0.8824	88.24	0
IndH_metabat_bins.49	45	0	11	1	0.882352941176471	0.289473684210526	1316440	48	45550	0.8824	88.24	2.63
IndH_metabat_bins.115	47	2	12	1	0.92156862745098	0.315789473684211	2347736	111	30665	0.8764	92.16	3.92
concoct.25_sub	48	3	13	3	0.941176470588235	0.342105263157895	3513798	71	98727	0.8743	94.12	7.89
IndH_metabat_bins.146	48	3	12	0	0.941176470588235	0.315789473684211	2060641	39	79240	0.8743	94.12	5.88
concoct.162_sub	50	3	13	0	0.980392156862745	0.342105263157895	2672754	46	105233	0.915	98.04	5.88
concoct.68	49	4	12	1	0.96078431372549	0.315789473684211	2975120	66	94201	0.8726	96.08	7.84
IndH_metabat_bins.31	45	1	13	0	0.882352941176471	0.342105263157895	2097905	18	203138	0.8592	88.24	1.96
concoct.53_sub	48	4	13	1	0.941176470588235	0.342105263157895	3749928	370	14718	0.8422	94.12	7.84
IndH_metabat_bins.151	44	1	12	0	0.862745098039216	0.315789473684211	2800139	44	92964	0.8393	86.27	1.96
concoct.152	46	3	13	1	0.901960784313726	0.342105263157895	2733933	34	134527	0.8334	90.2	5.88
concoct.118	49	6	13	1	0.96078431372549	0.342105263157895	2711606	32	156793	0.8285	96.08	11.76
concoct.20	42	0	14	0	0.823529411764706	0.368421052631579	5163817	404	18914	0.8235	82.35	0
concoct.6	46	4	13	1	0.901960784313726	0.342105263157895	1872556	217	12537	0.8106	90.2	7.84
concoct.22	51	9	14	1	1	0.368421052631579	4524998	108	83511	0.7961	100	17.65
IndH_metabat_bins.73_sub	43	2	12	0	0.843137254901961	0.315789473684211	2109525	99	29041	0.7956	84.31	3.92
concoct.140	48	7	14	1	0.941176470588235	0.368421052631579	3318690	86	71627	0.785	94.12	13.73
concoct.127	42	2	13	1	0.823529411764706	0.342105263157895	2675304	234	17699	0.7754	82.35	3.92
concoct.167	42	2	9	1	0.823529411764706	0.236842105263158	2527360	380	8273	0.7754	82.35	3.92
concoct.52	43	3	12	1	0.843137254901961	0.315789473684211	2357591	114	30951	0.7719	84.31	5.88
IndH_metabat_bins.21	39	0	12	0	0.764705882352941	0.315789473684211	3538239	77	74804	0.7647	76.47	0
concoct.2	39	1	6	0	0.764705882352941	0.157894736842105	1061945	404	2715	0.7395	76.47	1.96
IndH_metabat_bins.190	36	0	11	0	0.705882352941177	0.289473684210526	2446389	52	69309	0.7059	70.59	0
IndH_metabat_bins.91	42	5	11	1	0.823529411764706	0.289473684210526	2335781	147	30503	0.7031	82.35	9.8
concoct.28	43	7	7	0	0.843137254901961	0.184210526315789	2861844	880	3545	0.6768	84.31	13.73
IndH_metabat_bins.23	34	0	10	0	0.666666666666667	0.263157894736842	1039621	31	55840	0.6667	66.67	0
IndH.108_sub	34	1	4	0	0.666666666666667	0.105263157894737	2096050	287	34344	0.6392	66.67	1.96
concoct.130	36	3	13	0	0.705882352941177	0.342105263157895	5244137	555	12103	0.6265	70.59	5.88
concoct.113_sub	31	0	6	0	0.607843137254902	0.157894736842105	1529797	437	3887	0.6078	60.78	0
IndH_metabat_bins.47	29	0	6	0	0.568627450980392	0.157894736842105	379777	21	31341	0.5686	56.86	0
IndH_metabat_bins.33_sub	29	0	11	1	0.568627450980392	0.289473684210526	1891345	468	5017	0.5686	56.86	2.63
concoct.154_sub	51	19	15	6	1	0.394736842105263	5541151	152	62941	0.5412	100	37.25
IndH_metabat_bins.82_sub	31	2	11	2	0.607843137254902	0.289473684210526	2927244	139	43156	0.5299	60.78	5.26
concoct.73_sub	42	11	14	7	0.823529411764706	0.368421052631579	6623492	812	10560	0.5487	82.35	21.57
concoct.161	27	0	11	0	0.529411764705882	0.289473684210526	2506005	252	15487	0.5294	52.94	0
concoct.46	27	0	7	0	0.529411764705882	0.184210526315789	2077074	686	3239	0.5294	52.94	0
IndH.017_sub	26	0	4	0	0.509803921568627	0.105263157894737	125386	1	125386	0.5098	50.98	0
IndH.124_sub	26	0	2	0	0.509803921568627	0.0526315789473684	186161	10	18629	0.5098	50.98	0
concoct.109_sub	26	0	4	0	0.509803921568627	0.105263157894737	6480230	958	9177	0.5098	50.98	0
IndH_metabat_bins.116_sub	29	2	9	1	0.568627450980392	0.236842105263158	2108474	198	14513	0.5076	56.86	3.92
concoct.110_sub	26	1	12	0	0.509803921568627	0.315789473684211	2679303	141	37492	0.4769	50.98	1.96
concoct.4_sub	33	5	12	2	0.647058823529412	0.315789473684211	4430408	506	11879	0.4679	64.71	9.8
IndH_metabat_bins.108_sub	27	2	10	1	0.529411764705882	0.263157894736842	2440736	157	20513	0.4654	52.94	3.92
concoct.155_sub	38	7	10	0	0.745098039215686	0.263157894736842	3821008	268	20928	0.5561	74.51	13.73
IndH.020_sub	23	0	1	0	0.450980392156863	0.0263157894736842	605735	5	121115	0.451	45.1	0
IndH.138_sub	23	0	8	1	0.450980392156863	0.210526315789474	1844827	355	6972	0.451	45.1	2.63
IndH.107_sub	26	2	3	1	0.509803921568627	0.0789473684210526	744040	24	31044	0.444	50.98	3.92
concoct.157	26	2	5	0	0.509803921568627	0.131578947368421	1957824	730	2705	0.444	50.98	3.92
IndH.139_sub	27	3	4	1	0.529411764705882	0.105263157894737	1503724	170	9375	0.4333	52.94	5.88
IndH.145_sub	28	4	2	0	0.549019607843137	0.0526315789473684	122879	31	5065	0.4241	54.9	7.84
concoct.85_sub	47	9	11	4	0.92156862745098	0.289473684210526	2190110	814	2776	0.7086	92.16	17.65
concoct.128_sub	22	1	12	0	0.431372549019608	0.315789473684211	2638752	125	40293	0.3943	43.14	1.96
IndH.119_sub	28	5	5	1	0.549019607843137	0.131578947368421	2439965	460	20060	0.3929	54.9	9.8
IndH_metabat_bins.39	20	0	2	0	0.392156862745098	0.0526315789473684	267904	6	61195	0.3922	39.22	0
IndH.008_sub	20	0	1	0	0.392156862745098	0.0263157894736842	206873	48	4626	0.3922	39.22	0
concoct.134_sub	34	3	5	0	0.666666666666667	0.131578947368421	1573995	617	2673	0.5843	66.67	5.88
IndH_metabat_bins.65_sub	19	0	10	0	0.372549019607843	0.263157894736842	2250533	100	33234	0.3725	37.25	0
IndH_metabat_bins.56_sub	18	0	5	1	0.352941176470588	0.131578947368421	2156653	371	7016	0.3529	35.29	2.63
concoct.65_sub	25	2	13	1	0.490196078431373	0.342105263157895	7282327	154	148427	0.4226	49.02	3.92
