bin	uniqueBacSCGs	redundantBacSCGs	uniqueArcSCGs	redundantArcSCGs	bacRatio	arcRatio	size	contigs	N50	binScore	SCG_completeness	SCG_redundancy
concoct.92	51	0	14	0	1	0.368421052631579	4747122	44	218802	1	100	0
IndA_metabat_bins.24	51	0	14	0	1	0.368421052631579	3691865	27	212390	1	100	0
concoct.1	51	0	13	0	1	0.342105263157895	4408312	52	130002	1	100	0
IndA_metabat_bins.113	51	0	14	0	1	0.368421052631579	2330002	39	103595	1	100	0
concoct.5	51	0	13	0	1	0.342105263157895	3240197	66	90911	1	100	0
concoct.75	51	0	12	0	1	0.315789473684211	2819954	102	68716	1	100	0
IndA_metabat_bins.38	51	0	12	0	1	0.315789473684211	1788252	49	59790	1	100	0
concoct.63	51	0	15	0	1	0.394736842105263	2768229	139	40934	1	100	0
concoct.93	50	0	13	0	0.980392156862745	0.342105263157895	2733220	27	346045	0.9804	98.04	0
IndA_metabat_bins.1	50	0	13	0	0.980392156862745	0.342105263157895	2361116	21	173725	0.9804	98.04	0
concoct.122	50	0	11	0	0.980392156862745	0.289473684210526	1798207	20	127621	0.9804	98.04	0
IndA_metabat_bins.137	50	0	13	0	0.980392156862745	0.342105263157895	1945971	26	82991	0.9804	98.04	0
IndA_metabat_bins.118	51	1	14	0	1	0.368421052631579	2337091	46	67764	0.9784	100	1.96
concoct.130	49	0	11	1	0.96078431372549	0.289473684210526	2134875	54	61628	0.9608	96.08	2.63
IndA_metabat_bins.92	49	0	12	0	0.96078431372549	0.315789473684211	2414300	162	21702	0.9608	96.08	0
concoct.7	50	1	13	0	0.980392156862745	0.342105263157895	2439945	28	191630	0.9586	98.04	1.96
concoct.68	50	1	14	0	0.980392156862745	0.368421052631579	1838429	38	75630	0.9586	98.04	1.96
IndA_metabat_bins.54	49	1	11	0	0.96078431372549	0.289473684210526	2307444	75	45240	0.9387	96.08	1.96
IndA_metabat_bins.69	49	1	14	0	0.96078431372549	0.368421052631579	2423245	119	29243	0.9387	96.08	1.96
concoct.43	51	3	11	1	1	0.289473684210526	2275906	107	56385	0.9353	100	5.88
concoct.28	48	1	14	0	0.941176470588235	0.368421052631579	1937661	46	77717	0.9189	94.12	1.96
concoct.25	48	1	13	0	0.941176470588235	0.342105263157895	2523690	67	50947	0.9189	94.12	1.96
concoct.66	49	2	12	0	0.96078431372549	0.315789473684211	1791056	20	133506	0.9167	96.08	3.92
concoct.131	49	2	12	1	0.96078431372549	0.315789473684211	1960183	38	78083	0.9167	96.08	3.92
concoct.79	49	2	13	1	0.96078431372549	0.342105263157895	2447840	78	66714	0.9167	96.08	3.92
concoct.108	49	2	13	0	0.96078431372549	0.342105263157895	2638923	272	13259	0.9167	96.08	3.92
concoct.67	50	3	14	0	0.980392156862745	0.368421052631579	2675230	51	96813	0.915	98.04	5.88
IndA_metabat_bins.2_sub	51	5	14	4	1	0.368421052631579	5197847	362	27219	0.8922	100	10.53
concoct.95	51	5	14	4	1	0.368421052631579	4088485	286	34115	0.8824	100	10.53
concoct.39	48	3	11	0	0.941176470588235	0.289473684210526	2553485	269	13841	0.8743	94.12	5.88
concoct.118	51	7	14	1	1	0.368421052631579	2364766	27	268125	0.849	100	13.73
concoct.33	43	0	6	0	0.843137254901961	0.157894736842105	2099243	485	5129	0.8431	84.31	0
IndA_metabat_bins.78_sub	44	1	12	0	0.862745098039216	0.315789473684211	2381304	50	91760	0.8393	86.27	1.96
concoct.91_sub	51	3	15	1	1	0.394736842105263	4055074	69	96292	0.9255	100	5.88
concoct.55_sub	45	2	13	0	0.882352941176471	0.342105263157895	5548873	153	57940	0.8361	88.24	3.92
concoct.128_sub	48	5	12	2	0.941176470588235	0.315789473684211	2469574	287	12635	0.8297	94.12	9.8
IndA_metabat_bins.71_sub	46	3	9	0	0.901960784313726	0.236842105263158	2100148	152	19753	0.8236	90.2	5.88
IndA_metabat_bins.70	42	0	12	0	0.823529411764706	0.315789473684211	2335228	32	132499	0.8235	82.35	0
concoct.2	48	5	14	3	0.941176470588235	0.368421052631579	9450189	871	16274	0.8199	94.12	9.8
IndA_metabat_bins.33	48	6	12	0	0.941176470588235	0.315789473684211	3803189	236	26669	0.8074	94.12	11.76
concoct.8_sub	50	8	13	1	0.980392156862745	0.342105263157895	3935053	78	98816	0.806	98.04	15.69
IndA_metabat_bins.9_sub	51	11	15	9	1	0.394736842105263	4105246	112	60929	0.7431	100	23.68
IndA_metabat_bins.4_sub	47	8	11	0	0.92156862745098	0.289473684210526	1774173	103	24387	0.741	92.16	15.69
concoct.30	36	0	11	0	0.705882352941177	0.289473684210526	2631742	650	4597	0.7059	70.59	0
IndA.087_sub	37	1	8	0	0.725490196078431	0.210526315789474	1803819	114	15857	0.6995	72.55	1.96
IndA.099_sub	40	4	9	1	0.784313725490196	0.236842105263158	2259228	327	10568	0.6753	78.43	7.84
IndA.074_sub	33	0	4	0	0.647058823529412	0.105263157894737	767745	20	38328	0.6471	64.71	0
IndA_metabat_bins.66	32	0	9	0	0.627450980392157	0.236842105263158	1688004	324	6488	0.6275	62.75	0
IndA.062_sub	33	1	5	0	0.647058823529412	0.131578947368421	1516640	36	42546	0.6191	64.71	1.96
IndA_metabat_bins.52_sub	34	3	11	1	0.666666666666667	0.289473684210526	3026410	93	55549	0.5843	66.67	5.88
IndA_metabat_bins.62	35	4	11	0	0.686274509803922	0.289473684210526	2438723	258	12635	0.5785	68.63	7.84
IndA_metabat_bins.47	29	0	12	0	0.568627450980392	0.315789473684211	1923130	20	138300	0.5686	56.86	0
concoct.121_sub	28	0	3	0	0.549019607843137	0.0789473684210526	1282281	492	2571	0.549	54.9	0
concoct.51_sub	30	3	12	3	0.588235294117647	0.315789473684211	3597794	256	20233	0.4988	58.82	7.89
IndA.110_sub	27	2	7	0	0.529411764705882	0.184210526315789	1451139	216	6732	0.4654	52.94	3.92
IndA.065_sub	23	0	4	0	0.450980392156863	0.105263157894737	1221541	35	35843	0.451	45.1	0
IndA.052_sub	22	0	3	0	0.431372549019608	0.0789473684210526	664408	13	50978	0.4314	43.14	0
IndA_metabat_bins.101_sub	30	1	13	1	0.588235294117647	0.342105263157895	2381208	65	59229	0.5584	58.82	2.63
IndA_metabat_bins.50_sub	21	0	9	1	0.411764705882353	0.236842105263158	3773481	47	113585	0.4118	41.18	2.63
IndA.102_sub	21	0	0	0	0.411764705882353	0	148124	12	12372	0.4118	41.18	0
IndA.109_sub	21	1	4	0	0.411764705882353	0.105263157894737	1196044	175	6857	0.3734	41.18	1.96
IndA_metabat_bins.96_sub	19	0	7	0	0.372549019607843	0.184210526315789	1101968	73	18996	0.3725	37.25	0
concoct.19_sub	48	11	13	4	0.941176470588235	0.342105263157895	2929315	109	67861	0.686	94.12	21.57
concoct.78_sub	19	0	5	0	0.372549019607843	0.131578947368421	1041213	385	2770	0.3725	37.25	0
concoct.38	19	0	3	0	0.372549019607843	0.0789473684210526	718165	313	2226	0.3725	37.25	0
IndA.094_sub	29	5	7	0	0.568627450980392	0.184210526315789	2746472	674	5050	0.4064	56.86	9.8
concoct.117_sub	45	7	11	2	0.882352941176471	0.289473684210526	4648168	337	18954	0.7008	88.24	13.73
IndA.092_sub	22	0	1	0	0.431372549019608	0.0263157894736842	1283027	66	19461	0.4314	43.14	0
concoct.129_sub	20	1	12	1	0.392156862745098	0.315789473684211	5052748	113	98107	0.3524	39.22	2.63
concoct.96_sub	25	3	9	2	0.490196078431373	0.236842105263158	2005402	700	3000	0.3888	49.02	5.88
