prophage	host	active	MW_pvalue	CohenD	prophage-host_ratio	mean_difference	prophage_len	prophage_mean_cov	prophage_median_cov	prophage_sd_cov	host_len	host_mean_cov	host_median_cov	host_sd_cov
bin_035_k141_119304_fragment_1	bin_035_k141_119304	no	0.9847657270085762	0.028650031492642763	1.0330632646175948	0.04572677534989866	6104	1.428735255570118	1.0	1.631504104346435	45046	1.3830084802202194	1.0	1.559782557620296
bin_106_k141_72689_fragment_2	bin_106_k141_72689	no	0.41793522748309325	0	0.9915431966784132	-0.04850982186368835	50589	5.687679139733934	5	3.430739241109383	38357	5.736188961597622	5	4.013201362151888
bin_076_k141_40963_fragment_1	bin_076_k141_40963	no	2.4533153658857984e-16	0	0.5442862487657332	-1.3331203080831622	45199	1.5922254917144185	1	1.7644067812812194	20749	2.9253457997975807	2	2.41000901793863
bin_091_k141_236636_fragment_1	bin_091_k141_236636	no	8.33768204375706e-08	0.32884370677582087	1.434881956546136	0.5622643387259985	57042	1.8551768872059184	2.0	1.9101530213252647	31972	1.29291254847992	1.0	1.4826667771480555
bin_103_k141_193987_fragment_2	bin_103_k141_193987	no	nan	0	0.0	-0.0032085299043575887	43434	0	0.0	0.0	326006	0.0032085299043575887	0.0	0.05655302865981195
bin_103_k141_193987_fragment_3	bin_103_k141_193987	no	nan	0	0.0	-0.0032085299043575887	34499	0	0	0.0	326006	0.0032085299043575887	0.0	0.05655302865981195
bin_023_k141_20604_fragment_1	bin_023_k141_20604	no	nan	0	0	0	12159	0	0	0.0	148135	0	0	0.0
bin_023_k141_20604_fragment_2	bin_023_k141_20604	no	nan	0	0	0	40137	0	0	0.0	148135	0	0	0.0
bin_035_k141_38430_fragment_1	bin_035_k141_38430	yes	9.245161538043502e-82	1.4985051998491123	3.532753216140925	3.646932008299694	21672	5.086840162421558	5.0	3.0353809150343913	35712	1.439908154121864	1.0	1.622462135285713
bin_061_k141_268699_fragment_3	bin_061_k141_268699	no	5.478251790644166e-28	0.7376004223687345	4.113459369996413	0.8811412728065557	5434	1.1641516378358483	0.0	1.5429060059895698	48818	0.2830103650292925	0.0	0.6881889622071667
