user_genome	classification	fastani_reference	fastani_reference_radius	fastani_taxonomy	fastani_ani	fastani_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
IndD_bin_119	d__Bacteria;p__Firmicutes;c__Bacilli;o__Acholeplasmatales;f__Anaeroplasmataceae;g__UMGS268;s__UMGS268 sp900540175	GCA_900540175.1	95.0	d__Bacteria;p__Firmicutes;c__Bacilli;o__Acholeplasmatales;f__Anaeroplasmataceae;g__UMGS268;s__UMGS268 sp900540175	99.09	0.89	GCA_900540175.1	95.0	d__Bacteria;p__Firmicutes;c__Bacilli;o__Acholeplasmatales;f__Anaeroplasmataceae;g__UMGS268;s__UMGS268 sp900540175	99.09	0.89	d__Bacteria;p__Firmicutes;c__Bacilli;o__Acholeplasmatales;f__Anaeroplasmataceae;g__UMGS268;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_900540705.1, s__UMGS268 sp900540705, 95.0, 77.81, 0.07	91.64	11	N/A	N/A
IndD_bin_120	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella sp900554545	GCA_900554545.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella sp900554545	97.84	0.85	GCA_900554545.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella sp900554545	97.84	0.85	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_900551055.1, s__Prevotella sp900551055, 95.0, 90.59, 0.76; GCA_900554045.1, s__Prevotella sp900554045, 95.0, 85.04, 0.67; GCA_000436595.1, s__Prevotella sp000436595, 95.0, 80.85, 0.47; GCA_900550365.1, s__Prevotella sp900550365, 95.0, 80.34, 0.49; GCA_000433175.1, s__Prevotella sp000433175, 95.0, 80.18, 0.41; GCF_001275135.1, s__Prevotella rara, 95.0, 78.64, 0.32; GCA_000436695.1, s__Prevotella sp000436695, 95.0, 78.15, 0.25; GCA_900768785.1, s__Prevotella sp900768785, 95.0, 77.64, 0.06; GCA_900554695.1, s__Prevotella sp900554695, 95.0, 77.64, 0.15; GCF_000379965.1, s__Prevotella nanceiensis, 95.0, 77.51, 0.03; GCF_900079775.1, s__Prevotella lascolaii, 95.0, 77.38, 0.16; GCF_000235885.1, s__Prevotella stercorea, 95.0, 77.34, 0.13; GCF_000585355.1, s__Prevotella oryzae, 95.0, 77.33, 0.04; GCF_000163055.2, s__Prevotella sp000163055, 95.0, 77.32, 0.03; GCA_900553595.1, s__Prevotella sp900553595, 95.0, 77.3, 0.16; GCA_902762325.1, s__Prevotella sp902762325, 95.0, 77.28, 0.05; GCA_004557285.1, s__Prevotella sp004557285, 95.0, 77.25, 0.19; GCF_900199655.1, s__Prevotella sp900199655, 95.0, 77.22, 0.12; GCA_002490315.1, s__Prevotella sp002490315, 95.0, 77.2, 0.14; GCA_900545525.1, s__Prevotella sp900545525, 95.0, 77.18, 0.18; GCF_900290275.1, s__Prevotella sp900290275, 95.0, 77.16, 0.08; GCF_000146675.1, s__Prevotella marshii, 95.0, 77.15, 0.06; GCF_000834015.1, s__Prevotella pectinovora, 95.0, 77.09, 0.14; GCA_002353205.1, s__Prevotella sp002353205, 95.0, 77.08, 0.12; GCF_000177075.1, s__Prevotella buccalis, 95.0, 77.07, 0.05; GCF_001553265.1, s__Prevotella sp001553265, 95.0, 77.05, 0.05; GCA_900318915.1, s__Prevotella sp900318915, 95.0, 77.04, 0.11; GCF_013166515.1, s__Prevotella sp013166515, 95.0, 77.03, 0.17; GCA_902792685.1, s__Prevotella sp902792685, 95.0, 77.02, 0.07; GCF_000762405.1, s__Prevotella timonensis_A, 95.0025, 77.01, 0.04; GCA_900547005.1, s__Prevotella sp900547005, 95.0, 77.0, 0.13; GCA_900772835.1, s__Prevotella sp900772835, 95.0, 76.99, 0.19; GCA_000434975.1, s__Prevotella sp000434975, 95.0, 76.98, 0.15; GCA_900316015.1, s__Prevotella sp900316015, 95.0, 76.94, 0.05; GCF_002251365.1, s__Prevotella sp002251365, 95.0, 76.89, 0.1; GCA_900556275.1, s__Prevotella sp900556275, 95.0, 76.86, 0.18; GCF_000614205.1, s__Prevotella saccharolytica, 95.0, 76.86, 0.04; GCA_002369515.1, s__Prevotella sp002369515, 95.0, 76.85, 0.12; GCA_900544495.1, s__Prevotella sp900544495, 95.0, 76.83, 0.12; GCA_900552515.1, s__Prevotella sp900552515, 95.0, 76.82, 0.12; GCA_902800185.1, s__Prevotella sp902800185, 95.0, 76.81, 0.08; GCA_002314055.1, s__Prevotella sp002314055, 95.0, 76.77, 0.11; GCF_000479005.1, s__Prevotella sp000479005, 95.0, 76.77, 0.06; GCA_900316985.1, s__Prevotella sp900316985, 95.0, 76.77, 0.08; GCF_002265625.1, s__Prevotella sp002265625, 95.0, 76.77, 0.12; GCA_900769055.1, s__Prevotella sp900769055, 95.0, 76.77, 0.11; GCF_000613725.1, s__Prevotella pleuritidis, 95.0, 76.76, 0.06; GCA_900314655.1, s__Prevotella sp900314655, 95.0, 76.76, 0.09; GCA_902776685.1, s__Prevotella sp902776685, 95.0, 76.75, 0.11; GCF_000185145.2, s__Prevotella oralis, 95.0, 76.75, 0.06; GCA_002353555.1, s__Prevotella sp002353555, 95.0, 76.74, 0.1; GCA_900557405.1, s__Prevotella sp900557405, 95.0, 76.73, 0.15; GCA_900314915.1, s__Prevotella sp900314915, 95.0, 76.73, 0.1; GCA_002298545.1, s__Prevotella sp002298545, 95.0, 76.73, 0.09; GCA_900553465.1, s__Prevotella sp900553465, 95.0, 76.72, 0.11; GCA_002305505.1, s__Prevotella sp002305505, 95.0, 76.72, 0.09; GCA_900315775.1, s__Prevotella sp900315775, 95.0, 76.7, 0.09; GCA_902768785.1, s__Prevotella sp902768785, 95.0, 76.69, 0.06; GCA_900316685.1, s__Prevotella sp900316685, 95.0, 76.69, 0.09; GCA_900543975.1, s__Prevotella sp900543975, 95.0, 76.66, 0.12; GCA_900314715.1, s__Prevotella sp900314715, 95.0, 76.66, 0.05; GCA_002350805.1, s__Prevotella sp002350805, 95.0, 76.63, 0.09; GCA_900316295.1, s__Prevotella sp900316295, 95.0, 76.62, 0.07; GCA_902768105.1, s__Prevotella sp902768105, 95.0, 76.61, 0.08; GCA_902769705.1, s__Prevotella sp902769705, 95.0, 76.61, 0.08; GCF_900107705.1, s__Prevotella sp900107705, 95.0, 76.59, 0.06; GCA_900546575.1, s__Prevotella sp900546575, 95.0, 76.59, 0.12; GCA_900319895.1, s__Prevotella sp900319895, 95.0, 76.59, 0.07; GCA_900314935.1, s__Prevotella sp900314935, 95.0, 76.59, 0.08; GCA_002449845.1, s__Prevotella sp002449845, 95.0, 76.57, 0.05; GCF_000455445.1, s__Prevotella timonensis, 95.0025, 76.56, 0.04; GCA_900320585.1, s__Prevotella sp900320585, 95.0, 76.55, 0.1; GCA_902767045.1, s__Prevotella sp902767045, 95.0, 76.51, 0.11; GCF_000613405.1, s__Prevotella enoeca, 95.0, 76.5, 0.05; GCA_900553155.1, s__Prevotella sp900553155, 95.0, 76.5, 0.13; GCA_902784755.1, s__Prevotella sp902784755, 95.0, 76.48, 0.07; GCA_900317305.1, s__Prevotella sp900317305, 95.0, 76.47, 0.1; GCA_900315565.1, s__Prevotella sp900315565, 95.0, 76.42, 0.11; GCA_902780635.1, s__Prevotella sp902780635, 95.0, 76.41, 0.07; GCA_900550035.1, s__Prevotella sp900550035, 95.0, 76.4, 0.11; GCA_900556825.1, s__Prevotella sp900556825, 95.0, 76.36, 0.03; GCF_000613445.1, s__Prevotella shahii, 95.0, 76.35, 0.06; GCA_000436915.1, s__Prevotella sp000436915, 95.0, 76.34, 0.07; GCA_900313615.1, s__Prevotella sp900313615, 95.0, 76.33, 0.07; GCF_000312305.1, s__Prevotella conceptionensis, 95.0, 76.33, 0.07; GCA_900315545.1, s__Prevotella sp900315545, 95.0, 76.26, 0.1; GCA_002353525.1, s__Prevotella sp002353525, 95.0, 76.26, 0.1; GCA_002395135.1, s__Prevotella sp002395135, 95.0, 76.21, 0.09; GCF_000378085.1, s__Prevotella loescheii, 95.0, 76.19, 0.05; GCA_902800585.1, s__Prevotella sp902800585, 95.0, 76.17, 0.04; GCA_900321425.1, s__Prevotella sp900321425, 95.0, 76.15, 0.07; GCA_902779745.1, s__Prevotella sp902779745, 95.0, 76.05, 0.05; GCA_900552675.1, s__Prevotella sp900552675, 95.0, 75.93, 0.09; GCA_902803475.1, s__Prevotella sp902803475, 95.0, 75.91, 0.05; GCA_900548745.1, s__Prevotella sp900548745, 95.0, 75.9, 0.09; GCA_900547085.1, s__Prevotella sp900547085, 95.0, 75.87, 0.06; GCA_902783165.1, s__Prevotella sp902783165, 95.0, 75.78, 0.06; GCA_002361535.1, s__Prevotella sp002361535, 95.0, 75.75, 0.05; GCA_902797505.1, s__Prevotella sp902797505, 95.0, 75.22, 0.04	97.12	11	N/A	N/A
IndD_bin_121	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__UMGS172;s__UMGS172 sp900539855	GCA_900539855.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__UMGS172;s__UMGS172 sp900539855	98.05	0.78	GCA_900539855.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__UMGS172;s__UMGS172 sp900539855	98.05	0.78	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	93.63	11	N/A	N/A
IndD_bin_122	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__CAG-138;g__SFEL01;s__SFEL01 sp004557245	GCA_004557245.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__CAG-138;g__SFEL01;s__SFEL01 sp004557245	96.38	0.8	GCA_004557245.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__CAG-138;g__SFEL01;s__SFEL01 sp004557245	96.38	0.8	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__CAG-138;g__;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	84.53	11	N/A	N/A
IndD_bin_123	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__;g__;s__	taxonomic novelty determined using RED	N/A	N/A	78.54	11	0.753183026914373	N/A
IndD_bin_124	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella copri	GCF_000157935.1	95.5173	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella copri	96.35	0.78	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__	ANI	topological placement and ANI have incongruent species assignments	GCF_000157935.1, s__Prevotella copri, 95.5173, 96.35, 0.78; GCF_902167755.1, s__Prevotella sp900557255, 95.5173, 95.93, 0.77; GCA_900551275.1, s__Prevotella sp900551275, 95.0, 94.44, 0.67; GCF_009494395.1, s__Prevotella sp900546535, 95.0, 87.35, 0.67; GCF_002224675.1, s__Prevotella copri_A, 95.0, 86.74, 0.6; GCA_900544825.1, s__Prevotella sp900544825, 95.0, 86.46, 0.6; GCA_900551985.1, s__Prevotella sp900551985, 95.0, 85.83, 0.6; GCA_900555035.1, s__Prevotella sp900555035, 95.0, 85.29, 0.56; GCA_900556795.1, s__Prevotella sp900556795, 95.0, 85.22, 0.62; GCA_900767615.1, s__Prevotella sp900767615, 95.0, 84.8, 0.57; GCF_004535825.1, s__Prevotella hominis, 95.0, 84.48, 0.51; GCA_900554835.1, s__Prevotella sp900554835, 95.0, 84.43, 0.47; GCA_900770515.1, s__Prevotella sp900770515, 95.0, 84.16, 0.55; GCA_900557035.1, s__Prevotella sp900557035, 95.0, 84.01, 0.63; GCA_900765465.1, s__Prevotella sp900765465, 95.0, 82.98, 0.55; GCA_900548535.1, s__Prevotella sp900548535, 95.0, 82.47, 0.58; GCF_009495355.1, s__Prevotella sp900313215, 95.0, 81.97, 0.43; GCA_002297965.1, s__Prevotella sp002297965, 95.0, 81.91, 0.48; GCA_002440225.1, s__Prevotella sp002440225, 95.0, 81.91, 0.48; GCA_002451555.1, s__Prevotella sp002451555, 95.0, 80.86, 0.41; GCA_000436035.1, s__Prevotella sp000436035, 95.0, 80.64, 0.44; GCA_002405875.1, s__Prevotella sp002405875, 95.0, 80.09, 0.38; GCA_900556395.1, s__Prevotella sp900556395, 95.0, 80.06, 0.39; GCA_002439605.1, s__Prevotella sp002439605, 95.0, 79.86, 0.37; GCF_001262015.1, s__Prevotella fusca, 95.0, 78.94, 0.11; GCA_900556825.1, s__Prevotella sp900556825, 95.0, 78.79, 0.08; GCF_000144405.1, s__Prevotella melaninogenica, 95.0, 78.69, 0.11; GCF_000257925.1, s__Prevotella sp000257925, 95.0, 78.66, 0.08; GCA_900314195.1, s__Prevotella sp900314195, 95.0, 78.57, 0.08; GCA_000436915.1, s__Prevotella sp000436915, 95.0, 78.5, 0.19; GCA_902775075.1, s__Prevotella sp902775075, 95.0, 78.48, 0.11; GCA_900771975.1, s__Prevotella sp900771975, 95.0, 78.46, 0.09; GCF_000613405.1, s__Prevotella enoeca, 95.0, 78.41, 0.04; GCF_000377625.1, s__Prevotella veroralis, 95.0, 78.38, 0.08; GCF_003609775.1, s__Prevotella melaninogenica_A, 95.0, 78.3, 0.1; GCF_000179055.1, s__Prevotella bryantii, 95.0, 78.2, 0.1; GCF_002251385.1, s__Prevotella sp002251385, 95.0, 78.19, 0.15; GCF_000426565.1, s__Prevotella albensis, 95.0, 78.11, 0.16; GCA_013333935.1, s__Prevotella sp013333935, 95.0, 78.1, 0.05; GCF_000613925.1, s__Prevotella histicola, 95.0, 78.05, 0.08; GCF_001553265.1, s__Prevotella sp001553265, 95.0, 77.95, 0.08; GCF_000614065.1, s__Prevotella dentasini, 95.0, 77.93, 0.07; GCF_000613725.1, s__Prevotella pleuritidis, 95.0, 77.88, 0.05; GCF_900637655.1, s__Prevotella oris, 95.0, 77.79, 0.08; GCF_002251365.1, s__Prevotella sp002251365, 95.0, 77.66, 0.11; GCF_000185845.1, s__Prevotella salivae, 95.0, 77.61, 0.06; GCF_000191065.1, s__Prevotella multiformis, 95.0, 77.61, 0.1; GCF_001275135.1, s__Prevotella rara, 95.0, 77.59, 0.1; GCF_000613785.1, s__Prevotella oulorum, 95.0, 77.58, 0.05; GCA_900554695.1, s__Prevotella sp900554695, 95.0, 77.58, 0.09; GCA_000431975.1, s__Prevotella sp000431975, 95.0, 77.58, 0.12; GCF_000762405.1, s__Prevotella timonensis_A, 95.0025, 77.53, 0.06; GCF_000373185.1, s__Prevotella paludivivens, 95.0, 77.5, 0.1; GCF_000479005.1, s__Prevotella sp000479005, 95.0, 77.48, 0.07; GCF_000599605.1, s__Prevotella sp000599605, 95.0, 77.43, 0.05; GCF_900113305.1, s__Prevotella sp900113305, 95.0, 77.41, 0.09; GCA_900317685.1, s__Prevotella sp900317685, 95.0, 77.41, 0.12; GCA_900553595.1, s__Prevotella sp900553595, 95.0, 77.35, 0.12; GCA_900546345.1, s__Prevotella sp900546345, 95.0, 77.32, 0.1; GCA_900769055.1, s__Prevotella sp900769055, 95.0, 77.29, 0.11; GCF_000146675.1, s__Prevotella marshii, 95.0, 77.29, 0.05; GCF_003043925.1, s__Prevotella sp003043925, 95.0, 77.28, 0.08; GCA_900762125.1, s__Prevotella sp900762125, 95.0, 77.25, 0.12; GCF_000614205.1, s__Prevotella saccharolytica, 95.0, 77.22, 0.04; GCF_000185145.2, s__Prevotella oralis, 95.0, 77.21, 0.06; GCF_000455445.1, s__Prevotella timonensis, 95.0025, 77.19, 0.06; GCF_003043945.1, s__Prevotella sp003043945, 95.0, 77.17, 0.08; GCF_009695775.1, s__Prevotella sp002350355, 95.0, 77.17, 0.12; GCA_003483565.1, s__Prevotella sp003483565, 95.0, 77.15, 0.08; GCA_900316015.1, s__Prevotella sp900316015, 95.0, 77.07, 0.09; GCA_000436695.1, s__Prevotella sp000436695, 95.0, 77.07, 0.09; GCF_000424185.1, s__Prevotella sp000424185, 95.0, 77.05, 0.14; GCA_002437285.1, s__Prevotella sp002437285, 95.0, 77.04, 0.1; GCA_002391185.1, s__Prevotella sp002391185, 95.0, 76.98, 0.1; GCF_900199655.1, s__Prevotella sp900199655, 95.0, 76.97, 0.11; GCF_000177075.1, s__Prevotella buccalis, 95.0, 76.97, 0.07; GCF_000613585.1, s__Prevotella denticola, 95.0, 76.96, 0.09; GCF_000378085.1, s__Prevotella loescheii, 95.0, 76.95, 0.05; GCA_002481295.1, s__Prevotella sp002481295, 95.0, 76.94, 0.13; GCA_900540375.1, s__Prevotella sp900540375, 95.0, 76.91, 0.12; GCA_900322095.1, s__Prevotella sp900322095, 95.0, 76.91, 0.09; GCA_002300055.1, s__Prevotella sp002300055, 95.0, 76.89, 0.12; GCF_000382385.1, s__Prevotella maculosa, 95.0, 76.89, 0.06; GCA_000435635.1, s__Prevotella sp000435635, 95.0, 76.85, 0.12; GCA_900322035.1, s__Prevotella sp900322035, 95.0, 76.84, 0.08; GCA_900319905.1, s__Prevotella sp900319905, 95.0, 76.84, 0.09; GCF_000184945.1, s__Prevotella buccae, 95.0, 76.82, 0.11; GCA_900770845.1, s__Prevotella sp900770845, 95.0, 76.81, 0.07; GCA_004558865.1, s__Prevotella sp004558865, 95.0, 76.75, 0.1; GCA_900556275.1, s__Prevotella sp900556275, 95.0, 76.75, 0.09; GCF_000518545.1, s__Prevotella seregens, 95.0, 76.69, 0.09; GCA_002437115.1, s__Prevotella sp002437115, 95.0, 76.58, 0.08; GCA_002409785.1, s__Prevotella sp002409785, 95.0, 76.58, 0.06; GCF_000426585.1, s__Prevotella baroniae, 95.0, 76.52, 0.1; GCA_900318855.1, s__Prevotella sp900318855, 95.0, 76.38, 0.08; GCA_900547085.1, s__Prevotella sp900547085, 95.0, 76.36, 0.06; GCA_900553465.1, s__Prevotella sp900553465, 95.0, 76.18, 0.06; GCA_900317545.1, s__Prevotella sp900317545, 95.0, 76.16, 0.05; GCA_004554665.1, s__Prevotella sp004554665, 95.0, 76.16, 0.11; GCA_900314365.1, s__Prevotella sp900314365, 95.0, 76.01, 0.07	91.98	11	N/A	N/A
IndD_bin_125	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__QALW01;g__QALW01;s__QALW01 sp003150515	GCA_003150515.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__QALW01;g__QALW01;s__QALW01 sp003150515	99.56	0.8	GCA_003150515.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__QALW01;g__QALW01;s__QALW01 sp003150515	99.56	0.8	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__QALW01;g__QALW01;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_900552055.1, s__QALW01 sp900552055, 95.0, 80.81, 0.57; GCA_900547955.1, s__QALW01 sp900547955, 95.0, 80.79, 0.62	94.88	11	N/A	N/A
IndD_bin_126	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__UBA644;g__UBA644;s__UBA644 sp900547165	GCA_900547165.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__UBA644;g__UBA644;s__UBA644 sp900547165	98.26	0.93	GCA_900547165.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__UBA644;g__UBA644;s__UBA644 sp900547165	98.26	0.93	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__UBA644;g__UBA644;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_902373415.1, s__UBA644 sp002299265, 95.0, 81.11, 0.63	82.11	11	N/A	N/A
IndD_bin_127	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-127;s__CAG-127 sp900319515	GCA_014337155.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-127;s__CAG-127 sp900319515	98.35	0.72	GCA_014337155.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-127;s__CAG-127 sp900319515	98.35	0.72	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-127;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_002431865.1, s__CAG-127 sp002431865, 95.0, 91.72, 0.75; GCA_900539705.1, s__CAG-127 sp900539705, 95.0, 91.27, 0.77; GCA_002404515.1, s__CAG-127 sp002404515, 95.0, 90.63, 0.64; GCA_900553925.1, s__CAG-127 sp900553925, 95.0, 89.98, 0.74; GCF_900767585.1, s__CAG-127 sp900767585, 95.0, 88.74, 0.67; GCF_900766925.1, s__CAG-127 sp900766925, 95.0, 78.07, 0.09; GCA_902762955.1, s__CAG-127 sp902762955, 95.0, 77.78, 0.11; GCA_902800325.1, s__CAG-127 sp902800325, 95.0, 77.61, 0.09; GCA_002493625.1, s__CAG-127 sp002493625, 95.0, 77.53, 0.08; GCA_902788555.1, s__CAG-127 sp902788555, 95.0, 77.44, 0.09; GCA_002476495.1, s__CAG-127 sp002476495, 95.0, 77.34, 0.12; GCA_900321145.1, s__CAG-127 sp900321145, 95.0, 77.06, 0.04; GCA_902780405.1, s__CAG-127 sp902780405, 95.0, 76.94, 0.1; GCA_002369325.1, s__CAG-127 sp002369325, 95.0, 76.76, 0.06; GCA_902783015.1, s__CAG-127 sp902783015, 95.0, 76.56, 0.06	84.51	11	N/A	Genome has more than 10.0% of markers with multiple hits
IndD_bin_128	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Angelakisella;s__Angelakisella sp900547385	GCA_900547385.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Angelakisella;s__Angelakisella sp900547385	97.84	0.86	GCA_900547385.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Angelakisella;s__Angelakisella sp900547385	97.84	0.86	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Angelakisella;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_003453215.1, s__Angelakisella sp003453215, 95.0, 86.05, 0.64; GCA_004557855.1, s__Angelakisella sp004557855, 95.0, 85.57, 0.76; GCA_900552845.1, s__Angelakisella sp900552845, 95.0, 83.9, 0.61; GCA_004554485.1, s__Angelakisella sp004554485, 95.0, 82.59, 0.6; GCF_900104675.1, s__Angelakisella massiliensis, 95.0, 77.47, 0.13; GCA_013316495.1, s__Angelakisella sp013316495, 95.0, 76.06, 0.08	86.48	11	N/A	N/A
