user_genome	classification	fastani_reference	fastani_reference_radius	fastani_taxonomy	fastani_ani	fastani_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
IndF_bin_051	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__Borkfalkiaceae;g__Borkfalkia;s__	N/A	N/A	N/A	N/A	N/A	GCF_900761665.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__Borkfalkiaceae;g__Borkfalkia;s__Borkfalkia sp900761665	79.51	0.42	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__Borkfalkiaceae;g__Borkfalkia;s__	taxonomic classification defined by topology and ANI	N/A	GCF_900761675.1, s__Borkfalkia sp900761675, 95.0, 79.57, 0.4; GCF_004134775.1, s__Borkfalkia ceftriaxoniphila, 95.0, 77.81, 0.27; GCA_900557285.1, s__Borkfalkia sp900557285, 95.0, 77.23, 0.15; GCA_003343765.1, s__Borkfalkia sp003343765, 95.0, 77.14, 0.13	79.09	11	0.9650096633612729	N/A
IndF_bin_052	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-110;s__CAG-110 sp003525905	GCA_003525905.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-110;s__CAG-110 sp003525905	97.98	0.82	GCA_003525905.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-110;s__CAG-110 sp003525905	97.98	0.82	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-110;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_900546415.1, s__CAG-110 sp900546415, 95.0, 80.05, 0.38; GCA_900548795.1, s__CAG-110 sp900548795, 95.0, 79.86, 0.39; GCA_900544705.1, s__CAG-110 sp900544705, 95.0, 79.65, 0.39; GCA_900551495.1, s__CAG-110 sp900551495, 95.0, 79.01, 0.33; GCA_004556205.1, s__CAG-110 sp004556205, 95.0, 78.89, 0.31; GCA_900554705.1, s__CAG-110 sp900554705, 95.0, 78.78, 0.29; GCA_900316335.1, s__CAG-110 sp900316335, 95.0, 78.26, 0.19; GCA_900769995.1, s__CAG-110 sp900769995, 95.0, 78.23, 0.31; GCA_900544975.1, s__CAG-110 sp900544975, 95.0, 77.9, 0.1; GCA_900549495.1, s__CAG-110 sp900549495, 95.0, 77.84, 0.06; GCA_004562395.1, s__CAG-110 sp004562395, 95.0, 77.81, 0.09; GCA_900544945.1, s__CAG-110 sp900544945, 95.0, 77.75, 0.1; GCA_900315595.1, s__CAG-110 sp900315595, 95.0, 77.74, 0.21; GCA_900762245.1, s__CAG-110 sp900762245, 95.0, 77.71, 0.08; GCA_900752285.1, s__CAG-110 sp900752285, 95.0, 77.69, 0.1; GCA_000434635.1, s__CAG-110 sp000434635, 95.0, 77.65, 0.17; GCA_900762005.1, s__CAG-110 sp900762005, 95.0, 77.65, 0.18; GCA_900545515.1, s__CAG-110 sp000435995, 95.0, 77.58, 0.1; GCA_900547405.1, s__CAG-110 sp900547405, 95.0, 77.46, 0.12; GCA_002437585.1, s__CAG-110 sp002437585, 95.0, 77.38, 0.12; GCA_900546075.1, s__CAG-110 sp900546075, 95.0, 77.33, 0.14; GCA_002436765.1, s__CAG-110 sp002436765, 95.0, 77.32, 0.14; GCA_900544405.1, s__CAG-110 sp900544405, 95.0, 77.23, 0.15; GCA_900540635.1, s__CAG-110 sp900540635, 95.0, 77.2, 0.13; GCA_900546915.1, s__CAG-110 sp900546915, 95.0, 77.17, 0.1; GCA_900553805.1, s__CAG-110 sp900553805, 95.0, 77.05, 0.12; GCA_002362625.1, s__CAG-110 sp002362625, 95.0, 76.98, 0.07; GCA_004555705.1, s__CAG-110 sp004555705, 95.0, 76.95, 0.1; GCA_900549705.1, s__CAG-110 sp900549705, 95.0, 76.94, 0.07; GCA_002372735.1, s__CAG-110 sp002372735, 95.0, 76.91, 0.13; GCA_900762935.1, s__CAG-110 sp900762935, 95.0, 76.84, 0.13; GCA_900770015.1, s__CAG-110 sp900770015, 95.0, 76.79, 0.08; GCA_900763965.1, s__CAG-110 sp900763965, 95.0, 76.68, 0.08; GCA_002493965.1, s__CAG-110 sp002493965, 95.0, 76.59, 0.08; GCA_900556935.1, s__CAG-110 sp900556935, 95.0, 76.59, 0.09; GCA_002362145.1, s__CAG-110 sp002362145, 95.0, 76.4, 0.12; GCA_900554625.1, s__CAG-110 sp900554625, 95.0, 76.35, 0.05; GCA_900769845.1, s__CAG-110 sp900769845, 95.0, 76.28, 0.06; GCA_900769835.1, s__CAG-110 sp900769835, 95.0, 76.12, 0.03	85.07	11	N/A	N/A
IndF_bin_053	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__ER4;s__ER4 sp900317525	GCA_900317525.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__ER4;s__ER4 sp900317525	97.41	0.8	GCA_900317525.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__ER4;s__ER4 sp900317525	97.41	0.8	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__ER4;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_002437735.1, s__ER4 sp002437735, 95.0, 94.7, 0.79; GCA_900552375.1, s__ER4 sp900552375, 95.0, 88.21, 0.69; GCF_000765235.1, s__ER4 sp000765235, 95.0, 82.41, 0.59; GCA_900546295.1, s__ER4 sp900546295, 95.0, 82.28, 0.55; GCA_002405995.1, s__ER4 sp002405995, 95.0, 82.13, 0.56; GCA_900550165.1, s__ER4 sp900550165, 95.0, 82.05, 0.53; GCA_900552015.1, s__ER4 sp900552015, 95.0, 82.03, 0.55; GCA_900763705.1, s__ER4 sp900763705, 95.0, 81.96, 0.61; GCA_900556145.1, s__ER4 sp900556145, 95.0, 81.73, 0.57; GCA_900768135.1, s__ER4 sp900768135, 95.0, 81.65, 0.52; GCA_003522105.1, s__ER4 sp003522105, 95.0, 81.57, 0.52	85.49	11	N/A	N/A
IndF_bin_054	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruthenibacterium;s__Ruthenibacterium lactatiformans	GCF_000949455.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruthenibacterium;s__Ruthenibacterium lactatiformans	99.14	0.97	GCF_000949455.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruthenibacterium;s__Ruthenibacterium lactatiformans	99.14	0.97	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruthenibacterium;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_013316265.1, s__Ruthenibacterium sp013316265, 95.0, 79.44, 0.37; GCF_900759375.1, s__Ruthenibacterium sp900759375, 95.0, 78.6, 0.25; GCA_900546885.1, s__Ruthenibacterium sp900546885, 95.0, 78.59, 0.26; GCA_003149955.1, s__Ruthenibacterium sp003149955, 95.0, 78.17, 0.22; GCA_002315015.1, s__Ruthenibacterium sp002315015, 95.0, 77.09, 0.11; GCA_009929695.1, s__Ruthenibacterium sp009929695, 95.0, 76.07, 0.09	79.47	11	N/A	N/A
IndF_bin_055	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A faecis	GCF_013302415.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A faecis	98.14	0.8	GCF_013302415.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A faecis	98.14	0.8	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_003460605.1, s__Blautia_A sp900066145, 95.0, 84.1, 0.62; GCF_900763175.1, s__Blautia_A sp900763175, 95.0, 83.18, 0.48; GCF_013304735.1, s__Blautia_A sp900066205, 95.0, 81.87, 0.3; GCA_008661915.1, s__Blautia_A wexlerae_A, 95.0, 81.75, 0.24; GCF_003461955.1, s__Blautia_A sp900066335, 95.0, 81.26, 0.28; GCF_900756405.1, s__Blautia_A sp900756405, 95.0, 80.94, 0.27; GCF_013300825.1, s__Blautia_A wexlerae_B, 95.0, 80.88, 0.29; GCF_003474435.1, s__Blautia_A sp003474435, 95.0, 80.6, 0.27; GCF_003480185.1, s__Blautia_A sp003480185, 95.0, 80.51, 0.28; GCF_000484655.1, s__Blautia_A wexlerae, 95.0, 80.46, 0.28; GCF_900751995.1, s__Blautia_A sp900751995, 95.0, 80.44, 0.23; GCF_001487165.1, s__Blautia_A massiliensis, 95.0, 80.35, 0.28; GCF_013304385.1, s__Blautia_A sp900066505, 95.0, 79.97, 0.26; GCF_900764225.1, s__Blautia_A sp900764225, 95.0, 79.92, 0.22; GCA_000285855.2, s__Blautia_A sp000285855, 95.0, 79.9, 0.28; GCF_013304825.1, s__Blautia_A schinkii, 95.0, 79.89, 0.29; GCF_009883055.1, s__Blautia_A sp900548245, 95.0, 79.84, 0.24; GCF_003471165.1, s__Blautia_A sp003471165, 95.0, 79.62, 0.28; GCA_900066355.1, s__Blautia_A sp900066355, 95.0, 79.61, 0.24; GCF_009707925.1, s__Blautia_A luti, 95.0, 79.5, 0.28; GCF_003477525.1, s__Blautia_A sp003477525, 95.0, 79.42, 0.28; GCF_003461245.1, s__Blautia_A sp000436615, 95.0, 79.37, 0.25; GCF_000153905.1, s__Blautia_A obeum, 95.0, 79.18, 0.23; GCA_900316115.1, s__Blautia_A sp900316115, 95.0, 79.01, 0.26; GCA_000210015.1, s__Blautia_A obeum_B, 95.0, 78.81, 0.23; GCF_900120195.1, s__Blautia_A sp900120195, 95.0, 78.77, 0.22; GCA_900553515.1, s__Blautia_A sp900553515, 95.0, 78.74, 0.16; GCF_013302405.1, s__Blautia_A caecimuris, 95.0, 78.53, 0.19; GCA_900540785.1, s__Blautia_A sp900540785, 95.0, 78.46, 0.17; GCA_900551715.1, s__Blautia_A sp900551715, 95.0, 78.33, 0.19; GCA_900541985.1, s__Blautia_A sp900541985, 95.0, 78.3, 0.19; GCA_900549015.1, s__Blautia_A sp900549015, 95.0, 78.27, 0.17; GCA_900541345.1, s__Blautia_A sp900541345, 95.0, 78.13, 0.16; GCA_900551465.1, s__Blautia_A sp900551465, 95.0, 78.05, 0.19; GCA_000702025.1, s__Blautia_A schinkii_A, 95.0, 77.85, 0.19; GCA_900551075.1, s__Blautia_A sp900551075, 95.0, 77.72, 0.15; GCA_900547615.1, s__Blautia_A sp900547615, 95.0, 77.62, 0.16; GCF_000157975.1, s__Blautia_A hydrogenotrophica, 95.0, 77.27, 0.07; GCA_902803215.1, s__Blautia_A sp902803215, 95.0, 77.22, 0.04; GCA_900542045.1, s__Blautia_A sp900542045, 95.0, 77.1, 0.07; GCF_002159835.1, s__Blautia_A sp002159835, 95.0, 76.84, 0.1; GCA_902782975.1, s__Blautia_A sp902782975, 95.0, 76.15, 0.04; GCA_902783305.1, s__Blautia_A sp902783305, 95.0, 75.72, 0.05	70.06	11	N/A	Genome has more than 11.7% of markers with multiple hits
IndF_bin_056	d__Bacteria;p__Verrucomicrobiota;c__Lentisphaeria;o__Victivallales;f__Victivallaceae;g__Victivallis;s__Victivallis sp002998355	GCF_002998355.1	95.0	d__Bacteria;p__Verrucomicrobiota;c__Lentisphaeria;o__Victivallales;f__Victivallaceae;g__Victivallis;s__Victivallis sp002998355	99.22	0.97	GCF_002998355.1	95.0	d__Bacteria;p__Verrucomicrobiota;c__Lentisphaeria;o__Victivallales;f__Victivallaceae;g__Victivallis;s__Victivallis sp002998355	99.22	0.97	d__Bacteria;p__Verrucomicrobiota;c__Lentisphaeria;o__Victivallales;f__Victivallaceae;g__Victivallis;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_003096415.1, s__Victivallis vadensis, 95.0, 79.71, 0.36; GCF_900761715.1, s__Victivallis sp900761715, 95.0, 79.65, 0.2; GCA_900551245.1, s__Victivallis sp900551245, 95.0, 78.98, 0.27; GCA_900550905.1, s__Victivallis sp900550905, 95.0, 78.43, 0.24; GCF_900768515.1, s__Victivallis sp900768515, 95.0, 78.24, 0.34	83.12	11	N/A	N/A
IndF_bin_057	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes_A;s__Alistipes_A indistinctus	GCF_000231275.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes_A;s__Alistipes_A indistinctus	99.12	0.96	GCF_000231275.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes_A;s__Alistipes_A indistinctus	99.12	0.96	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes_A;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_900539755.1, s__Alistipes_A sp900539755, 95.0, 78.88, 0.31; GCA_900545315.1, s__Alistipes_A sp900545315, 95.0, 78.65, 0.38; GCF_000321205.1, s__Alistipes_A ihumii, 95.0, 78.27, 0.37; GCF_009557455.1, s__Alistipes_A sp900240235, 95.0, 78.21, 0.29; GCA_900549685.1, s__Alistipes_A sp900549685, 95.0, 77.97, 0.29; GCA_900546005.1, s__Alistipes_A sp900546005, 95.0, 77.45, 0.11	36.45	11	N/A	N/A
IndF_bin_058	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae;g__Odoribacter;s__Odoribacter splanchnicus	GCF_000190535.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae;g__Odoribacter;s__Odoribacter splanchnicus	99.12	0.9	GCF_000190535.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae;g__Odoribacter;s__Odoribacter splanchnicus	99.12	0.9	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae;g__Odoribacter;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_900548135.1, s__Odoribacter sp900548135, 95.0, 80.43, 0.35; GCA_900762515.1, s__Odoribacter sp900762515, 95.0, 78.59, 0.28; GCF_009935865.1, s__Odoribacter sp009935865, 95.0, 78.43, 0.29; GCA_900541415.1, s__Odoribacter sp900541415, 95.0, 77.73, 0.2; GCF_900091655.1, s__Odoribacter massiliensis, 95.0, 77.58, 0.16; GCA_900544025.1, s__Odoribacter sp900544025, 95.0, 77.57, 0.2; GCF_000243215.1, s__Odoribacter laneus, 95.0, 77.21, 0.14; GCA_002293375.1, s__Odoribacter sp002293375, 95.0, 76.48, 0.05	94.76	11	N/A	N/A
IndF_bin_059	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__KLE1615;s__KLE1615 sp900066985	GCF_003478935.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__KLE1615;s__KLE1615 sp900066985	97.14	0.87	GCF_003478935.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__KLE1615;s__KLE1615 sp900066985	97.14	0.87	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	80.21	11	N/A	N/A
IndF_bin_060	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Roseburia;s__Roseburia hominis	GCF_000225345.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Roseburia;s__Roseburia hominis	97.96	0.88	GCF_000225345.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Roseburia;s__Roseburia hominis	97.96	0.88	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Roseburia;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_900537995.1, s__Roseburia intestinalis, 95.0, 78.77, 0.31; GCA_003483745.1, s__Roseburia sp003483745, 95.0, 78.49, 0.26; GCF_003470905.1, s__Roseburia sp003470905, 95.0, 78.49, 0.31; GCA_900756925.1, s__Roseburia sp900756925, 95.0, 78.24, 0.22; GCF_000174195.1, s__Roseburia inulinivorans, 95.0, 78.16, 0.23; GCA_004562005.1, s__Roseburia sp004562005, 95.0, 78.16, 0.22; GCA_900542495.1, s__Roseburia sp900542495, 95.0, 78.11, 0.2; GCA_900548205.1, s__Roseburia sp900548205, 95.0, 78.05, 0.27; GCA_900550935.1, s__Roseburia sp900550935, 95.0, 77.93, 0.27; GCA_900753715.1, s__Roseburia sp900753715, 95.0, 77.84, 0.22; GCA_900552665.1, s__Roseburia sp900552665, 95.0, 77.83, 0.22; GCF_001940165.1, s__Roseburia sp001940165, 95.0, 77.74, 0.15	88.31	11	N/A	N/A
