user_genome	classification	fastani_reference	fastani_reference_radius	fastani_taxonomy	fastani_ani	fastani_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
IndI_bin_001	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Roseburia;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Roseburia;s__	ANI	N/A	GCA_900552665.1, s__Roseburia sp900552665, 95.0, 91.96, 0.06; GCF_000174195.1, s__Roseburia inulinivorans, 95.0, 90.97, 0.09; GCA_004562005.1, s__Roseburia sp004562005, 95.0, 90.23, 0.08; GCA_900542495.1, s__Roseburia sp900542495, 95.0, 86.42, 0.05; GCF_001940165.1, s__Roseburia sp001940165, 95.0, 82.08, 0.04; GCF_000225345.1, s__Roseburia hominis, 95.0, 81.73, 0.03; GCA_900756925.1, s__Roseburia sp900756925, 95.0, 80.77, 0.02; GCF_003470905.1, s__Roseburia sp003470905, 95.0, 80.55, 0.06; GCF_900537995.1, s__Roseburia intestinalis, 95.0, 79.96, 0.07; GCA_003483745.1, s__Roseburia sp003483745, 95.0, 79.55, 0.05; GCA_900753715.1, s__Roseburia sp900753715, 95.0, 77.93, 0.03; GCA_900548205.1, s__Roseburia sp900548205, 95.0, 76.86, 0.01; GCA_900550935.1, s__Roseburia sp900550935, 95.0, 76.29, 0.04	29.66	11	0.9720955241309484	N/A
IndI_bin_002	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-83;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-83;s__	ANI	N/A	GCA_900545585.1, s__CAG-83 sp900545585, 95.0, 88.06, 0.23; GCA_900549395.1, s__CAG-83 sp900549395, 95.0, 87.34, 0.17; GCA_001916855.1, s__CAG-83 sp001916855, 95.0, 86.7, 0.19; GCA_000435555.1, s__CAG-83 sp000435555, 95.0, 86.24, 0.18; GCA_900547745.1, s__CAG-83 sp900547745, 95.0, 85.9, 0.19; GCA_900551355.1, s__CAG-83 sp900551355, 95.0, 85.52, 0.17; GCA_900550585.1, s__CAG-83 sp900550585, 95.0, 85.28, 0.18; GCA_000435975.1, s__CAG-83 sp000435975, 95.0, 84.55, 0.21; GCA_900545495.1, s__CAG-83 sp900545495, 95.0, 84.5, 0.23; GCA_003487665.1, s__CAG-83 sp003487665, 95.0, 84.08, 0.2; GCA_900551995.1, s__CAG-83 sp900551995, 95.0, 83.98, 0.2; GCA_002438575.1, s__CAG-83 sp002438575, 95.0, 83.81, 0.17; GCA_902388735.1, s__CAG-83 sp902388735, 95.0, 83.53, 0.21; GCA_003539495.1, s__CAG-83 sp003539495, 95.0, 83.36, 0.21; GCA_900317425.1, s__CAG-83 sp900317425, 95.0, 82.51, 0.17; GCA_900554275.1, s__CAG-83 sp900554275, 95.0, 82.43, 0.18; GCA_002392625.1, s__CAG-83 sp002392625, 95.0, 82.36, 0.13; GCA_004557655.1, s__CAG-83 sp004557655, 95.0, 82.02, 0.18; GCA_900548615.1, s__CAG-83 sp900548615, 95.0, 81.79, 0.18; GCA_004555205.1, s__CAG-83 sp004555205, 95.0, 81.76, 0.14; GCA_900556015.1, s__CAG-83 sp900556015, 95.0, 81.6, 0.11; GCA_000431575.1, s__CAG-83 sp000431575, 95.0, 81.54, 0.17; GCA_900552725.1, s__CAG-83 sp900552725, 95.0, 81.43, 0.19; GCA_900313295.1, s__CAG-83 sp900313295, 95.0, 81.42, 0.17; GCA_900555735.1, s__CAG-83 sp900555735, 95.0, 81.31, 0.18; GCA_900757415.1, s__CAG-83 sp900757415, 95.0, 81.3, 0.15; GCA_900756715.1, s__CAG-83 sp900756715, 95.0, 81.16, 0.13; GCA_900552475.1, s__CAG-83 sp900552475, 95.0, 80.84, 0.14; GCA_900550615.1, s__CAG-83 sp900550615, 95.0, 80.78, 0.17; GCA_012719745.1, s__CAG-83 sp012719745, 95.0, 79.14, 0.15; GCA_002309395.1, s__CAG-83 sp002309395, 95.0, 78.41, 0.08	32.22	11	0.9676505328052164	N/A
IndI_bin_003	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA3402;s__	N/A	N/A	N/A	N/A	N/A	GCF_003478355.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA3402;s__UBA3402 sp003478355	88.7	0.06	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA3402;s__	taxonomic classification defined by topology and ANI	N/A	GCA_002358555.1, s__UBA3402 sp002358555, 95.0, 78.75, 0.01	32.16	11	0.9758468985928485	N/A
IndI_bin_004	d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__UBA660;g__CAG-302;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__UBA660;g__CAG-302;s__	ANI	N/A	GCA_000431795.1, s__CAG-302 sp000431795, 95.0, 98.36, 0.57; GCA_900549325.1, s__CAG-302 sp900549325, 95.0, 91.62, 0.56; GCA_001916775.1, s__CAG-302 sp001916775, 95.0, 81.12, 0.38; GCA_900554615.1, s__CAG-302 sp900554615, 95.0, 80.43, 0.29; GCA_900548425.1, s__CAG-302 sp900548425, 95.0, 80.3, 0.4; GCA_900543825.1, s__CAG-302 sp900543825, 95.0, 80.01, 0.41; GCA_002375205.1, s__CAG-302 sp002375205, 95.0, 79.14, 0.28	63.17	11	0.9925638996835134	N/A
IndI_bin_005	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__;s__	taxonomic novelty determined using RED	N/A	N/A	26.25	11	0.9115986566246632	N/A
IndI_bin_006	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__RF32;f__CAG-239;g__51-20;s__51-20 sp001917175	GCA_001917175.1	95.0	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__RF32;f__CAG-239;g__51-20;s__51-20 sp001917175	98.97	0.89	GCA_001917175.1	95.0	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__RF32;f__CAG-239;g__51-20;s__51-20 sp001917175	98.97	0.89	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__RF32;f__CAG-239;g__51-20;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_900539605.1, s__51-20 sp900539605, 95.0, 78.71, 0.49; GCF_900762565.1, s__51-20 sp900762565, 95.0, 78.26, 0.19; GCA_900542055.1, s__51-20 sp900542055, 95.0, 77.08, 0.06; GCA_902761715.1, s__51-20 sp902761715, 95.0, 76.94, 0.08; GCA_902795665.1, s__51-20 sp902795665, 95.0, 76.48, 0.04	45.84	11	N/A	N/A
IndI_bin_007	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospira;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospira;s__	ANI	N/A	GCA_900112995.1, s__Lachnospira rogosae_A, 95.0, 94.88, 0.07; GCF_009680455.1, s__Lachnospira eligens_A, 95.6336, 87.96, 0.06; GCF_003458705.1, s__Lachnospira sp003537285, 95.4867, 87.73, 0.06; GCA_900772425.1, s__Lachnospira sp900772425, 95.0, 87.39, 0.04; GCF_003464165.1, s__Lachnospira sp003451515, 95.0, 86.99, 0.07; GCF_900103815.1, s__Lachnospira pectinoschiza_B, 95.5522, 86.65, 0.05; GCF_000424105.1, s__Lachnospira multipara, 95.5522, 86.63, 0.05; GCF_000146185.1, s__Lachnospira eligens, 95.6336, 86.51, 0.07; GCA_000436475.1, s__Lachnospira sp000436475, 95.0, 86.17, 0.05; GCF_000702205.1, s__Lachnospira multipara_A, 95.0, 85.79, 0.04; GCA_900547255.1, s__Lachnospira sp900547255, 95.0, 85.21, 0.06; GCA_002435585.1, s__Lachnospira sp002435585, 95.0, 84.01, 0.05; GCA_002394205.1, s__Lachnospira sp002394205, 95.0, 83.86, 0.03; GCA_000437735.1, s__Lachnospira sp000437735, 95.0, 83.46, 0.06; GCA_900545725.1, s__Lachnospira sp900545725, 95.0, 82.89, 0.07; GCF_014287955.1, s__Lachnospira sp900316325, 95.0, 82.39, 0.07; GCA_000436535.1, s__Lachnospira sp000436535, 95.0, 75.88, 0.05; GCA_900551945.1, s__Lachnospira sp900551945, 95.0, 74.46, 0.0	18.34	11	0.9656421136700591	N/A
IndI_bin_008	d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Mailhella;s__	N/A	N/A	N/A	N/A	N/A	GCA_003150275.1	95.0	d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Mailhella;s__Mailhella sp003150275	99.59	0.15	d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Mailhella;s__	taxonomic classification defined by topology and ANI	N/A	GCF_900155525.1, s__Mailhella massiliensis, 95.0, 86.07, 0.08; GCA_900555975.1, s__Mailhella sp900555975, 95.0, 85.25, 0.02; GCA_900541395.1, s__Mailhella sp900541395, 95.0, 85.0, 0.12; GCA_900553065.1, s__Mailhella sp900553065, 95.0, 84.98, 0.06; GCF_900770205.1, s__Mailhella sp900770205, 95.0, 83.36, 0.08; GCA_902783285.1, s__Mailhella sp902783285, 95.0, 80.43, 0.12; GCA_003512875.1, s__Mailhella sp003512875, 95.0, 77.16, 0.02	17.47	11	0.9832551630513389	N/A
IndI_bin_009	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-95;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-95;s__	ANI	N/A	GCA_000438155.1, s__CAG-95 sp000438155, 95.0, 91.5, 0.06; GCA_900553305.1, s__CAG-95 sp900553305, 95.0, 87.73, 0.04; GCA_002490775.1, s__CAG-95 sp002490775, 95.0, 82.68, 0.02; GCF_009917455.1, s__CAG-95 sp009917455, 95.0, 80.84, 0.02; GCF_000403495.2, s__CAG-95 sp000403495, 95.0, 80.35, 0.03; GCA_900554925.1, s__CAG-95 sp900554925, 95.0, 80.26, 0.03; GCA_000436115.1, s__CAG-95 sp000436115, 95.0, 79.91, 0.04; GCF_003612395.1, s__CAG-95 sp003612395, 95.0, 79.79, 0.04; GCA_009774465.1, s__CAG-95 sp009774465, 95.0, 79.58, 0.03; GCA_002492465.1, s__CAG-95 sp002492465, 95.0, 79.54, 0.02; GCF_009917485.1, s__CAG-95 sp009917485, 95.0, 79.4, 0.04; GCF_003490145.1, s__CAG-95 sp900066375, 95.0, 79.33, 0.05; GCF_009911035.1, s__CAG-95 sp009911035, 95.0, 78.64, 0.03; GCF_011959285.1, s__CAG-95 sp011959285, 95.0, 76.88, 0.03; GCA_902766365.1, s__CAG-95 sp902766365, 95.0, 76.29, 0.04	27.81	11	0.9884265518693022	N/A
IndI_bin_010	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA7182;s__	N/A	N/A	N/A	N/A	N/A	GCF_003480725.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA7182;s__UBA7182 sp003480725	91.99	0.11	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA7182;s__	taxonomic classification defined by topology and ANI	N/A	GCA_009774135.1, s__UBA7182 sp009774135, 95.0, 80.27, 0.03; GCF_002160135.1, s__UBA7182 sp002160135, 95.0, 79.65, 0.05; GCF_003481535.1, s__UBA7182 sp003481535, 95.0, 79.53, 0.1; GCA_009774155.1, s__UBA7182 sp009774155, 95.0, 79.16, 0.04; GCA_009774145.1, s__UBA7182 sp009774145, 95.0, 78.39, 0.05; GCA_002491115.1, s__UBA7182 sp002491115, 95.0, 77.89, 0.04; GCA_001941045.1, s__UBA7182 sp001941045, 95.0, 76.77, 0.03	31.92	11	0.9891955155371106	N/A
