user_genome	classification	fastani_reference	fastani_reference_radius	fastani_taxonomy	fastani_ani	fastani_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
IndE_bin_001	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Dorea_A;s__	N/A	N/A	N/A	N/A	N/A	GCF_000154065.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Dorea_A;s__Dorea_A longicatena	98.47	0.19	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Dorea_A;s__	taxonomic classification defined by topology and ANI	N/A	GCF_001404875.1, s__Dorea_A longicatena_B, 95.0, 92.17, 0.19; GCA_900550865.1, s__Dorea_A sp900550865, 95.0, 89.75, 0.17	26.38	11	0.999087833072752	N/A
IndE_bin_002	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eisenbergiella;s__	N/A	N/A	N/A	N/A	N/A	GCF_003481005.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eisenbergiella;s__Eisenbergiella sp900066775	94.65	0.23	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eisenbergiella;s__	taxonomic classification defined by topology and ANI	N/A	GCA_900550285.1, s__Eisenbergiella sp900550285, 95.0, 85.59, 0.05; GCA_900539715.1, s__Eisenbergiella sp900539715, 95.0, 84.49, 0.17; GCA_003343625.1, s__Eisenbergiella sp003343625, 95.0, 84.33, 0.11; GCF_003478085.1, s__Eisenbergiella sp003478085, 95.0, 81.46, 0.12; GCA_002361095.1, s__Eisenbergiella sp002361095, 95.0, 81.38, 0.06; GCA_900548905.1, s__Eisenbergiella sp900548905, 95.0, 81.12, 0.12; GCF_001881565.1, s__Eisenbergiella tayi, 95.0, 80.87, 0.15; GCA_900544445.1, s__Eisenbergiella sp900544445, 95.0, 79.94, 0.14; GCF_900243045.1, s__Eisenbergiella massiliensis, 95.0, 79.91, 0.17; GCA_900555195.1, s__Eisenbergiella sp900555195, 95.0, 76.37, 0.05	18.82	11	0.9993242256272945	N/A
IndE_bin_003	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__CAG-552;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__CAG-552;g__;s__	taxonomic novelty determined using RED	N/A	N/A	20.67	11	0.9195416715886604	N/A
IndE_bin_004	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Bariatricus;s__	N/A	N/A	N/A	N/A	N/A	GCF_013300725.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Bariatricus;s__Bariatricus comes_A	90.08	0.04	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Bariatricus;s__	taxonomic classification defined by topology and ANI	N/A	GCF_000155875.1, s__Bariatricus comes, 95.0, 89.37, 0.05; GCF_900086725.1, s__Bariatricus massiliensis, 95.0, 83.62, 0.02; GCA_900554415.1, s__Bariatricus sp900554415, 95.0, 81.62, 0.01; GCA_004560705.1, s__Bariatricus sp004560705, 95.0, 81.06, 0.03	23.03	11	0.9995223576960554	N/A
IndE_bin_005	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__;g__;s__	taxonomic novelty determined using RED	N/A	N/A	38.93	11	0.8470012872039129	Genome has more than 25.0% of markers with multiple hits
IndE_bin_006	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Roseburia;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Roseburia;s__	ANI	N/A	GCF_900537995.1, s__Roseburia intestinalis, 95.0, 92.97, 0.28; GCA_003483745.1, s__Roseburia sp003483745, 95.0, 87.77, 0.22; GCF_003470905.1, s__Roseburia sp003470905, 95.0, 86.75, 0.29; GCF_000174195.1, s__Roseburia inulinivorans, 95.0, 83.47, 0.12; GCF_000225345.1, s__Roseburia hominis, 95.0, 83.04, 0.17; GCA_004562005.1, s__Roseburia sp004562005, 95.0, 82.41, 0.13; GCF_001940165.1, s__Roseburia sp001940165, 95.0, 81.12, 0.1; GCA_900756925.1, s__Roseburia sp900756925, 95.0, 81.04, 0.07; GCA_900552665.1, s__Roseburia sp900552665, 95.0, 80.91, 0.15; GCA_900542495.1, s__Roseburia sp900542495, 95.0, 80.49, 0.13; GCA_900753715.1, s__Roseburia sp900753715, 95.0, 79.0, 0.11; GCA_900550935.1, s__Roseburia sp900550935, 95.0, 78.52, 0.14; GCA_900548205.1, s__Roseburia sp900548205, 95.0, 77.6, 0.07	27.26	11	0.976719082786843	N/A
IndE_bin_007	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Negativibacillus;s__	N/A	N/A	N/A	N/A	N/A	GCA_900547455.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Negativibacillus;s__Negativibacillus sp900547455	97.48	0.07	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Negativibacillus;s__	taxonomic classification defined by topology and ANI	N/A	GCA_000435195.1, s__Negativibacillus sp000435195, 95.0, 84.33, 0.05; GCA_900547015.1, s__Negativibacillus sp900547015, 95.0, 82.9, 0.05; GCF_900148495.1, s__Negativibacillus massiliensis, 95.0, 82.09, 0.05	24.48	11	0.9897089339257265	N/A
IndE_bin_008	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__ER4;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__ER4;s__	ANI	N/A	GCA_900552375.1, s__ER4 sp900552375, 95.0, 87.19, 0.08; GCA_002405995.1, s__ER4 sp002405995, 95.0, 86.9, 0.05; GCA_900550165.1, s__ER4 sp900550165, 95.0, 86.5, 0.04; GCA_900317525.1, s__ER4 sp900317525, 95.0, 85.09, 0.12; GCF_000765235.1, s__ER4 sp000765235, 95.0, 85.03, 0.07; GCA_002437735.1, s__ER4 sp002437735, 95.0, 85.02, 0.09; GCA_900768135.1, s__ER4 sp900768135, 95.0, 84.73, 0.07; GCA_900556145.1, s__ER4 sp900556145, 95.0, 84.0, 0.05; GCA_900763705.1, s__ER4 sp900763705, 95.0, 82.46, 0.07; GCA_003522105.1, s__ER4 sp003522105, 95.0, 80.3, 0.04; GCA_900546295.1, s__ER4 sp900546295, 95.0, 77.13, 0.04; GCA_900552015.1, s__ER4 sp900552015, 95.0, 77.02, 0.04	15.72	11	0.9673735861173306	N/A
IndE_bin_009	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__;s__	taxonomic novelty determined using RED	N/A	N/A	45.66	11	0.8664517973880597	Genome has more than 13.3% of markers with multiple hits
IndE_bin_010	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospira;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospira;s__	ANI	N/A	GCF_009680455.1, s__Lachnospira eligens_A, 95.6336, 90.08, 0.05; GCF_003458705.1, s__Lachnospira sp003537285, 95.4867, 88.6, 0.05; GCF_000146185.1, s__Lachnospira eligens, 95.6336, 88.51, 0.04; GCF_003464165.1, s__Lachnospira sp003451515, 95.0, 87.12, 0.05; GCA_900112995.1, s__Lachnospira rogosae_A, 95.0, 86.76, 0.03; GCA_000436475.1, s__Lachnospira sp000436475, 95.0, 85.72, 0.04; GCA_002435585.1, s__Lachnospira sp002435585, 95.0, 83.33, 0.03; GCA_900772425.1, s__Lachnospira sp900772425, 95.0, 82.54, 0.03; GCA_000436535.1, s__Lachnospira sp000436535, 95.0, 82.01, 0.03; GCA_900547255.1, s__Lachnospira sp900547255, 95.0, 80.79, 0.03; GCF_000424105.1, s__Lachnospira multipara, 95.5522, 79.96, 0.02; GCF_014287955.1, s__Lachnospira sp900316325, 95.0, 79.91, 0.03; GCF_000702205.1, s__Lachnospira multipara_A, 95.0, 79.86, 0.03; GCF_900103815.1, s__Lachnospira pectinoschiza_B, 95.5522, 79.54, 0.02; GCA_000437735.1, s__Lachnospira sp000437735, 95.0, 78.92, 0.02; GCA_002394205.1, s__Lachnospira sp002394205, 95.0, 77.98, 0.02; GCA_900551945.1, s__Lachnospira sp900551945, 95.0, 77.54, 0.01; GCA_900545725.1, s__Lachnospira sp900545725, 95.0, 77.07, 0.02; GCA_900552795.1, s__Lachnospira sp900552795, 95.0, 76.6, 0.02	42.37	11	0.9630648025582521	N/A
IndE_bin_011	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__;g__;s__	taxonomic novelty determined using RED	N/A	N/A	38.16	11	0.69267093218432	Genome has more than 15.8% of markers with multiple hits
IndE_bin_012	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__Borkfalkiaceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__Borkfalkiaceae;g__;s__	taxonomic classification fully defined by topology	N/A	N/A	40.92	11	0.808362489512599	N/A
