scaffold	fragment	protein start	protein stop	protein length	nucleotide start	nucleotide stop	nucleotide length
IndH_bin_058_k141_8537	IndH_bin_058_k141_8537_fragment_2	106	184	79	125350	180144	54795
IndH_bin_032_k141_1417	IndH_bin_032_k141_1417_fragment_1	2	49	48	533	41717	41185
IndH_bin_005_k141_103988	IndH_bin_005_k141_103988_fragment_1	1	13	13	3	10360	10358
IndH_bin_051_k141_59098	IndH_bin_051_k141_59098_fragment_2	47	145	99	56824	130436	73613
IndH_bin_053_k141_34610	IndH_bin_053_k141_34610_fragment_2	47	127	81	44018	107503	63486
IndH_bin_038_k141_104681	IndH_bin_038_k141_104681_fragment_1	10	20	11	9554	22736	13183
IndH_bin_062_k141_142597	IndH_bin_062_k141_142597_fragment_2	36	78	43	60468	98501	38034
IndH_bin_031_k141_168694	IndH_bin_031_k141_168694_fragment_1	12	27	16	7978	18946	10969
IndH_bin_024_k141_145269	IndH_bin_024_k141_145269_fragment_1	3	15	13	933	8639	7707
IndH_bin_071_k141_49372	IndH_bin_071_k141_49372_fragment_1	20	72	53	16250	50348	34099
IndH_bin_041_k141_157888	IndH_bin_041_k141_157888_fragment_1	2	25	24	277	22703	22427
IndH_bin_016_k141_176609	IndH_bin_016_k141_176609_fragment_1	2	9	8	414	3831	3418
IndH_bin_081_k141_70544	IndH_bin_081_k141_70544_fragment_1	8	32	25	2708	16852	14145
IndH_bin_011_k141_151965	IndH_bin_011_k141_151965_fragment_1	54	73	20	39581	49933	10353
IndH_bin_052_k141_64925	IndH_bin_052_k141_64925_fragment_1	7	15	9	7518	16217	8700
IndH_bin_054_k141_33594	IndH_bin_054_k141_33594_fragment_1	5	22	18	2888	15178	12291
IndH_bin_071_k141_167065	IndH_bin_071_k141_167065_fragment_1	17	29	13	19664	28340	8677
IndH_bin_070_k141_31192	IndH_bin_070_k141_31192_fragment_3	130	138	9	143384	148938	5555
IndH_bin_012_k141_199953	IndH_bin_012_k141_199953_fragment_1	12	20	9	15120	22192	7073
IndH_bin_081_k141_168555	IndH_bin_081_k141_168555_fragment_1	70	93	24	88460	113305	24846
IndH_bin_081_k141_15299	IndH_bin_081_k141_15299_fragment_2	15	24	10	17077	23083	6007
IndH_bin_070_k141_165181	IndH_bin_070_k141_165181_fragment_1	1	8	8	2	4720	4719
IndH_bin_039_k141_65677	IndH_bin_039_k141_65677_fragment_1	28	42	15	25933	37571	11639
IndH_bin_066_k141_79275	IndH_bin_066_k141_79275_fragment_3	59	104	46	55256	88129	32874
IndH_bin_053_k141_104017	IndH_bin_053_k141_104017_fragment_2	129	141	13	132664	140490	7827
IndH_bin_046_k141_145976	IndH_bin_046_k141_145976_fragment_1	6	14	9	3752	9044	5293
IndH_bin_064_k141_89101	IndH_bin_064_k141_89101_fragment_3	65	101	37	70398	119552	49155
IndH_bin_039_k141_15292	IndH_bin_039_k141_15292_fragment_2	88	116	29	98749	120597	21849
IndH_bin_037_k141_125351	IndH_bin_037_k141_125351_fragment_3	92	153	62	96187	141811	45625
IndH_bin_073_k141_34816	IndH_bin_073_k141_34816_fragment_3	78	137	60	85060	134238	49179
IndH_bin_038_k141_3083	IndH_bin_038_k141_3083_fragment_2	20	37	18	17654	35097	17444
IndH_bin_032_k141_184674	IndH_bin_032_k141_184674_fragment_1	30	40	11	33511	41221	7711
IndH_bin_032_k141_217183	IndH_bin_032_k141_217183_fragment_2	81	91	11	83673	92109	8437
IndH_bin_010_k141_227684	IndH_bin_010_k141_227684_fragment_2	23	70	48	18789	52197	33409
IndH_bin_027_k141_102636	IndH_bin_027_k141_102636_fragment_1	60	69	10	68092	74944	6853
IndH_bin_022_k141_132396	IndH_bin_022_k141_132396_fragment_1	163	216	54	186264	222497	36234
IndH_bin_044_k141_124386	IndH_bin_044_k141_124386_fragment_1	51	96	46	53564	99359	45796
IndH_bin_078_k141_208788	IndH_bin_078_k141_208788_fragment_1	26	34	9	29033	38688	9656
IndH_bin_076_k141_39772	IndH_bin_076_k141_39772_fragment_1	9	77	69	8502	51993	43492
IndH_bin_056_k141_216161	IndH_bin_056_k141_216161_fragment_3	47	102	56	52700	93226	40527
IndH_bin_063_k141_132175	IndH_bin_063_k141_132175_fragment_1	19	88	70	22520	64722	42203
IndH_bin_020_k141_195579	IndH_bin_020_k141_195579_fragment_1	106	120	15	128658	144537	15880
IndH_bin_053_k141_141562	IndH_bin_053_k141_141562_fragment_2	73	85	13	82476	91165	8690
IndH_bin_012_k141_138555	IndH_bin_012_k141_138555_fragment_2	92	104	13	92631	100891	8261
IndH_bin_012_k141_138555	IndH_bin_012_k141_138555_fragment_3	171	179	9	180143	186551	6409
IndH_bin_058_k141_25974	IndH_bin_058_k141_25974_fragment_1	51	98	48	56345	93223	36879
IndH_bin_064_k141_79697	IndH_bin_064_k141_79697_fragment_1	1	28	28	127	24692	24566
IndH_bin_066_k141_132567	IndH_bin_066_k141_132567_fragment_1	4	11	8	1354	6217	4864
IndH_bin_053_k141_218729	IndH_bin_053_k141_218729_fragment_1	8	24	17	7967	18457	10491
IndH_bin_076_k141_139110	IndH_bin_076_k141_139110_fragment_1	1	20	20	2	24920	24919
IndH_bin_046_k141_226318	IndH_bin_046_k141_226318_fragment_1	46	55	10	44440	50414	5975
IndH_bin_054_k141_103424	IndH_bin_054_k141_103424_fragment_1	2	71	70	685	52652	51968
