bin	uniqueBacSCGs	redundantBacSCGs	uniqueArcSCGs	redundantArcSCGs	bacRatio	arcRatio	size	contigs	N50	binScore	SCG_completeness	SCG_redundancy
concoct.185	51	0	14	0	1	0.368421052631579	3108979	16	291406	1	100	0
concoct.81	51	0	12	0	1	0.315789473684211	2719659	54	89499	1	100	0
IndF_metabat_bins.230	51	0	14	0	1	0.368421052631579	2247854	41	76532	1	100	0
concoct.135	51	0	15	0	1	0.394736842105263	3330063	86	66616	1	100	0
concoct.189	51	0	13	0	1	0.342105263157895	1865224	56	59379	1	100	0
concoct.201	51	0	14	0	1	0.368421052631579	3494311	97	56732	1	100	0
IndF_metabat_bins.70	51	0	13	0	1	0.342105263157895	3703396	118	52811	1	100	0
IndF_metabat_bins.92	21	0	38	0	0.411764705882353	1	1894113	69	40988	1	100	0
concoct.48	50	0	13	0	0.980392156862745	0.342105263157895	2897490	21	281769	0.9804	98.04	0
concoct.137	50	0	13	0	0.980392156862745	0.342105263157895	1630670	29	98741	0.9804	98.04	0
concoct.97	50	0	12	0	0.980392156862745	0.315789473684211	4360745	131	52618	0.9804	98.04	0
concoct.182	50	0	11	0	0.980392156862745	0.289473684210526	2634871	115	49165	0.9804	98.04	0
concoct.1	50	0	12	1	0.980392156862745	0.315789473684211	2291477	148	36315	0.9804	98.04	2.63
IndF_metabat_bins.150	50	0	14	0	0.980392156862745	0.368421052631579	1590161	92	23540	0.9804	98.04	0
concoct.167	51	1	14	0	1	0.368421052631579	1499869	26	124529	0.9784	100	1.96
IndF_metabat_bins.199	49	0	13	0	0.96078431372549	0.342105263157895	2541599	60	74681	0.9608	96.08	0
concoct.165	50	1	14	0	0.980392156862745	0.368421052631579	2743771	31	166511	0.9586	98.04	1.96
concoct.194	50	1	14	0	0.980392156862745	0.368421052631579	1660029	23	140751	0.9586	98.04	1.96
concoct.142	50	1	12	1	0.980392156862745	0.315789473684211	2567306	79	86923	0.9586	98.04	2.63
concoct.152	50	1	14	0	0.980392156862745	0.368421052631579	2312821	39	82448	0.9586	98.04	1.96
concoct.59	50	1	14	1	0.980392156862745	0.368421052631579	2700604	65	68939	0.9586	98.04	2.63
concoct.110	50	1	14	0	0.980392156862745	0.368421052631579	2215218	65	57233	0.9586	98.04	1.96
IndF_metabat_bins.246	50	1	15	0	0.980392156862745	0.394736842105263	2123618	79	49633	0.9586	98.04	1.96
concoct.159	50	1	13	0	0.980392156862745	0.342105263157895	2478349	380	10878	0.9586	98.04	1.96
