bin	uniqueBacSCGs	redundantBacSCGs	uniqueArcSCGs	redundantArcSCGs	bacRatio	arcRatio	size	contigs	N50	binScore	SCG_completeness	SCG_redundancy
concoct.191	51	0	11	0	1	0.289473684210526	2212087	37	136594	1	100	0
concoct.196	51	0	14	0	1	0.368421052631579	2269608	48	74774	1	100	0
IndE_metabat_bins.24	22	0	38	0	0.431372549019608	1	1674195	43	66008	1	100	0
concoct.33	51	0	14	0	1	0.368421052631579	2961920	75	56991	1	100	0
IndE_metabat_bins.157	51	0	13	0	1	0.342105263157895	3655268	114	49843	1	100	0
concoct.227	51	0	12	0	1	0.315789473684211	2917847	138	38887	1	100	0
concoct.195	51	0	13	0	1	0.342105263157895	3875073	244	28998	1	100	0
concoct.142_sub	51	0	14	2	1	0.368421052631579	5475690	444	24044	1	100	5.26
IndE_metabat_bins.11	51	0	12	0	1	0.315789473684211	1751916	128	17336	1	100	0
IndE_metabat_bins.184	50	0	13	0	0.980392156862745	0.342105263157895	1754967	24	219892	0.9804	98.04	0
concoct.107	50	0	13	0	0.980392156862745	0.342105263157895	1604868	30	104041	0.9804	98.04	0
IndE_metabat_bins.227	50	0	13	1	0.980392156862745	0.342105263157895	1840161	38	93540	0.9804	98.04	2.63
concoct.235_sub	51	0	14	2	1	0.368421052631579	2253607	58	60100	1	100	5.26
IndE_metabat_bins.220	50	0	12	0	0.980392156862745	0.315789473684211	1542558	57	56948	0.9804	98.04	0
IndE_metabat_bins.83	50	0	12	0	0.980392156862745	0.315789473684211	1140966	37	51556	0.9804	98.04	0
IndE_metabat_bins.162	50	0	11	0	0.980392156862745	0.289473684210526	2603821	102	43332	0.9804	98.04	0
IndE_metabat_bins.76	50	0	12	1	0.980392156862745	0.315789473684211	1875432	164	15187	0.9804	98.04	2.63
IndE_metabat_bins.141	51	1	14	0	1	0.368421052631579	3199087	29	202480	0.9784	100	1.96
concoct.208	51	1	14	0	1	0.368421052631579	1531607	36	85285	0.9784	100	1.96
concoct.206_sub	51	1	13	0	1	0.342105263157895	3342094	134	59694	0.9784	100	1.96
concoct.109	51	1	11	0	1	0.289473684210526	1199143	207	7473	0.9784	100	1.96
IndE_metabat_bins.280	50	1	14	1	0.980392156862745	0.368421052631579	2535982	32	160744	0.9586	98.04	2.63
IndE_metabat_bins.69	50	1	15	0	0.980392156862745	0.394736842105263	2335721	29	152470	0.9586	98.04	1.96
IndE_metabat_bins.126	50	1	13	2	0.980392156862745	0.342105263157895	1268782	45	62813	0.9586	98.04	5.26
IndE_metabat_bins.10	50	1	14	0	0.980392156862745	0.368421052631579	2282300	74	44512	0.9586	98.04	1.96
concoct.205	50	1	13	0	0.980392156862745	0.342105263157895	2553592	141	35999	0.9586	98.04	1.96
IndE_metabat_bins.267	50	1	15	1	0.980392156862745	0.394736842105263	2968430	147	35281	0.9586	98.04	2.63
concoct.127	50	1	14	0	0.980392156862745	0.368421052631579	1811691	107	24062	0.9586	98.04	1.96
concoct.149	50	1	13	0	0.980392156862745	0.342105263157895	2277896	186	23421	0.9586	98.04	1.96
concoct.181	50	1	14	0	0.980392156862745	0.368421052631579	2053427	164	20269	0.9586	98.04	1.96
concoct.3	50	1	14	0	0.980392156862745	0.368421052631579	2128896	203	14352	0.9586	98.04	1.96
concoct.75	51	2	12	1	1	0.315789473684211	3397195	109	60373	0.9569	100	3.92
concoct.76_sub	51	2	13	2	1	0.342105263157895	2113436	85	50692	0.9569	100	5.26
IndE_metabat_bins.128	51	2	13	0	1	0.342105263157895	2222496	67	46382	0.9569	100	3.92
IndE_metabat_bins.90	51	2	13	1	1	0.342105263157895	2546479	179	21639	0.9569	100	3.92
concoct.151	48	0	14	0	0.941176470588235	0.368421052631579	2546705	14	207861	0.9412	94.12	0
concoct.230	48	0	13	0	0.941176470588235	0.342105263157895	2682333	27	168546	0.9412	94.12	0
IndE_metabat_bins.268	48	0	12	0	0.941176470588235	0.315789473684211	2046067	26	114080	0.9412	94.12	0
concoct.148	48	0	14	0	0.941176470588235	0.368421052631579	2634561	67	59579	0.9412	94.12	0
IndE_metabat_bins.38	49	1	13	0	0.96078431372549	0.342105263157895	1571597	26	101067	0.9387	96.08	1.96
concoct.50	49	1	14	0	0.96078431372549	0.368421052631579	4036077	89	88108	0.9387	96.08	1.96
concoct.138_sub	49	1	14	0	0.96078431372549	0.368421052631579	2074723	64	66418	0.9387	96.08	1.96
concoct.146	49	1	11	1	0.96078431372549	0.289473684210526	2367337	129	39832	0.9387	96.08	2.63
concoct.221	49	1	11	2	0.96078431372549	0.289473684210526	2999746	171	28919	0.9387	96.08	5.26
IndE_metabat_bins.189	51	3	13	0	1	0.342105263157895	2063880	81	44433	0.9353	100	5.88
IndE_metabat_bins.55	50	2	13	0	0.980392156862745	0.342105263157895	2141522	139	20722	0.927	98.04	3.92
IndE_metabat_bins.64	47	0	14	0	0.92156862745098	0.368421052631579	2199485	20	149605	0.9216	92.16	0
IndE_metabat_bins.91	48	1	12	0	0.941176470588235	0.315789473684211	1900229	28	105044	0.9189	94.12	1.96
IndE_metabat_bins.306	48	1	14	1	0.941176470588235	0.368421052631579	2274986	46	73586	0.9189	94.12	2.63
IndE_metabat_bins.56	48	1	11	0	0.941176470588235	0.289473684210526	1701656	52	56408	0.9189	94.12	1.96
IndE_metabat_bins.175	48	1	12	0	0.941176470588235	0.315789473684211	1713498	79	32795	0.9189	94.12	1.96
concoct.81	48	1	13	0	0.941176470588235	0.342105263157895	2097429	193	24012	0.9189	94.12	1.96
concoct.64	49	2	12	1	0.96078431372549	0.315789473684211	2001434	34	157388	0.9167	96.08	3.92
IndE_metabat_bins.275	49	2	12	0	0.96078431372549	0.315789473684211	2620972	47	87428	0.9167	96.08	3.92
IndE_metabat_bins.106	49	2	12	1	0.96078431372549	0.315789473684211	2363014	72	58778	0.9167	96.08	3.92
concoct.182	49	2	13	0	0.96078431372549	0.342105263157895	2701857	88	44277	0.9167	96.08	3.92
IndE_metabat_bins.316	49	2	12	1	0.96078431372549	0.315789473684211	1717145	81	36749	0.9167	96.08	3.92
concoct.65	50	3	12	0	0.980392156862745	0.315789473684211	2666099	74	62489	0.915	98.04	5.88
concoct.237	50	3	13	1	0.980392156862745	0.342105263157895	2539085	218	29916	0.915	98.04	5.88
IndE_metabat_bins.270	46	0	14	0	0.901960784313726	0.368421052631579	2119200	16	337799	0.902	90.2	0
IndE_metabat_bins.68	46	0	13	0	0.901960784313726	0.342105263157895	1582651	38	85100	0.902	90.2	0
IndE_metabat_bins.46	49	3	14	1	0.96078431372549	0.368421052631579	1632508	22	232009	0.8946	96.08	5.88
concoct.169	49	3	12	0	0.96078431372549	0.315789473684211	2429533	44	105927	0.8946	96.08	5.88
concoct.225_sub	49	3	14	1	0.96078431372549	0.368421052631579	3361960	77	80265	0.8946	96.08	5.88
concoct.162	50	4	11	2	0.980392156862745	0.289473684210526	1837658	30	165374	0.8932	98.04	7.84
concoct.192_sub	50	4	12	1	0.980392156862745	0.315789473684211	2734398	56	125132	0.8932	98.04	7.84
IndE_metabat_bins.259	50	4	14	0	0.980392156862745	0.368421052631579	2550497	44	94890	0.8932	98.04	7.84
concoct.202	51	5	12	1	1	0.315789473684211	3167887	130	41034	0.8922	100	9.8
concoct.244	45	0	11	0	0.882352941176471	0.289473684210526	1060140	8	204576	0.8824	88.24	0
IndE_metabat_bins.200	45	0	12	0	0.882352941176471	0.315789473684211	765995	24	57152	0.8824	88.24	0
IndE_metabat_bins.166	45	0	13	1	0.882352941176471	0.342105263157895	1474955	81	30149	0.8824	88.24	2.63
IndE_metabat_bins.198	45	0	11	0	0.882352941176471	0.289473684210526	1791649	99	29132	0.8824	88.24	0
IndE_metabat_bins.229	45	0	13	0	0.882352941176471	0.342105263157895	4954365	358	19151	0.8824	88.24	0
IndE_metabat_bins.303	45	0	11	0	0.882352941176471	0.289473684210526	2005060	229	13405	0.8824	88.24	0
concoct.241_sub	45	0	11	0	0.882352941176471	0.289473684210526	1818897	210	12178	0.8824	88.24	0
IndE_metabat_bins.307_sub	46	1	13	0	0.901960784313726	0.342105263157895	1223695	47	52674	0.8791	90.2	1.96
concoct.14	47	2	10	1	0.92156862745098	0.263157894736842	1859151	480	4703	0.8764	92.16	3.92
concoct.78	47	2	10	0	0.92156862745098	0.263157894736842	2119869	610	4109	0.8764	92.16	3.92
concoct.164	44	0	9	0	0.862745098039216	0.236842105263158	3046437	364	12854	0.8627	86.27	0
concoct.46	44	0	12	0	0.862745098039216	0.315789473684211	1978855	473	5097	0.8627	86.27	0
concoct.15	45	1	13	0	0.882352941176471	0.342105263157895	3109853	56	98027	0.8592	88.24	1.96
concoct.171	45	1	10	0	0.882352941176471	0.263157894736842	2454117	278	11765	0.8592	88.24	1.96
IndE_metabat_bins.297	46	2	11	0	0.901960784313726	0.289473684210526	1388770	16	141844	0.8563	90.2	3.92
concoct.159	46	2	12	1	0.901960784313726	0.315789473684211	3470816	438	10730	0.8563	90.2	3.92
IndE_metabat_bins.143	47	3	12	1	0.92156862745098	0.315789473684211	2656396	148	27609	0.8539	92.16	5.88
concoct.100	43	0	10	0	0.843137254901961	0.263157894736842	3962478	913	5165	0.8431	84.31	0
IndE_metabat_bins.304	44	1	13	1	0.862745098039216	0.342105263157895	913137	13	92121	0.8393	86.27	2.63
concoct.89_sub	46	3	11	0	0.901960784313726	0.289473684210526	2094456	69	59924	0.8334	90.2	5.88
IndE_metabat_bins.244	42	0	12	0	0.823529411764706	0.315789473684211	1878719	56	54029	0.8235	82.35	0
IndE_metabat_bins.178_sub	50	7	13	0	0.980392156862745	0.342105263157895	5048787	783	9096	0.818	98.04	13.73
IndE_metabat_bins.30	45	3	14	1	0.882352941176471	0.368421052631579	2482358	152	22984	0.8129	88.24	5.88
concoct.134	46	4	13	3	0.901960784313726	0.342105263157895	3046193	378	11566	0.8106	90.2	7.89
IndE_metabat_bins.216	41	0	8	0	0.803921568627451	0.210526315789474	1584429	54	45180	0.8039	80.39	0
IndE_metabat_bins.165	43	2	6	1	0.843137254901961	0.157894736842105	2230188	350	7461	0.7956	84.31	3.92
IndE_metabat_bins.218	44	3	12	1	0.862745098039216	0.315789473684211	1848387	161	16124	0.7924	86.27	5.88
concoct.156_sub	44	3	14	0	0.862745098039216	0.368421052631579	2284613	439	6273	0.7924	86.27	5.88
concoct.39_sub	40	0	11	0	0.784313725490196	0.289473684210526	1742755	576	3292	0.7843	78.43	0
concoct.160_sub	41	1	7	0	0.803921568627451	0.184210526315789	1643132	401	4391	0.7795	80.39	1.96
IndE_metabat_bins.252	48	7	11	3	0.941176470588235	0.289473684210526	3443904	513	9513	0.7752	94.12	13.73
concoct.123	45	5	10	0	0.882352941176471	0.263157894736842	2595581	535	6947	0.7667	88.24	9.8
concoct.42_sub	39	0	7	1	0.764705882352941	0.184210526315789	1316131	211	6835	0.7647	76.47	2.63
concoct.167_sub	42	3	9	1	0.823529411764706	0.236842105263158	2871260	261	17600	0.7513	82.35	5.88
IndE_metabat_bins.235_sub	38	0	6	0	0.745098039215686	0.157894736842105	1308258	337	4369	0.7451	74.51	0
concoct.99_sub	38	0	8	0	0.745098039215686	0.210526315789474	1853327	568	3628	0.7451	74.51	0
IndE.218_sub	39	1	8	0	0.764705882352941	0.210526315789474	2921110	221	16077	0.7395	76.47	1.96
IndE_metabat_bins.70_sub	46	7	14	2	0.901960784313726	0.368421052631579	2203502	183	19319	0.742	90.2	13.73
concoct.60	37	0	12	1	0.725490196078431	0.315789473684211	2246151	139	32197	0.7255	72.55	2.63
IndE_metabat_bins.315	38	1	8	0	0.745098039215686	0.210526315789474	1250586	9	192246	0.7195	74.51	1.96
concoct.2_sub	35	0	5	0	0.686274509803922	0.131578947368421	999057	412	2415	0.6863	68.63	0
