bin	uniqueBacSCGs	redundantBacSCGs	uniqueArcSCGs	redundantArcSCGs	bacRatio	arcRatio	size	contigs	N50	binScore	SCG_completeness	SCG_redundancy
concoct.28	51	0	14	0	1	0.368421052631579	1946644	18	199448	1	100	0
IndG_metabat_bins.74	51	0	16	0	1	0.421052631578947	2273237	26	146964	1	100	0
concoct.22	51	0	14	0	1	0.368421052631579	5621481	128	135344	1	100	0
IndG_metabat_bins.119	51	0	11	0	1	0.289473684210526	2340719	61	94722	1	100	0
IndG_metabat_bins.30	51	0	13	0	1	0.342105263157895	3954253	69	93635	1	100	0
IndG_metabat_bins.24	51	0	14	1	1	0.368421052631579	1826053	35	64913	1	100	2.63
concoct.115	51	0	15	0	1	0.394736842105263	3339069	94	52614	1	100	0
concoct.89	51	0	13	1	1	0.342105263157895	3484054	133	46520	1	100	2.63
concoct.70	51	0	14	0	1	0.368421052631579	5041921	237	38924	1	100	0
concoct.33	50	0	11	1	0.980392156862745	0.289473684210526	1852277	29	135834	0.9804	98.04	2.63
concoct.121	50	0	14	1	0.980392156862745	0.368421052631579	2017191	55	95242	0.9804	98.04	2.63
IndG_metabat_bins.11_sub	50	0	14	1	0.980392156862745	0.368421052631579	2135639	41	75444	0.9804	98.04	2.63
concoct.86	50	0	14	0	0.980392156862745	0.368421052631579	2550385	143	24085	0.9804	98.04	0
concoct.97	51	1	13	1	1	0.342105263157895	2382807	26	173947	0.9784	100	2.63
concoct.68	51	1	14	0	1	0.368421052631579	2092251	33	106676	0.9784	100	1.96
concoct.17	50	1	14	0	0.980392156862745	0.368421052631579	2560371	30	158034	0.9586	98.04	1.96
concoct.65	50	1	14	0	0.980392156862745	0.368421052631579	2436286	59	64665	0.9586	98.04	1.96
IndG_metabat_bins.112	51	2	13	0	1	0.342105263157895	2577244	249	14915	0.9569	100	3.92
concoct.69	51	3	14	1	1	0.368421052631579	2704722	72	100192	0.9353	100	5.88
concoct.62	47	0	13	0	0.92156862745098	0.342105263157895	2366370	227	20240	0.9216	92.16	0
