bin	uniqueBacSCGs	redundantBacSCGs	uniqueArcSCGs	redundantArcSCGs	bacRatio	arcRatio	size	contigs	N50	binScore	SCG_completeness	SCG_redundancy
concoct.192	51	0	14	0	1	0.368421052631579	4189568	36	273866	1	100	0
concoct.46	51	0	14	0	1	0.368421052631579	3056800	53	103991	1	100	0
IndC_metabat_bins.158	51	0	14	0	1	0.368421052631579	3872896	49	101629	1	100	0
concoct.20	51	0	12	0	1	0.315789473684211	2657058	52	91960	1	100	0
concoct.37	51	0	14	1	1	0.368421052631579	1914087	53	64042	1	100	2.63
concoct.198	51	0	12	0	1	0.315789473684211	2672291	72	62658	1	100	0
concoct.12	51	0	12	0	1	0.315789473684211	2008311	67	56156	1	100	0
concoct.127	51	0	13	0	1	0.342105263157895	2881976	90	54103	1	100	0
concoct.189	51	0	12	0	1	0.315789473684211	2648868	85	45231	1	100	0
IndC.001	50	0	11	0	0.980392156862745	0.289473684210526	975859	11	607534	0.9804	98.04	0
concoct.130	50	0	14	0	0.980392156862745	0.368421052631579	1651424	12	312375	0.9804	98.04	0
concoct.174	50	0	13	0	0.980392156862745	0.342105263157895	1650800	26	136721	0.9804	98.04	0
concoct.123	50	0	13	0	0.980392156862745	0.342105263157895	3410693	58	104994	0.9804	98.04	0
IndC_metabat_bins.255	50	0	13	0	0.980392156862745	0.342105263157895	2952617	55	83045	0.9804	98.04	0
IndC_metabat_bins.111_sub	50	0	12	0	0.980392156862745	0.315789473684211	3776671	80	77655	0.9804	98.04	0
concoct.156	50	0	12	0	0.980392156862745	0.315789473684211	2128583	94	34342	0.9804	98.04	0
concoct.162	50	0	13	0	0.980392156862745	0.342105263157895	1968823	97	31568	0.9804	98.04	0
concoct.118	51	1	12	0	1	0.315789473684211	2924975	57	106583	0.9784	100	1.96
IndC_metabat_bins.20	51	1	14	0	1	0.368421052631579	1881153	39	79392	0.9784	100	1.96
IndC_metabat_bins.81	51	1	14	1	1	0.368421052631579	3174197	71	72777	0.9784	100	2.63
IndC_metabat_bins.199	49	0	9	0	0.96078431372549	0.236842105263158	2045768	22	200693	0.9608	96.08	0
concoct.34	49	0	9	0	0.96078431372549	0.236842105263158	2655375	389	8819	0.9608	96.08	0
concoct.87	50	1	13	1	0.980392156862745	0.342105263157895	2234310	24	175706	0.9586	98.04	2.63
concoct.10	50	1	12	1	0.980392156862745	0.315789473684211	2129954	26	122246	0.9586	98.04	2.63
concoct.196	50	1	14	0	0.980392156862745	0.368421052631579	1961391	48	120179	0.9586	98.04	1.96
concoct.100	50	1	14	0	0.980392156862745	0.368421052631579	2271740	34	115626	0.9586	98.04	1.96
concoct.181	50	1	15	1	0.980392156862745	0.394736842105263	2016161	33	97122	0.9586	98.04	2.63
concoct.28	50	1	13	0	0.980392156862745	0.342105263157895	2402065	106	42234	0.9586	98.04	1.96
IndC_metabat_bins.43	50	1	13	1	0.980392156862745	0.342105263157895	2314011	145	21902	0.9586	98.04	2.63
concoct.96_sub	50	1	14	0	0.980392156862745	0.368421052631579	5345725	549	15459	0.9586	98.04	1.96
IndC_metabat_bins.137	50	1	13	0	0.980392156862745	0.342105263157895	2414443	228	14812	0.9586	98.04	1.96
IndC_metabat_bins.263	48	0	13	0	0.941176470588235	0.342105263157895	2790002	27	114232	0.9412	94.12	0
IndC_metabat_bins.193	49	1	14	0	0.96078431372549	0.368421052631579	1974480	28	118820	0.9387	96.08	1.96
concoct.158	49	1	12	1	0.96078431372549	0.315789473684211	2569739	58	70198	0.9387	96.08	2.63
IndC_metabat_bins.122	49	1	10	0	0.96078431372549	0.263157894736842	1342886	46	57314	0.9387	96.08	1.96
IndC_metabat_bins.66	49	1	13	0	0.96078431372549	0.342105263157895	1593361	151	15240	0.9387	96.08	1.96
concoct.122_sub	49	1	10	1	0.96078431372549	0.263157894736842	2798323	530	6835	0.9387	96.08	2.63
concoct.114	50	2	13	1	0.980392156862745	0.342105263157895	2840951	126	65249	0.9368	98.04	3.92
IndC_metabat_bins.140	50	2	15	0	0.980392156862745	0.394736842105263	2974015	173	27511	0.9368	98.04	3.92
concoct.115	51	3	16	1	1	0.421052631578947	2921463	53	84035	0.9353	100	5.88
IndC_metabat_bins.44	47	0	11	0	0.92156862745098	0.289473684210526	1912608	171	15382	0.9216	92.16	0
concoct.173	48	1	14	0	0.941176470588235	0.368421052631579	2358889	30	141979	0.9189	94.12	1.96
concoct.51	48	1	13	1	0.941176470588235	0.342105263157895	2366100	25	128385	0.9189	94.12	2.63
IndC_metabat_bins.64	48	1	13	0	0.941176470588235	0.342105263157895	1175692	36	104510	0.9189	94.12	1.96
concoct.41	48	1	14	1	0.941176470588235	0.368421052631579	3302895	251	19008	0.9189	94.12	2.63
concoct.31	48	1	13	1	0.941176470588235	0.342105263157895	2220126	180	18852	0.9189	94.12	2.63
concoct.90	49	2	13	1	0.96078431372549	0.342105263157895	2099508	24	167598	0.9167	96.08	3.92
concoct.101	49	2	12	0	0.96078431372549	0.315789473684211	1902182	24	141438	0.9167	96.08	3.92
concoct.7_sub	49	2	12	1	0.96078431372549	0.315789473684211	2449943	70	113939	0.9167	96.08	3.92
concoct.70_sub	49	2	12	1	0.96078431372549	0.315789473684211	2703715	52	111221	0.9167	96.08	3.92
concoct.53	49	2	14	1	0.96078431372549	0.368421052631579	2159513	48	89975	0.9167	96.08	3.92
concoct.14	49	2	13	1	0.96078431372549	0.342105263157895	1927877	56	73694	0.9167	96.08	3.92
concoct.151	46	0	5	0	0.901960784313726	0.131578947368421	1279537	422	3185	0.902	90.2	0
IndC_metabat_bins.24	47	1	11	0	0.92156862745098	0.289473684210526	1399917	61	54685	0.899	92.16	1.96
IndC_metabat_bins.151	47	1	9	0	0.92156862745098	0.236842105263158	1070833	60	23925	0.899	92.16	1.96
concoct.105	48	2	13	0	0.941176470588235	0.342105263157895	2733180	83	48657	0.8966	94.12	3.92
concoct.112_sub	48	2	10	0	0.941176470588235	0.263157894736842	2208810	124	31105	0.8966	94.12	3.92
concoct.148	49	3	14	0	0.96078431372549	0.368421052631579	2850256	164	26640	0.8946	96.08	5.88
IndC_metabat_bins.12_sub	49	3	14	1	0.96078431372549	0.368421052631579	3116172	211	21201	0.8946	96.08	5.88
IndC_metabat_bins.77	45	0	10	0	0.882352941176471	0.263157894736842	905467	18	142268	0.8824	88.24	0
IndC_metabat_bins.123	45	0	9	0	0.882352941176471	0.236842105263158	807187	22	97802	0.8824	88.24	0
IndC.007	46	1	12	1	0.901960784313726	0.315789473684211	1083795	7	209478	0.8791	90.2	2.63
concoct.17	46	1	8	0	0.901960784313726	0.210526315789474	2647443	743	3996	0.8791	90.2	1.96
concoct.8	49	4	13	0	0.96078431372549	0.342105263157895	2744490	89	66884	0.8726	96.08	7.84
concoct.113	44	0	8	0	0.862745098039216	0.210526315789474	1852078	295	8095	0.8627	86.27	0
IndC_metabat_bins.186	45	1	11	0	0.882352941176471	0.289473684210526	1427066	37	65994	0.8592	88.24	1.96
IndC_metabat_bins.168	45	1	10	0	0.882352941176471	0.263157894736842	1982198	287	8644	0.8592	88.24	1.96
concoct.50	46	2	10	0	0.901960784313726	0.263157894736842	2241335	338	8781	0.8563	90.2	3.92
concoct.84	47	3	12	0	0.92156862745098	0.315789473684211	2415708	277	14590	0.8539	92.16	5.88
IndC_metabat_bins.109	43	0	8	0	0.843137254901961	0.210526315789474	859517	15	77410	0.8431	84.31	0
IndC_metabat_bins.216	43	0	9	1	0.843137254901961	0.236842105263158	1122782	48	39321	0.8431	84.31	2.63
IndC_metabat_bins.98	48	4	15	0	0.941176470588235	0.394736842105263	2779949	109	42421	0.8422	94.12	7.84
concoct.152	49	6	13	3	0.96078431372549	0.342105263157895	2977623	779	4386	0.8285	96.08	11.76
IndC_metabat_bins.251	42	0	9	1	0.823529411764706	0.236842105263158	1430691	14	183128	0.8235	82.35	2.63
concoct.183	42	0	6	0	0.823529411764706	0.157894736842105	1183438	369	3388	0.8235	82.35	0
IndC_metabat_bins.143	43	1	8	0	0.843137254901961	0.210526315789474	2468852	71	49877	0.8194	84.31	1.96
concoct.80	45	3	11	0	0.882352941176471	0.289473684210526	2683121	46	116792	0.8129	88.24	5.88
concoct.19	46	4	7	0	0.901960784313726	0.184210526315789	1550633	456	3661	0.7812	90.2	7.84
IndC_metabat_bins.113	41	1	10	1	0.803921568627451	0.263157894736842	1372135	219	7496	0.7795	80.39	2.63
IndC_metabat_bins.71	43	3	13	0	0.843137254901961	0.342105263157895	3088024	134	33965	0.7719	84.31	5.88
IndC_metabat_bins.219	38	0	11	0	0.745098039215686	0.289473684210526	1154396	39	41949	0.7451	74.51	0
concoct.119	39	1	7	0	0.764705882352941	0.184210526315789	1399981	436	3493	0.7395	76.47	1.96
concoct.58	37	0	7	0	0.725490196078431	0.184210526315789	1580003	505	3349	0.7255	72.55	0
IndC.030_sub	39	2	6	2	0.764705882352941	0.157894736842105	841185	9	93503	0.7143	76.47	5.26
IndC_metabat_bins.75	35	0	9	1	0.686274509803922	0.236842105263158	1307631	45	58946	0.6863	68.63	2.63
IndC.061_sub	38	1	5	0	0.745098039215686	0.131578947368421	412699	6	68744	0.7195	74.51	1.96
IndC_metabat_bins.188	34	0	8	2	0.666666666666667	0.210526315789474	1844311	257	8314	0.6667	66.67	5.26
concoct.23	34	0	6	0	0.666666666666667	0.157894736842105	1561721	446	3998	0.6667	66.67	0
concoct.132	51	16	14	0	1	0.368421052631579	3973438	160	42464	0.6549	100	31.37
IndC.163_sub	36	2	5	0	0.705882352941177	0.131578947368421	836881	43	20327	0.6529	70.59	3.92
concoct.165	36	2	7	0	0.705882352941177	0.184210526315789	1865186	444	4942	0.6529	70.59	3.92
IndC_metabat_bins.65_sub	37	3	12	0	0.725490196078431	0.315789473684211	2165982	208	15357	0.6474	72.55	5.88
concoct.39	38	4	7	1	0.745098039215686	0.184210526315789	1722722	664	2673	0.6427	74.51	7.84
IndC_metabat_bins.29	34	1	14	1	0.666666666666667	0.368421052631579	2168493	226	14065	0.6392	66.67	2.63
concoct.199	32	0	13	1	0.627450980392157	0.342105263157895	3351481	148	37704	0.6275	62.75	2.63
IndC.194_sub	39	5	10	3	0.764705882352941	0.263157894736842	3984655	869	10441	0.629	76.47	9.8
IndC.081_sub	33	1	7	0	0.647058823529412	0.184210526315789	609593	49	57337	0.6191	64.71	1.96
IndC_metabat_bins.42_sub	32	0	8	0	0.627450980392157	0.210526315789474	777017	9	141274	0.6275	62.75	0
IndC_metabat_bins.195	30	0	9	1	0.588235294117647	0.236842105263158	375964	12	55523	0.5882	58.82	2.63
IndC.167_sub	30	0	5	0	0.588235294117647	0.131578947368421	2378228	152	15645	0.5882	58.82	0
IndC.181_sub	31	1	2	0	0.607843137254902	0.0526315789473684	741182	55	13442	0.5787	60.78	1.96
IndC.203_sub	31	1	3	0	0.607843137254902	0.0789473684210526	250864	74	3622	0.5787	60.78	1.96
IndC.062_sub	33	2	7	1	0.647058823529412	0.184210526315789	1910286	334	32368	0.5715	64.71	3.92
IndC.204_sub	32	2	11	1	0.627450980392157	0.289473684210526	5018190	1604	3036	0.5703	62.75	3.92
IndC_metabat_bins.206_sub	45	9	9	5	0.882352941176471	0.236842105263158	1654928	132	32739	0.6545	88.24	17.65
IndC.130_sub	29	0	2	0	0.568627450980392	0.0526315789473684	750828	30	25127	0.5686	56.86	0
IndC.148_sub	29	0	2	0	0.568627450980392	0.0526315789473684	588035	27	21766	0.5686	56.86	0
IndC.185_sub	29	1	4	0	0.568627450980392	0.105263157894737	1568906	126	12476	0.5381	56.86	1.96
