bin	uniqueBacSCGs	redundantBacSCGs	uniqueArcSCGs	redundantArcSCGs	bacRatio	arcRatio	size	contigs	N50	binScore	SCG_completeness	SCG_redundancy
concoct.94	51	0	13	0	1	0.342105263157895	1803221	26	367698	1	100	0
concoct.112	51	0	14	0	1	0.368421052631579	3184851	14	337963	1	100	0
concoct.31	51	0	11	0	1	0.289473684210526	2262790	30	258476	1	100	0
concoct.160	51	0	14	0	1	0.368421052631579	4480647	64	108827	1	100	0
concoct.137	51	0	9	0	1	0.236842105263158	2220021	36	101507	1	100	0
concoct.131	51	0	13	0	1	0.342105263157895	1796639	83	37181	1	100	0
concoct.118	50	0	13	0	0.980392156862745	0.342105263157895	2364401	25	189188	0.9804	98.04	0
concoct.166	50	0	13	1	0.980392156862745	0.342105263157895	2011887	20	140958	0.9804	98.04	2.63
IndJ_metabat_bins.19_sub	50	0	13	0	0.980392156862745	0.342105263157895	1594028	15	136596	0.9804	98.04	0
concoct.102	50	0	11	0	0.980392156862745	0.289473684210526	2427031	57	92873	0.9804	98.04	0
IndJ_metabat_bins.143_sub	50	0	12	0	0.980392156862745	0.315789473684211	1432901	43	76075	0.9804	98.04	0
IndJ_metabat_bins.156	50	0	15	1	0.980392156862745	0.394736842105263	1880610	30	74311	0.9804	98.04	2.63
IndJ_metabat_bins.171	50	0	12	0	0.980392156862745	0.315789473684211	2090123	158	18577	0.9804	98.04	0
concoct.163	51	1	14	0	1	0.368421052631579	1689356	31	139877	0.9784	100	1.96
concoct.180_sub	51	1	15	0	1	0.394736842105263	2773453	66	72280	0.9784	100	1.96
IndJ_metabat_bins.31	49	0	13	0	0.96078431372549	0.342105263157895	2177489	44	108297	0.9608	96.08	0
concoct.174	49	0	11	0	0.96078431372549	0.289473684210526	4530299	174	53194	0.9608	96.08	0
IndJ_metabat_bins.46	49	0	15	0	0.96078431372549	0.394736842105263	3086186	98	47573	0.9608	96.08	0
concoct.55	50	1	13	0	0.980392156862745	0.342105263157895	2490975	13	413778	0.9586	98.04	1.96
concoct.120	50	1	11	0	0.980392156862745	0.289473684210526	1810734	32	177655	0.9586	98.04	1.96
